,A,mce3R
SRX893999,-0.3007417295,-0.2572839465
SRX894000,0.4172571011,0.1025131839
SRX893998,-0.1165153716,0.1547707626
SRX4647489,-0.4763231553,0.0102932456
SRX4647490,0.4763231553,-0.0102932456
SRX4647492,-0.074571696,-0.0628892733
SRX4647491,0.0236656745,-0.0937506967
SRX4647496,-3.4920021672,0.1965186961
SRX4647495,-3.2596229558,0.09128509630000001
SRX4647499,-2.7844125974000002,0.15578109040000002
SRX4647500,-2.9113543043,0.0953759532
SRX4647493,-4.2671269634,0.1201725122
SRX4647494,-4.6423699459000005,-0.0477658147
SRX4647497,-2.8949214082,0.18251228660000002
SRX4647498,-3.0276661233,0.0272655833
SRX4505482,-0.3396785565,-0.2003859392
SRX4505486,0.017060315,-0.1417956286
SRX4505484,-1.4590762059,-0.4167264505
SRX4505473,-0.3136360179,-0.2934057026
SRX4505476,0.21175267320000002,0.12393389960000001
SRX4505480,0.0430853271,-0.1955453624
SRX4505478,-0.5725700629,0.12894687400000002
SRX4505474,0.31773206260000003,-0.0573354113
SRX4505483,-1.6082548162,0.038327914500000004
SRX4505485,-1.9008800471,-0.0007395232
SRX4505487,-1.5661240479,0.0976329752
SRX4505488,-1.5636446626,0.1352746587
SRX4505481,-1.7222550566,0.1076046309
SRX4505477,-1.4872859135,0.0919982713
SRX4505475,-1.8855254417,0.3337939059
SRX4505479,-1.7437451758,-0.14560923080000002
SRX4605773,-0.1934637797,-0.0268686339
SRX4605774,0.46426016130000003,0.0969632121
SRX4605772,0.1396610844,-0.0412497557
SRX4605771,-0.1396610844,0.0412497557
SRX5178871,-0.3279860872,0.0664001987
SRX5178872,1.0552622791,0.1572759682
SRX5178868,-0.41126812890000003,0.0756766599
SRX5178870,0.1260461225,0.0787061943
SRX5178869,0.2852220064,-0.1543828541
ERX1404045,0.0045205805,-0.0649170541
ERX1404046,-0.0045205805,0.0649170541
ERX1404043,-0.1222410626,-0.2224782515
ERX1404044,-0.5447494834000001,0.0810122216
ERX237502,-0.5827689249,-0.9273363799000001
ERX237505,-0.202516194,-0.327255116
ERX237506,-0.9737987108,-0.8540312982
ERX237500,4.7602102849,0.055109853900000005
ERX237497,4.6826047808,0.0420887801
ERX237499,4.0402478719,0.2829399099
ERX237507,0.7298112656,-0.3577340805
ERX237496,-1.1061803567,-0.18518560010000001
ERX237504,0.3763690911,0.5429196805000001
ERX3772318,0.6821960016,0.39907401810000004
ERX3772320,0.9197008537,0.3407788974
ERX3772319,1.8847364347000002,0.45013576110000003
ERX3772321,-1.6014459124,-0.18345196390000001
ERX3772322,0.4194181104,-0.1766920434
ERX3772323,1.1820278021,0.3601440073
SRX4314262,-0.7400186633,-0.1268996763
SRX4314263,-0.5629893745,-0.25367662280000003
SRX4314261,1.3030080378,0.3805762992
SRX4314265,-1.0793480482,-0.1466449001
SRX4314266,0.9901871755,0.2011747076
SRX4314264,-3.0139508457,0.0104742541
SRX4314268,-8.4212117539,-0.2933778335
SRX4314267,-8.066204071,-0.2806266465
SRX4314271,-9.6402548152,-0.6161128757000001
SRX4314272,-10.0566890336,-0.5154883886
SRX4314275,-11.4376137634,-0.5052133118000001
SRX4314274,-10.3209432137,-0.5011672776
SRX4314273,-10.9273341549,-0.5416224040000001
SRX4314278,-9.9657442599,-0.8203589516
SRX4314276,-10.5246572492,-0.4431712749
SRX4314281,-11.144849885,-0.5068456398
SRX4314279,-12.1105296624,-0.7494333017
SRX4314280,-10.1667372035,-0.6866230104000001
SRX4314284,-11.6331983341,-0.8650968667000001
SRX4314283,-11.4735185228,-0.8860345806000001
SRX4314282,-11.585647508,-0.490800092
SRX4314293,-8.1513477886,-0.9621284492000001
SRX4314292,-10.5159035761,-0.6332227238
SRX4314291,-10.0661890292,-0.6251721287
SRX4314297,-8.8606630763,-0.6793229953000001
SRX4314298,-9.4000197192,-0.6938688877
SRX4314299,-8.734095717,-0.3957665845
SRX4314302,-7.1316973471,-0.0786273054
SRX4314301,-8.3941090117,-0.8814423869
SRX4314300,-7.3822146979,-0.4829041012
SRX4314305,-5.2102805996,-0.5196576162000001
SRX4314304,-6.3361379023,-0.4593645154
SRX4314303,-6.2252917567,-0.42110952900000004
SRX4314309,-8.4766825707,-0.472521458
SRX4314306,-5.2870177586,-0.2909916099
SRX4314308,-5.5066895253,-0.015473653200000001
SRX4314307,-5.2515871575,-0.2770914906
SRX4314311,-7.0381060418,-0.6877102309
SRX4314317,1.6419572335,0.0450603053
SRX4314316,0.8926768328,-0.0680203566
SRX4314318,3.620551298,-0.3410332324
SRX4314319,4.314143554,-0.1579056305
SRX4314331,-6.1239164203,-0.081495569
SRX4314330,-6.0681320315,-0.0085707206
SRX4314332,-6.1246241639,0.0380878118
SRX4314335,-9.636792534,-0.11661882
SRX4314334,-9.027207874,-0.0671249653
SRX4314333,-9.2440105245,-0.2746928287
SRX4314338,-10.1643885283,-0.431526479
SRX4314336,-10.3478193604,-0.5325887536
SRX4314337,-10.020934092,-0.16861272230000002
SRX4314339,-7.4528018944,-0.5996267238
SRX4314340,-8.2243841502,-0.44803670230000003
SRX4314341,-5.954759521,-0.8226880657000001
SRX3686762,3.3823329044,1.1433644447
SRX3686763,2.2694177428,1.2285812422
SRX3686761,2.258510014,1.4031871169
SRX3686765,0.5113050171,0.1118810943
SRX3686769,0.3075407624,0.0814778015
SRX3686766,-0.1580153099,0.1374245298
SRX3686768,0.1328496645,0.11648626120000001
SRX3686764,0.7263007548,0.15206916950000002
SRX3686767,0.5341121349,0.2819009481
SRX3686788,-0.1278333868,0.2124862697
SRX3686791,0.40617720630000004,-0.0005356911000000001
SRX3686792,1.6578998772,0.1546845227
SRX3686793,0.4147101213,-0.7144376505000001
SRX3686790,-1.9053238624,0.1914380541
SRX3686789,-0.4456299556,0.1563644951
SRX3686829,5.4013065733,0.5954134636
SRX3686830,6.647523,0.7731807979
SRX3686828,6.5603238367,0.7530237894
SRX3686819,-2.7864618455,-0.06418362400000001
SRX3686818,-2.5017099378000003,0.2311714017
SRX3686817,-2.0995658433,0.1001752929
SRX3686822,-1.6754302093,0.4759100249
SRX3686820,-0.9515430557000001,0.3998227273
SRX3686821,-1.1918859164,0.0348844494
SRX3686743,3.8412471772,1.6245914108
SRX3686744,3.5758700735,1.5956788524999999
SRX3686745,4.0459307726,1.6842685266
SRX3686772,3.0169228186,1.6249206360000001
SRX3686770,3.4191744632,2.0222009208
SRX3686771,3.025830951,1.9650093128
SRX3686794,-0.28608082,0.7436481713
SRX3686796,1.7505132206,0.4563393221
SRX3686751,2.6493760836,1.4805138095
SRX3686749,2.7373535875,1.287320576
SRX3686750,2.1705285206,1.2727993198
SRX3686778,2.67560012,1.0153671942
SRX3686777,3.2243094794,1.2632099339
SRX3686776,3.5010479291000003,1.7828172681
SRX3686800,2.6529459147,0.4421410807
SRX3686801,1.7044050969,0.39111081550000004
SRX3686755,3.744987697,1.152026314
SRX3686757,3.0448018083,1.2536572053000001
SRX3686756,1.9555480032,1.3008498613000001
SRX3686784,4.2212228747000005,1.2439388821
SRX3686783,4.6800772813,1.4898394160000001
SRX3686782,4.2990255706,1.7603904849
SRX3686809,4.2545127004,0.5244653024
SRX3686807,5.0810766087,0.5441626943
SRX3686808,3.4959011645,0.2798580496
SRX3686787,6.4456885581,1.0284064864
SRX3686786,6.290945741,1.0411188946
SRX3686785,7.4469367235,1.1531106768
SRX3686799,2.4538156206,0.21285560350000002
SRX3686797,2.9183390214,0.08775412070000001
SRX3686798,2.4065230124,0.3287667756
SRX3686746,3.5350014184000003,1.4399930377
SRX3686748,3.7035007454,1.4154030261
SRX3686747,3.2537232502,1.4233259211
SRX3686773,2.9331666343,1.2306372799
SRX3686774,1.6224708372,1.2192148618
SRX3686775,1.6207473157,0.9783091337
SRX3686754,4.0332415766,1.2339093175
SRX3686753,3.6710014198,1.2922699665000001
SRX3686752,4.2968403033,1.2857195246
SRX3686780,4.3027665015,0.9528440814
SRX3686779,3.8056056066,0.9215223621
SRX3686781,2.9320893473,0.6895229577
SRX3686806,4.0160069241,0.3687549256
SRX3686805,5.3364274191,0.3118426917
SRX3686758,5.0071380525,1.2339135266
SRX3686760,5.4792694599,1.1864106315
SRX3686759,5.6044390345,1.3181329315
SRX3686810,7.3184437259,0.5979457195
SRX3686811,5.4174773098,0.7359040202
SRX3686812,5.9223262124,0.5162207818
SRX3686813,4.8280475965,1.2798778387
SRX3686815,5.5734314151,0.3701005529
SRX3686816,5.156120166,0.5313835354
SRX3686823,5.6532135821,1.0721947637
SRX3686824,4.4644349806,0.6900977627
SRX3686825,5.5764706717,0.9226284247000001
SRX3686827,7.5372263723,0.9182192274000001
SRX3686826,8.6233379813,1.0877458183
SRX7054191,0.8811029623000001,-0.0675729498
SRX7054189,-0.3855663918,0.013889719600000001
SRX7054190,-0.49553657040000004,0.0536832302
SRX7054193,2.5382781365,0.34918247350000003
SRX7054192,1.8951605763,0.1623287947
SRX7054194,2.0697495386,0.2841658305
SRX4506284,0.3145680676,0.4503560596
SRX4506280,-0.4105894867,0.4695953318
SRX4506282,-0.5245770048,0.38927358570000004
SRX4506278,-0.7508212748,0.4337749148
SRX4506274,-0.044802778200000004,-0.0614162911
SRX4506273,0.0594584952,0.0781082704
SRX4506271,-0.0858380876,-0.061660932200000004
SRX4506276,0.07118237050000001,0.044968952900000005
SRX4506283,1.3480050175,-0.37692870230000003
SRX4506279,1.1185494629,-0.0771788592
SRX4506285,1.213978089,-0.0113780474
SRX4506281,1.4931612185,-0.44789951520000004
SRX4506275,0.5838465906,-0.30858573170000003
SRX4506277,0.8245719259000001,-0.127861359
SRX4506272,0.4373895383,-0.1401505059
SRX2923393,0.062513285,-0.0486438568
SRX2923394,-0.062513285,0.0486438568
SRX2923398,4.0337837435,0.7562341487
SRX2923397,0.7095824988,0.2613016306
SRX2923395,21.8736645377,1.1020284974
SRX2923396,22.2393311192,1.188758219
SRX2923400,4.4310465865,-1.2120837143
SRX2923401,5.3193820353,-1.531994722
SRX2923403,14.7345256529,-0.9071359889
SRX2923402,14.7364697262,-1.1280828974000001
SRX6853288,-1.421327425,-0.0441342743
SRX6853287,-0.3012458226,0.1309313944
SRX6853286,-1.4926332794000001,-0.0549436056
SRX6853284,0.0047007761,-0.0504667923
SRX6853285,-0.5865853254,-0.0805025531
SRX6853283,0.5818845494,0.1309693454
SRX4319040,0.17078249310000002,0.1613339886
SRX4319041,-0.5462495358,0.027669623900000002
SRX4319039,0.3754670426,-0.1890036125
SRX4314613,-3.5088209538,0.0683373072
SRX4314614,-4.2411960942,0.0419322987
SRX4314615,-3.3874808982,0.377877361
SRX4314632,-3.5539678564,0.7338609605
SRX4314631,-3.0588201195,0.6409732837000001
SRX4314633,-2.6814492094,0.7220724858
SRX4314622,-4.6138190577,0.7602053661
SRX4314623,-4.4663291306,0.7933097306
SRX4314624,-3.3643785837,0.6530598764000001
SRX4314611,-0.5315267494,-0.0059112165
SRX4314610,-0.1638717025,0.1250374503
SRX4314612,0.6953984519,-0.1191262339
SRX4314630,-2.8369149871,1.0003842029
SRX4314628,-1.9040421645,0.7837643595
SRX4314629,-2.1086839257,1.1341195627
SRX4314619,-4.2417201304,0.5136428218
SRX4314621,-6.1954512932,0.4167662789
SRX4314620,-4.3774277535,0.5309208677
SRX7119390,0.535278205,-0.11895035450000001
SRX7119388,-0.535278205,0.11895035450000001
SRX7119386,-7.152538326,-1.057372574
SRX7119385,-6.3523467442,-0.9558418197
SRX7119387,-5.8660108662,-0.9948563354000001
SRX3746749,10.9115151621,0.9633496771000001
SRX3746748,10.0265690476,0.7693569791
SRX3746751,-1.7097169178,-0.7372130941
SRX3746750,-1.2416094378,-0.17733590200000002
SRX3746752,-0.4135882047,-0.3040853523
SRX3746753,-0.9583020281,-1.0709100702
SRX3746755,-0.4239232921,0.0795664746
SRX3746754,0.4239232921,-0.0795664746
SRX2345943,-0.3440786827,0.0383457782
SRX2345942,0.3440786827,-0.0383457782
SRX2345941,0.6058434779,0.043210364700000004
SRX2345940,1.0841678892,-0.34670646190000004
SRX3992217,-0.9882689594,-0.19671140850000002
SRX3992216,-1.3303553253,-0.3032524682
SRX3992214,-4.2458362343000005,-0.6002501715
SRX3992215,-1.9920060807,-0.3637094407
SRX3992221,-1.5468639566,-0.2698396312
SRX3992220,-4.4516970897,-0.2657769356
SRX3992219,-8.5566486775,0.41738317210000003
SRX3992218,-7.8865797383,0.7464814058
SRX3992201,-8.1095215839,0.5897112867000001
SRX3992200,-8.230807758,0.5515344894
SRX3992198,-1.2358087649,-0.20462515220000002
SRX3992199,-1.5491125173,-0.47455629600000004
SRX3992202,-0.2234524701,-0.23577151540000002
SRX3992203,0.4770907388,-0.0185688405
SRX3992204,-4.1327923842,-0.5108368803000001
SRX3992205,-1.9561699462000002,-0.1930520122
SRX3992206,-4.3999683253,-0.4596917374
SRX3992207,-1.4789279501,-0.37056781250000004
SRX3992209,-8.1157492806,0.4673431797
SRX3992208,-8.9356170056,0.5893700517
SRX3992212,-8.408215876,0.5252575924
SRX3992213,-8.0635690125,0.39702100100000004
SRX3992210,-0.5244725276000001,-0.0930143413
SRX3992211,0.5244725276000001,0.0930143413
SRX357084,-0.37713810210000004,-0.0088346849
SRX357083,0.37713810210000004,0.0088346849
SRX4647134,1.5026964195999999,-0.1210479596
SRX4647137,0.1774570698,-0.022926445
SRX4647136,1.2651501276000001,-0.2685541054
SRX4647135,1.2841225965,-0.17725328210000002
SRX4647139,0.1868312494,0.054694415600000004
SRX4647141,-0.226181773,0.1353975369
SRX4647140,-0.2264925794,-0.16249523800000001
SRX4647138,0.265843103,-0.0275967145
SRX4647128,1.1207620144,0.36739912150000004
SRX4647127,0.8510246020000001,0.30589068810000003
SRX4647129,0.5752208768,0.1469513684
SRX4647126,0.7960667893000001,0.38870191070000004
SRX4647133,-2.0684938446,0.1384840658
SRX4647132,-2.4015675092,0.2083457081
SRX4647131,-1.9109389689,0.39641964760000004
SRX4647130,-3.2491722487,0.5587372388
SRX6923924,-0.0542680616,-0.9493288327
SRX6923925,-0.1162539387,-0.5331160825
SRX6923923,2.2998001079,-0.4611840511
SRX6923922,1.3942429563,0.1184090326
SRX6923939,-0.2620579685,0.06307596210000001
SRX6923938,0.2620579685,-0.06307596210000001
SRX6923936,1.1438235359,-0.1987156554
SRX6923937,1.0958038364,-0.18954218280000001
SRX5509428,-0.0646872778,0.0437518157
SRX5509427,0.0646872778,-0.0437518157
SRX1882560,2.7840002487,-0.0544968444
SRX1882558,2.6231419915,-0.1592281199
SRX1882559,2.6939207842,-0.06854446630000001
SRX1882561,0.49059457980000004,0.19926783780000001
SRX1882563,0.4195740187,0.1340944514
SRX1882562,0.9420088838,0.1295239407
SRX1882565,0.0956431663,-0.0069001818
SRX1882566,-0.2958183319,0.0750010967
SRX1882564,-0.1893009514,0.0138254838
SRX1882568,0.0054404478000000004,-0.2667842152
SRX1882567,-0.2584407372,-0.1103424239
SRX1882569,-0.432825938,-0.2494031769
SRX1882555,0.18605256850000002,0.1044590187
SRX1882557,-0.2647301192,0.030940557
SRX1882556,0.0786775506,-0.1353995757
SRX5088615,-4.4926296791,-1.3412584926
SRX5088616,-2.1813996869,-1.7578856481
SRX6845150,4.6519104008,0.5421248288
