,A,argR
SRX4505476,0.3251018792,0.0506508959
SRX4505480,0.0704196082,0.3021760113
SRX4505478,-0.0683292655,-0.0254370451
SRX4505474,-0.3271922219,-0.3273898622
SRX4505483,1.9541021009000001,0.45732374010000004
SRX4505485,1.1237493752,0.1615738746
SRX4505487,1.3330533087,0.2681552416
SRX4505488,1.956444459,0.4632382304
SRX4505481,2.2408041179,0.6366607984
SRX4505477,3.0281809311,1.0340023354
SRX4505475,2.8803515094,1.0728043268
SRX4505479,2.1285120706,0.555317567
SRX4605773,-0.3692440487,-0.2624394474
SRX4605774,-0.3783672095,-0.6028569477
SRX4605772,-0.39488007280000004,-0.3102320833
SRX4605771,0.39488007280000004,0.3102320833
SRX5178871,1.0260333902,0.6252465568000001
SRX5178872,1.0458453495,0.2025561589
SRX5178868,-0.8269081251,-0.3921764172
SRX5178870,0.5651962237,0.07283253840000001
SRX5178869,0.2617119014,0.31934387880000004
ERX1404045,-0.36260267300000004,-0.1833438112
ERX1404046,0.36260267300000004,0.1833438112
ERX1404043,0.7685662833,0.4246677481
ERX1404044,0.11636508720000001,-0.0244848172
ERX237502,-2.4330152812,-0.1075442203
ERX237505,-2.2461323577,-0.1293016155
ERX237506,-2.8754846173,-0.5845383634
ERX237500,-15.0945706736,-4.2823466884
ERX237497,-15.3622113932,-4.4352794617
ERX237499,-13.1215088207,-3.5549077323000002
ERX237507,-0.06328094420000001,-0.072798312
ERX237496,-0.6260455341,0.0051143215
ERX237504,0.6893264782,0.0676839905
ERX3772318,0.0547345625,-0.23393970020000002
ERX3772320,0.026280619,-0.1614155566
ERX3772319,0.0515681543,-0.1193887784
ERX3772321,-0.28985219160000003,-0.2638153062
ERX3772322,0.7965997435000001,0.1849973467
ERX3772323,-0.5067475519,0.0788179595
SRX4314262,0.021012434700000002,-0.0746295037
SRX4314263,-0.1813787928,-0.25532558
SRX4314261,0.1603663581,0.32995508360000003
SRX4314265,0.8940062256,-0.0281258536
SRX4314266,1.2963379158000001,0.0369253306
SRX4314264,1.2080509513,-0.5521880691000001
SRX4314268,-0.7107198423000001,-1.4906813905
SRX4314267,-0.3268265255,-0.7780868080000001
SRX4314271,1.9587387031999999,-0.01877973
SRX4314272,1.9406086956,-1.3262294654
SRX4314275,1.6979150796,-0.6667774039000001
SRX4314274,1.7632161083,-0.3515745528
SRX4314273,1.5799644484000002,-0.8002319739
SRX4314278,1.3075131925,-0.1669663969
SRX4314276,0.3826603034,-1.7716125303
SRX4314281,1.7490021647,-0.3995041919
SRX4314279,2.1819419026,-0.1940252097
SRX4314280,1.7978473276,-0.5487874650000001
SRX4314284,0.9004777989,-2.1936031612
SRX4314283,-1.6469101203,-1.7553262372
SRX4314282,0.11704639130000001,-1.3327955609
SRX4314293,1.336080078,-0.5343902759
SRX4314292,-1.2550516242,-1.7097756359
SRX4314291,-0.0045170290000000005,-1.2476738602
SRX4314297,2.0299318902,-0.4024266392
SRX4314298,2.0329980298,-0.29226339760000003
SRX4314299,2.7534531942,-0.5287878013
SRX4314302,2.1507372968,-0.6636086680000001
SRX4314301,1.9273486161000002,-0.7021050604
SRX4314300,1.7057974231,-1.024607939
SRX4314305,4.1398883616,-0.1915772692
SRX4314304,1.7688816779,-0.0791331329
SRX4314303,2.4065625668,-0.1839593803
SRX4314309,5.1611775007,0.7781472632
SRX4314306,4.7462703185,0.47288559700000005
SRX4314308,8.2419434411,1.09848812
SRX4314307,3.1855476802,-0.2254776497
SRX4314311,7.8600585815,1.0254291618
SRX4314317,12.8913856224,2.3545657581
SRX4314316,12.0331901495,1.8256237209
SRX4314318,17.821589053,3.3733467331
SRX4314319,17.8659654946,3.2038155821
SRX4314331,10.5371732415,1.3450068639000001
SRX4314330,9.9651767051,1.3258866585
SRX4314332,9.3169891032,1.5100479585
SRX4314335,6.9499065637,0.8933490404000001
SRX4314334,8.4750653898,1.1356440178
SRX4314333,7.6487419536,0.8772560102
SRX4314338,5.137107527,0.3840590712
SRX4314336,6.730610707,0.8659146794
SRX4314337,7.0723343838,0.939997438
SRX4314339,2.3916892214,-0.3675626594
SRX4314340,2.5292000008,-0.7524863391000001
SRX4314341,2.4218012293,-0.7096508534
SRX3686762,3.6312327606,2.1988773261
SRX3686763,3.6280387545,2.1590581223
SRX3686761,3.7899874345,2.0120717388
SRX3686765,1.1194865225,0.8604335186000001
SRX3686769,1.2038197105,0.6221417506
SRX3686766,0.331453529,0.4878196616
SRX3686768,0.1998252648,0.26938275100000003
SRX3686764,0.9717374561000001,0.9090471146
SRX3686767,0.7349632311000001,0.6473110574000001
SRX3686788,0.7836162210000001,0.6490108404
SRX3686791,0.1960038057,-0.6083997825
SRX3686792,-1.1913069056,-1.1802022085
SRX3686793,0.4405108058,0.6187553947000001
SRX3686790,-0.6363683105,0.2394616805
SRX3686789,0.4075443836,0.2813740753
SRX3686829,0.38743400380000004,0.93056742
SRX3686830,0.7891585999,1.0044477829
SRX3686828,1.1339167367,1.251660065
SRX3686819,-1.7457302774999999,-0.3071489522
SRX3686818,-1.795123072,-0.0362066017
SRX3686817,-1.8204312016,0.3425385825
SRX3686822,0.837319526,0.1684294527
SRX3686820,1.2405931264,0.8377051807
SRX3686821,0.8556352746,0.5297068909
SRX3686743,4.052747932,1.9905773453000002
SRX3686744,3.8419095227,2.0055520348
SRX3686745,4.0943038509,2.0256135236
SRX3686772,3.7546009796,2.1167835531
SRX3686770,4.1986119092,1.7774370883000001
SRX3686771,3.9979999495,1.8668089905
SRX3686794,-2.3590483342,0.1633060842
SRX3686796,-0.9968567872,0.5449869285
SRX3686751,3.9110376568,1.7125213039
SRX3686749,4.2557017033,1.8254436446
SRX3686750,3.5111008279,1.7655291376000002
SRX3686778,3.5535849317,2.3079560904
SRX3686777,4.3215374948,2.5879718108
SRX3686776,4.6786293404,2.3547770388
SRX3686800,-0.9353590699000001,0.5378390135000001
SRX3686801,-0.7916528646000001,0.6797421711
SRX3686755,6.6442354526,2.5561445241
SRX3686757,4.9495666208,1.9813231965
SRX3686756,4.8847697949,2.1795892187
SRX3686784,4.186441086,2.3165153762
SRX3686783,4.7021578826,2.2021609564
SRX3686782,5.2648994991,2.023448298
SRX3686809,-0.1012125675,0.6936606892
SRX3686807,0.1249437969,0.8695024676
SRX3686808,-0.43711501020000004,0.7220934288
SRX3686787,6.4433260551,2.3959262823
SRX3686786,7.0079329409,2.3702004493
SRX3686785,6.7191785897,2.2299087198
SRX3686799,-1.4138467073,0.3382632125
SRX3686797,-1.4544174794,0.0179768637
SRX3686798,-1.4268051824,0.5231348153000001
SRX3686746,3.5176522426,1.7753269855
SRX3686748,3.474388078,1.7620204184000001
SRX3686747,3.3124904937,1.7792078422
SRX3686773,2.9217906459,1.6223984496
SRX3686774,2.3385943633,1.3831405757000002
SRX3686775,2.2503577488,1.5092752568
SRX3686754,4.5887386869,1.9359513047
SRX3686753,4.6894281359,2.220923556
SRX3686752,4.9691578887,1.9053511619
SRX3686780,4.0238385023,2.0613092568
SRX3686779,4.1934258222,2.1049535575
SRX3686781,3.3022301605,1.7966470441
SRX3686806,0.0842835536,0.7271120975
SRX3686805,0.592784887,1.0001361051
SRX3686758,6.9059634752,2.1034738572
SRX3686760,6.6079953402000005,2.1030716239
SRX3686759,6.9788939953,2.1242049639
SRX3686810,2.9699392783,1.1795616978
SRX3686811,2.7934885744,1.3428947494
SRX3686812,2.5096193057000002,1.355496839
SRX3686813,4.1232556551,2.1104070217
SRX3686815,3.2606284813,1.2506456086
SRX3686816,2.7791019583,1.3501849022
SRX3686823,3.4949953597,1.9294641533
SRX3686824,2.4731333342,1.4777723584
SRX3686825,5.0395812669,1.9097968672
SRX3686827,5.5452661149,1.9694028698000001
SRX3686826,5.5302622611,2.1020687259
SRX7054191,0.35109267990000004,-0.0704608968
SRX7054189,-0.5453624379,0.0681213842
SRX7054190,0.1942697579,0.0023395126
SRX7054193,2.0402081857,1.4475460884
SRX7054192,1.481203419,1.3211515633
SRX7054194,0.8005799435000001,1.2731895023
SRX4506284,5.5553512162,0.5642599055
SRX4506280,5.5774154057,0.4796010859
SRX4506282,5.1095582199,0.7004152770000001
SRX4506278,5.3965510302,0.7256193134000001
SRX4506274,0.08755288480000001,0.1233243931
SRX4506273,0.0252881424,0.0160262269
SRX4506271,-0.0283167585,-0.29023859620000003
SRX4506276,-0.0845242688,0.15088797610000002
SRX4506283,-2.4747679623,-0.3894331565
SRX4506279,-2.1322312352,-0.4906075093
SRX4506285,-2.4097117785,-0.4919966441
SRX4506281,-1.9826925135,-0.3445238697
SRX4506275,0.0509881286,0.1786532265
SRX4506277,0.080543528,0.049395956500000004
SRX4506272,0.12088515870000001,-0.2387011758
SRX2923393,0.113575674,-0.0411638942
SRX2923394,-0.113575674,0.0411638942
SRX2923398,9.0961350171,-0.12335923330000001
SRX2923397,11.6823264029,1.4839677555000002
SRX2923395,2.56426214,-0.5151096350000001
SRX2923396,2.7088987385000003,-0.5082894037
