,A,mprA
SRX4314261,-1.3037094026,0.2748586268
SRX4314265,-1.7275928093,-0.8542428839
SRX4314266,-1.6405140224,-0.7784491778
SRX4314264,-0.0393656301,-0.9712649283
SRX4314268,0.4319769203,-0.7274797386
SRX4314267,0.35870547140000003,-0.5521600299
SRX4314271,0.8665373046,-0.649456394
SRX4314272,0.6452593666,-0.6125648730000001
SRX4314275,1.3970031589,-0.5315252897
SRX4314274,1.0101548231,-0.5449637025
SRX4314273,1.8186819363,-0.793967635
SRX4314278,0.8896809997,-0.3368293708
SRX4314276,0.8495228174,-0.6397606271
SRX4314281,0.5770991285,-0.4833466268
SRX4314279,0.4935621645,-0.6063207061
SRX4314280,1.3625185915,-0.3379003413
SRX4314284,0.8688564318,-0.8312070387
SRX4314283,0.8964367145000001,-0.11094421730000001
SRX4314282,1.3696239548,-0.6289406332
SRX4314293,1.4950039557,-0.7860420349
SRX4314292,2.5101078298,-0.3702457168
SRX4314291,1.8438659563000002,-0.5239241304
SRX4314297,1.896506681,-0.1622894895
SRX4314298,3.450535478,0.0060772288
SRX4314299,-1.7325009689000002,-0.6698041437000001
SRX4314302,-1.2865821159,-0.2612258885
SRX4314301,4.0627676665,0.0847612219
SRX4314300,2.9965963653000003,0.0755321765
SRX4314305,1.5849977914,-0.1152668049
SRX4314304,5.688426097,0.7009870618
SRX4314303,4.0895293264,0.2885080903
SRX4314309,6.5528350458,0.6169530126
SRX4314306,5.4995738633,0.4099774311
SRX4314308,5.0439293655,-0.17906745300000002
SRX4314307,7.1073536354,0.6248967478
SRX4314311,1.9364594443,0.0733756032
SRX4314317,3.4681547275,0.3511043609
SRX4314316,6.8926082928,0.217956793
SRX4314318,5.3911260011,0.1255254954
SRX4314319,6.1797851473,0.0747598498
SRX4314331,7.9516358512,-0.1503475058
SRX4314330,7.8193705369,0.1658542687
SRX4314332,7.1971063389,0.1472034048
SRX4314335,7.9242427962,-0.15439312260000002
SRX4314334,8.3078370008,-0.2448722793
SRX4314333,8.5712682231,-0.2155903304
SRX4314338,6.6648459799,-0.29408408280000004
SRX4314336,6.7916977018,-0.3109938132
SRX4314337,6.5776294928,-0.4394120762
SRX4314339,3.3527249488,-0.5144629484000001
SRX4314340,3.5360021168999998,-0.5730896548000001
SRX4314341,3.6494382693,-0.6185487104
SRX3686762,-1.482701482,0.5655172602
SRX3686763,-1.6160414556,0.6502796145
SRX3686761,-2.0310492803,0.46768325660000004
SRX3686765,-0.3915902463,0.0444466284
SRX3686769,-1.6532594002,0.18103558050000002
SRX3686766,-1.4566085636000001,0.0771249484
SRX3686768,-1.808279535,0.0016604288
SRX3686764,-0.6980900944,0.18019578490000002
SRX3686767,-1.278295903,0.11832311770000001
SRX3686788,0.775986727,-0.0523421167
SRX3686791,0.2249014008,0.1444788787
SRX3686792,-0.4002462573,-0.0920326293
SRX3686793,0.0817959924,-0.0273167094
SRX3686790,-0.5455250345,-0.23211184580000002
SRX3686789,-0.1369128283,0.2593244225
SRX3686829,2.0084858518,0.7795984016
SRX3686830,1.9494835289,0.7614490504
SRX3686828,2.0986986759,0.6741547955
SRX3686819,-4.3753807069,0.5896399997
SRX3686818,-4.2788222931,0.5199764238
SRX3686817,-4.325727796,0.6936774587
SRX3686822,-5.7719967925999995,1.7962718423
SRX3686820,-6.1062028462,1.5682023478
SRX3686821,-5.8222658662,1.7165654788
SRX3686743,-3.1622678853,0.46627173390000004
SRX3686744,-3.2828601619,0.4902115341
SRX3686745,-3.3616000378,0.48614614980000004
SRX3686772,-1.5706763017,0.3264208717
SRX3686770,-4.2013004329,0.3036920468
SRX3686771,-2.8860931469,0.3197491456
SRX3686794,4.2420401511,0.21753264220000001
SRX3686796,1.6534691965000001,0.599569933
SRX3686751,-2.8418591953,0.1174512297
SRX3686749,-3.4372222559,0.1256199983
SRX3686750,-3.0642689509,0.2251438499
SRX3686778,-0.7291501352,0.4395774917
SRX3686777,-2.2131285998,0.4204757887
SRX3686776,-3.6216984222,0.3617942733
SRX3686800,2.9675511083,0.6022977914000001
SRX3686801,2.9124858971,0.6530452066
SRX3686755,-4.6609836638,0.4426964487
SRX3686757,-1.603978729,0.2081763241
SRX3686756,-2.8343630669,0.182206205
SRX3686784,-1.2695757895,0.2778816396
SRX3686783,-2.4467197475,0.0663899714
SRX3686782,-4.1575735498,0.1919175301
SRX3686809,2.9091623503,0.8196027918000001
SRX3686807,2.7816571697,0.6263639708000001
SRX3686808,3.0061835969,0.7088292744
SRX3686787,0.6151827744,2.3446209887
SRX3686786,0.28639930080000003,2.2335088943
SRX3686785,1.0862914921,2.119092171
SRX3686799,1.2677237058,1.6645542648
SRX3686797,1.4577850278,1.7254417764
SRX3686798,1.110147382,1.765793312
SRX3686746,-1.4816424505,1.4570490361
SRX3686748,-1.8618646965,1.4114199285
SRX3686747,-2.0447419148,1.3430634022
SRX3686773,-0.5296568121,1.5584628601000001
SRX3686774,0.2645907918,1.574497514
SRX3686775,1.5668347613,1.5914353811000002
SRX3686754,-1.4819761862,1.6663314508
SRX3686753,-1.3747309827,1.7650697103000001
SRX3686752,-1.0137619887,1.7262794146
SRX3686780,1.3239235631000001,2.0370781262
SRX3686779,0.848454284,2.0826731345
SRX3686781,1.7079092438,2.0578739413
SRX3686806,1.5436004599,1.7525399556
SRX3686805,1.86616049,1.8742834174
SRX3686758,-1.0098076857,2.1377452945
SRX3686760,-1.0638530893,2.1379164375
SRX3686759,-1.6208554525999999,2.2489714766
SRX3686810,0.9975166122,2.2191353498
SRX3686811,1.579521148,2.2671833483
SRX3686812,1.3572896817,2.1417952254
SRX3686813,-1.4868082362,0.3142003156
SRX3686815,-5.9503046607000005,2.3481813712
SRX3686816,-5.6266966476,2.3425294545
SRX3686823,-0.17824998350000001,0.3030027804
SRX3686824,0.9631912776,0.4987793554
SRX3686825,0.0588570891,2.2824902957
SRX3686827,0.0115305041,2.4397742151
SRX3686826,0.21407047340000002,2.375426468
SRX7054191,-0.1482231359,-0.0785902872
SRX7054189,-0.2621032294,0.1333275866
SRX7054190,0.4103263653,-0.0547372994
SRX7054193,0.6779774613,0.7140776203
SRX7054192,0.9761980866000001,1.0578988066
SRX7054194,0.9740959055,1.1776901849
SRX4506284,-4.270308216,-0.5135229026
SRX4506280,-4.5891511987,-0.4949558048
SRX4506282,-4.6969456539,-0.6136574156
SRX4506278,-4.7388062029,-0.6374626421
SRX4506274,0.2839349013,-0.112575853
SRX4506273,-0.0982692089,0.1502099096
SRX4506271,-0.160979814,-0.0401246218
SRX4506276,-0.0246858785,0.0024905652
SRX4506283,3.1812820167,0.721067251
SRX4506279,3.0396852631,0.7229660572000001
SRX4506285,3.05356383,0.7817268352000001
SRX4506281,3.3958048056,0.8507960443
SRX4506275,1.1526712755,0.2741074348
SRX4506277,0.8553881724,0.3315730031
SRX4506272,0.3442539215,0.38054669690000004
SRX2923393,0.0197512965,-0.1302721094
SRX2923394,-0.0197512965,0.1302721094
SRX2923398,-0.1184983267,-0.7934212597
SRX2923397,1.1445907453,-0.7045730642
SRX2923395,-17.2260680938,-0.6001524083
SRX2923396,-17.1860653792,-0.6654011078000001
SRX2923400,0.1030867719,-0.5659259356
SRX2923401,-0.134735087,-0.2114243523
SRX2923403,-14.6240598631,-0.0489543278
SRX2923402,-17.424009632,0.1467233581
SRX6853288,-1.7202672686,0.1318599339
SRX6853287,-0.5108755899,0.4025700558
SRX6853286,0.7987520816,0.1577389009
SRX6853284,0.1750951652,0.0756709522
SRX6853285,-0.7214660356,-0.05520657700000001
SRX6853283,0.5463708704,-0.0204643752
SRX4319040,-0.22541795380000001,0.0140510171
SRX4319041,0.4580346893,0.046600023500000004
SRX4319039,-0.2326167355,-0.060651040600000004
SRX4314613,5.1838086165,-0.4294826526
SRX4314614,3.1268484492,-0.7420772413000001
SRX4314615,4.4825042853,-0.6337477485
SRX4314632,1.1693292256,-1.0455899249
SRX4314631,1.2930949856,-0.5908533469
SRX4314633,1.2050227885,-0.5248410476
SRX4314622,2.8112693144,-0.8453015479
SRX4314623,3.0052835046,-0.8881230518000001
SRX4314624,3.3322769211,-0.7844416621
SRX4314611,0.3738855841,0.032654149300000004
SRX4314610,0.0778007968,-0.059864711300000005
SRX4314612,-0.4516863809,0.027210562
SRX4314630,0.6969058485,-0.2934092854
SRX4314628,-0.010613676800000001,-0.4006066871
SRX4314629,-0.015199611100000001,-0.3258870298
SRX4314619,0.5639292345,-0.5956321124
SRX4314621,0.7282134607,-0.6327644176
SRX4314620,0.4739103143,-0.5483078195000001
SRX7119390,2.3757626365,-0.0232744954
SRX7119388,-2.3757626365,0.0232744954
SRX7119386,-5.7433336466,2.3388310281
SRX7119385,-7.9131790629,1.9134645938000001
SRX7119387,-6.9742731125,2.0661237618
SRX3746749,-7.0626807027,0.08984008900000001
SRX3746748,-6.36544881,0.23948799070000001
SRX3746751,-2.6387786226000003,-0.2385324986
SRX3746750,-2.6772677006,-0.1970266141
SRX3746752,0.5402393656,0.24276334530000002
SRX3746753,1.0020806876,0.30834575940000003
SRX3746755,0.6478646181000001,-0.0054338463000000005
SRX3746754,-0.6478646181000001,0.0054338463000000005
SRX2345943,0.7259120555,-0.0979426131
SRX2345942,-0.7259120555,0.0979426131
SRX2345941,-4.5339676902,0.43453976980000003
SRX2345940,-4.0887346708,0.6804164455
SRX3992217,-2.8239673624,0.09061074050000001
SRX3992216,-4.7782973554,0.38321347650000004
SRX3992214,2.6253973016,0.3021596405
SRX3992215,4.5087434646,0.3757879524
SRX3992221,4.3402655727,0.0707100744
SRX3992220,5.0679033269,0.3730276669
SRX3992219,3.9833209183,1.8786560071
SRX3992218,3.2341575929,1.8668609741000002
SRX3992201,2.8930418766,1.9321175839
SRX3992200,4.2047103959,1.9632657591
SRX3992198,-2.2792605547,0.25726506
SRX3992199,-4.3538086674,0.3717687375
SRX3992202,-0.5446247427,0.030004895400000002
SRX3992203,0.6937869667000001,-0.042876792500000004
SRX3992204,-0.983398842,0.5993084798
SRX3992205,-0.9775051359,0.4036621045
SRX3992206,-1.4174450432,0.5416134818
SRX3992207,-1.4244487596,0.4289633653
SRX3992209,5.6858188312,2.3253317124
SRX3992208,5.2141023183,2.2227307525
SRX3992212,5.4437141379,2.44175159
SRX3992213,5.6190709216,2.2670232615
SRX3992210,-0.823882808,-0.0045746336
SRX3992211,0.823882808,0.0045746336
SRX357084,0.268183532,-0.0576813242
SRX357083,-0.268183532,0.0576813242
SRX4647134,-0.47987139840000004,0.5624728717
SRX4647137,0.5597641222,-0.0043817482000000005
SRX4647136,-0.42351469999999997,0.6318989571
SRX4647135,-0.500603447,0.5428160411
SRX4647139,0.1963995379,-0.0176871858
SRX4647141,-0.2157983511,0.026770563400000003
SRX4647140,-0.1537513761,-0.0331413315
SRX4647138,0.1731501893,0.0240579539
SRX4647128,-0.9179582685000001,-0.7955032692
SRX4647127,-1.0477157076,-0.735254419
SRX4647129,-0.5767531284,-0.8349578975
SRX4647126,-0.8486711151,-0.7692880421
SRX4647133,5.0161212671,-0.565179163
SRX4647132,6.4383284803,-0.6702592654
SRX4647131,5.9966935792000005,-0.5992812001
SRX4647130,5.5360926662,-0.7497394121000001
SRX6923924,0.7818241690000001,-0.1552116219
SRX6923925,0.9688457016,-0.1935557996
SRX6923923,3.1157298567,-0.2047241082
SRX6923922,3.4155785982999998,-0.706433241
SRX6923939,0.268561353,0.0126772641
SRX6923938,-0.268561353,-0.0126772641
SRX6923936,1.2437457483,-0.1017758279
SRX6923937,0.9391888941000001,0.0386938676
SRX5509428,0.8042946161000001,0.025718950600000002
SRX5509427,-0.8042946161000001,-0.025718950600000002
SRX1882560,6.1705327585,-0.8002027784
SRX1882558,5.5317696049,-0.8363201574
SRX1882559,5.8685890311,-0.8026040523
