,A,sigD
SRX4505478,0.7617020961000001,0.1479138617
SRX4505474,-0.8691062256000001,-0.0312878781
SRX4505483,-1.8692250330000002,0.5481706854
SRX4505485,-3.9369215252,0.5083654743
SRX4505487,-2.8347061913,0.4739608085
SRX4505488,-0.9503869961,0.6093440555
SRX4505481,-2.4226857162,0.4546159999
SRX4505477,-0.9756058749000001,0.4858929155
SRX4505475,1.8117665622999999,0.5998502058
SRX4505479,-3.4551021761,0.4867993868
SRX4605773,-0.08620841530000001,-0.0591335148
SRX4605774,0.5021742682,0.0556145529
SRX4605772,-0.20139061260000002,-0.1084728388
SRX4605771,0.20139061260000002,0.1084728388
SRX5178871,-0.9981043561,0.43105883500000003
SRX5178872,0.5695090206,0.0995687388
SRX5178868,-0.11197394490000001,0.0970675927
SRX5178870,0.32448639900000004,-0.0177601012
SRX5178869,-0.2125124542,-0.07930749150000001
ERX1404045,1.31333592,-0.027333064
ERX1404046,-1.31333592,0.027333064
ERX1404043,-0.0409237737,0.6671573647
ERX1404044,-3.0853365377,0.3292024203
ERX237502,-2.9597611361,-0.7680858359
ERX237505,3.0333426702,-0.18321862660000002
ERX237506,1.7177334495,-0.4203907508
ERX237500,-0.6424051988,0.5564614889
ERX237497,1.3681310425,0.44541341370000004
ERX237499,1.9044790272,0.9334210359
ERX237507,-0.33435630450000003,0.0620827159
ERX237496,0.32478236580000003,0.2054677165
ERX237504,0.0095739388,-0.2675504324
ERX3772318,-0.2395412738,0.17358189000000002
ERX3772320,-0.1167507462,0.22532473300000003
ERX3772319,1.4257958559000001,0.1610911412
ERX3772321,-2.5982906131,0.020480423
ERX3772322,0.579998054,-0.0326795332
ERX3772323,2.0182925591,0.0121991102
SRX4314262,-1.023498232,-0.1054841391
SRX4314263,0.3085924667,-0.1369721522
SRX4314261,0.7149057653,0.24245629130000002
SRX4314265,-1.6314064035,0.2649206168
SRX4314266,-3.5301484564,0.5361703965
SRX4314264,-0.0860272958,0.0711637151
SRX4314268,-14.4458800168,0.6217925439
SRX4314267,-6.4268397927,0.8775784559
SRX4314271,1.5370280931,0.9198343386000001
SRX4314272,1.7826079113,1.0071224363
SRX4314275,-7.0484324334,0.8449963874
SRX4314274,-1.2349440047,0.7659251563
SRX4314273,-0.1370352473,0.7969073905
SRX4314278,3.3015042206,0.9746968244
SRX4314276,-9.7959354056,0.6122999975
SRX4314281,2.008571614,0.9954436041
SRX4314279,5.3294139928,1.0233919408
SRX4314280,2.5505527587,0.9017135131
SRX4314284,-5.5433979087,0.928234357
SRX4314283,-3.9787021135,0.9640615408000001
SRX4314282,-1.9995805648,0.7753586993
SRX4314293,4.9985972522,0.5420212922000001
SRX4314292,-4.5848574098,1.1964707128
SRX4314291,-1.2977186011000001,0.9786119413000001
SRX4314297,7.6089770877,1.9440914175000001
SRX4314298,4.6468736041,1.7780324604
SRX4314299,4.2166229291,1.8975268866000001
SRX4314302,8.3774836768,2.1862744956
SRX4314301,8.0488933266,1.8074968541
SRX4314300,-3.3612158628,2.1026382928
SRX4314305,8.4738766415,2.3172115784000002
SRX4314304,3.352442707,2.1561782586
SRX4314303,8.7910697758,2.3325166531
SRX4314309,4.848958845,1.7219651458
SRX4314306,3.6730312338,1.6599683859
SRX4314308,2.1880382647,1.4181263305
SRX4314307,2.5414352241,1.6039482513999999
SRX4314311,7.7709112711,2.0447820171
SRX4314317,9.1702627733,0.4849891807
SRX4314316,3.9667618588,0.16382665300000002
SRX4314318,5.8863906215,0.2549701914
SRX4314319,6.1722212603,-0.14520182980000002
SRX4314331,0.3420235636,-0.018538811000000002
SRX4314330,1.3984516423,0.2912988205
SRX4314332,1.069671015,0.7469578455
SRX4314335,4.0315887598,0.41697591850000004
SRX4314334,1.7156245985,-0.4528093078
SRX4314333,1.1715447535,-0.0344645694
SRX4314338,2.2559778801,0.0985450585
SRX4314336,4.3402321676,-0.11936393240000001
SRX4314337,2.5705013625,-0.37937559790000003
SRX4314339,1.7599744935000001,-1.3504606096
SRX4314340,-2.0813313076,-1.5518211395
SRX4314341,5.7504852419,-1.0931556433
SRX3686762,3.3983030717,-0.039926045800000004
SRX3686763,3.4266508196,-0.14734574420000002
SRX3686761,2.6589285149,0.0487998206
SRX3686765,1.8852993123,-0.09598450780000001
SRX3686769,-0.0989924341,-0.1019204976
