,A,sigD
SRX4498311,4.4359086668,0.4725319639
SRX4498315,3.7970680568,0.5838687731000001
SRX4498309,-0.5256555699000001,0.38183626670000004
SRX4498313,2.7164268946,0.4320279205
SRX4615568,-0.24109624710000002,0.2403660611
SRX4615570,0.24109624710000002,-0.2403660611
SRX727246,2.9520800293000002,1.3577648658
SRX727243,4.5237215041,1.4429718728
SRX727247,10.8180149271,1.1065202281
SRX727244,12.9229427325,1.2488135832
SRX727245,14.923839187,0.44475449720000004
SRX727248,13.6471281253,0.3414659559
SRX727249,1.5543829233,0.0056615515000000005
SRX727251,-1.808086456,0.0246535388
SRX727250,0.2537035328,-0.0303150903
SRX4498332,3.6846978816,0.0657068906
SRX4498334,6.7264987865,0.1275797034
SRX4498335,4.5856019284,-0.1139427353
SRX4498337,6.87563792,-0.228022778
SRX4498324,-0.32173513400000003,0.0604005856
SRX4498326,-0.1826737897,0.0022070233
SRX4498328,-0.27972983960000003,-0.11304805400000001
SRX4498330,0.7841387633,0.0504404451
SRX4498336,4.115001494,-0.1529060415
SRX4498333,5.1533414127,-0.0247387212
SRX4498338,6.3992788823,-0.3026106085
SRX4498329,6.2583911492,-0.31146092270000003
SRX4498325,9.6193089277,-0.3342029509
SRX4498327,4.9537919405,0.004426533
SRX4498331,4.9826267307,-0.31434420890000003
