,A,virS
SRX4647146,-0.9445813903,-0.3087682416
SRX4647147,-0.9571493480000001,-0.0327293444
SRX4647144,-0.1488280277,-0.034268009700000004
SRX4647143,-0.050607991000000005,0.1905266371
SRX4647142,0.1994360187,-0.15625862740000002
SRX4647155,-4.1704388701,0.3685160138
SRX4647152,-4.1624707399,0.4273647707
SRX4647153,-3.9126597603,0.5132348965
SRX4647154,-4.5150544173,0.29559923720000003
SRX4647148,-4.0355978951,0.2076090257
SRX4647149,-3.6732195466,-0.057247488900000004
SRX4647151,-3.8625234989,0.3117314955
SRX4647150,-3.6587393105,0.039755971
SRX4647123,-0.0133690261,0.0737272156
SRX4647124,-0.1112764317,0.0938053132
SRX4647125,0.1246454578,-0.1675325288
SRX3103185,-3.0172078422,-0.0041113967000000005
SRX3103189,-1.8858402435000001,0.0254848214
SRX3103187,0.7564272207,-0.5886020199
SRX3103184,-1.7346356228,0.1124140545
SRX3103188,-0.3859985629,0.0990794826
SRX3103186,2.1206341858,-0.21149353710000002
SRX1372110,0.0120977587,-0.7306687028000001
SRX1372111,-0.43082037240000004,-0.3205630122
SRX1372108,0.667645795,-0.3171433402
SRX1372109,-0.667645795,0.3171433402
SRX4506085,-0.6384794948,0.0345265751
SRX4506083,-0.3234244461,0.1026380071
SRX4506089,-0.9677211085,0.21029624460000002
SRX4506087,-0.6337065832000001,0.2483731939
SRX4506077,0.09946304880000001,-0.037817338900000004
SRX4506079,0.010809524400000001,0.263373782
SRX4506075,0.1220220701,-0.3680641801
SRX4506081,-0.23229464330000002,0.14250773690000001
SRX4506084,-4.5228864725,1.08149626
SRX4506086,-4.9797683663,0.5904480033
SRX4506088,-4.8683100644,0.4306579384
SRX4506090,-4.2034182496,0.6228018550000001
SRX4506078,-4.9782480979,0.8325920228
SRX4506080,-4.7799879052000005,0.8772338865
SRX4506082,-4.7451944566,0.8544262747
SRX4506076,-5.4885935419,1.1255569572
SRX5352221,1.7915706585,-0.5344516982
SRX5352223,2.4074519341,-0.6074843726
SRX5352222,1.5205510267,-0.3113074107
SRX5352229,-7.6124453224,1.0753410223
SRX5352227,-7.9856273134,1.1287976420999999
SRX5352228,-7.8151208285,1.1099677829
SRX5352231,0.6064377350000001,-1.645419264
SRX5352232,0.7947527383,-1.9209512287
SRX5352230,1.2748894978,-1.2796551895000001
SRX5352225,1.2912141539,-0.9700771545
SRX5352224,1.3910326989000001,-0.7806222118
SRX5352226,2.8458921803,-1.0555294175
SRX5352220,0.4902444301,-0.1026814269
SRX5352219,-0.5625298975,-0.0232435337
SRX5352218,0.0722854675,0.1259249606
SRX4498228,0.1208409339,-0.2108547031
SRX4498224,0.0912517473,-0.5052535869
SRX4498230,-0.24083642160000002,-0.677113898
SRX4498226,0.2948670161,-0.29342943450000003
SRX4498218,-0.1820815505,-0.2416452289
SRX4498216,0.3227362686,0.0963270556
SRX4498220,0.0126606123,0.259291865
SRX4498222,-0.1533153305,-0.1139736917
SRX4498225,-1.491814688,-0.4023520822
SRX4498227,-1.4401718177,0.0311649139
SRX4498231,-1.8803664757,-1.0191773261
SRX4498229,-1.9941142262,-0.2257540522
SRX4498217,-1.2131914463,0.0151006521
SRX4498221,-1.6486542116,-0.72745258
SRX4498219,-1.1785742733,-0.42376584980000004
SRX4498223,-1.694044242,0.0650596542
SRX5079928,-2.255060416,-1.0086505534
SRX5079930,-1.9999939025,-1.0094701464
