,A,virS
SRX4498312,-0.07616437940000001,0.030962534400000002
SRX4498308,-0.10003681860000001,0.0089983144
SRX4498314,0.28082248930000003,-0.00929905
SRX4498310,-0.10462129120000001,-0.0306617987
SRX4498319,-3.1230266942,1.0865828087
SRX4498317,-2.2029026835,1.0611661513
SRX4498311,-1.7928604203,0.06777173140000001
SRX4498315,-1.5690133497,0.2133544434
SRX4498309,-1.5884113374000002,-0.0080475644
SRX4498313,-1.7744863998,0.18115638080000002
SRX4615568,0.0080652164,0.1087521379
SRX4615570,-0.0080652164,-0.1087521379
SRX727246,-4.9145513443,1.4722230581
SRX727243,-5.0739502758,1.4364594224
SRX727247,-4.0682058433,1.2543595455
SRX727244,-5.3970842337,1.1606938173999999
SRX727245,-4.5826858102,0.7346363591
SRX727248,-3.4902519098,0.3608359634
SRX727249,0.22903971650000002,0.1196418333
SRX727251,0.00030985130000000003,0.0729624427
SRX727250,-0.22934956780000001,-0.19260427600000002
SRX4498332,-0.4254198068,-0.25267706500000003
SRX4498334,0.4638111318,-0.673763568
SRX4498335,0.7937821333,-0.3613611143
SRX4498337,0.9300205564,-0.7472067704
SRX4498324,0.031661598,0.25857837910000003
SRX4498326,-0.0628607994,-0.0469359049
SRX4498328,0.033040236,0.257959826
SRX4498330,-0.0018410346,-0.46960230020000004
SRX4498336,-0.0417571156,-0.145983404
SRX4498333,0.1789092615,0.1483940503
SRX4498338,0.1259842823,-0.5606077396
SRX4498329,-0.5042864133,-0.1445439132
SRX4498325,-0.3928438754,-0.3583476532
SRX4498327,-0.6475779453,0.08437921400000001
SRX4498331,-0.3660454024,-0.4301420292
