,A,trcR,whiB4,Rv1776c
SRX3686747,5.4472180077,1.1053437746,-0.1802614042,-0.36706144820000003
SRX3686773,5.6167489974,1.6173163818,-0.08292283040000001,-0.23215738760000001
SRX3686774,5.375916588,1.8423092114,-0.1921773467,-0.3796040725
SRX3686775,5.951723199,1.7010840497,-0.3101844965,-0.3944591234
SRX3686754,5.8407015371,1.1107472760000001,-0.40839920160000004,0.069221007
SRX3686753,6.0477018773,1.0761855872,-0.5018389917,0.1068511272
SRX3686752,5.3463793738,0.8776893338,-0.5320153486,-0.5292027437
SRX3686780,6.1803246182,1.3207457062,-0.7655924733,-0.06439042860000001
SRX3686779,6.4915587551,1.5950465214,-0.5107310812,-0.3980324052
SRX3686781,6.8807694016,1.2371918838,-0.6994789594,-0.4405236944
SRX3686806,6.3073965075,1.0963778355,-1.0478436946,-0.0948440507
SRX3686805,6.2194501974,1.0523597331,-0.8791967713000001,-0.1791948937
SRX3686758,5.7715855773,0.42225255710000004,-0.7320489648,0.1158545088
SRX3686760,5.3748743066,0.4431471174,-0.740280994,0.1274386701
SRX3686759,5.6578075516,0.3834328173,-0.7058704211,-0.075905399
SRX3686810,6.4135348086,0.5411672833,-0.9209895220000001,0.0741713974
SRX3686811,6.5618635049,0.7394147912,-1.0148459425,-0.1149628437
SRX3686812,6.41474196,0.6526497772000001,-1.0751907994,-0.1351032311
SRX3686813,4.0781850145,0.8186548635,-0.0090802301,-0.30016393620000004
SRX3686815,8.862033565499999,0.0959713224,-1.1132535493,0.40838868180000004
SRX3686816,8.9036852713,0.2179046765,-1.0961371668,0.3888512615
SRX3686823,3.8926872915,0.7451760561,-0.0202049933,-0.107644101
SRX3686824,5.0539790812,0.6843896546,0.07751158600000001,-0.1978641144
SRX3686825,7.290571082,0.7161103995,-0.654298492,0.4355739174
SRX3686827,7.9282155538,0.4896845624,-0.6021311303,0.7150048892
SRX3686826,7.8150598595,0.33415117710000003,-0.4964782726,0.5079360996
SRX7054191,-0.0555671634,-0.12606161800000001,-0.0118836101,-0.0435324932
SRX7054189,0.14178796330000001,0.1030256264,-0.0943186531,0.2201727225
SRX7054190,-0.0862207998,0.023035991500000002,0.10620226320000001,-0.1766402293
SRX7054193,1.4193628431,-0.3633419645,0.0041208193,0.23963843380000002
SRX7054192,2.282633578,-0.2753802374,-0.116000084,0.2793422136
SRX7054194,2.6781641205,-0.380716777,0.1465339168,0.41239022280000004
SRX4506284,7.6709253142,-0.9638639962000001,0.4012559103,-0.6295397412
SRX4506280,7.5705189327,-0.5025999551,0.5443184627000001,-0.7420443280000001
SRX4506282,7.782078525,-0.5197749664,0.6293675235,-0.3855685996
SRX4506278,7.553034552,-0.6255891353,0.5466591093000001,-0.8260016261
SRX4506274,0.0345088384,-0.0064762086,-0.1576649091,-0.0973975358
SRX4506273,0.1200618418,0.0055380719,0.0464030489,0.010152796300000001
SRX4506271,0.2617870523,0.11463204760000001,0.0567004912,-0.0578980849
SRX4506276,-0.4163577325,-0.11369391100000001,0.054561369000000005,0.1451428244
SRX4506283,2.9323471745000003,0.0412273821,0.37918309720000004,-0.43809917400000004
SRX4506279,2.5422604692,0.0255011687,0.3893255232,-0.36159687220000003
SRX4506285,2.7625350192,-0.13135970700000002,0.3519140754,-0.5132005234
SRX4506281,2.7749496286,0.0052157349,0.29227936520000003,-0.3946401869
SRX4506275,2.1282629396,-0.6313871317,-0.0446195647,0.1806533116
SRX4506277,1.7279327918,-0.4290593319,-0.236091558,0.1946323928
SRX4506272,2.379740043,-0.5431834389,-0.0144775122,0.18889407300000002
SRX2923393,-0.31106598950000003,-0.1378518708,0.1209805548,-0.016836992000000002
SRX2923394,0.31106598950000003,0.1378518708,-0.1209805548,0.016836992000000002
SRX2923398,-2.824491437,-0.2626202284,2.9839660519,1.5852298956
SRX2923397,-1.790992088,-0.5013503718,2.6209357877,1.5664205174
SRX2923395,5.627369106,-3.0868636197,1.5668710907999999,2.9926371777
SRX2923396,5.8680733147,-2.8572921792,1.3752248065,2.8526111593
SRX2923400,2.5741849754,-0.6598661286,-1.0485079829,-1.0407628507
SRX2923401,4.0300310761,-0.6825989104,-1.3851122688,-0.44968067440000004
SRX2923403,4.127272275,-1.4736588996,-0.433578018,0.4585668913
SRX2923402,7.7982189184,-2.2419942627,-0.8102553663000001,0.11418675310000001
SRX6853288,-2.231514094,-0.0068777633,0.0075569459000000005,-0.3745687451
SRX6853287,-0.5486127948,-0.140241093,-0.1440318153,-0.0578831221
SRX6853286,-0.1340696577,-0.1199163126,-0.006703760600000001,-0.41139291180000004
SRX6853284,0.42313229500000005,-0.0422023894,-0.09548995390000001,0.0064748735000000005
SRX6853285,-1.1905444797,0.181875314,0.0240988141,-0.1277729822
SRX6853283,0.7674121846,-0.13967292450000002,0.0713911398,0.1212981088
SRX4319040,-0.0179121539,0.0213956998,-0.0872582632,0.1775825658
SRX4319041,0.0799374946,-0.2525611646,-0.015282859800000001,-0.22097595
SRX4319039,-0.0620253407,0.2311654648,0.10254112300000001,0.0433933842
SRX4314613,5.6291807784,-0.8017976267,-0.6528237022000001,-1.5023959399
SRX4314614,1.4759178327,-0.6002544032,0.0680301661,-0.5682153749000001
SRX4314615,5.2316636067,-0.7687916728,-0.6894202412,-0.7340184505
SRX4314632,2.1868358482,1.484670481,-0.5775449526,0.20032862610000002
SRX4314631,1.6822301731,1.5697641585,-0.6596816600000001,-0.1774001214
SRX4314633,1.859711688,1.3985842478000001,-0.8007551983000001,0.32244656200000005
SRX4314622,4.4027624032,0.061622794800000005,-0.8182227555,-0.2928729975
SRX4314623,4.6258692532,0.28287179160000003,-0.8791653382,-1.3550318694999999
SRX4314624,4.890125328,-0.1814847971,-0.9032809246,-0.27730115450000004
SRX4314611,-0.1783693614,-0.0830325273,-0.1510051734,-0.17993496050000002
SRX4314610,0.020970509800000002,-0.053488060000000004,-0.0020174518000000002,0.1673779725
SRX4314612,0.1573988516,0.1365205873,0.1530226252,0.012556988000000002
SRX4314630,0.8102161601000001,-0.3338103143,-0.3852289109,0.4798917159
SRX4314628,0.6616387224,0.1499697077,-0.2673512263,0.7443136437
SRX4314629,0.7088758794000001,-0.059782600500000005,-0.4571330322,0.8785201976
SRX4314619,-0.0470766061,-0.36070091930000003,0.21910462,0.0918672036
SRX4314621,-0.0042282966000000005,-0.47282528300000004,0.2290444223,0.1175365042
SRX4314620,-0.11018479190000001,-0.4600410333,0.0200289992,0.1268790947
SRX7119390,-0.0808074498,-0.4160325392,0.1423062529,-0.0916231742
SRX7119388,0.0808074498,0.4160325392,-0.1423062529,0.0916231742
SRX7119386,3.428906207,0.45064983940000003,-1.1546291323,0.6463286367000001
SRX7119385,2.4098381371,0.0165609326,-1.0031527422,0.24761295290000002
SRX7119387,2.5999412703,0.4275428343,-0.9118754830000001,0.1590123186
SRX3746749,-1.2363346648,-0.8067674788,-1.1281040632,-0.0084343862
SRX3746748,-1.2234291064,-0.35608306430000003,-0.6831360421,0.08297598760000001
SRX3746751,0.8335932602,1.1868525768,0.013411866000000001,-0.8745594998
SRX3746750,0.5135504859,0.8319674449000001,0.1331694131,-0.1486128581
SRX3746752,1.423382755,-0.0178275878,0.2011719502,0.09108098810000001
SRX3746753,1.8016168204,0.5501858384,0.2601917391,-0.6959991872
SRX3746755,-0.3396475174,0.1357408503,0.1943846186,0.1467422024
SRX3746754,0.3396475174,-0.1357408503,-0.1943846186,-0.1467422024
SRX2345943,0.37186249920000003,-0.107187848,-0.1185710647,-0.16756167230000002
SRX2345942,-0.37186249920000003,0.107187848,0.1185710647,0.16756167230000002
SRX2345941,6.1268574379,0.0702812663,-0.23536231870000002,0.5715597529
SRX2345940,7.1171965649,-0.39822780080000003,-0.7107054726,-0.1116858699
SRX3992217,0.5778970742,0.5258925481,0.17620680060000002,0.194813392
SRX3992216,0.1376329986,0.2814902729,-0.2484940054,0.49268712480000004
SRX3992214,16.2196375453,1.5411482923,1.5928004225999999,-1.7524133068
SRX3992215,14.180397145,1.675784149,1.5989205357,-1.7473339376
SRX3992221,13.2952132398,1.7656199210999999,1.6333478049,-1.585731285
SRX3992220,16.1307409771,1.3780432612,1.5495745053999999,-1.9815158603
SRX3992219,6.2787911731,-0.1283708754,1.8229714193,1.0547788164
SRX3992218,7.3747147852,-0.0763592503,1.7284092517,0.9421271533000001
SRX3992201,7.1977351707,-0.0443998409,1.7000039034,0.9907465593
SRX3992200,6.4278296706999996,-0.28027461130000003,1.7452878553,1.0713258122
SRX3992198,0.3381496351,0.5991405469000001,0.0455817024,0.0301668797
SRX3992199,0.4130664576,0.3364841867,-0.2578106337,0.6247421871000001
SRX3992202,-0.08125445910000001,0.0873836827,-0.1292127213,0.0926178758
SRX3992203,0.2241171059,0.5539336082,0.16655562710000002,-0.3097753285
SRX3992204,19.0550904227,1.756942985,1.7442541493000001,-1.7320516309
SRX3992205,15.5017586489,2.336404383,1.5791195581,-1.5145576917999999
SRX3992206,18.9795321462,1.753881833,1.7848655849,-2.0440236225
SRX3992207,15.6330419649,2.1826202337,1.4649792272,-1.4596182772000001
SRX3992209,8.0517771022,-0.5507063976000001,1.429443188,0.9316472679000001
SRX3992208,8.4881299961,-0.5377722049,1.6880779657,0.9492151946
SRX3992212,9.2459632866,-0.29297384390000003,1.3728024174,0.7891093048000001
SRX3992213,8.2542638035,-0.1654054753,1.5403771871,0.8669749646
SRX3992210,0.014717076,-0.1866631309,-0.1667863422,0.2688071969
SRX3992211,-0.014717076,0.1866631309,0.1667863422,-0.2688071969
SRX357084,-0.0085408589,0.0767479294,0.058143042400000004,-0.016116194400000002
SRX357083,0.0085408589,-0.0767479294,-0.058143042400000004,0.016116194400000002
SRX4647134,3.797044475,-0.5169742918,-0.6455556078,0.2788807317
SRX4647137,-0.3973343037,-0.1594402899,-0.1392930897,-0.1678514757
SRX4647136,3.9051551979,-0.2016002774,-0.5200348043,0.11330640680000001
SRX4647135,3.9348121,-0.48295289140000003,-0.5543400281,0.2630967994
SRX4647139,-0.0075763767,-0.0623937285,-0.0837026881,0.0678642475
SRX4647141,-0.252909374,0.0016639628,0.0435601288,0.10243765040000001
SRX4647140,0.2717901884,0.0581433622,0.08699936450000001,-0.10415622890000001
SRX4647138,-0.0113044378,0.0025864035000000003,-0.0468568053,-0.066145669
SRX4647128,2.5226231381,-0.2043106472,-0.3560810914,0.24232571300000003
SRX4647127,2.5862787217000003,-0.2498509596,-0.2913206356,0.1152955481
SRX4647129,1.9811362172,-0.1893477985,-0.4179370596,0.2064084901
SRX4647126,2.5577891018,-0.2133585371,-0.2300582032,0.194727062
SRX4647133,-1.0401806845,-0.0386952449,-0.0327187804,-0.8055627867
SRX4647132,-1.1509846799,-0.29581443420000003,-0.0715555717,-0.512157657
SRX4647131,-1.443583427,-0.2300316239,-0.0665367223,-0.6163160377
SRX4647130,-1.7335852055,0.12540541,0.0699628898,-0.9922456244000001
SRX6923924,-0.7523226336000001,-0.6362530531,0.3024324521,0.0803194794
SRX6923925,-0.7844509487,-1.043578148,0.42602726290000004,-0.45403159130000004
SRX6923923,-20.0655969369,-0.4807406743,-1.8514935495,0.78659634
SRX6923922,-21.1917231795,-0.32995014640000003,-0.8967265815000001,-0.35234361340000003
SRX6923939,0.004651357300000001,-0.031376171200000004,0.14209848220000001,0.1292883663
SRX6923938,-0.004651357300000001,0.031376171200000004,-0.14209848220000001,-0.1292883663
SRX6923936,-19.7316181819,0.2670499617,-0.815363218,0.061770427100000004
SRX6923937,-19.3597802775,0.3985433551,-1.1880769507,0.0690477411
SRX5509428,0.0810448958,-0.0537422051,0.0891810459,0.0113381586
SRX5509427,-0.0810448958,0.0537422051,-0.0891810459,-0.0113381586
SRX1882560,5.8214840678,-0.4269541284,-0.6947648217,-2.1666638208
SRX1882558,6.0099035268,-0.5020253062,-0.6542913184,-1.8233495502000001
SRX1882559,5.6936289213,-0.5213795533,-0.6508008203,-2.0221272423
SRX1882561,5.6232225146,0.0053555692,-1.1184603611,-2.2143965268
SRX1882563,5.6227157863,-0.0196425015,-1.0045960853,-2.1878487191
SRX1882562,5.5455831789,0.0153878667,-0.9656957314000001,-1.9573023356
SRX1882565,5.1479696138,0.9306973731,-1.0031484175,-2.2519531935
SRX1882566,5.2295474827,1.1129212339,-1.0959527367,-2.2517847086
SRX1882564,5.2015241322,0.9010969927,-1.1315883881,-2.2114873434
SRX1882568,4.244406409,1.414204508,-1.1832545485,-1.8089939495
SRX1882567,4.3550573826,1.3365262883,-0.8740395267000001,-2.0673943778
SRX1882569,4.3626802822,1.3179251168000001,-1.0259525721,-2.0303073098
SRX1882555,-0.0256162724,0.0664940266,-0.0508391863,0.017908988
SRX1882557,0.0237753725,0.1647507521,0.0396761857,-0.0620865299
SRX1882556,0.0018408999,-0.23124477870000001,0.0111630006,0.0441775419
SRX5088615,-4.3884947243,1.8690216985,-0.3760794591,0.4056534175
SRX5088616,-2.7621683532,2.0633422337,0.2090908676,0.5637569866000001
SRX6845150,1.6284946445,0.2972133242,0.9560882684,2.0959880147
SRX6845149,6.6137618618000005,1.1337725814,0.9016776294000001,2.3442436648
SRX6845151,5.3587856354,-0.41457990380000004,-0.5423759987,-0.3526274132
SRX6845152,-0.6424066633000001,-1.234972032,-0.8679481922000001,0.20540960830000002
SRX6845145,5.3969167227,0.7191650115,1.3908712265,1.8185059397
SRX6845146,6.0374384159,0.8097768513,1.1798094766,1.7862861275
SRX6845142,-2.8400327809,-0.6176486962000001,0.8866107710000001,-0.2043258959
SRX6845141,-1.9231616902000002,-0.5229567528,0.9969102618000001,-1.3526198559
SRX6845144,-0.0700407952,0.0245831499,0.0603464467,0.0393799172
SRX6845143,0.0700407952,-0.0245831499,-0.0603464467,-0.0393799172
SRX5605051,-0.0121793688,-0.0353305732,0.0794976646,-0.0227992898
SRX5605045,0.0121793688,0.0353305732,-0.0794976646,0.0227992898
SRX5605060,-0.9570662941,0.20931731520000002,-0.4909002167,-0.26095628660000003
SRX5605059,-0.7708877302,-0.2080782398,-0.424735697,-0.4761787179
SRX2382017,0.2981879328,-0.1091632434,0.1097478702,-0.1409936382
SRX2382024,-0.2981879328,0.1091632434,-0.1097478702,0.1409936382
SRX2382027,-1.9113027194,-0.29879733540000003,-0.597780178,-1.1586409359
SRX2382029,-1.8978619603,-0.37888016,-0.6840993390000001,-1.101632472
SRX2382217,-3.5090079274,-0.9174397951000001,-0.696060121,-1.1194599263
SRX2382023,-3.1607421892,-0.62405259,-0.5213000824,-0.9559836296
SRX2382218,0.3016067777,0.0245347715,-0.08669760700000001,0.0674240842
SRX2382219,1.1453925013,0.2383985107,0.0502604852,0.187859894
SRX2382213,-0.8158119244,-0.48314991360000004,-0.3649518249,-1.2649184011
SRX2382019,-3.0875518894,-0.7760002503000001,-0.7419699666,-0.8867098956
SRX2382214,2.2498248787,0.2930663,0.1001699674,0.45555289720000003
SRX2382215,2.3272404616,0.14320104590000002,0.0572813743,-0.0221390048
SRX2382020,2.1774523095,-0.2963153166,0.1398662903,0.8738691857
SRX2382216,3.7924788405000003,0.13413236650000002,0.1616712324,0.8488165972
SRX2382022,1.0145530939,0.057568832800000004,0.48072056690000003,0.1716761598
SRX2382033,1.2005276959,-0.2613296157,0.3004824231,-0.6066500271
SRX2382220,8.7249379904,-1.2580678446,-1.8314547722999999,0.3735496202
SRX2382222,7.7126751644,-1.2402895711,-1.6284128192,0.5359182822
SRX2382030,9.5888180853,-0.3721182334,-0.7921907709,1.3683664959000001
SRX4506350,0.2429526233,0.2538999827,-0.1010733676,0.09125624930000001
SRX4506352,0.4165804086,0.217690094,0.0839458485,0.020065302
SRX4506354,0.0892043836,0.1495730837,-0.0627183452,0.1583781823
SRX4506348,-0.0733963495,0.0395738083,-0.0461082871,-0.0709820127
SRX4506346,-0.0471655152,-0.0028696145,0.053492343000000005,0.049672932600000004
SRX4506344,0.1205618648,-0.0367041938,-0.0073840559,0.02130908
SRX4506351,-1.9021690191,0.2467737659,0.5567677043,-0.11004793040000001
SRX4506353,-1.7744852184000002,0.2629083614,0.6579426868,-0.0802480699
SRX4506355,-1.3756182653,0.3000288634,0.5837301998000001,-0.057847118600000004
SRX4506349,-0.6808078975,0.4488372305,0.28009529780000003,0.1193048963
SRX4506345,-0.8581498273,0.4873111438,0.3447215936,0.0423328672
SRX4506347,-1.0311761088,0.3777473561,0.2031560362,-0.095896778
SRX4514122,-0.9932098508,-0.2174735385,0.2504136564,0.16247142350000002
SRX4514124,-1.0358281186,0.36314216850000003,0.0610109426,0.0095871255
SRX4514126,-1.1128500403000001,0.4257979277,0.0267658541,-0.0013271822
SRX4514120,-0.9966599328,-0.08506588970000001,0.32570430570000003,0.0094451199
SRX4514112,-0.0735743586,-0.1094226107,0.0117265333,0.13051296810000002
SRX4514116,0.5610756719000001,0.1888201572,0.0860353034,-0.030096636700000002
SRX4514118,0.6323615216,0.2660951988,-0.0325854474,-0.1869835646
SRX4514114,-1.119862835,-0.3454927453,-0.0651763893,0.08656723320000001
SRX4514121,-0.8743599774,-0.1057553425,0.3306139132,-0.10242436790000001
SRX4514125,-1.3528463765,0.3465990749,0.0214118562,-0.12645974670000001
SRX4514127,-1.1198603878,0.4230303445,0.2026196632,-0.022414270700000002
SRX4514123,-1.293018481,-0.27039847910000003,0.2215873234,-0.022345471800000002
SRX4514115,-0.528727464,-0.1599338652,0.08288130760000001,-0.0387534184
SRX4514117,0.45930455130000003,0.30531390480000004,0.0920589599,-0.1325740907
SRX4514113,-0.9636711599000001,-0.0784958986,0.0662544179,-0.12032934420000001
SRX4514119,0.7394504931,0.2820096098,0.11138009800000001,0.0364965952
SRX958308,2.5843866702,0.4321038099,0.07117078460000001,0.41514176340000003
SRX958306,4.0728129375,0.8462136371000001,-0.0519953821,0.09127048980000001
SRX958307,3.5133401929,1.0764116743,0.24354113670000002,1.1547892244
SRX958313,-1.0259900426,0.1539979049,-0.2980309826,0.0179283116
SRX958312,-0.031160717600000002,-0.0654993322,0.2036348351,0.39564191
SRX958314,1.0571507601,-0.0884985727,0.0943961475,-0.4135702216
SRX958320,-3.8006560931999998,-0.20908008,0.3594548645,0.45066804330000004
SRX958318,-4.5355895421,-0.6843685056000001,0.5679372714,0.24547845580000002
SRX958319,-4.6015385233,0.27664916300000003,0.6186545077,0.6111098252
SRX958323,-13.290190226,-0.8467687902000001,0.7581424131000001,1.8056664069
SRX958322,-11.7838511305,-0.7515350103,0.7043952859,1.5981079886
SRX958321,-11.8423561537,-0.6398358754,0.7925828464,1.715474417
SRX958310,-3.2108017692,0.9185190534000001,-0.20347642370000002,0.4886596005
SRX958309,-2.8801826867,0.9370575879,0.2317319333,-0.2055923087
SRX958311,-2.2435322154,0.4828537483,-0.3366532129,0.1923818968
SRX958317,-5.6131463534,1.4036426685,-0.4095956261,0.9838779945
SRX958315,-5.4891107529,1.5416856813000002,-0.120898712,0.954616502
SRX958316,-6.0351513881,1.371900922,-0.1597832454,1.19994382
SRX958324,-6.0480290042,-0.0620212013,-0.2289935377,1.2516400583
SRX958325,-6.0652073380000004,0.27708825330000003,-0.5998645915,1.0271991263
SRX4498322,0.3015247826,0.2474274437,-0.0231405474,0.053714734800000004
SRX4498318,0.7763719966,0.3339165555,0.1104269636,0.36677316520000003
SRX4498320,0.2433032846,-0.0886027244,0.051914067800000005,-0.25799151470000004
SRX4498316,0.379925893,0.052735970300000004,-0.036800316300000004,0.213129854
SRX4498312,0.13888246340000002,0.1316679486,0.09033109980000001,0.0108030975
SRX4498308,0.1026632283,-0.0715636856,-0.1174246635,-0.0383694939
SRX4498314,-0.23863580620000002,-0.1592753025,-0.0348898253,0.1078827054
SRX4498310,-0.0029098855000000002,0.09917103940000001,0.06198338900000001,-0.080316309
SRX4498319,5.292972205,0.34687673680000003,1.4798274218,-1.0524701748
SRX4498317,5.8125249285,0.2721877084,1.5079558879000001,-1.1693338631
SRX4498311,-2.5286493277,0.3270756704,0.0117661346,0.1255740351
SRX4498315,-2.4425719936,0.13188983140000002,0.0100324,0.3574957756
SRX4498309,-1.9189509046,0.5025375816000001,0.2781089827,0.1355967891
SRX4498313,-2.2033806224,0.3594801527,0.12188872070000001,0.3689564581
SRX4615568,-0.0812579404,0.013264673900000001,0.1970351365,-0.35360094470000003
SRX4615570,0.0812579404,-0.013264673900000001,-0.1970351365,0.35360094470000003
SRX727246,1.1603657586,-0.2704409896,0.6145254771,-0.42275946470000003
SRX727243,0.4399661969,0.5066864547000001,0.5799540845,-0.8934110605000001
SRX727247,-0.1257313896,0.7034142950000001,-0.1768416445,-0.7017076204
SRX727244,-0.0750329881,1.1717161615,-0.30913879310000003,-0.8280236202
SRX727245,-1.9753951977000002,0.0792586504,-0.3538828885,-0.5515508955
SRX727248,-1.5298942234,-0.3986270871,-0.4887919578,-0.4954178662
SRX727249,0.19716998870000002,-0.1591232076,0.2177075202,0.2323115739
SRX727251,0.2147859584,0.1254258549,0.0366473183,0.1525217406
SRX727250,-0.4119559471,0.0336973526,-0.2543548384,-0.3848333145
SRX4498332,-0.1587158548,-0.1193071332,-0.6224023111,0.3134986332
SRX4498334,-1.0972437084,-0.17721395110000002,-0.30271159210000004,0.24168933680000002
SRX4498335,-0.8256846869000001,-0.3252320732,-0.1462522363,0.20698791160000002
SRX4498337,-1.2747159510000001,-0.2886906012,-0.3409810585,0.0761980227
SRX4498324,0.3902920909,0.1772021585,-0.06351164620000001,-0.1161597334
SRX4498326,0.2641476232,-0.0034768917,0.0378454016,-0.0402037793
SRX4498328,-0.3423065809,-0.020873310200000002,0.1336300806,0.0240520293
SRX4498330,-0.31213313330000003,-0.1528519566,-0.10796383600000001,0.1323114834
SRX4498336,2.9674906077000003,-1.211516728,-0.6520092816,-0.0850490014
SRX4498333,2.6440257228,-0.9962659307,-0.8816471920000001,-0.0608663206
SRX4498338,2.5298771165,-1.0277984444,-0.7736200705,-0.3005294632
SRX4498329,4.692678343,-0.6183081699,-0.4522671689,0.2494342789
SRX4498325,4.5978807914,-0.7488103606000001,-0.6057466331,0.28722259110000004
SRX4498327,5.4540312559,-1.004814459,-0.5856217624,0.31331373900000004
SRX4498331,5.5188015660000005,-0.5170369499,-0.6410687304,0.24195097770000001
