,A,trcR,whiB4,Rv1776c
SRX5079921,-0.4485490729,0.040774510800000004,-0.0609508543,-0.2901770769
SRX5079919,0.3919267104,0.028962335500000002,-0.0194419583,0.18551736970000002
SRX5079926,-10.1627512463,0.23658218050000002,-0.9949990028000001,0.263182764
SRX5079925,-10.3636089069,0.2079415226,-0.9943848033,0.2337267369
SRX5079927,-10.0489708089,0.415041258,-1.0952559045,0.7291542253000001
SRX894005,0.34005749100000005,-0.4303876485,-0.030079801700000002,1.2388941324
SRX894004,1.2102071585,-1.0790925543,-0.4051112448,1.7601127542000001
SRX894006,1.2965542939999999,-0.9305999304,-0.49478950660000004,1.8461411025
SRX893999,0.38287208300000003,0.24610509660000002,0.2566252958,-0.0664281753
SRX894000,-0.2752628431,-0.0756958586,-0.0745679387,0.044226101000000004
SRX893998,-0.1076092399,-0.17040923800000002,-0.182057357,0.0222020744
SRX4647489,0.4759999112,-0.0044808628,0.0356517081,0.11461196280000001
SRX4647490,-0.4759999112,0.0044808628,-0.0356517081,-0.11461196280000001
SRX4647492,-0.1264752398,0.0971852646,-0.0204975814,0.1405029974
SRX4647491,0.14360645460000002,-0.037574376,-0.0751349744,0.0096979265
SRX4647496,-0.4940011454,-0.014470664000000001,0.23050143320000002,0.1746015557
SRX4647495,-0.8473520689,0.1444515368,0.0739877109,0.2152830067
SRX4647499,0.1058350759,-0.23207835670000002,-0.1385207252,0.0201381952
SRX4647500,-0.2307418136,-0.1248604447,0.05614519900000001,0.09307297440000001
SRX4647493,0.3398863288,-0.2991719252,-0.2281790809,0.319720809
SRX4647494,0.2112677939,-0.1499512591,-0.0188038167,0.40505564930000004
SRX4647497,-0.0919441686,-0.1108467603,-0.1208677216,-0.1234182244
SRX4647498,-0.43581544440000003,0.054505441200000004,0.1737333073,0.3631162368
SRX4505482,0.047346812,-0.08901104600000001,0.0685207348,0.009915543300000001
SRX4505486,-0.4611720676,-0.2388338592,-0.22565921900000002,0.0003678119
SRX4505484,0.3283296611,-0.0760928403,-0.1721913593,0.1698133647
SRX4505473,-0.4980498753,-0.24394874930000002,-0.2530045774,-0.0817124059
SRX4505476,0.0342755194,-0.08821987390000001,-0.0030708536,0.0193411258
SRX4505480,-0.033143475,-0.0255450672,-0.1849241919,0.0871781736
SRX4505478,0.0288990811,-0.1650738076,0.0864470425,-0.0706565262
SRX4505474,-0.030031125500000002,0.2788387486,0.1015480029,-0.0358627731
SRX4505483,3.2070398449,-0.4227499859,-0.38158138750000004,0.0059837813
SRX4505485,3.3036244465999998,-0.45867731800000006,-0.32862970900000005,-0.0350163319
SRX4505487,3.5245066466,-0.44592346590000004,-0.2990573307,0.060925914000000005
SRX4505488,3.2060162265,-0.5808623642,-0.4314785464,-0.1024214982
SRX4505481,4.6808916409,-0.2843504129,-0.4439247154,0.0147135693
SRX4505477,4.1251791262,-0.4901206044,-0.5194503488000001,0.0923537525
SRX4505475,4.1992560938,-0.397992418,-0.7482583888000001,0.035154346600000004
SRX4505479,4.340194387,-0.27291288480000003,-0.46262671720000004,0.0573877023
SRX4605773,0.5093877117,0.10540290070000001,0.0297425734,-0.09700347220000001
SRX4605774,0.18762216480000002,0.14996419190000002,-0.0234107872,0.133267884
SRX4605772,-0.378159715,-0.06307021780000001,0.014691560800000001,-0.0038873849
SRX4605771,0.378159715,0.06307021780000001,-0.014691560800000001,0.0038873849
SRX5178871,-0.7330013808,0.286126745,0.1949827228,-0.0736796663
SRX5178872,-1.054035291,0.027152356000000002,-0.0632520911,0.2367116655
SRX5178868,-0.0231880881,-0.0946028822,0.2607521937,0.24466415160000002
SRX5178870,0.1122965046,0.026305972900000002,-0.1938064286,-0.1960137901
SRX5178869,-0.08910841650000001,0.0682969093,-0.0669457651,-0.0486503615
ERX1404045,0.33296514390000004,0.011597297500000001,-0.1624999581,0.46432043230000003
ERX1404046,-0.33296514390000004,-0.011597297500000001,0.1624999581,-0.46432043230000003
ERX1404043,-0.2247231698,-0.21181107230000001,-0.0027345818,0.0827750114
ERX1404044,0.1004895197,-0.0344882304,0.1432227371,0.2235553445
ERX237502,6.5754939582,1.1311959893,-1.3867082205,-1.7132051095
ERX237505,2.4473523335,1.6281585159,-0.8893328454,-1.2210039214
ERX237506,4.3269692483,1.9084953341,-1.151109155,-1.890012934
ERX237500,17.9718858541,0.4707170445,-2.2441226907,-2.1842456642
ERX237497,17.2309192011,1.061557791,-2.0139341664,-2.0871051774
ERX237499,16.6462034856,0.8807760565,-1.8670279551000002,-1.3249651031
ERX237507,-0.2382757218,0.1095816035,0.008773927,0.0725292661
ERX237496,-0.4582326903,-0.2335023219,0.08209850710000001,-0.033254730100000005
ERX237504,0.696508412,0.1239207184,-0.09087243410000001,-0.0392745361
ERX3772318,-1.6156193909,-0.3723453338,0.2538834378,0.216775926
ERX3772320,-1.386783945,-0.2765939314,0.1676943443,0.24790920500000002
ERX3772319,-1.2123824066,-0.1616941594,0.155062751,0.1326901566
ERX3772321,-0.5659567039,-0.1479193432,-0.0167379306,-0.2654003304
ERX3772322,-0.6197849378,-0.18058937800000002,-0.17248190970000002,-0.3042678499
ERX3772323,1.1857416416,0.3285087211,0.1892198403,0.5696681803
SRX4314262,-0.62251542,0.026539143600000002,0.0798797489,-0.4499981018
SRX4314263,-0.1035000844,-0.2023927601,-0.18949924810000002,-0.0715311566
SRX4314261,0.7260155044000001,0.1758536165,0.1096194992,0.5215292584
SRX4314265,-0.8327505865,0.1402421851,-0.07351954000000001,-0.425176912
SRX4314266,-0.9954045733,0.1875536857,-0.19674752610000001,0.2214463996
SRX4314264,-1.640095775,-0.2994155315,-0.24615058080000002,-0.6923330937000001
SRX4314268,-1.6383773134,0.0090528489,-0.132420661,-1.3895270172
SRX4314267,-1.4781837825,-0.023103764500000002,-0.7577048834,-0.5845272966
SRX4314271,-1.4758660097,-0.20240133370000002,-0.3269035233,-0.1287790036
SRX4314272,-2.2806584963,-1.1916320104,-0.1216392627,-0.0795415783
SRX4314275,-4.1802924109,-0.5083344813,-0.37660912750000003,-1.177099264
SRX4314274,-2.7856096948999998,-0.27282293150000003,-0.5336133514,-0.55940985
SRX4314273,-3.0525841165,-0.3375799182,-0.4440113255,-2.4405060271
SRX4314278,-3.3879650078,-0.5211917806,-0.5920498177,-1.0673273311
SRX4314276,-3.2772869582,-0.6668095496,-0.7279651359,-1.8752246061000002
SRX4314281,-3.1625210215,-1.00224459,-0.2414796885,-0.476118262
SRX4314279,-3.515323894,-1.1545582077,-0.4595789863,-1.1370432206
SRX4314280,-2.9705191984,-0.6661696233000001,-0.3227264526,-1.1302608352
SRX4314284,-3.1763304898999998,-0.3629383109,-0.1018318642,0.3853492966
SRX4314283,-0.1668035874,-1.1499492438,-0.5204631684000001,-0.2589878863
SRX4314282,-2.9915145111,-0.32870315650000004,-0.22244771900000002,-0.5492640601000001
SRX4314293,-5.5827374892,-0.5723007825,-0.2652265131,-0.8453107860000001
SRX4314292,-4.2246109108,-1.4270609358000002,-0.49175257710000003,-0.9528063788000001
SRX4314291,-6.298860223,-0.39964778300000003,-0.4736174427,-1.5118461777999999
SRX4314297,-8.3550791417,-0.6960940734000001,-0.3995440058,-0.1583813979
SRX4314298,-6.4769711395,-0.4801835399,-0.39390451130000004,-0.4744383217
SRX4314299,-10.5358252593,-0.3637390883,-0.3589271888,-0.8437791339
SRX4314302,-10.5503149919,-0.8282484991,-0.46597214330000003,-1.4054502067999999
SRX4314301,-5.560595296,-0.4759296867,-0.3639852873,0.025075892000000002
SRX4314300,-6.4446431335,-1.2242366955,-0.27811621880000004,-0.4526188759
SRX4314305,-7.1661341307,-0.39811458320000004,-0.0131843401,0.2284616324
SRX4314304,-2.9663629929,-0.8847521715000001,0.27145342780000004,0.2638466423
SRX4314303,-4.1603659666,-0.22534075920000002,0.18498739660000002,0.163744669
SRX4314309,-2.7925833674,-0.8361661248000001,-0.3766555861,-0.1330596917
SRX4314306,-4.2427435762,-0.3939541573,0.0374124116,-0.1860992817
SRX4314308,-3.9282020804,-0.47699201360000004,-0.0030449249,-0.1138955084
SRX4314307,-1.8092776077,-0.16952776690000002,0.1860862768,-0.1676295992
SRX4314311,-7.6212432097,-0.8788041209,-0.3529749097,-1.3604510767
SRX4314317,-6.1309971439,-0.1007008895,0.4192012174,0.029359349700000002
SRX4314316,-6.2600060314,-0.7850161444,0.4418675419,-0.7746125055
SRX4314318,-9.2154240271,-1.063424205,0.446621058,-0.060458519100000004
SRX4314319,-9.8411449166,-1.219949959,0.38762721110000004,-0.1706456224
SRX4314331,-4.2905977441,-1.0993154604,-0.017869393600000002,-0.4667978996
SRX4314330,-3.2982448784000002,-0.8909823131,0.1078803624,-0.4444260768
SRX4314332,-3.5098532193,-0.839885493,0.1853305891,-0.17715659420000002
SRX4314335,-1.0631331384,-0.8339509052,-0.0398662528,-0.1492707684
SRX4314334,-1.4548957322,-1.2387158471,0.071696069,-0.6040880837
SRX4314333,-1.5389887776,-0.8825093166,-0.0539782424,-0.29046408900000004
SRX4314338,0.9132023368000001,-0.9486161842,-0.162589072,-0.48120324800000003
SRX4314336,0.120932335,-0.9763387708000001,-0.0839141245,-0.37594236140000004
SRX4314337,0.029193124400000003,-0.8749111390000001,0.24447096210000002,-0.6807939934
SRX4314339,4.1160887914,-1.2239076492,-0.1891997203,-0.9125390935000001
SRX4314340,3.4788977922,-1.3859266757,0.07890355240000001,-0.6691684223000001
SRX4314341,4.7287503310000005,-0.9868226996,-0.1057555332,-0.6002402704
SRX3686762,4.0834416089,0.3790086815,-0.0158721331,0.0539586374
