sample,Rv2104a
SRX3686781,0.0635641539
SRX3686806,-0.46936361460000003
SRX3686805,-0.3189298098
SRX3686758,-1.0417441552
SRX3686760,-0.8928736968000001
SRX3686759,-0.8553719912000001
SRX3686810,-0.41274323890000003
SRX3686811,-0.6621021634
SRX3686812,-0.5434506217
SRX3686813,-0.7108252973
SRX3686815,0.34571130710000003
SRX3686816,0.3927189197
SRX3686823,-0.2519007877
SRX3686824,0.0617596247
SRX3686825,-0.6675799050000001
SRX3686827,-0.6302693473000001
SRX3686826,-0.5048975082
SRX7054191,-0.0283786567
SRX7054189,-0.1238347192
SRX7054190,0.1522133759
SRX7054193,2.3237184235
SRX7054192,2.1165430246
SRX7054194,2.280650405
SRX4506284,0.18914815540000002
SRX4506280,0.15388534110000002
SRX4506282,0.5089216963000001
SRX4506278,0.6230040802
SRX4506274,0.0084972484
SRX4506273,0.29936551
SRX4506271,-0.10878653270000001
SRX4506276,-0.19907622560000002
SRX4506283,-0.1837687554
SRX4506279,-0.5059995074
SRX4506285,0.0760612972
SRX4506281,-0.3091134544
SRX4506275,0.1353721786
SRX4506277,-0.1546276601
SRX4506272,-0.0098276631
SRX2923393,0.1878033671
SRX2923394,-0.1878033671
SRX2923398,0.9390642869
SRX2923397,0.5391783708
SRX2923395,0.9483753421000001
SRX2923396,0.8559526762
SRX2923400,-3.4890858538
SRX2923401,-3.3497949611
SRX2923403,-0.7509451259000001
SRX2923402,-1.7366730139
SRX6853288,0.19499623530000001
SRX6853287,-0.5088163044
SRX6853286,-0.0599458937
SRX6853284,-0.3513268633
SRX6853285,0.524941235
SRX6853283,-0.1736143718
SRX4319040,0.4480977471
SRX4319041,0.7038782782
SRX4319039,-1.1519760254
SRX4314613,-1.1703953641
SRX4314614,0.9481407264
SRX4314615,-1.544419626
SRX4314632,-1.8404704963
SRX4314631,-1.8775989837
SRX4314633,-1.4480517974
SRX4314622,-1.1812784035
SRX4314623,-1.9209308690000002
SRX4314624,-1.7892629103000002
SRX4314611,0.25159710620000003
SRX4314610,-0.9068203163
SRX4314612,0.6552232102000001
SRX4314630,-0.6492086932000001
SRX4314628,-2.5050488533
SRX4314629,-0.9049402255000001
SRX4314619,-0.4951285613
SRX4314621,-0.9713184037
SRX4314620,0.1846275751
SRX7119390,0.2460012456
SRX7119388,-0.2460012456
SRX7119386,1.0829802191
SRX7119385,0.621873819
SRX7119387,0.7759662128
SRX3746749,-1.3177854809
SRX3746748,-0.5974654918
SRX3746751,-0.4710899726
SRX3746750,0.1050218121
SRX3746752,-0.278725051
SRX3746753,-0.1074780916
SRX3746755,-0.18464967710000002
SRX3746754,0.18464967710000002
SRX2345943,-0.1222987393
SRX2345942,0.1222987393
SRX2345941,0.40621115950000003
SRX2345940,0.3132843972
SRX3992217,0.10434533160000001
SRX3992216,0.1726706948
SRX3992214,2.3444275429
SRX3992215,1.2889410073
SRX3992221,1.2431039988
SRX3992220,2.3623376048
SRX3992219,1.4632070251
SRX3992218,1.8546649959
SRX3992201,1.6608043044
SRX3992200,1.8164186791999999
SRX3992198,0.38292303040000003
SRX3992199,0.2728698248
SRX3992202,-0.043532956000000005
SRX3992203,-0.0540743074
SRX3992204,2.3552013879
SRX3992205,1.4497664846
SRX3992206,2.6172008061
SRX3992207,1.6599238052
SRX3992209,1.4692847404
SRX3992208,1.7621138157
SRX3992212,1.897686661
SRX3992213,1.6521096361
SRX3992210,0.1196523401
SRX3992211,-0.1196523401
SRX357084,-0.25645952780000003
SRX357083,0.25645952780000003
SRX4647134,-0.8315833541000001
SRX4647137,0.11371883120000001
SRX4647136,-0.6429971333000001
SRX4647135,-0.4680454771
SRX4647139,-0.0788239605
SRX4647141,0.0307732915
SRX4647140,0.10456291570000001
SRX4647138,-0.0565122468
SRX4647128,-0.18530300160000002
SRX4647127,-0.2269958712
SRX4647129,-0.2577486567
SRX4647126,-0.1628481817
SRX4647133,-0.8140069675
SRX4647132,-0.9497020526000001
SRX4647131,-0.914796657
SRX4647130,-0.0658861507
SRX6923924,1.822053441
SRX6923925,-0.495920968
SRX6923923,-0.0923676284
SRX6923922,-0.0331969134
SRX6923939,0.0893353509
SRX6923938,-0.0893353509
SRX6923936,-0.4821734116
SRX6923937,-0.2740899084
SRX5509428,0.0026760748
SRX5509427,-0.0026760748
SRX1882560,-1.6764203395
SRX1882558,-1.8660222405
SRX1882559,-1.6594873316
SRX1882561,-2.0202473946
SRX1882563,-2.1116336911
SRX1882562,-2.023947364
SRX1882565,-2.1970607602
SRX1882566,-2.0039964366
SRX1882564,-2.0450093808
SRX1882568,-2.2727373291
SRX1882567,-2.0453875106
SRX1882569,-2.1291717671
SRX1882555,0.021019565400000002
SRX1882557,-0.0221026371
SRX1882556,0.0010830717000000001
SRX5088615,2.6506590888
SRX5088616,2.6634663329
SRX6845150,2.6142308747
SRX6845149,2.9929469083
SRX6845151,0.5769077917000001
SRX6845152,0.9137956517
SRX6845145,3.4674311799
SRX6845146,3.7593242976
SRX6845142,0.0099067571
SRX6845141,0.5051818013
SRX6845144,0.18331910810000002
SRX6845143,-0.18331910810000002
SRX5605051,0.21802693450000002
SRX5605045,-0.21802693450000002
SRX5605060,-1.2289820867
SRX5605059,-0.1256110302
SRX2382017,0.0878517005
SRX2382024,-0.0878517005
SRX2382027,-1.780038663
SRX2382029,-0.9009151784
SRX2382217,-0.9028181675
SRX2382023,-0.3390894813
SRX2382218,-0.44143530480000004
SRX2382219,-1.0401205412
SRX2382213,-0.7091404076000001
SRX2382019,-0.9061740411
SRX2382214,0.6012146868
SRX2382215,0.040336697500000004
SRX2382020,1.5106296184999999
SRX2382216,1.1255907812000001
SRX2382022,-1.5375187585
SRX2382033,0.2078685381
SRX2382220,2.4135780919
SRX2382222,2.0516150039
SRX2382030,2.013463763
SRX4506350,0.2129894729
SRX4506352,0.280502386
SRX4506354,0.1594689392
SRX4506348,-0.2059341513
SRX4506346,0.1338721084
SRX4506344,0.0720620429
SRX4506351,0.0484633052
SRX4506353,0.38069940680000003
SRX4506355,0.1832162961
SRX4506349,-0.1782221938
SRX4506345,0.0237066054
SRX4506347,-0.0849987079
SRX4514122,0.3122324456
SRX4514124,-0.1060509889
SRX4514126,-0.0065380899
SRX4514120,0.2985503536
SRX4514112,0.0942503843
SRX4514116,0.047181686300000004
SRX4514118,-0.36433262200000005
SRX4514114,0.22290055150000002
SRX4514121,0.1831654165
SRX4514125,0.049968269100000004
SRX4514127,-0.1701700556
SRX4514123,0.20140901290000002
SRX4514115,0.0960371763
SRX4514117,-0.1736409989
SRX4514113,0.0873595045
SRX4514119,-0.388738234
SRX958308,0.0425665004
SRX958306,-0.2985212929
SRX958307,-0.1498039287
SRX958313,0.0678929706
SRX958312,0.1772872288
SRX958314,-0.24518019940000002
SRX958320,0.2311247434
SRX958318,0.38130279970000003
SRX958319,1.0648301289
SRX958323,-0.08088328560000001
SRX958322,-0.11091965070000001
SRX958321,-0.017974358200000002
SRX958310,0.7167344787000001
SRX958309,1.0940161646
SRX958311,0.8437553456
SRX958317,1.1333698663
SRX958315,1.1201558479
SRX958316,0.9599055759
SRX958324,0.0541405363
SRX958325,-0.0120329914
SRX4498322,0.4137784842
SRX4498318,-0.0705146785
SRX4498320,-0.1708715389
SRX4498316,0.186573027
SRX4498312,-0.023475423800000002
SRX4498308,-0.0855042298
SRX4498314,-0.0103161932
SRX4498310,0.11929584680000001
SRX4498319,0.48650758860000004
SRX4498317,0.9356881130000001
SRX4498311,0.058556122200000005
SRX4498315,-0.1180352053
SRX4498309,0.0667193808
SRX4498313,-0.0799664772
SRX4615568,-1.464355795
SRX4615570,1.464355795
SRX727246,-3.0542363667
SRX727243,-1.1574180663
SRX727247,-4.5758212321
SRX727244,-2.5965102918
SRX727245,-0.708191495
SRX727248,-4.5758212321
SRX727249,-0.26702268560000003
SRX727251,-0.0007942924000000001
SRX727250,0.26781697800000004
SRX4498332,-0.024230558000000003
SRX4498334,-0.3676984353
SRX4498335,-0.6882128407
SRX4498337,-0.11309050500000001
SRX4498324,0.0969292781
SRX4498326,0.1018886526
SRX4498328,0.0342287698
SRX4498330,-0.2330467005
SRX4498336,-0.08677574390000001
SRX4498333,-0.455394787
SRX4498338,0.18947297670000002
SRX4498329,-0.1250998095
SRX4498325,-0.2634029992
SRX4498327,0.5504039259
SRX4498331,0.1892339315
