sample,Rv2307D
SRX5079927,0.20640082070000002
SRX894005,-0.7939162044
SRX894004,-1.1579292847
SRX894006,-0.5609694002
SRX893999,0.1415127622
SRX894000,0.055035621800000004
SRX893998,-0.19654838400000002
SRX4647489,0.0006805348000000001
SRX4647490,-0.0006805348000000001
SRX4647492,0.5754541826
SRX4647491,0.5134721177
SRX4647496,0.48522060910000003
SRX4647495,0.19741597430000002
SRX4647499,0.0015537943000000002
SRX4647500,0.09050049660000001
SRX4647493,0.43601416130000004
SRX4647494,0.009158910000000001
SRX4647497,-0.0304575223
SRX4647498,0.3639669775
SRX4505482,-0.33255261150000004
SRX4505486,-0.2993576101
SRX4505484,-0.44891820390000003
SRX4505473,-0.2630389193
SRX4505476,0.109694572
SRX4505480,0.0223304848
SRX4505478,-0.038773925800000004
SRX4505474,-0.093251131
SRX4505483,0.0381655513
SRX4505485,0.22676307550000002
SRX4505487,0.1586519397
SRX4505488,0.1919449477
SRX4505481,0.4512841306
SRX4505477,-0.057242704000000005
SRX4505475,0.23981255980000002
SRX4505479,0.39683912120000003
SRX4605773,-0.1918630821
SRX4605774,-0.14882965750000002
SRX4605772,-0.11097942890000001
SRX4605771,0.11097942890000001
SRX5178871,0.7087551431
SRX5178872,0.3381320291
SRX5178868,0.3151025562
SRX5178870,0.09296194490000001
SRX5178869,-0.40806450110000003
ERX1404045,-0.196896604
ERX1404046,0.196896604
ERX1404043,0.0725041715
ERX1404044,0.4100698964
ERX237502,-0.10860109200000001
ERX237505,-0.4526699095
ERX237506,-0.5394836499
ERX237500,-0.6144117417
ERX237497,-0.5193517474
ERX237499,0.7177664489000001
ERX237507,-0.3751322292
ERX237496,-0.29796388760000003
ERX237504,0.6730961168
ERX3772318,0.1021865626
ERX3772320,0.1015788257
ERX3772319,-0.13948126460000002
ERX3772321,-0.0128259301
ERX3772322,-0.2198504557
ERX3772323,0.2326763858
SRX4314262,0.0879090061
SRX4314263,0.15259524200000002
SRX4314261,-0.2405042481
SRX4314265,-1.2389380511
SRX4314266,-0.8639363261
SRX4314264,-1.6492145098000002
SRX4314268,-0.7841389836
SRX4314267,-0.912986598
SRX4314271,-0.5507242216
SRX4314272,-1.0784283376000001
SRX4314275,-0.47898488170000003
SRX4314274,-0.6450098001
SRX4314273,-1.0211867529
SRX4314278,-0.7117670085000001
SRX4314276,-0.6174838052
SRX4314281,-0.4756391672
SRX4314279,-0.9641449691
SRX4314280,-0.3676412208
SRX4314284,-0.8969074455
SRX4314283,-0.47568726
SRX4314282,-0.6941190691
SRX4314293,-1.5499937398
SRX4314292,-0.3180577015
SRX4314291,-0.8394914330000001
SRX4314297,0.1171485508
SRX4314298,-0.2171669822
SRX4314299,-0.8672384744
SRX4314302,-0.6297332886
SRX4314301,-0.7118575296
SRX4314300,-0.22762057700000002
SRX4314305,0.2624747302
SRX4314304,0.1896293073
SRX4314303,0.3091160269
SRX4314309,-0.2613403861
