,A,iniR
SRX4506080,-0.42290744140000003,0.3435402024
SRX4506082,-0.039858824200000004,0.444869789
SRX4506076,-0.36153883210000004,0.2635914045
SRX5352221,-2.4107075565000002,0.0030940488
SRX5352223,-2.381039691,-0.0421385814
SRX5352222,-3.1410029605,-0.15928886790000002
SRX5352229,-1.8127648939,0.76947642
SRX5352227,-1.5156260612999999,0.7336042186
SRX5352228,-1.2647665839,0.5722611508000001
SRX5352231,0.17748122800000002,0.8975599117
SRX5352232,-0.4049349256,0.8688974716000001
SRX5352230,-0.09984925330000001,0.7990117885
SRX5352225,-2.3858570033,0.3054778379
SRX5352224,-2.318578702,0.4626652302
SRX5352226,-1.9316035309,0.25224860050000003
SRX5352220,-0.2834689822,0.1832923165
SRX5352219,0.0197421697,-0.0161812586
SRX5352218,0.2637268126,-0.1671110579
SRX4498228,-0.28752171600000004,-0.07554714500000001
SRX4498224,-0.5729771665,-0.0752540156
SRX4498230,-0.0950976396,-0.1710854118
SRX4498226,-0.0954289189,0.0281445523
SRX4498218,0.0708025424,-0.1060816623
SRX4498216,0.0408631784,0.2334605937
SRX4498220,0.0161420249,-0.2902663189
SRX4498222,-0.1278077457,0.1628873875
SRX4498225,-0.0187468433,0.32384027590000003
SRX4498227,-0.2095960426,0.3730488823
SRX4498231,0.1976790946,0.34716333590000004
SRX4498229,0.0280072754,0.3622569638
SRX4498217,0.1074194388,0.4062750163
SRX4498221,-0.4296802152,0.3419725245
SRX4498219,0.403858502,0.235895806
SRX4498223,-0.4969752371,0.4265895805
SRX5079928,7.3703014023,-0.1436109447
SRX5079930,7.6491197394,-0.0420953057
SRX5079929,8.2733088142,-0.0803928003
SRX5079923,5.6294765480999995,-0.1357691299
SRX5079924,5.7005383176,-0.23275905360000002
SRX5079922,6.3390778742,0.03038553
SRX5079920,-0.10337639380000001,-0.0500894657
SRX5079921,0.0562459253,0.0379341834
SRX5079919,0.0471304685,0.0121552824
SRX5079926,7.0199925989,0.0347844459
SRX5079925,7.8482641471,-0.0702468884
SRX5079927,7.3616974730999996,-0.0644896674
SRX894005,-2.9498374603,0.3226276501
SRX894004,-3.3516260568,0.7764550328000001
SRX894006,-3.5309593462,0.7575049227
SRX893999,-0.5814761016000001,-0.07909369220000001
SRX894000,0.31627383400000003,0.15751414800000002
SRX893998,0.2652022676,-0.0784204557
SRX4647489,0.0523920451,-0.1232601368
SRX4647490,-0.0523920451,0.1232601368
SRX4647492,-0.0111874217,0.058227092
SRX4647491,0.41416711110000004,0.0031004318
SRX4647496,0.8211358407,-0.0992866646
SRX4647495,1.1010066877,-0.1054552324
SRX4647499,2.6348295782,0.1562072235
SRX4647500,2.1610793527,0.0643394424
SRX4647493,3.6477558764999998,-0.0186477881
SRX4647494,3.2524966803,-0.1227916589
SRX4647497,2.476306038,0.0636544222
SRX4647498,1.4586116699,-0.1715560907
SRX4505482,0.4109044261,-0.25211361930000004
SRX4505486,1.1083905534,0.0009231420000000001
SRX4505484,0.5702987411,-0.4153002964
SRX4505473,1.3203595165,-0.0485376878
SRX4505476,-0.6457618979,0.11145858380000001
SRX4505480,0.6644512646,0.0557328444
SRX4505478,0.3108297465,-0.2052891578
SRX4505474,-0.3295191132,0.038097729600000005
SRX4505483,2.7757281257,0.5287380374
SRX4505485,2.6602650694000003,0.4288588239
SRX4505487,3.0487687109,0.5399029971
SRX4505488,3.0543930516,0.5610652529
SRX4505481,-1.1281786876,0.392960768
SRX4505477,-1.0219017489,0.44746343320000004
SRX4505475,-0.8170750753,0.5424109229
SRX4505479,-1.4434560238,0.2763647472
SRX4605773,-0.4356507772,-0.13166740300000002
