,A,iniR
SRX4498308,-0.0077569882,0.0475672617
SRX4498314,0.17003136030000002,0.0803053875
SRX4498310,-0.0596282319,0.0158363602
SRX4498319,0.4645418384,-0.2034166615
SRX4498317,0.8600396337,-0.4106695207
SRX4498311,0.1946786446,0.5889269932
SRX4498315,0.4422512689,0.5442484916
SRX4498309,-0.1588305599,0.4064676692
SRX4498313,-0.2476185571,0.5704836649
SRX4615568,-0.38005990770000003,0.6264251911000001
SRX4615570,0.38005990770000003,-0.6264251911000001
SRX727246,-3.0850458885,-0.9676665706
SRX727243,-3.3658550529,-0.5523132218
SRX727247,-1.0518684061,-0.9472734214
SRX727244,-1.5162394792,-0.7595582868
SRX727245,-1.1610012928,-0.8420145183000001
SRX727248,-0.6732208404000001,-1.3475600701000001
SRX727249,-0.12357235670000001,0.008423209000000001
SRX727251,0.0700380904,0.068924996
SRX727250,0.0535342664,-0.077348205
SRX4498332,0.1607571606,0.31948855530000003
SRX4498334,1.2491154636,0.14171819360000001
SRX4498335,1.1889964100000001,0.1461702036
SRX4498337,1.2007999416,0.0251093811
SRX4498324,-0.2102875908,0.17331890490000001
SRX4498326,-0.0826603332,-0.34879041580000003
SRX4498328,-0.24928968510000002,0.0038094681000000003
SRX4498330,0.5422376092,0.1716620428
SRX4498336,-1.3373003207,0.0831902601
SRX4498333,-1.3323857976,0.1908623208
SRX4498338,-0.6572407004,0.6196089252
SRX4498329,-1.0254633335,0.6510131541
SRX4498325,-0.7518835316,0.7371506688
SRX4498327,-0.5432331785,0.7687406745
SRX4498331,-0.9297835799,0.6787761033
