,A,ideR
SRX3686776,1.7455829872000002,-0.7541053507000001
SRX3686800,2.4208632686,-0.4567355253
SRX3686801,1.3706474975,-0.4364949936
SRX3686755,7.9017895062,-0.1415477661
SRX3686757,8.780141735,-0.4080843964
SRX3686756,7.8105805577,-0.3744600892
SRX3686784,1.5391315622000001,-0.798584327
SRX3686783,2.1587263583,-0.7130056344
SRX3686782,2.5300744582,-0.6373671556
SRX3686809,3.0497016789,-0.4457377699
SRX3686807,3.6347244645,-0.38479928820000003
SRX3686808,3.0867379509,-0.4270200147
SRX3686787,8.5673543625,1.0490384921
SRX3686786,8.7153730598,0.9590975322
SRX3686785,9.8550092396,0.9697034169000001
SRX3686799,1.4308640838,0.6405495599000001
SRX3686797,2.5887129882,0.5232651362
SRX3686798,1.9591980376,0.5288630979
SRX3686746,8.8445492685,0.17878584020000002
SRX3686748,9.8464124796,0.1663278753
SRX3686747,8.6737096866,0.0358768958
SRX3686773,4.5531358908,-0.0228445977
SRX3686774,1.5807598503,-0.0048394299
SRX3686775,0.8516370882000001,0.0891127305
SRX3686754,11.0990868463,0.41960340220000003
SRX3686753,11.1206536622,0.4227155508
SRX3686752,11.1813354889,0.4509395745
SRX3686780,6.5905339282,0.5913768743
SRX3686779,5.6126750437,0.4855986162
SRX3686781,3.8033041583,0.5134977098
SRX3686806,4.2131382039,1.0291706082
SRX3686805,6.4839008752,0.9681972969
SRX3686758,12.3596883351,0.9734031077
SRX3686760,12.7222858051,0.8521243734
SRX3686759,12.4904532046,0.9507550849
SRX3686810,9.6556851019,1.3435543949
SRX3686811,7.7427340625,1.3377803454000001
SRX3686812,7.5144532083,1.3115265535
SRX3686813,0.8612244146,-0.8223248178
SRX3686815,10.5474131441,1.6428202695
SRX3686816,10.4486052001,1.6685751880000002
SRX3686823,0.9896117996,-0.8007599458
SRX3686824,0.6861218237000001,-0.7233273610000001
SRX3686825,6.0792953252,1.0236706737
SRX3686827,10.7978773972,1.2569239012
SRX3686826,11.2574676599,1.2553375021
SRX7054191,-0.5307009334,-0.013289877700000001
SRX7054189,0.3067327136,0.0293188622
SRX7054190,0.2239682198,-0.0160289846
SRX7054193,6.4319741323,0.2940038365
SRX7054192,8.8309780489,0.4471723246
SRX7054194,8.8091230838,0.3973235359
SRX4506284,-2.1682697378,-0.34292016480000004
SRX4506280,-1.5993934565,-0.3546743396
SRX4506282,-1.9809354583,-0.2873733857
SRX4506278,-1.7173953511,-0.2889396578
SRX4506274,-0.207918756,-0.0421920802
SRX4506273,-0.0735088187,0.129024948
SRX4506271,0.0252865813,-0.10149779760000001
SRX4506276,0.2561409934,0.0146649298
SRX4506283,-0.4151503851,0.3344996578
SRX4506279,0.1790580542,0.24832079070000002
SRX4506285,-0.3684622141,0.44553133800000005
SRX4506281,-0.5659234415000001,0.3549645846
SRX4506275,0.6575212485,-0.0674594786
