sample,Rv0888
SRX4314330,0.46335684320000003
SRX4314332,0.6239345489
SRX4314335,0.2932142464
SRX4314334,-0.3074308899
SRX4314333,0.0848642901
SRX4314338,-0.0688796929
SRX4314336,-0.40731818010000004
SRX4314337,-0.6533031127000001
SRX4314339,-1.7533053016
SRX4314340,-1.9748962597
SRX4314341,-1.4720494596
SRX3686762,1.5031750700000002
SRX3686763,1.4988929186
SRX3686761,1.7355948739
SRX3686765,0.0963825403
SRX3686769,0.1892379545
SRX3686766,0.2871467125
SRX3686768,0.1303480281
SRX3686764,0.18019464540000002
SRX3686767,0.1634830384
SRX3686788,0.20239410500000002
SRX3686791,0.1125906369
SRX3686792,-0.17488893630000002
SRX3686793,-0.4146123057
SRX3686790,0.2245835861
SRX3686789,0.049932914
SRX3686829,0.3372561516
SRX3686830,-0.022001183900000002
SRX3686828,0.2865142237
SRX3686819,0.5648004612
SRX3686818,0.6401340783
SRX3686817,1.010935718
SRX3686822,0.8050641687000001
SRX3686820,0.9591855020000001
SRX3686821,0.6729047819
SRX3686743,1.5586211933
SRX3686744,1.6446707821
SRX3686745,1.4507836176
SRX3686772,1.8268211764000002
SRX3686770,2.0824888724
SRX3686771,1.9807380515
SRX3686794,0.5997821982
SRX3686796,0.4031109712
SRX3686751,1.5393098614
SRX3686749,1.3011674531000001
SRX3686750,1.4932359811
SRX3686778,1.2885251572
SRX3686777,1.6079988619
SRX3686776,1.9197386905
SRX3686800,0.40276119800000004
SRX3686801,0.4260272955
SRX3686755,1.2633756576000001
SRX3686757,1.3202692887
SRX3686756,1.4865353559
SRX3686784,1.3984791566
SRX3686783,1.6858767881999999
SRX3686782,2.008430933
SRX3686809,0.1738465307
SRX3686807,0.10360154540000001
SRX3686808,0.2373673996
SRX3686787,2.2750985752
SRX3686786,2.5477261312
SRX3686785,2.5549517010000002
SRX3686799,1.0726242367
SRX3686797,1.1616214591
SRX3686798,1.255402057
SRX3686746,2.5459013482
SRX3686748,2.6164851513
SRX3686747,2.6398308019
SRX3686773,3.02178041
SRX3686774,3.0487247961
SRX3686775,2.665304031
SRX3686754,2.9430438883
SRX3686753,2.9967568486
SRX3686752,2.9495770843
SRX3686780,2.7387475655999998
SRX3686779,2.8677957065
SRX3686781,2.7089491112
SRX3686806,1.5239195821
SRX3686805,1.473304511
SRX3686758,2.2717225181
SRX3686760,2.3033105614
SRX3686759,2.0856845861
SRX3686810,1.3010857539
SRX3686811,1.5345781828
SRX3686812,1.4272302824
SRX3686813,1.4673785638
SRX3686815,1.461439449
SRX3686816,1.4526519241
SRX3686823,1.1978590866
SRX3686824,0.9488001699
SRX3686825,2.0265573517
SRX3686827,1.8244889823000001
SRX3686826,1.6781217661999999
SRX7054191,-0.1094297204
SRX7054189,0.0800546187
SRX7054190,0.0293751017
SRX7054193,0.1197855055
SRX7054192,-0.1738927056
SRX7054194,-0.1299049545
SRX4506284,-0.7857349918000001
SRX4506280,-0.8412334760000001
SRX4506282,-0.9358599543
SRX4506278,-0.7848582378000001
SRX4506274,-0.049516956
SRX4506273,-0.0070980154
SRX4506271,0.11787576770000001
SRX4506276,-0.061260796400000005
SRX4506283,-0.5398856208
SRX4506279,-0.6362855264
SRX4506285,-0.6126181252
SRX4506281,-0.6111789280000001
SRX4506275,0.343264981
SRX4506277,0.2719715458
SRX4506272,0.3435595547
SRX2923393,-0.0189817709
SRX2923394,0.0189817709
SRX2923398,-2.1044954332
SRX2923397,0.6122855318
SRX2923395,-1.7659334062
SRX2923396,-1.47139081
SRX2923400,-0.8597929911000001
