,A,devR
SRX3456118,0.2980380421,0.7333985656
SRX3456117,-1.4306642808,-0.0592995849
SRX3456101,-0.3062957866,-0.0868112211
SRX3456099,0.5833065719,-0.2013002169
SRX3456100,-0.2770107853,0.288111438
SRX3456107,-2.7553015029,2.8716576448
SRX3456105,-1.351424265,2.615177896
SRX4374122,1.7680435380000001,0.4171947556
SRX4374121,-1.4181700635,-0.1842273666
SRX4374123,0.7123651314,-0.20847415090000002
SRX4374124,-0.9718334856,-0.2187289492
SRX4374125,1.1192273003,0.29857600160000003
SRX4374126,-0.14739381470000001,-0.07984705240000001
SRX4374127,1.6322240008,0.0101549786
SRX4374128,0.5491234030000001,-0.0326341478
SRX4374129,21.1518081226,3.274978639
SRX4374130,-0.40973571550000004,-0.5180007432
SRX4374132,24.7473410895,4.1751871263
SRX4374131,0.2291581249,0.0211761996
SRX4374133,0.1846898571,-0.1645688438
SRX4374135,23.533825612,4.1058905911
SRX4374134,9.4929762069,2.0294914333
SRX4374138,23.6986191324,3.6070952849999998
SRX4374136,-0.2742993042,-0.6064264224
SRX4374137,0.1447304805,-0.4974111074
SRX1091379,-4.7090833813,-1.4407184621
SRX1091380,-4.5596920869,-1.4381794526
SRX1091377,0.0038678228,-0.010131659000000001
SRX1091378,-0.0038678228,0.010131659000000001
SRX4647145,0.0188790482,-0.040859826700000004
SRX4647146,0.0920667879,-0.02001954
SRX4647147,0.24108479270000002,0.12683881830000002
SRX4647144,0.09852730430000001,0.0359280677
SRX4647143,-0.0308766097,0.009773747000000001
SRX4647142,-0.0676506945,-0.0457018147
SRX4647155,-2.3759175812,0.338862545
SRX4647152,-1.8471600291999999,0.3023006122
SRX4647153,-1.9859056608,0.2985668896
SRX4647154,-2.2778706785000002,0.3168410296
SRX4647148,-1.1577553486,0.3763546182
SRX4647149,-1.3278842431,0.4369527056
SRX4647151,-0.567067842,0.4717507866
SRX4647150,-1.2936048234,0.3762400402
SRX4647123,-0.6196563168,-0.2311578718
SRX4647124,0.3469450522,0.06697336720000001
SRX4647125,0.2727112646,0.1641845046
SRX3103185,2.6135667365,0.5223420269
SRX3103189,2.8874693319,0.6277276041000001
SRX3103187,1.4614182924999999,0.5147435493
SRX3103184,1.510384586,0.015169845400000001
SRX3103188,0.1323153298,-0.1072965097
SRX3103186,-1.6426999158000002,0.0921266642
SRX1372110,13.9362043062,2.7381407715
SRX1372111,14.1633292668,2.9719461273
SRX1372108,0.3095084568,-0.0129166165
SRX1372109,-0.3095084568,0.0129166165
SRX4506085,0.35722332,0.1852962336
SRX4506083,0.4013469095,0.1421157086
SRX4506089,0.2420558123,0.1485854463
SRX4506087,0.4079425457,0.12114798950000001
SRX4506077,0.0362301521,-0.033561925900000004
SRX4506079,0.1534519144,-0.0654729861
SRX4506075,-0.0939959051,-0.012445224000000001
SRX4506081,-0.0956861614,0.1114801359
SRX4506084,-0.9077411509000001,0.38385285900000005
SRX4506086,-0.0895368347,0.2687804013
SRX4506088,-0.5046874612,0.3908900514
SRX4506090,-0.1746366439,0.18204873600000002
SRX4506078,-0.9780106003000001,0.1082032056
SRX4506080,-1.1649794596,0.1489391984
SRX4506082,-0.5980084774000001,0.0216966686
SRX4506076,-0.6392634220000001,0.0382073415
SRX5352221,-5.5055104243,-1.4515291327
SRX5352223,-5.1496986468,-1.4104968917
SRX5352222,-4.4187421752,-1.0954825616
SRX5352229,-1.4912173527,-1.6901040762
SRX5352227,-1.3426937609,-1.3574757373000002
SRX5352228,-1.5654161235,-1.4398924327
SRX5352231,-2.5551570187,-0.4610380157
SRX5352232,-3.1116390929,-0.201696657
SRX5352230,-2.1504761166,-0.5110921384
SRX5352225,16.7641468353,2.7898417243
SRX5352224,12.4898890468,1.8604269249
SRX5352226,16.6080856013,3.0293202938
SRX5352220,-0.2477431169,0.1044391509
SRX5352219,0.0879674711,-0.014861049400000001
SRX5352218,0.1597756458,-0.0895781015
SRX4498228,0.3463193037,-0.087067434
SRX4498224,0.5541197046,-0.2919847365
SRX4498230,0.4062851709,-0.07233696790000001
SRX4498226,0.267264005,-0.0062526209
SRX4498218,0.34154812760000003,0.029229263000000002
SRX4498216,-0.1288773618,0.0054115602
SRX4498220,-0.16882776230000002,-0.10099394240000001
SRX4498222,-0.0438430035,0.0663531191
SRX4498225,-0.1826835779,0.28104408210000004
SRX4498227,-0.3608799313,0.11069513160000001
SRX4498231,-0.2149863324,0.050367711100000004
SRX4498229,0.15989107860000001,0.1363518833
SRX4498217,0.0318555342,0.0928537881
SRX4498221,0.0368365338,0.2667557564
SRX4498219,0.3151790416,0.1455455813
SRX4498223,0.7147177304,0.2603256628
SRX5079928,-1.8325187673,0.1755106296
SRX5079930,3.1551795271,1.853617968
SRX5079929,1.4042730869,1.4089722601
SRX5079923,-1.5849740103,0.1808595135
SRX5079924,-1.9875569227,-0.1069160237
SRX5079922,-2.4838453099,-0.2182816152
SRX5079920,0.3596803844,-0.019091769300000002
SRX5079921,-0.4195301839,-0.0070384955
SRX5079919,0.0598497995,0.026130264900000002
SRX5079926,-0.0689599582,0.8172577823
SRX5079925,-0.7729702724,0.5139739153
SRX5079927,-1.032556809,0.474625799
SRX894005,2.3055462852,0.5863004607
SRX894004,2.6048017282,0.32453236690000004
SRX894006,2.7590720602000003,0.3146050681
SRX893999,-0.4652151774,-0.1786935418
SRX894000,0.20017585440000002,0.119767258
SRX893998,0.2650393229,0.0589262838
SRX4647489,0.0119301305,0.0566716528
SRX4647490,-0.0119301305,-0.0566716528
SRX4647492,0.4733266592,-0.0266954773
SRX4647491,0.4153124946,-0.0309683328
SRX4647496,0.38788222180000004,-0.0768890223
SRX4647495,0.2585890795,-0.0332261765
SRX4647499,0.1940570862,0.11245199260000001
SRX4647500,0.1234941024,0.028416081000000003
SRX4647493,-1.3325497927,-0.11049691410000001
SRX4647494,-1.2775859237,-0.2535597428
SRX4647497,0.2717943719,0.1066251245
SRX4647498,0.3153668019,-0.0760884856
SRX4505482,-0.1877113116,0.014916913700000001
SRX4505486,-0.5718018689000001,-0.0890932048
SRX4505484,-0.38145335,0.1774243925
SRX4505473,-0.8717172026000001,-0.24953534570000002
SRX4505476,0.1071621309,-0.1790154065
SRX4505480,-0.2413503989,-0.0978467871
SRX4505478,0.39841699410000003,0.15124504260000002
SRX4505474,-0.26422872610000003,0.1256171509
SRX4505483,0.4179896382,0.1608237917
SRX4505485,0.5151164027,0.044070877700000004
SRX4505487,0.4412094136,0.0758966396
SRX4505488,0.6573650257,0.0872226604
SRX4505481,1.6704815128,0.1502607591
SRX4505477,1.1034456055,0.0658197999
SRX4505475,1.4081339092,0.0674885143
SRX4505479,1.5564183702,0.044928490700000004
SRX4605773,-0.5584757487,-0.0615396542
SRX4605774,-1.1034346042,-0.1189384227
SRX4605772,-1.16702747,-0.1378423311
SRX4605771,1.16702747,0.1378423311
SRX5178871,0.7941687831,0.2426937341
SRX5178872,-0.8157562097000001,0.0549979768
SRX5178868,0.2693183314,-0.049610746500000004
SRX5178870,-0.1349065388,-0.11681098370000001
SRX5178869,-0.1344117926,0.1664217302
ERX1404045,1.7682259805,0.45577302940000003
ERX1404046,-1.7682259805,-0.45577302940000003
ERX1404043,-1.5385129342,-1.0038139971
ERX1404044,-1.9543002616,-0.685961622
ERX237502,-4.8312069939,-1.9799465992
ERX237505,-2.0512340588,-0.7602797739
ERX237506,-3.6852711588,-1.6502524935
ERX237500,-12.3981656151,-3.4250265502
ERX237497,-12.8110430161,-3.8857855916
ERX237499,-13.9932382544,-3.1927523818
ERX237507,0.0608436762,0.0131310357
ERX237496,0.8451168705000001,0.1942290089
ERX237504,-0.9059605467,-0.20736004460000002
ERX3772318,3.4115121122,0.9932888929
ERX3772320,3.9778653587,1.1109813924
ERX3772319,5.3387028057,1.4068841287
ERX3772321,-0.7764715742,0.070536967
ERX3772322,-0.17306753460000002,0.0255834887
ERX3772323,0.9495391088,-0.09612045570000001
SRX4314262,-0.7041292629,0.07276852040000001
SRX4314263,-0.3544417382,-0.3021220443
SRX4314261,1.0585710011,0.2293535239
SRX4314265,-0.3364337142,-0.1940250667
SRX4314266,0.5743637574,-0.0924047155
SRX4314264,-1.1973247888,0.0378061275
SRX4314268,-3.6812908744,0.1036724145
SRX4314267,-4.6542628093000005,-0.3831272947
SRX4314271,-2.4063095648,-0.1822114228
SRX4314272,-1.6815396699,-0.1317751264
SRX4314275,0.23374278,0.4654027243
SRX4314274,2.4782883525,0.8226374096
SRX4314273,1.4658381284,0.7417311050000001
SRX4314278,1.2167192219,1.1046878701
SRX4314276,3.1352917239,1.2087751323
SRX4314281,3.5062558785,1.3336046836
SRX4314279,5.4375577796,1.9773114657000002
SRX4314280,6.267569548,1.8766515957
SRX4314284,7.9230261468,2.3805295317
SRX4314283,10.6936720946,2.7774219853
SRX4314282,8.9319902785,2.3529159452
SRX4314293,10.5237829044,2.9715470734
SRX4314292,20.8587517186,4.4416195555
SRX4314291,21.7218891152,4.8598900105
SRX4314297,21.3294232684,4.8193250307
SRX4314298,20.211242099,4.4155455458
SRX4314299,22.8868058581,5.5357560441
SRX4314302,23.4981547802,5.4320728269
SRX4314301,19.5528230363,4.4443541157
SRX4314300,20.8655239558,4.6728080221
SRX4314305,21.8871186292,5.0325813943
SRX4314304,17.7873941786,3.7915800139
SRX4314303,18.728470269,4.2736357334
SRX4314309,16.9753186121,3.5875756918
SRX4314306,18.6681589855,4.1391671957
SRX4314308,19.3523113373,4.6576294134000005
SRX4314307,17.3949192546,3.8290559086
SRX4314311,22.1634615976,4.9729888298
SRX4314317,19.2314417735,4.3556539411
SRX4314316,19.9570660191,4.274924633
SRX4314318,21.0121261496,4.0567687554
SRX4314319,22.8584658959,4.5071816443
SRX4314331,16.4192993592,3.269151111
SRX4314330,13.164648051,2.7019672195
SRX4314332,11.1054059832,2.1363292849
SRX4314335,11.0839004453,2.1574089117
SRX4314334,17.7370481488,3.309029428
SRX4314333,14.4992115048,2.6623317261
SRX4314338,11.6135006586,2.1340847768
SRX4314336,14.7938241571,2.720050057
SRX4314337,17.3385310572,3.2507475842
SRX4314339,7.8598150839,1.6079208979000001
SRX4314340,10.9108272006,2.0381847395
SRX4314341,5.8761313167,1.2897460357
SRX3686762,12.3031791354,1.1214677865
SRX3686763,10.0413216895,0.7714348939
SRX3686761,10.6774889554,0.9390382434000001
SRX3686765,0.6920599496000001,-0.0459541667
SRX3686769,-0.2817117266,-0.217649629
SRX3686766,2.4914879271,-0.0663823919
SRX3686768,-0.073516144,-0.1833723229
SRX3686764,2.305568887,-0.0169277961
SRX3686767,-0.2155122258,-0.051205563200000005
SRX3686788,-0.1531636938,-0.050158347900000004
SRX3686791,0.4539537987,-0.0580064626
SRX3686792,1.0887873759,-0.0898667001
SRX3686793,-0.5387179804000001,-0.1220953661
SRX3686790,-0.9493258492000001,0.28501395
SRX3686789,0.0984663488,0.0351129268
SRX3686829,17.3548174594,2.2943406589
SRX3686830,18.1836577934,2.502503439
SRX3686828,18.7807844365,2.6109935769
SRX3686819,16.7369403005,2.4754395208
SRX3686818,16.4467561933,2.4258429511
SRX3686817,15.3241833858,2.0973546565
SRX3686822,13.9263249736,1.6825913672000001
SRX3686820,16.0636224812,2.1057292464
SRX3686821,15.5649047026,1.9763374135
SRX3686743,12.8483830813,1.5191160348000001
SRX3686744,12.1206530644,1.4226469165
SRX3686745,13.4950140628,1.6741830417
SRX3686772,11.1222507879,1.3552757611000001
SRX3686770,9.2294553601,1.2032899606
SRX3686771,6.4848505825,0.7076490695000001
SRX3686794,2.7723379559,0.1695748158
SRX3686796,7.0535462818,0.4172282344
SRX3686751,14.3494257032,1.9121738337
SRX3686749,16.9576749681,2.4485683273
SRX3686750,13.1330149485,1.6610334379
SRX3686778,6.1713053625,0.153697081
SRX3686777,9.9855270637,0.7463321922
SRX3686776,9.543798217199999,0.9242682731
SRX3686800,10.2508355453,0.8417456485
SRX3686801,8.8092306566,0.643897845
SRX3686755,19.2000610113,2.4518118982
SRX3686757,14.4137390028,1.3023127712
SRX3686756,14.8233173222,1.6070997403
SRX3686784,12.3702829868,1.179026018
SRX3686783,14.2446366005,1.7908088571
SRX3686782,12.5769190429,1.5583110861
SRX3686809,14.9527747209,1.8974819769
SRX3686807,15.6633959459,2.0373469596
SRX3686808,13.7228517752,1.6542521894000002
SRX3686787,15.2180436631,1.581356044
SRX3686786,16.7246974129,1.8607260903
SRX3686785,17.8366421701,2.0892154223
SRX3686799,7.3953146163,0.3109623755
SRX3686797,9.4296414355,0.8416682464
SRX3686798,7.9395291656,0.4023567592
SRX3686746,11.8896127325,1.2501083556
SRX3686748,13.0722012942,1.4988647240000001
SRX3686747,12.0525294274,1.2609606345
SRX3686773,12.0236011341,1.3234345458
SRX3686774,7.4157492922,0.5826531806
SRX3686775,5.8524237706,0.36934906900000003
SRX3686754,12.9102828161,1.2944839992000001
SRX3686753,11.6583264516,1.1598495924
SRX3686752,13.8059299795,1.5689368921
SRX3686780,14.0251744507,1.5579027873
SRX3686779,11.7658178113,1.1474212743
SRX3686781,9.7228598539,0.783713446
SRX3686806,9.7266820683,0.5315690765000001
SRX3686805,11.7791730919,0.9359935978
SRX3686758,16.1795805921,1.8276355628
SRX3686760,16.8150247808,1.9640246426
SRX3686759,17.3638967375,2.0638012556
SRX3686810,14.9501567317,1.6398572281
SRX3686811,11.6589289859,0.7456675994
SRX3686812,13.1659911346,1.2237322768
SRX3686813,15.8473212944,1.975845909
SRX3686815,15.9003652764,1.8504172932
SRX3686816,15.2064041655,1.6556663792
SRX3686823,17.9535125941,2.2243729768
SRX3686824,14.7476216463,1.6089648474
SRX3686825,17.7234542481,2.2971754945000002
SRX3686827,15.6372078617,1.6244358755000001
SRX3686826,17.016650664,1.8608611916000002
SRX7054191,0.45248385820000003,0.2065891243
SRX7054189,0.2114980195,0.12720259
SRX7054190,-0.6639818776,-0.3337917143
SRX7054193,-8.2285211272,-1.8432609607
SRX7054192,-13.7041136451,-2.7747882805
SRX7054194,-13.6984624243,-2.763704058
SRX4506284,2.6227200774,-0.48563398830000004
SRX4506280,3.644665947,-0.2681784371
SRX4506282,2.7568341344,-0.3067112487
SRX4506278,2.9276717999,-0.4305796336
SRX4506274,0.1056531114,0.0453047816
SRX4506273,-0.28017746520000003,-0.16635898070000002
SRX4506271,0.5827961319,0.044017052800000005
SRX4506276,-0.4082717782,0.0770371464
SRX4506283,-0.9813914473,0.1921356408
SRX4506279,-0.9850725932000001,0.20167908110000002
SRX4506285,-1.3842750697000001,0.2724295356
SRX4506281,-1.2288713422,0.0854506079
SRX4506275,-0.3760142877,0.1007552263
SRX4506277,0.1953114094,0.2136798922
SRX4506272,-0.5719436639000001,-0.016822613400000002
SRX2923393,0.0548419871,-0.008705057700000001
SRX2923394,-0.0548419871,0.008705057700000001
SRX2923398,6.2913844632,-0.7751650274
SRX2923397,10.5030149185,0.4914101051
SRX2923395,-2.9467285075,-0.6630607192
SRX2923396,-2.3640529143,-0.4634214089
SRX2923400,17.6823322913,1.9282651284
SRX2923401,14.7601098201,1.5196303816999999
SRX2923403,-3.5904284105,-0.8014055245
SRX2923402,-1.0680105967,-0.7979053867
SRX6853288,-1.8778366429000002,-0.5318345079
SRX6853287,-1.6338363637,-0.5278515359
SRX6853286,-1.5234847911,-0.2658850667
SRX6853284,-1.6982663865,-0.5566288977
SRX6853285,-1.7224105137999999,-0.5761522391
SRX6853283,3.4206769003,1.1327811368
SRX4319040,-0.4209254528,-0.019823302600000002
SRX4319041,-0.2964930227,-0.0796453468
SRX4319039,0.7174184755,0.0994686494
SRX4314613,0.9434258669000001,-0.6979139706
SRX4314614,-0.4074567804,-0.7747228930000001
SRX4314615,2.7778565699,-0.32833066850000003
SRX4314632,0.9160006407,-0.4427268132
SRX4314631,3.9874934661,0.13846769820000002
SRX4314633,1.4609682594,-0.5300304905000001
SRX4314622,2.5358763979,0.0090766978
SRX4314623,4.612146017,0.11018949980000001
SRX4314624,5.8511114789,0.2768762154
SRX4314611,0.08953649080000001,-0.0919463372
SRX4314610,0.0335407239,-0.0387089002
SRX4314612,-0.1230772147,0.1306552374
SRX4314630,0.0639685508,-0.2353013334
SRX4314628,1.0861710123,-0.056133766200000004
SRX4314629,-0.0601042264,-0.1754081785
SRX4314619,-0.2590396707,-0.051761064100000004
SRX4314621,-0.26509604670000003,-0.1615035069
SRX4314620,-0.2009892717,-0.123175246
SRX7119390,0.1680973388,0.1342611121
SRX7119388,-0.1680973388,-0.1342611121
SRX7119386,6.8921124556,1.1207783443000001
SRX7119385,9.8253201031,1.700720702
SRX7119387,8.7333893904,1.9001802289
SRX3746749,-4.5114705756,0.522667006
SRX3746748,-4.5963835196,0.6361528782
SRX3746751,2.1427383314,0.11470623790000001
SRX3746750,-1.2825377296,-0.1321311814
SRX3746752,0.23791989870000002,0.0386193236
SRX3746753,0.8673976535,-0.0893500269
SRX3746755,-0.042185277300000004,-0.052604413
SRX3746754,0.042185277300000004,0.052604413
SRX2345943,-1.5727914992,-0.1794259233
SRX2345942,1.5727914992,0.1794259233
SRX2345941,-1.004787519,-1.0320510784
SRX2345940,-0.3413704976,-0.9554665842000001
SRX3992217,0.6041409686,0.0955590883
SRX3992216,0.4910679436,-0.1665598379
SRX3992214,-0.944308067,0.09743502600000001
SRX3992215,-1.2208735468,0.5997303597
SRX3992221,-0.8840206746,0.7731742597
SRX3992220,-1.0167132992,0.1454862847
SRX3992219,3.3683801739,-0.1485951788
SRX3992218,3.0675422883,-0.7674736157000001
SRX3992201,3.038667041,-0.8807653701
SRX3992200,2.2697010517000002,-0.24834948410000002
SRX3992198,0.34788496280000003,-0.0295468444
SRX3992199,0.550748467,-0.28641534150000003
SRX3992202,0.2168413683,-0.0290328308
SRX3992203,0.09582757210000001,0.1130482532
SRX3992204,0.9059204403000001,0.1200375092
SRX3992205,-0.4427820596,0.35205609
SRX3992206,0.5637529002,0.1914684328
SRX3992207,-0.3572282618,0.2866999585
SRX3992209,2.7806004858,-0.0507627198
SRX3992208,2.5077946357,-0.2806922631
SRX3992212,2.6532235526,-0.2536103554
SRX3992213,2.8665320865,0.012082868600000001
SRX3992210,0.2679843153,-0.1363703749
SRX3992211,-0.2679843153,0.1363703749
SRX357084,-0.156210285,0.0113203755
SRX357083,0.156210285,-0.0113203755
SRX4647134,-0.0338832473,0.3234100599
SRX4647137,-0.3628434841,-0.056256904100000005
SRX4647136,-0.37303691580000004,0.13481136430000001
SRX4647135,-0.37325862260000003,0.2247545393
SRX4647139,-0.1997484797,-0.017043367
SRX4647141,0.0015892145,0.0403144608
SRX4647140,0.0550100608,-0.0468800538
SRX4647138,0.14314920450000002,0.0236089599
SRX4647128,-0.9121316982000001,0.23876339770000002
SRX4647127,-1.1774360924,0.1807499103
SRX4647129,-1.3314034817,0.1734407073
SRX4647126,-0.9316717592,0.20324796950000001
SRX4647133,-1.0417337848,0.4709122438
SRX4647132,-0.9962309261000001,0.5493546725
SRX4647131,-1.4522384835,0.4017360075
SRX4647130,0.3682739257,0.3365465481
SRX6923924,1.2183121816,-0.2547688946
SRX6923925,-0.33796881840000004,-0.21391860070000002
SRX6923923,-0.8059123017,-0.7049837097
SRX6923922,-0.015388213100000001,-1.7395633825
SRX6923939,-0.1177203888,0.0835695878
SRX6923938,0.1177203888,-0.0835695878
SRX6923936,0.5644259582,0.07192021550000001
SRX6923937,0.09913504120000001,0.2341505433
SRX5509428,-0.034892419,0.0512163671
SRX5509427,0.034892419,-0.0512163671
SRX1882560,-19.1173430256,-1.2887913826
SRX1882558,-18.6995535758,-1.3368454954
SRX1882559,-18.997047977,-1.3089289093
SRX1882561,-19.5934678001,-1.5475362612999999
SRX1882563,-20.0820760117,-1.5657054494
SRX1882562,-20.1899039727,-1.5712549189
SRX1882565,-15.7792000032,-0.4279539948
SRX1882566,-16.0977972253,-0.5901875616000001
SRX1882564,-15.5988126118,-0.4716643626
SRX1882568,-15.717938784,-0.3819819967
SRX1882567,-15.8954637842,-0.4341265747
SRX1882569,-16.2023644952,-0.5453644987
SRX1882555,0.0170427747,0.0051834512000000004
SRX1882557,0.0027104971,0.0709453876
SRX1882556,-0.0197532718,-0.0761288388
SRX5088615,7.4142368029,0.757201091
SRX5088616,9.320776671,1.3911764070000001
SRX6845150,4.0343346142,-0.6399403486
SRX6845149,6.1064952338,-0.2694598264
SRX6845151,1.2904053823,-0.1380828091
SRX6845152,1.8810289189,0.1648298779
SRX6845145,6.3792812221,-0.5445185097
SRX6845146,3.6626757786,-1.0700151343
SRX6845142,2.0383552764,-0.8805526376
SRX6845141,1.5843177583,-0.8814671597
SRX6845144,0.3540870856,0.2960239752
SRX6845143,-0.3540870856,-0.2960239752
SRX5605051,0.38455429700000004,-0.1632820748
SRX5605045,-0.38455429700000004,0.1632820748
SRX5605060,-0.9484623562000001,-0.43970198380000003
SRX5605059,-0.9535227819000001,-0.5488563442000001
SRX2382017,2.1692063064,0.4031240856
SRX2382024,-2.1692063064,-0.4031240856
SRX2382027,-3.350970059,-0.1551416422
SRX2382029,-4.0072370644,-0.3240989506
SRX2382217,-2.9745620093,-0.2193616169
SRX2382023,-3.525898083,-0.6038031914
SRX2382218,-1.4754538388,-0.23064268940000002
SRX2382219,-2.4949444936000003,-0.6867707301
SRX2382213,-3.6575571117,-0.2092317561
SRX2382019,-4.0648344789,-0.0333694702
SRX2382214,-1.5023811804,-0.1633422535
SRX2382215,-2.489050397,-0.2409768301
SRX2382020,1.0910720727,-0.20204704380000002
SRX2382216,1.0043873252,-0.6918836714000001
SRX2382022,-1.3441574924,-0.2044633794
SRX2382033,-2.4621221028,-0.0988851513
SRX2382220,4.6169896085,-0.4320161873
SRX2382222,4.3571012262,-0.2355538398
SRX2382030,3.2819681692,-0.3508409529
SRX4506350,-0.0377044244,0.0622265584
SRX4506352,0.281875558,-0.020916525300000002
SRX4506354,-0.11722710230000001,-0.043024929100000005
SRX4506348,0.1242750433,-0.0037094281000000003
SRX4506346,0.030938126200000002,0.0011543182
SRX4506344,-0.1552131696,0.0025551098
SRX4506351,0.2410975612,-0.15807468460000001
SRX4506353,-0.4227250558,-0.2535966834
SRX4506355,-0.2383458961,-0.32334233700000004
SRX4506349,-0.2623977316,-0.3022474235
SRX4506345,0.2483881018,-0.2565402012
SRX4506347,-0.3250340152,-0.2863634195
SRX4514122,-0.6908446245000001,-0.3970275434
SRX4514124,0.6422441932,0.3470840726
SRX4514126,0.6217547848,0.31656951
SRX4514120,0.5344001858,-0.1810457853
SRX4514112,-0.24442727700000003,-0.2416577791
SRX4514116,0.5713657731,0.30507776740000003
SRX4514118,0.1292212287,0.3603722372
SRX4514114,-0.4561597249,-0.4237922254
SRX4514121,-0.4056844974,-0.4497331419
SRX4514125,0.6495994198,0.25159001140000004
SRX4514127,0.5993761666,0.2066694134
SRX4514123,-0.3119218648,-0.3380905377
SRX4514115,-1.0474915603,-0.4901185682
SRX4514117,0.3659375869,0.2902749867
SRX4514113,-0.3189077623,-0.1719204574
SRX4514119,0.48706512700000004,0.3178340062
SRX958308,3.9773912941000003,-0.159012923
SRX958306,5.1969104185,0.0063043684000000004
SRX958307,5.5787160505,-0.006257111
SRX958313,-2.2433097409,-0.2403561515
SRX958312,-6.4420182918,-0.9508591986
SRX958314,8.6853280327,1.1912153501
SRX958320,-14.4604945139,-2.4615622090000002
SRX958318,-13.2994839237,-2.2751767595
SRX958319,-14.2203447141,-2.3539403134
SRX958323,6.0461926349,0.2668732763
SRX958322,1.5752241607,-0.4293743712
SRX958321,0.0707906676,-0.6823986283
SRX958310,-11.6579754233,-1.699718394
SRX958309,-13.7877062351,-2.4378468453
SRX958311,-11.4815847196,-1.6188181754
SRX958317,-9.8275783162,-1.936227133
SRX958315,-11.3922174184,-2.3722476854
SRX958316,-10.9669372239,-2.3590744854
SRX958324,-13.7662653565,-2.624264406
SRX958325,-13.9704222283,-2.4406192924
SRX4498322,-0.1232291346,0.16546341720000002
SRX4498318,0.2896529204,-0.2326193051
SRX4498320,-0.4210824214,-0.010215176000000001
SRX4498316,-0.9841947987,-0.1221546404
SRX4498312,-0.0782372137,0.0382288082
SRX4498308,0.2716447383,0.0316644051
SRX4498314,-0.15069789050000001,-0.10294230280000001
SRX4498310,-0.0427096342,0.0330490894
SRX4498319,3.3657066527,-1.292861259
SRX4498317,4.0778327921,-1.9036474959
SRX4498311,-0.6236893752,0.22964492190000002
SRX4498315,-1.4275844256,0.3847287131
SRX4498309,-0.6661159565,0.2117238799
SRX4498313,-0.5682470311,0.2955688949
SRX4615568,-1.4914984562,0.36385978210000003
