,A,sigI
SRX3686807,5.2781047535,0.2261174874
SRX3686808,4.3918233483,0.37054167600000004
SRX3686787,5.1066541724,-0.18790579870000002
SRX3686786,5.4499366189,-0.35075705030000004
SRX3686785,6.4392706369,-0.4003982316
SRX3686799,3.4345194226,0.1027499397
SRX3686797,4.271794417,-0.0607802205
SRX3686798,2.9188728867,0.1428518454
SRX3686746,5.8886107539,0.166227296
SRX3686748,5.6401029727,0.2303100857
SRX3686747,5.7234950744,0.140784028
SRX3686773,9.3301405702,-0.34406202080000003
SRX3686774,9.4682081366,-0.37175529360000004
SRX3686775,8.3735441469,-0.5633029743
SRX3686754,3.7980427864,0.0305096067
SRX3686753,3.9458798299,0.23922356560000002
SRX3686752,4.5611858184,0.063616093
SRX3686780,5.1730777798,-0.11369514260000001
SRX3686779,5.2340106011,-0.1385225598
SRX3686781,4.3195018727,-0.1578169577
SRX3686806,3.4633756999,-0.13068583150000002
SRX3686805,4.0031173122,0.0631116257
SRX3686758,3.7714573968,-0.0502566059
SRX3686760,3.5712576001,0.1441186681
SRX3686759,3.9881206387,0.0827706978
SRX3686810,6.5748169196,-0.2139624829
SRX3686811,4.513474168,-0.225505159
SRX3686812,5.0763159024,-0.1936398172
SRX3686813,11.3008755006,-0.3723677234
SRX3686815,8.1111414583,-0.3603714785
SRX3686816,7.7756990519,-0.5137690155
SRX3686823,10.4015873326,-0.2230078769
SRX3686824,8.9371555045,-0.0425829135
SRX3686825,6.3583795002,-0.3544690187
SRX3686827,6.8725583167,-0.48753761090000003
SRX3686826,7.3339599404,-0.5601288605
SRX7054191,-0.0145132231,-0.0430672567
SRX7054189,-0.0182883738,0.1116465532
SRX7054190,0.0328015969,-0.0685792965
SRX7054193,-3.8478966886,0.7592767263
SRX7054192,-7.9976745466,0.7946712651000001
SRX7054194,-7.888458001,0.8987111771
SRX4506284,-10.0667137847,-0.8828271242
SRX4506280,-10.3013720199,-0.16238082110000002
SRX4506282,-10.6271037982,0.040719174600000005
SRX4506278,-10.1079178833,0.0051998798
SRX4506274,0.39052547860000003,0.22873544070000001
SRX4506273,-0.3339175659,-0.136977856
SRX4506271,-0.24465606350000002,-0.0872201601
SRX4506276,0.1880481508,-0.0045374246
SRX4506283,-4.3020379135,0.24053985600000002
SRX4506279,-4.2387260552,0.17274688100000002
SRX4506285,-4.5890516042,0.17279059100000002
SRX4506281,-3.9445190864,0.2176135897
SRX4506275,-1.6542621121,-0.0414048613
SRX4506277,-2.4102270841,0.2160442535
SRX4506272,-2.6239627852,-0.21808822690000002
SRX2923393,0.3213848607,-0.0631745439
SRX2923394,-0.3213848607,0.0631745439
SRX2923398,8.8818544318,-1.7121441033
SRX2923397,5.3416687513,0.8041345895
SRX2923395,4.8397442205,-0.12640516570000002
SRX2923396,4.9245334465,-0.47807737510000003
SRX2923400,-5.2433170262,-1.5038636733000001
SRX2923401,-5.1155872571,-1.1473344167
SRX2923403,-1.8790682193000001,0.5654538954
SRX2923402,-2.4897780895,0.8160372810000001
SRX6853288,2.6378467415999998,-0.4286163403
SRX6853287,0.6592220187000001,-0.0767165637
SRX6853286,-0.369273469,-0.2049782365
SRX6853284,-0.4051762514,-0.0208239382
SRX6853285,1.3871445395,-0.2491199402
SRX6853283,-0.9819682881,0.2699438784
SRX4319040,-0.053531161,0.1538345895
SRX4319041,0.0224970638,-0.1942449725
SRX4319039,0.031034097200000003,0.040410383
SRX4314613,5.0377003805,-0.8961606647
SRX4314614,7.0142099812,-0.6795197767000001
SRX4314615,7.6636167186,-0.9643200773
SRX4314632,9.2251557251,-0.8382520684
SRX4314631,9.3300316798,-0.41245624550000004
SRX4314633,9.1255593075,-0.8900553374
SRX4314622,12.7849784821,-1.1583989193
SRX4314623,11.7054292542,-1.5733791787
SRX4314624,11.6072457345,-1.0716023273
SRX4314611,0.389137496,0.1720776884
SRX4314610,-0.0158665193,0.0543428491
SRX4314612,-0.37327097670000003,-0.22642053750000002
SRX4314630,4.1576297666,-0.2682100981
SRX4314628,4.1705934907,-0.033503293600000005
SRX4314629,4.0823360413,0.07993799310000001
SRX4314619,3.6289692867000003,-0.0049145311
SRX4314621,3.3981495298,0.7214265529
SRX4314620,3.5482818664,0.3191318858
SRX7119390,-0.16837743200000002,0.2801080157
SRX7119388,0.16837743200000002,-0.2801080157
SRX7119386,-1.1597445132,0.6223746026
SRX7119385,1.6575836602,0.4949146904
SRX7119387,-1.0872833123,0.6543360116
SRX3746749,-4.5540995418,1.5585928303
SRX3746748,-4.5806198047,1.1829922714
SRX3746751,1.8222106008,-1.5528430847
SRX3746750,0.16466091200000002,-0.2610944749
SRX3746752,-0.6104479475,0.0167381986
SRX3746753,0.1278041801,-0.8312028259
SRX3746755,0.029384828300000002,-0.3732269462
SRX3746754,-0.029384828300000002,0.3732269462
SRX2345943,-0.3763605909,-0.002178685
SRX2345942,0.3763605909,0.002178685
SRX2345941,-0.4463533416,0.19531175620000002
SRX2345940,-1.3355104216,0.6829678725
SRX3992217,1.6886625407,-0.3183568786
SRX3992216,0.42221473530000003,-0.176255506
SRX3992214,-8.113948764,0.8912468958
SRX3992215,-5.6135607481,0.6641053422000001
SRX3992221,-4.5239227897,0.6712936858
SRX3992220,-7.4653383555,0.8797125792
SRX3992219,1.6422469006,-1.159027399
SRX3992218,0.6872840888,-1.2535129909
SRX3992201,0.3451074779,-1.1929049489
SRX3992200,1.4928929557,-1.3652660901
SRX3992198,1.9053481858999999,-0.20810789100000002
SRX3992199,0.6834991864000001,-0.14787093440000001
SRX3992202,-0.9063203807,0.113171926
SRX3992203,0.5218652650000001,-0.023864178200000002
SRX3992204,-8.7101715055,1.4960537517999999
SRX3992205,-5.3737106811,1.1281626218
SRX3992206,-8.5404444786,1.4154034689000001
SRX3992207,-5.1467708004,1.196202245
SRX3992209,2.1097915838,-0.8155724534000001
SRX3992208,1.0515523588,-1.2000477735
SRX3992212,0.8763233460000001,-1.016237126
SRX3992213,1.5654310114999999,-0.9847088097000001
SRX3992210,-0.1626339183,-0.012000046200000001
SRX3992211,0.1626339183,0.012000046200000001
SRX357084,0.23162009320000002,0.0529390006
SRX357083,-0.23162009320000002,-0.0529390006
SRX4647134,2.2314168193,-0.0116214853
SRX4647137,0.34230898330000004,-0.3335708763
SRX4647136,2.1113401562,0.1874409564
SRX4647135,2.4118005108,0.0729004047
SRX4647139,0.2348103288,-0.031544013
SRX4647141,-0.4237755821,-0.008866033
SRX4647140,-0.1398552194,0.003102772
SRX4647138,0.3288204726,0.0373072739
SRX4647128,9.9579387545,-0.17546420270000002
SRX4647127,9.9811529319,0.0517933738
SRX4647129,10.4983234968,-0.42825786930000004
SRX4647126,10.1552785091,-0.0756577503
SRX4647133,8.05088017,-0.09636565250000001
SRX4647132,8.8352705085,-0.1989785118
SRX4647131,8.8769382625,-0.2082822147
SRX4647130,8.6421436185,-0.36255819640000003
SRX6923924,-0.20394552370000002,-1.3339023798
SRX6923925,-0.4223926039,-1.1109036608
SRX6923923,-1.476459156,0.2055851163
SRX6923922,-1.0352861239,-0.0857226487
SRX6923939,0.1638129225,0.26653128930000003
SRX6923938,-0.1638129225,-0.26653128930000003
SRX6923936,-1.1660286363,0.1276290015
SRX6923937,-0.7687805356,0.035147049
SRX5509428,0.4493938344,-0.0715417031
SRX5509427,-0.4493938344,0.0715417031
SRX1882560,-0.4685498758,1.5502915437
SRX1882558,-0.8775268074,1.6259547365
SRX1882559,-0.6556319932,1.5975202484
SRX1882561,-1.5210780149,1.5455877841999999
SRX1882563,-1.7076638546,1.7366471835000001
SRX1882562,-1.5579571375999999,1.5462621861999999
SRX1882565,-3.4184754512,1.6344390222
SRX1882566,-3.627385462,1.7131564631
SRX1882564,-3.6105186339,1.4503383767
SRX1882568,-3.4967601635,1.503530585
SRX1882567,-3.8146623836,1.4335608536
SRX1882569,-3.6393124933000003,1.4218025237
SRX1882555,-0.1046262708,-0.055587519
SRX1882557,0.045577938900000003,-0.12362503700000001
SRX1882556,0.059048332,0.17921255600000002
SRX5088615,-11.7316571761,0.8608481578
SRX5088616,-10.6027610723,0.9055102242
SRX6845150,-4.9982151546,0.8332371579000001
SRX6845149,-8.3539339708,1.0990319538
SRX6845151,0.2210478969,0.1350829124
SRX6845152,-0.6693284463,-0.4314864008
SRX6845145,-6.985086623,0.6638559409
SRX6845146,-8.090146568,1.0051262395
SRX6845142,-1.4799809896,-0.3979272257
SRX6845141,-2.0913297636,-0.0961956023
SRX6845144,-0.20985320500000001,-0.1402398483
SRX6845143,0.20985320500000001,0.1402398483
SRX5605051,-0.2313835385,-0.24839787630000001
SRX5605045,0.2313835385,0.24839787630000001
SRX5605060,-0.47143130110000003,-0.2982789267
SRX5605059,-0.49230256200000005,-0.2677822968
SRX2382017,0.2558654414,-0.0610557443
SRX2382024,-0.2558654414,0.0610557443
SRX2382027,5.9861643804,-0.6882380948
SRX2382029,6.3242137813,-0.3542942904
SRX2382217,4.0000874356,-0.6049541623
SRX2382023,2.5558755701,-0.39562033690000004
SRX2382218,-8.1500340653,-0.8514237226
SRX2382219,-0.6137809984,0.0419022939
SRX2382213,7.7955990314,-1.0833956398
SRX2382019,8.1419032593,-0.8406787621
SRX2382214,1.7142926759,-0.2194965795
SRX2382215,2.193684609,0.1408471122
SRX2382020,1.8946668245,0.9916554301
SRX2382216,0.23761350520000002,1.480209934
SRX2382022,2.2316779014,-0.6722104227
SRX2382033,-0.5575062936,-0.2044007435
SRX2382220,-0.6460922425,2.8337360873
SRX2382222,-0.0838383352,2.7494873402
SRX2382030,-2.0225924305,2.8581079634
SRX4506350,-0.2518878064,0.0523855665
SRX4506352,-0.34577323990000003,0.1595167708
SRX4506354,-0.7950945516,0.3064662658
SRX4506348,-0.0346924162,-0.0318388948
SRX4506346,0.0489270765,0.0789894225
SRX4506344,-0.0142346603,-0.0471505277
SRX4506351,4.3824868179,-0.7370798095000001
SRX4506353,4.2905878296,-0.7514210964
SRX4506355,4.1435698843,-0.6821965590000001
SRX4506349,4.3663309005,-0.3312356309
SRX4506345,4.2103101116,-0.3685982024
SRX4506347,4.9596715364,-0.6024177073
SRX4514122,-5.9469356945000005,-0.28184034010000003
SRX4514124,4.8248116589,0.2730135207
SRX4514126,4.8460296961000005,0.15457054110000001
SRX4514120,-5.911095019,-0.0158859007
SRX4514112,-5.4242208339,0.19677620580000002
SRX4514116,5.4294242549,0.1813507972
SRX4514118,5.3384391276,-0.0868300357
SRX4514114,-5.3436425486,-0.2912969673
SRX4514121,-6.1559049444,-0.0601286506
SRX4514125,4.8137270772,-0.0023370156000000002
SRX4514127,4.8702530566,-0.1853046345
SRX4514123,-5.9811666398,-0.2375158819
SRX4514115,-5.8123699741,-0.1075903478
SRX4514117,5.5979845983,-0.155600428
SRX4514113,-5.6171714382,0.0197597279
SRX4514119,5.2956141008,0.1468743887
SRX958308,5.9223265945,-0.6730545429
SRX958306,5.2209616076,0.0544064898
SRX958307,6.0685148057,-0.4055764582
SRX958313,-0.012020177600000001,0.0453197178
SRX958312,-1.8305775204999999,0.1372201531
SRX958314,1.8425976981,-0.1825398709
SRX958320,-1.8045898342000002,0.0059324167
SRX958318,-0.36389035210000004,-0.48722722970000004
SRX958319,0.2320933583,-0.0851271051
SRX958323,5.57618511,-0.7493037378
SRX958322,3.8520660253,-1.0924929552
SRX958321,4.6552020687999995,-1.0504086962
SRX958310,1.4352207252,-0.2103401526
SRX958309,1.4112611838,-0.3835467548
SRX958311,0.8813976689,0.06284682400000001
SRX958317,-0.7908211717,-0.053456662200000005
SRX958315,-1.293815175,-0.0634978316
SRX958316,-1.1554152743000001,-0.1773658894
SRX958324,3.4394555231,-0.4632851754
SRX958325,3.4514767611,-0.48777116740000004
SRX4498322,-0.1447044208,0.4446059021
SRX4498318,-0.49280263,0.5334117587
SRX4498320,0.23674559650000002,-0.15507419660000002
SRX4498316,-0.2574400482,0.1024203619
SRX4498312,0.044727235500000004,-0.1945626115
SRX4498308,-0.10805444400000001,0.1264869239
SRX4498314,0.1334768757,0.1888505222
SRX4498310,-0.07014966710000001,-0.1207748346
SRX4498319,-6.1370401489,-0.44836322240000004
SRX4498317,-6.3774562502,-0.9585684601000001
