,A,Rv0135c,Rv1019
SRX4498226,-0.6557185381,0.08875298920000001,-0.1943774183
SRX4498218,-0.0687692328,0.0564247832,-0.0344165735
SRX4498216,0.1205162226,-0.091087531,0.0066149065
SRX4498220,0.3432895282,0.0016302297,-0.076873036
SRX4498222,-0.395036518,0.0330325181,0.1046747031
SRX4498225,0.9315255356000001,-0.1340248379,-0.6822932401
SRX4498227,1.0714496399,0.08883117900000001,-0.5089210877
SRX4498231,1.2578277511,0.0133115982,-0.5463704457
SRX4498229,1.2043821561,-0.013091896,-0.5246086713
SRX4498217,1.0407147356,0.0939739437,-0.513530583
SRX4498221,0.9756631737,0.0408146687,-0.5351670914000001
SRX4498219,0.9511290632,0.0662688129,-0.5111834976
SRX4498223,0.8782072871000001,-0.011542216800000001,-0.5937368273
SRX5079928,-0.9809726347000001,0.2979773133,0.1449494988
SRX5079930,-0.3895013069,0.4001296399,0.1662603557
SRX5079929,-0.19353742370000002,0.45148816410000003,0.1853396161
SRX5079923,-2.2687181789,0.2136838012,0.07645556270000001
SRX5079924,-1.4454130004999999,0.1229396606,0.1669044962
SRX5079922,-1.8254636004,0.22626722500000002,0.1489514692
SRX5079920,-0.3140628536,-0.0295027599,-0.013444854400000001
SRX5079921,0.4506883762,-0.0144862875,-0.0333546625
SRX5079919,-0.1366255226,0.0439890474,0.046799517000000006
SRX5079926,-1.7603427843000001,0.4428852579,0.1455119989
SRX5079925,-1.170980306,0.5011655892,0.177189077
SRX5079927,-1.6772031587,0.3024743326,0.0743182446
SRX894005,1.083804476,1.2261800112,0.8224567416
SRX894004,0.46557367200000005,1.1640257479,0.737282592
SRX894006,0.18359618430000002,1.1956750748,0.5259508558
SRX893999,0.5829763716,-0.08002891570000001,0.0785636895
SRX894000,0.012492509300000001,0.1438914655,0.0183705792
SRX893998,-0.5954688808,-0.06386254970000001,-0.0969342687
SRX4647489,0.1688534685,0.0238854168,0.035880441
SRX4647490,-0.1688534685,-0.0238854168,-0.035880441
SRX4647492,-0.2590975943,0.012850130900000001,-0.0041677857
SRX4647491,0.0750268472,-0.0563277598,-0.0227356505
SRX4647496,-0.09321366880000001,0.0600862902,-0.178248277
SRX4647495,-0.1617440132,-0.015207009,-0.000393926
SRX4647499,-0.1436391538,0.053295085000000006,-0.0703827779
SRX4647500,-0.0391513135,0.1098654168,-0.0149951418
SRX4647493,0.6005486285,-0.1451958951,-0.3114202269
