,A,sigK
SRX5388962,-0.8872262267000001,-1.2950298660000001
SRX5388963,-1.405182603,-1.3438623634
SRX6889335,-0.7626894740000001,-0.1013098924
SRX6889333,0.7626894740000001,0.1013098924
SRX6810002,-0.0465419819,0.38039937030000004
SRX6810004,0.0721511833,-0.3264969804
SRX6810003,-0.025609201300000002,-0.0539023899
SRX6810006,-1.1080916714,-0.32016308200000004
SRX6810005,-0.48461074810000004,-0.1299464782
SRX6810007,-0.8090728506,0.035838019000000006
ERX1818322,-0.9186824748,-0.041480916900000005
ERX1818321,0.9186824748,0.041480916900000005
SRX2617830,12.1341730139,0.6378529581
SRX2617831,11.9922608093,0.6867884356
SRX2617833,14.3437722946,0.6084762312
SRX2617832,14.5142738274,0.7416601641
SRX2617828,-0.46163076680000004,-0.0355623796
SRX2617827,-0.5117039428,0.0350241026
SRX2617829,0.9733347096,0.000538277
SRX3456119,0.1819342402,-0.5536417214
SRX3456118,-0.2278483949,0.3423817873
SRX3456117,-0.11021811990000001,0.6805363261
SRX3456101,-0.5097431707,-0.140851329
SRX3456099,0.32855113620000004,0.5780092328
SRX3456100,0.1811920346,-0.4371579038
SRX3456107,-5.3726566261,3.7249028871
SRX3456105,-5.6817267912,3.4655054711
SRX4374122,-1.1000902575,-0.5028931149
SRX4374121,-0.6700487988,-0.4428050846
SRX4374123,-0.9544581826,-0.6270290135000001
SRX4374124,0.6739925925,0.1862725254
SRX4374125,-0.5942045738,-0.06845928550000001
SRX4374126,-0.0797880187,-0.1178132399
SRX4374127,0.1499413312,-0.2409713305
SRX4374128,-0.4781319925,0.33105888370000003
SRX4374129,-1.1571897046,-0.5377240855000001
SRX4374130,-0.050875264100000005,-0.11261600100000001
SRX4374132,-0.9635798087,-0.3713789463
SRX4374131,-1.1565977159,-0.18529162300000002
SRX4374133,-1.1252878204,-0.2563913386
SRX4374135,-1.5785272509000001,-0.685792704
SRX4374134,-1.4975638277,-0.4722855134
SRX4374138,-0.5110254749,-0.5308951458
SRX4374136,0.25899533950000003,0.008120990100000001
SRX4374137,-0.0447214474,-0.1668813556
SRX1091379,1.1326964946,0.38761371450000004
SRX1091380,1.2401674032,0.4341226775
SRX1091377,0.0252119454,0.0204550789
SRX1091378,-0.0252119454,-0.0204550789
SRX4647145,0.0478533188,0.14226527020000002
SRX4647146,0.0100138953,0.2784341063
SRX4647147,0.1040220157,0.1813716233
SRX4647144,-0.0895371617,0.0584394798
SRX4647143,0.1692196312,-0.0549942198
SRX4647142,-0.0796824696,-0.00344526
SRX4647155,-2.0730439287,0.6302713862
SRX4647152,-2.269857714,0.5906781129
SRX4647153,-2.1701841389,0.5808443667000001
SRX4647154,-2.4852150091,0.4137748741
SRX4647148,-1.3610178188,0.6990866787000001
SRX4647149,-1.3162830776,0.6460070018
SRX4647151,-1.0768126516,0.8062851766
SRX4647150,-1.2808048982,0.6663112701
SRX4647123,-0.2516303405,-0.1201315429
SRX4647124,0.0836973243,0.08196969280000001
SRX4647125,0.1679330162,0.0381618501
SRX3103185,-0.9307122433,0.053195822000000004
SRX3103189,-0.8894866565,0.0572162879
SRX3103187,-0.11536322530000001,-0.1559574001
SRX3103184,-0.1361094048,0.012709674300000001
SRX3103188,0.0218070634,0.099999247
SRX3103186,0.11430234140000001,-0.1127089213
SRX1372110,1.4255304197,-0.029311666
SRX1372111,1.1107467331,-0.12184858900000001
SRX1372108,-0.39346158480000004,-0.027580784400000002
SRX1372109,0.39346158480000004,0.027580784400000002
SRX4506085,0.15290212050000002,0.13816147
SRX4506083,0.24500605690000002,0.2712520314
SRX4506089,0.0407374007,0.2750256313
SRX4506087,0.1934145969,0.2656014847
SRX4506077,0.1724552198,0.059512701300000005
SRX4506079,-0.24287461200000002,0.13369478540000002
SRX4506075,0.1393512704,-0.23608130260000001
SRX4506081,-0.0689318782,0.0428738158
SRX4506084,1.7071629688,1.0668833731
SRX4506086,1.6849586834,1.1315797076
SRX4506088,1.6585101906,1.0369774818
SRX4506090,1.5375084954,0.9304447371000001
SRX4506078,0.9265242127000001,0.9592386853
