,A,sigK
SRX4498319,6.1265301051,-0.9402922833
SRX4498317,6.3635034602000005,-1.0496603954000001
SRX4498311,-0.5060289405,0.6181727487
SRX4498315,-0.0473227378,0.4056666689
SRX4498309,0.3292551445,0.4578773062
SRX4498313,-0.3405847744,0.5088310315
SRX4615568,0.1573498066,0.34442514160000004
SRX4615570,-0.1573498066,-0.34442514160000004
SRX727246,0.5764900086,0.4549619709
SRX727243,0.6957159792000001,0.8473555944000001
SRX727247,2.0845009668,1.9681771060000002
SRX727244,2.8380244045,2.2323776809
SRX727245,0.7409671035000001,1.6443297956
SRX727248,0.0453466388,1.5777059436
SRX727249,-0.1288988519,-0.3321783421
SRX727251,-0.1836554736,0.09427004330000001
SRX727250,0.3125543255,0.2379082989
SRX4498332,-0.8635311439000001,-0.3042950934
SRX4498334,-0.2146419069,-0.08099382720000001
SRX4498335,-0.5310168838,-0.1777823789
SRX4498337,-0.3633528012,-0.1144111421
SRX4498324,0.4781915404,-0.0534821777
SRX4498326,-0.3153640981,0.2141749486
SRX4498328,-0.0401552965,-0.13654180670000002
SRX4498330,-0.12267214580000001,-0.0241509643
SRX4498336,-1.6348012550000002,-0.5286161718
SRX4498333,-1.7567486796,-0.5576937152
SRX4498338,-2.6883102912,-0.6927924510000001
SRX4498329,0.0089178761,-0.1285166018
SRX4498325,-0.44319675470000003,0.0396993995
SRX4498327,-0.0917749489,-0.1478029531
SRX4498331,-0.18656888100000002,-0.0642028939
