sample,Rv3172c
SRX1091380,1.0487676257
SRX1091377,0.0227042998
SRX1091378,-0.0227042998
SRX4647145,-0.1240699883
SRX4647146,-0.0781771684
SRX4647147,-0.0837437485
SRX4647144,-0.048201776200000004
SRX4647143,0.0617833
SRX4647142,-0.0135815238
SRX4647155,-0.0935729933
SRX4647152,-0.3821030885
SRX4647153,-0.3472750233
SRX4647154,-0.08055133440000001
SRX4647148,-0.3283993354
SRX4647149,-0.3319414445
SRX4647151,-0.3242504731
SRX4647150,-0.487989671
SRX4647123,0.0913867388
SRX4647124,-0.045967868200000005
SRX4647125,-0.0454188706
SRX3103185,-0.2920169359
SRX3103189,-0.0167153441
SRX3103187,-0.7055477976
SRX3103184,0.09379305090000001
SRX3103188,-0.024067985700000002
SRX3103186,-0.0697250652
SRX1372110,-0.0937990891
SRX1372111,0.09187274670000001
SRX1372108,-0.08614914530000001
SRX1372109,0.08614914530000001
SRX4506085,-0.224481423
SRX4506083,-0.4018665736
SRX4506089,-0.3460558896
SRX4506087,-0.3250814369
SRX4506077,0.0943217159
SRX4506079,-0.09279887540000001
SRX4506075,0.1136242734
SRX4506081,-0.1151471139
SRX4506084,-0.7420042809
SRX4506086,-0.4286604583
SRX4506088,-0.4825616473
SRX4506090,-0.5154423369
SRX4506078,-0.2939371888
SRX4506080,-0.5108501281
SRX4506082,-0.2395727057
SRX4506076,-0.2024205456
SRX5352221,-0.7915389967
SRX5352223,-1.1654209635
SRX5352222,-0.7317918971
SRX5352229,1.1643842057
SRX5352227,1.2268131521
SRX5352228,1.074234322
SRX5352231,-1.1441157321
SRX5352232,-1.4420266799
SRX5352230,-1.2862371098
SRX5352225,-0.8207470687
SRX5352224,-0.9233119038000001
SRX5352226,-1.1835697204
SRX5352220,0.1503552656
SRX5352219,-0.11736712740000001
SRX5352218,-0.0329881382
SRX4498228,0.0139870813
SRX4498224,0.1570190888
SRX4498230,0.06962494030000001
SRX4498226,-0.1775941537
SRX4498218,0.105670202
SRX4498216,-0.0039934311
SRX4498220,-0.2568164613
SRX4498222,0.1551396904
SRX4498225,-0.029574670100000002
SRX4498227,-0.2237790194
SRX4498231,-0.056454151
SRX4498229,-0.0508580665
SRX4498217,-0.0453037103
SRX4498221,-0.10693895590000001
SRX4498219,-0.2370035564
SRX4498223,-0.4664208321
SRX5079928,0.009290717300000001
SRX5079930,-0.020817157000000003
SRX5079929,-0.2652495848
SRX5079923,0.0115658351
SRX5079924,0.16732653690000002
SRX5079922,-0.156562911
SRX5079920,0.0779504119
SRX5079921,0.029705937600000003
SRX5079919,-0.1076563495
SRX5079926,0.1707150854
SRX5079925,-0.0021379514
SRX5079927,0.0728421924
SRX894005,-0.20494912540000002
SRX894004,-0.4395392947
SRX894006,-0.9817697604000001
SRX893999,0.2396711595
SRX894000,-0.158238134
SRX893998,-0.0814330255
SRX4647489,0.29524551260000004
SRX4647490,-0.29524551260000004
SRX4647492,0.279590624
SRX4647491,0.2508105451
SRX4647496,0.48666550880000004
SRX4647495,0.3102456755
SRX4647499,0.2524832252
SRX4647500,0.31046399480000003
SRX4647493,0.3237274933
SRX4647494,0.4073492137
SRX4647497,0.1443452084
SRX4647498,0.3049044609
SRX4505482,-0.0273954629
SRX4505486,-0.2245502537
SRX4505484,0.3434947282
SRX4505473,-0.2348415505
SRX4505476,-0.0741474162
SRX4505480,-0.1656875271
SRX4505478,0.0029312355
SRX4505474,0.23690370770000002
SRX4505483,-0.004853214000000001
SRX4505485,0.0210444932
SRX4505487,0.10103811750000001
SRX4505488,0.0935887948
SRX4505481,0.2080549541
SRX4505477,-0.0808140511
SRX4505475,0.18002372400000002
SRX4505479,0.3639305353
SRX4605773,0.1337144263
SRX4605774,0.0346295467
SRX4605772,-0.0249811519
SRX4605771,0.0249811519
SRX5178871,0.366648364
