Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Rv0023,-0.0014831968001849404,0.01715129606620551,0.0013355198032704645,0.0002831215644377033,-0.012817267817390635,-0.007493123661969775,0.006614388045561138,0.009966838472132322,0.005836082117275892,0.006685791352067055,0.00011608615606174123,0.017170691302388925,-0.00011083800289533841,-0.02367221498024205,0.007606521320128049,0.013074240565504897,-0.010090331518476442,-0.007802208450989302,-0.006934645291415453,-0.00013975991388272266,-0.012532018909786195,0.00940545351028949,-0.0038105010061904193,-0.01965475565870648,-0.014295567708555727,-0.008186751722423885,0.0016728181433512475,0.0009677548377217344
Rv0024,0.0034942264758358265,0.008827779117071399,0.005353522701812171,0.006760328799241898,-0.012326797832954232,-0.003604923620961254,-0.0060683852514836125,0.00835269010789098,-0.014986384704223327,0.0028610024691404475,0.0002086381933500079,0.004075489817302753,-0.0016922613567834418,-0.01645690126575342,0.0009329560773260104,0.008952752493626046,-0.009715466552992102,-0.007100012385518692,-0.00041261277758723193,0.0029904720147443703,0.01029610912233851,0.010648188499891523,0.004108664635182286,-0.02208393925392518,-0.00887631164863228,-0.007535373381181863,-0.002045800226078148,0.002004184107174017
Rv0025,-0.012367408989564836,-0.002025815157105743,0.019094296107507683,0.0005294550820264306,-0.02399449904309839,0.004459697890274356,0.0003086504180074862,-0.0033863930670196773,0.01748856651425846,-0.01352561484416145,-0.0020017207322656086,0.00221638243150096,0.0012548254663939929,-0.021008692939991726,-0.0010096820180033014,0.0039426267668175394,-8.497695279640767e-05,-0.005948168751453681,-0.01188002226608243,-0.0019397770171734458,-0.01257331362034396,-0.0001932396142591902,-0.0035139596687543215,-0.02105287413709341,-0.011656761006025865,-0.002189536875670444,0.0058187305226297175,0.009448565259586312
Rv0026,-0.005003170795672185,0.0016528084297402139,-0.004433211455235105,-0.02177454388141361,0.004289260030599345,-0.010601127337796714,-0.0016292649762889011,-0.005193477215073366,0.006109233602078701,0.001725154875925545,0.004502445752110537,0.0017047528894647557,0.0008680259055557305,-0.012535894907168919,0.0032562807889404133,0.0015883194629733853,-0.014046020875756007,-0.0042807414998482785,-0.015443221987910228,0.0034478545092271277,-0.007986411232518647,0.011362042507287055,-0.005251150845783517,-0.008895624825329919,0.01209215862234548,-0.0022828119232963964,0.010513897609960417,0.010595310390480792
Rv0027,0.0052362257948555405,-0.007987157303332838,-0.009717629503681642,0.006499412469993433,0.004675030208711326,-0.005391795315358731,0.014843243075847489,-0.006301629629555237,-0.004547738319410624,0.018876406630674525,0.007205909206061457,0.0037576818006409586,0.0003507798943417883,0.004165473721484781,0.018363582154190514,-0.01785386062326512,0.0038663498649935592,-0.0017828250343633976,0.006137413726888689,0.00684421327194219,0.002075282005082981,-0.011728406046487706,-0.011876459071335537,-0.006617955025266617,-0.004689093527209153,0.0430469720819128,0.013022112983028373,-0.006834311829831621
Rv0028,-0.0026141555777654535,-0.0016173720578121476,-0.0042222019163476844,0.004397132915483287,-0.01805678804312461,-0.0037654569901568635,0.01214090518200195,-0.005927678389597571,0.053344719753965014,-0.004669562038529966,0.011014723973567469,0.010528526681457255,-0.006570679887170772,-0.0046923714050091355,0.004975576313047831,-0.014029168731119711,0.0030662402262625985,-0.005645141016236719,-0.0010834716768307825,0.007833985492484322,-0.000700101199427396,-0.014224738844522676,-0.027144918636829524,-0.008975820517120653,-0.006561924440491709,0.05485665790202781,0.009825054241016378,0.0019897737306696674
Rv0029,-0.009210080774178495,-0.008703330196147165,-0.00028851628587911004,-0.012501280822643717,-0.0083894119974387,-0.005505886425328878,-0.006987021145185297,-0.010544697048832128,-0.0026313501725598017,-0.005023061861875916,-0.008573732339994535,-0.009226112593501213,-0.009892844927597462,-0.0017856867820383931,-0.009397332904142599,-0.0033445392030359705,-0.0013631229294706294,0.0005009688966371242,-0.0064574840862405055,0.0008479287675697886,0.003909920830690224,0.0005336085840836986,-0.00526320291127293,-0.007221106782735,-0.013751814506717377,0.0009014945707889052,0.004768203991279564,-0.016452475379086586
Rv0030,-0.003597333237068575,-0.009654182013013135,0.0005340115857255149,-0.016153960781118436,-0.0017074667711890615,0.002971947439516493,-0.01074004360861923,-0.014178416324420122,-0.01230868772861191,0.0015966645071504005,-0.007866551619692033,-0.0007401815089046967,-0.0011185298585395876,0.00037595593113997125,-0.009407688321735684,0.019353501421197985,-0.005253347631167129,-0.0025726932634273277,-0.006568223313674313,0.008154951905260197,0.010390042536811566,0.0011427542107222124,-0.0073989579787661,0.00588383150919522,-0.003380931904992869,0.009038663499544,-0.027267819435077487,-0.009797146251611879
Rv0032,0.0035822877271220618,0.0039059260119733577,0.011474290967694083,-0.0026669752575621225,-0.004933867273438695,0.005520211086825922,-0.0009617169581323463,-0.006386794989929712,-0.014277527304804359,0.0326919190432185,-0.00010546838978425662,0.007297659240354547,-0.021668021406432793,-0.030676505346771448,-0.02823613574004309,0.00204586299776392,-0.02158648830883826,-0.01571932264571139,-0.00666960017464892,0.0017682328905331375,0.0040752777024605094,0.020134093382787266,0.006617604602642693,-0.015629576759377962,-0.0054491420295635215,0.0021055374530405354,0.03516826100176596,0.0076816229266156565
Rv0033,-0.007227107679718484,0.007996856739804171,-0.0046538063395807116,-0.0007224494294468703,-0.01484237294736417,0.0008667246444061325,-0.006986309613875523,0.0040023532918015544,0.017414029378583492,0.06344617228093702,0.008992047573910358,-0.004047792164596507,-0.009176871343036002,-0.02790413833177582,-0.02159335968262237,-0.008925150934656133,-0.025048069822793267,-0.0009836507844863563,0.010561289157195251,0.013060044455180782,0.01211502244692905,0.004780215055981303,-0.004869361128848186,-0.011301247456331457,0.007346660096881462,0.020621896285814775,0.05743932955032655,0.02505345004668176
Rv0034,-0.00558400353131646,0.0077996850504195095,0.015111754438945253,0.014014908545125873,-0.002320713533270799,-0.003606663211558422,-0.010979907550216451,0.015888539444327242,-0.011723943547797528,-0.014191437977524271,0.0005282410723187738,0.01632904823417131,-0.025094379696685966,-0.02759737867398645,-0.01630339082799278,-0.004127431495098486,-0.021023443841085877,-0.003582291820641849,0.011140283362041876,0.00688623759223497,-0.02757862822480228,0.006900518646308679,0.03397621895022915,-0.01873770335638033,-0.00894712185663135,0.019729458465188945,0.049748667293214296,6.787552687521427e-06
