,A,ideR,whiB4
SRX5388962,2.459680809,1.1696962282,-0.6563166691
SRX5388963,2.5767267728,1.1750518332,-0.7396799819000001
SRX6889335,0.9053717395,-0.032787265600000004,-0.3036202349
SRX6889333,-0.9053717395,0.032787265600000004,0.3036202349
SRX6810002,0.3584530944,0.029316891100000003,-0.0943206229
SRX6810004,-0.1390852624,-0.0132945431,-0.0118882721
SRX6810003,-0.219367832,-0.016022348000000002,0.1062088949
SRX6810006,4.7490179131,0.5992351291,0.37153676680000003
SRX6810005,5.4643193658,0.609192586,0.47095769940000004
SRX6810007,4.2620224941,0.6477747624,0.6000113337
ERX1818322,0.8606826307000001,-0.0154615221,0.3344215904
ERX1818321,-0.8606826307000001,0.0154615221,-0.3344215904
SRX2617830,1.6791234145,0.41561184840000004,0.2136984945
SRX2617831,1.2897188711,0.42085147110000004,0.1369555071
SRX2617833,4.5353189704,0.46781895300000004,0.2017862812
SRX2617832,3.9195659729,0.7650647679,-0.313406801
SRX2617828,-0.40989689370000004,0.049391043600000004,0.0684377461
SRX2617827,-0.1716818152,0.0894473839,0.1199553715
SRX2617829,0.5815787089000001,-0.1388384275,-0.18839311760000002
SRX3456119,1.3570322632,-0.0038705924,0.2625269966
SRX3456118,0.2962086199,0.061761473100000006,-0.2915219892
SRX3456117,0.3561209027,-0.005594408600000001,0.1754643928
SRX3456101,-0.30486821880000003,0.0082683381,0.1844539721
SRX3456099,-0.38471477600000004,0.0810577745,-0.1508071286
SRX3456100,0.6895829948000001,-0.08932611260000001,-0.0336468435
SRX3456107,-7.2193072403,-1.5206879052,1.3301565606999999
SRX3456105,-7.0079638474,-1.2870256168,1.4224593388
SRX4374122,-0.6090830019,0.4331458708,-0.3156512469
SRX4374121,0.09397064570000001,0.30503868160000003,0.035263295300000004
SRX4374123,-0.44691203430000004,0.0307697019,0.1368631256
SRX4374124,0.2292006789,0.0306810624,0.1435426319
SRX4374125,-0.0274633569,-0.026399131500000002,-0.0907105445
SRX4374126,-0.20173732200000002,-0.0042819309000000005,-0.052832087400000005
SRX4374127,2.9687100592,0.2203127869,0.2312223119
SRX4374128,1.7694584897999999,0.248735492,0.4890258012
SRX4374129,2.8730212581,-0.1070818822,0.1008003563
SRX4374130,4.0019846003,0.0514461077,0.5156355441
SRX4374132,3.3368316546,-0.330433354,0.0934298564
SRX4374131,4.3709825444,-0.0664230489,-0.0213224012
SRX4374133,-0.1490179194,0.41808228010000004,0.0287214116
SRX4374135,-0.2920791099,0.16150365590000001,-0.6527443582
SRX4374134,-0.8163274915000001,0.21733004,-0.3599912286
SRX4374138,2.95792579,-0.34066366600000003,-0.3562272288
SRX4374136,3.3706327188,0.060276478300000005,0.35444489960000003
SRX4374137,3.2297187219,-0.19237875200000001,0.17656186610000002
SRX1091379,4.1960110012,-0.0157722057,0.2229174304
SRX1091380,4.1611971433,-0.025080598000000003,0.3038375457
SRX1091377,0.0254505304,-0.0136904296,0.025424137700000002
SRX1091378,-0.0254505304,0.0136904296,-0.025424137700000002
SRX4647145,-0.120556536,-0.0478231593,0.1218697775
SRX4647146,-0.10614209170000001,-0.1602562357,0.25885207920000003
