,A,ideR,whiB4
SRX2345943,-0.4843564682,-0.10768473440000001,-0.1185710647
SRX2345942,0.4843564682,0.10768473440000001,0.1185710647
SRX2345941,-1.6428663145,0.8384061449,-0.23536231870000002
SRX2345940,-3.5770421821,0.8350037912,-0.7107054726
SRX3992217,0.9410605981000001,0.0385466607,0.17620680060000002
SRX3992216,-0.2012816064,0.3671979716,-0.2484940054
SRX3992214,-14.3314734638,-1.7068355137,1.5928004225999999
SRX3992215,-14.7952457561,-1.5296097006,1.5989205357
SRX3992221,-15.0169921239,-1.7060674398,1.6333478049
SRX3992220,-14.1203199668,-1.6385133542,1.5495745053999999
SRX3992219,-8.4461060327,0.5575433658,1.8229714193
SRX3992218,-7.5964300119,0.697970446,1.7284092517
SRX3992201,-7.9329723179,0.6069757409000001,1.7000039034
SRX3992200,-8.2814956828,0.6621324217,1.7452878553
SRX3992198,0.8020648565,-0.0427565887,0.0455817024
SRX3992199,0.5121753612000001,0.2862257763,-0.2578106337
SRX3992202,-0.5491927035,0.0006472643,-0.1292127213
SRX3992203,0.372996832,-0.1018378186,0.16655562710000002
SRX3992204,-13.3297969601,-1.7155657138,1.7442541493000001
SRX3992205,-14.0204430176,-1.2745888111,1.5791195581
SRX3992206,-12.9876622894,-1.6751258722,1.7848655849
SRX3992207,-13.881223586800001,-1.2802250075,1.4649792272
SRX3992209,-11.5352280175,0.7169613988,1.429443188
SRX3992208,-9.7314389383,0.6672607903000001,1.6880779657
SRX3992212,-10.6761905905,0.7625990797000001,1.3728024174
SRX3992213,-11.3625769743,0.6714788147,1.5403771871
SRX3992210,-0.3047851261,0.1202863052,-0.1667863422
SRX3992211,0.3047851261,-0.1202863052,0.1667863422
SRX357084,-0.0490709884,0.048317995700000005,0.058143042400000004
SRX357083,0.0490709884,-0.048317995700000005,-0.058143042400000004
SRX4647134,-0.0087555633,0.7997331727,-0.6455556078
SRX4647137,-0.4877563747,0.0793389485,-0.1392930897
SRX4647136,0.025150804000000002,0.7413494158,-0.5200348043
SRX4647135,-0.0293757521,0.7184151644,-0.5543400281
SRX4647139,-0.3234730268,-0.0295814623,-0.0837026881
SRX4647141,0.3245674156,0.0864263294,0.0435601288
SRX4647140,0.1252332638,-0.0194084655,0.08699936450000001
SRX4647138,-0.1263276526,-0.037436401700000004,-0.0468568053
SRX4647128,-0.6591643418,0.4122584871,-0.3560810914
SRX4647127,-0.4686825693,0.44780808040000003,-0.2913206356
SRX4647129,-0.5196818917,0.41051122560000003,-0.4179370596
SRX4647126,-0.42879217540000003,0.4239115128,-0.2300582032
SRX4647133,1.6510919259999999,0.5587166176,-0.0327187804
SRX4647132,1.8317128755,0.5160266997,-0.0715555717
SRX4647131,1.1275605172,0.5739738630000001,-0.0665367223
SRX4647130,1.2876884288000001,0.5801613016,0.0699628898
SRX6923924,-1.4304988848,-1.3571125313,0.3024324521
SRX6923925,-0.5577060933,-1.1512309828,0.42602726290000004
SRX6923923,-2.7293117697,-0.7583088572000001,-1.8514935495
SRX6923922,-5.268475815,-1.0892666615,-0.8967265815000001
SRX6923939,-0.1091123538,-0.0397910568,0.14209848220000001
SRX6923938,0.1091123538,0.0397910568,-0.14209848220000001
SRX6923936,-2.9602080496000003,0.3596967612,-0.815363218
SRX6923937,-2.4247678918,0.3790004621,-1.1880769507
SRX5509428,0.023925693,0.1038439144,0.0891810459
SRX5509427,-0.023925693,-0.1038439144,-0.0891810459
SRX1882560,-21.456497334,-1.7709680524,-0.6947648217
SRX1882558,-21.3818272804,-1.733634424,-0.6542913184
SRX1882559,-21.5348380189,-1.7911877699,-0.6508008203
SRX1882561,-21.1375026624,-1.8575377786,-1.1184603611
SRX1882563,-21.2118153676,-1.9260036452,-1.0045960853
SRX1882562,-21.3693526595,-1.9292571776,-0.9656957314000001
SRX1882565,-23.2416371059,-1.8848807314,-1.0031484175
SRX1882566,-23.2627361177,-1.9185490131,-1.0959527367
SRX1882564,-23.5742323915,-1.8428944446000002,-1.1315883881
SRX1882568,-24.9150420414,-1.9742016008,-1.1832545485
SRX1882567,-24.6504544419,-2.0394333873,-0.8740395267000001
SRX1882569,-24.4396004335,-2.0371308549,-1.0259525721
SRX1882555,-0.18118049800000002,0.0007229408,-0.0508391863
SRX1882557,0.2496389977,-0.0022082132,0.0396761857
SRX1882556,-0.06845849970000001,0.0014852724,0.0111630006
SRX5088615,-1.3190917977,0.0803909762,-0.3760794591
SRX5088616,-0.9135358746000001,-0.101909417,0.2090908676
SRX6845150,13.705685578,0.2683204662,0.9560882684
SRX6845149,14.6051340652,0.1228194393,0.9016776294000001
SRX6845151,0.2929232624,-0.10688567800000001,-0.5423759987
SRX6845152,0.6393659296,0.1295551924,-0.8679481922000001
SRX6845145,14.8143194231,-0.0385329561,1.3908712265
SRX6845146,15.0132196022,-0.12300532950000001,1.1798094766
SRX6845142,6.9455747174999996,0.48686378010000003,0.8866107710000001
SRX6845141,5.5099844673,0.3588913791,0.9969102618000001
SRX6845144,0.1675502419,0.1500562553,0.0603464467
SRX6845143,-0.1675502419,-0.1500562553,-0.0603464467
SRX5605051,0.2296977123,0.016477726,0.0794976646
SRX5605045,-0.2296977123,-0.016477726,-0.0794976646
SRX5605060,-3.050620328,0.30252561170000003,-0.4909002167
SRX5605059,-2.3183831897,0.5302412828,-0.424735697
SRX2382017,-0.058550229200000005,-0.055389716500000005,0.1097478702
SRX2382024,0.058550229200000005,0.055389716500000005,-0.1097478702
SRX2382027,-0.38800595060000004,-0.0695304015,-0.597780178
SRX2382029,-0.6408907263,-0.0485698563,-0.6840993390000001
SRX2382217,-0.9611400795,-0.1514734391,-0.696060121
SRX2382023,-0.9658077862000001,-0.1138016953,-0.5213000824
SRX2382218,-1.7023613066,-0.1389353491,-0.08669760700000001
SRX2382219,-0.4906570827,-0.0887860624,0.0502604852
SRX2382213,0.6657040033,0.020309083500000002,-0.3649518249
SRX2382019,-0.19313230450000002,0.0870616649,-0.7419699666
SRX2382214,1.4910993622,0.0587737365,0.1001699674
SRX2382215,0.5007665311,0.045103445400000004,0.0572813743
SRX2382020,1.0711237997,0.0823357088,0.1398662903
SRX2382216,-0.7765171051,0.0454875194,0.1616712324
SRX2382022,0.8302439003000001,0.176437479,0.48072056690000003
SRX2382033,1.6635880558,0.1580436935,0.3004824231
SRX2382220,-1.96516247,-0.7017124818,-1.8314547722999999
SRX2382222,-1.9212518604,-0.7876316516,-1.6284128192
SRX2382030,-1.6483812844,-0.3097381681,-0.7921907709
SRX4506350,-0.0175976894,-0.1186263314,-0.1010733676
SRX4506352,0.48300109620000004,-0.0417989413,0.0839458485
SRX4506354,0.6162678198,-0.0535482029,-0.0627183452
SRX4506348,-0.2389791165,0.017550271000000003,-0.0461082871
SRX4506346,0.052207265,0.0071984287000000004,0.053492343000000005
SRX4506344,0.1867718515,-0.0247486997,-0.0073840559
SRX4506351,1.8324893276,-0.7102312714,0.5567677043
SRX4506353,2.1025782279,-0.643980675,0.6579426868
SRX4506355,1.8702824364000001,-0.6418300637000001,0.5837301998000001
SRX4506349,0.532340897,-0.3327731595,0.28009529780000003
SRX4506345,0.582386062,-0.3915456305,0.3447215936
SRX4506347,0.24362548150000002,-0.3852560687,0.2031560362
SRX4514122,0.0094691819,-0.2358146516,0.2504136564
SRX4514124,0.8301673314,0.035503386500000005,0.0610109426
SRX4514126,0.4215538083,0.0095255687,0.0267658541
SRX4514120,-0.2065765785,-0.0923114414,0.32570430570000003
SRX4514112,-0.47025673910000004,0.0148213625,0.0117265333
SRX4514116,0.5570203482,0.042034629500000004,0.0860353034
SRX4514118,1.0726274275,0.0020807307,-0.0325854474
SRX4514114,-1.1593910365,-0.0589367227,-0.0651763893
SRX4514121,0.0353355933,-0.25162649060000003,0.3306139132
SRX4514125,0.3872842543,0.0477666249,0.0214118562
SRX4514127,0.8636794436,-0.021128284900000002,0.2026196632
SRX4514123,-0.2569534052,-0.2668355388,0.2215873234
SRX4514115,-0.3127870648,-0.0480712559,0.08288130760000001
SRX4514117,0.8693386371,0.0638287033,0.0920589599
SRX4514113,-0.7051136403,-0.0857846867,0.0662544179
SRX4514119,1.2793802273,-0.0469804892,0.11138009800000001
SRX958308,6.3764918729,0.6338500991,0.07117078460000001
SRX958306,3.7872496361,0.5463190129000001,-0.0519953821
SRX958307,7.7182042745,0.5702871585,0.24354113670000002
SRX958313,0.0468968342,-0.056290824100000005,-0.2980309826
SRX958312,-0.6211814605,-0.0149423786,0.2036348351
SRX958314,0.5742846263,0.0712332027,0.0943961475
SRX958320,0.2191983066,0.8648706261,0.3594548645
SRX958318,1.0237419671,0.6317734467,0.5679372714
SRX958319,1.8473413905,0.5598571815,0.6186545077
SRX958323,1.4788075706,1.2875682776000001,0.7581424131000001
SRX958322,1.9588704431,1.4290377957,0.7043952859
SRX958321,2.224476789,1.4325846848000001,0.7925828464
SRX958310,-1.9470266634,0.6569144522,-0.20347642370000002
SRX958309,-0.9730374826,0.4437802156,0.2317319333
SRX958311,-1.8949103728,0.698809303,-0.3366532129
SRX958317,-0.8222188924,0.3561636908,-0.4095956261
SRX958315,0.2386016269,0.2432372828,-0.120898712
SRX958316,0.0804907926,0.36343134520000003,-0.1597832454
SRX958324,0.5642901855,0.3321201983,-0.2289935377
SRX958325,0.4468845171,0.39674127330000003,-0.5998645915
SRX4498322,0.32403301100000004,-0.0790633094,-0.0231405474
SRX4498318,1.2946884507,-0.0079281924,0.1104269636
SRX4498320,0.5908657286,0.0595403979,0.051914067800000005
SRX4498316,0.5028878768,-0.0816214292,-0.036800316300000004
SRX4498312,0.35176360370000004,-0.0304315712,0.09033109980000001
SRX4498308,-0.0706846173,0.0008533362000000001,-0.1174246635
SRX4498314,-0.5338512874,0.014702246,-0.0348898253
SRX4498310,0.25277230100000003,0.0148759891,0.06198338900000001
SRX4498319,12.2135718129,0.0515086775,1.4798274218
SRX4498317,12.2272225293,0.0426330838,1.5079558879000001
SRX4498311,-2.1616611348,-0.5135245156,0.0117661346
SRX4498315,-1.6919468434,-0.5210062590000001,0.0100324
SRX4498309,-0.8428480483,-0.6377434884000001,0.2781089827
SRX4498313,-1.8180815503,-0.49008613360000003,0.12188872070000001
SRX4615568,-0.2757738636,-0.1375821511,0.1970351365
SRX4615570,0.2757738636,0.1375821511,-0.1970351365
SRX727246,3.3605799091,-0.8251862715,0.6145254771
SRX727243,1.6882473698,-0.7952317735000001,0.5799540845
SRX727247,1.7982568239,-0.3169083741,-0.1768416445
SRX727244,-0.0649936258,-0.18862241970000002,-0.30913879310000003
SRX727245,-2.4229564518,-0.023955139,-0.3538828885
SRX727248,-0.4966859074,-0.2443117079,-0.4887919578
SRX727249,-1.0158898248,0.0549715069,0.2177075202
SRX727251,0.4708070258,-0.0554560656,0.0366473183
SRX727250,0.5450827989,0.0004845587,-0.2543548384
SRX4498332,-0.9165825871000001,0.0258847627,-0.6224023111
SRX4498334,-1.0394720967,-0.0086503301,-0.30271159210000004
SRX4498335,-1.4710060173000001,-0.0289620337,-0.1462522363
SRX4498337,-1.4119559467,0.016288657,-0.3409810585
SRX4498324,0.1502667831,0.1266721871,-0.06351164620000001
SRX4498326,0.1486242102,-0.0569852189,0.0378454016
SRX4498328,0.0290255737,-0.1060678012,0.1336300806
SRX4498330,-0.32791656690000004,0.036380833,-0.10796383600000001
SRX4498336,-0.0159605287,1.3370533865,-0.6520092816
SRX4498333,-0.16553466990000001,1.3827719151,-0.8816471920000001
SRX4498338,-0.8715512619,1.3410949193000001,-0.7736200705
SRX4498329,1.8161495244,0.6685582585000001,-0.4522671689
SRX4498325,1.1534485577,0.7100262810000001,-0.6057466331
SRX4498327,2.4304741688,0.7759538565,-0.5856217624
SRX4498331,2.3200566082,0.7368128544,-0.6410687304
