,A,blaI
SRX894004,-0.8618099204,0.1254743136
SRX894006,-0.9334350501,0.0097308662
SRX893999,-0.15263426330000002,0.0928265167
SRX894000,-0.34357264200000004,0.0452695144
SRX893998,0.4962069053,-0.13809603110000002
SRX4647489,-0.08615545150000001,-0.0134255439
SRX4647490,0.08615545150000001,0.0134255439
SRX4647492,-0.044663928400000004,0.0223845512
SRX4647491,-0.0382974846,0.10144269510000001
SRX4647496,0.004307696000000001,-0.3433621827
SRX4647495,0.2062079746,-0.1756468437
SRX4647499,-0.2425074057,-0.09849981940000001
SRX4647500,-0.5090870583,-0.037863864500000004
SRX4647493,-0.5807668807,-0.127901595
SRX4647494,-0.36218739040000003,-0.1031175331
SRX4647497,-0.127395383,-0.0618073728
SRX4647498,0.1269596411,0.0010794367
SRX4505482,-0.4075150125,-0.1330738712
SRX4505486,-0.4440017909,0.0052573837
SRX4505484,-0.4454764017,-0.3234435805
SRX4505473,-0.3955024549,0.1323775884
SRX4505476,-0.2256690101,0.1329008287
SRX4505480,-0.040307886800000005,-0.09109097840000001
SRX4505478,-0.1593694195,-0.1650907128
SRX4505474,0.42534631640000004,0.12328086240000001
SRX4505483,0.9128412210000001,0.5642594156
SRX4505485,0.7427738479,0.4600575807
SRX4505487,0.8247465223,0.4417983897
SRX4505488,0.9381469283,0.49402270140000004
SRX4505481,1.8411141654,0.4080833857
SRX4505477,1.6718049857000001,0.3813925091
SRX4505475,1.612869473,0.3000291531
SRX4505479,1.6050562127,0.4827610647
SRX4605773,-0.673445268,0.0534723224
SRX4605774,-0.6713916480000001,0.0713527321
SRX4605772,-0.1356150174,-0.0233426661
SRX4605771,0.1356150174,0.0233426661
SRX5178871,-0.32355932390000003,-0.06992780430000001
SRX5178872,0.3662076415,0.0083763183
SRX5178868,-0.34430365420000003,-0.1416229181
SRX5178870,0.11370375960000001,-0.028498789
SRX5178869,0.23059989460000002,0.17012170710000002
ERX1404045,-0.060469336900000004,0.2608536187
ERX1404046,0.060469336900000004,-0.2608536187
ERX1404043,1.1322277742,0.9391762631
ERX1404044,0.7554225228,-0.1152538744
ERX237502,-2.1924512837,0.8972149489000001
ERX237505,-1.1122130629,0.7131410546
ERX237506,-1.2278667606,0.987370811
ERX237500,-2.1006781629,1.2406519919
ERX237497,-1.7925151858000001,1.6529889519
ERX237499,-1.6050815227,1.5831482642
ERX237507,0.6139717007000001,-0.0969659285
ERX237496,0.1363799273,-0.0259450952
ERX237504,-0.750351628,0.12291102370000001
ERX3772318,-0.6570633214,-0.2622921119
ERX3772320,-0.4514782312,-0.25808351820000003
ERX3772319,-0.8449211531,-0.21187415340000001
ERX3772321,0.7768766267,0.0339248637
ERX3772322,0.1943036659,-0.0627161247
ERX3772323,-0.9711802926,0.028791261000000002
SRX4314262,0.5082206388,-0.0053052854
SRX4314263,0.2737022542,-0.1127725373
