,A,Rv3095
SRX5388964,-0.3924288158,-0.39820634380000003
SRX5388965,0.3946425436,0.0511658284
SRX5388962,-0.21039836250000002,-0.06791102410000001
SRX5388963,-0.1967393909,-0.24428135420000002
SRX6889335,-0.06673332300000001,-0.047247639800000005
SRX6889333,0.06673332300000001,0.047247639800000005
SRX6810002,0.0342720929,0.19583474780000001
SRX6810004,-0.5235986765,-0.2621822607
SRX6810003,0.48932658360000003,0.0663475129
SRX6810006,3.1628634566000002,1.1875363512
SRX6810005,2.5225435417,1.2176430042
SRX6810007,3.6828870367,1.2252962707
ERX1818322,-0.6640279520000001,-0.40662039590000004
ERX1818321,0.6640279520000001,0.40662039590000004
SRX2617830,-1.8934269491,-0.6011195657
SRX2617831,-1.7929114444,-0.6183759651
SRX2617833,0.6328659489,0.2972647187
SRX2617832,0.8592334425,0.3010529005
SRX2617828,-0.0094524864,0.1044834229
SRX2617827,0.0138016104,-0.1450037065
SRX2617829,-0.0043491241,0.0405202836
SRX3456119,-0.20768940160000002,-0.0492581057
SRX3456118,0.0103080943,0.31485087900000003
SRX3456117,-0.2550161399,0.0732855292
SRX3456101,0.0879639317,-0.0048255736
SRX3456099,-0.0274020429,-0.1541104647
SRX3456100,-0.060561888800000005,0.1589360383
SRX3456107,0.0405049242,0.6491710886000001
SRX3456105,-0.6391531178000001,0.5746901473
SRX4374122,-10.4385752342,-2.1811737244
SRX4374121,-10.483125713,-2.1068526151
SRX4374123,-12.0394807975,-2.7769132637
SRX4374124,0.5523173146,0.5153821158
SRX4374125,-0.6134570286000001,-0.3797722571
SRX4374126,0.061139714000000005,-0.1356098588
SRX4374127,-5.0441163112,-1.1729036459
SRX4374128,-5.8010077261,-1.6847039171
SRX4374129,-7.8858295187,-2.1402580745
SRX4374130,-3.4726375047999998,-0.6077050849
SRX4374132,-4.4815487973,-1.6231625549
SRX4374131,-4.2459699683,-1.5705697969
SRX4374133,-10.3938243621,-2.6510183805
SRX4374135,-12.0196546282,-3.6242220691
SRX4374134,-11.219392065,-3.1681005467
SRX4374138,-3.8455025067,-1.4778683503
SRX4374136,-2.3771348959,-0.5761138072
SRX4374137,-3.0253090482,-1.1570896048
SRX1091379,1.9716145292,1.146892749
SRX1091380,1.905937347,1.0346446932
SRX1091377,-0.0619708636,-0.0530185236
SRX1091378,0.0619708636,0.0530185236
SRX4647145,-0.15485340690000002,-0.022875583
SRX4647146,-0.932149157,-0.1629037256
SRX4647147,-0.5689016288000001,-0.0242874849
SRX4647144,0.0367387452,0.0113668918
SRX4647143,0.032314632600000004,-0.0428073569
SRX4647142,-0.0690533778,0.0314404651
SRX4647155,3.1824261858,0.4550301409
SRX4647152,3.6029517764,0.4206683584
SRX4647153,3.4847691869,0.4582877615
SRX4647154,2.4568160676,0.5317149409
SRX4647148,3.1978619654,0.34894971480000003
SRX4647149,3.2707792302,0.1996674182
SRX4647151,3.2971742215,0.30422087270000003
SRX4647150,3.5213050485,0.29725734870000003
SRX4647123,0.1227806208,-0.2335469201
SRX4647124,0.0553974693,0.025444673
SRX4647125,-0.17817809010000002,0.2081022471
SRX3103185,0.8367891714,-0.1266359152
SRX3103189,1.2785648778,-0.2665354045
SRX3103187,3.3235799301,0.8569805243
SRX3103184,-1.5566998651000001,-0.4884827024
SRX3103188,-0.2936377227,0.20361951250000002
SRX3103186,1.8503375878,0.28486319
SRX1372110,2.4074576889,0.32529370760000004
SRX1372111,0.4631349925,-0.3568078289
SRX1372108,-0.681118542,-0.3232570958
SRX1372109,0.681118542,0.3232570958
SRX4506085,-1.0873450918,-0.24874738230000001
SRX4506083,-0.8141797781000001,-0.244548922
SRX4506089,-1.1302572928,-0.385139335
SRX4506087,-0.8705963225000001,-0.33077970570000004
SRX4506077,-0.10090598960000001,0.0235348053
SRX4506079,0.07996252420000001,-0.0839244099
SRX4506075,0.0559919807,0.1444031242
SRX4506081,-0.0350485152,-0.0840135196
SRX4506084,-5.1756391805,-2.1310169024
SRX4506086,-5.2280503035,-2.0976654167
SRX4506088,-5.2298720823,-2.1096996803
SRX4506090,-4.9454058337,-2.186740439
SRX4506078,-4.9913863196,-2.2232009336
SRX4506080,-5.283380322,-2.1354905591
SRX4506082,-5.2213836839,-2.1123786385
SRX4506076,-4.9400101086,-2.1915731771
SRX5352221,0.4839330008,0.2655006452
SRX5352223,-0.6988082524,-0.438631833
SRX5352222,-3.0066374911,-0.7397062430000001
SRX5352229,-4.088840387,0.5353781527
SRX5352227,-3.9261926208,0.7998004043
SRX5352228,-3.8405348399,0.595511458
SRX5352231,-10.7680049687,-2.9762363167
SRX5352232,-11.0848173552,-2.9086691506999998
SRX5352230,-10.6083984403,-3.4448313991
SRX5352225,-10.8718712703,-1.8921453541000002
SRX5352224,-10.1294219962,-1.6416055622
SRX5352226,-9.709178959900001,-1.9125272334
SRX5352220,0.4078789863,0.0652216969
SRX5352219,0.22997580620000002,0.0575815581
SRX5352218,-0.6378547925,-0.12280325510000001
SRX4498228,0.1021618281,-0.0903499383
SRX4498224,-0.2664500335,-0.023428723800000002
SRX4498230,-0.3180456002,-0.0057903398000000005
SRX4498226,-0.10857416730000001,-0.0929855153
SRX4498218,-0.1393091886,0.054564960100000004
SRX4498216,0.40063107880000004,-0.028898739200000002
SRX4498220,-0.3058110966,-0.018832183000000002
SRX4498222,0.0444892064,-0.0068340379
SRX4498225,-4.4852613192,-1.1087506143
SRX4498227,-3.8706127521,-1.0835940012
SRX4498231,-3.9114171186,-0.9017633811
SRX4498229,-3.8599821311999998,-1.0000212547
SRX4498217,-3.1329332207,-0.8895273152000001
SRX4498221,-3.9018020598,-0.8060473097
SRX4498219,-3.3398459946,-0.9237968440000001
SRX4498223,-4.3489797864,-1.3758027819
SRX5079928,2.1224349169,0.6450550791
SRX5079930,1.4346117744,0.7197489069
SRX5079929,1.3901848783,0.6860889898
SRX5079923,0.7255157336,0.0848490588
SRX5079924,1.0470013893,0.32940796580000004
SRX5079922,0.7172719799,0.22206865250000002
SRX5079920,-0.12021109910000001,-0.0461745847
SRX5079921,0.3253525741,0.0502678744
SRX5079919,-0.20514147500000002,-0.0040932897
SRX5079926,1.5073017029,0.3076941915
SRX5079925,1.1634563542,0.36556191060000004
SRX5079927,1.6590436159,0.4575405307
SRX894005,3.667255618,0.41367733560000003
SRX894004,2.9630541473000003,0.4429822861
SRX894006,3.1202834222,0.3960515691
SRX893999,0.1911833762,0.16292303400000002
SRX894000,-0.0444509884,-0.044217749
SRX893998,-0.1467323878,-0.11870528500000001
SRX4647489,-0.1740675113,0.0748702992
SRX4647490,0.1740675113,-0.0748702992
SRX4647492,0.11617117930000001,0.1648021939
SRX4647491,0.5341242743,0.2038841421
SRX4647496,-0.038316383100000004,0.4614581236
SRX4647495,-0.0165133115,0.3818940532
SRX4647499,0.19122394550000002,0.1644559119
SRX4647500,-0.0214658887,0.2776393266
SRX4647493,0.24694623910000002,0.0791939564
SRX4647494,0.2510359756,0.2143728648
SRX4647497,0.4675475962,0.1117132842
SRX4647498,0.16566794640000002,0.33019654
SRX4505482,-0.4397401246,0.3081888719
SRX4505486,0.4550722741,0.2929886283
SRX4505484,-0.2197196827,0.4599475274
SRX4505473,0.9518691913,0.6514984256
SRX4505476,-0.1051906831,-0.3065197528
SRX4505480,0.0479236221,0.24578508810000002
SRX4505478,-0.060879806200000004,-0.025196521700000002
SRX4505474,0.1181468673,0.0859311865
SRX4505483,3.4626899407,0.1165421189
SRX4505485,3.2483438318,0.2217082614
SRX4505487,3.1957883886,0.12353577460000001
SRX4505488,3.5652691818999998,0.1204870599
SRX4505481,3.4721528213,0.16399317730000001
SRX4505477,3.8094367509,0.1528776507
SRX4505475,3.941068838,0.06685700900000001
SRX4505479,3.5116768711,0.386411485
SRX4605773,-0.2466312361,-0.1269537854
SRX4605774,0.1759726184,0.0005176633
SRX4605772,-0.3059869657,-0.0056967237000000006
SRX4605771,0.3059869657,0.0056967237000000006
SRX5178871,-0.3636063873,-0.5953054012
SRX5178872,-0.4588410445,0.0814375955
SRX5178868,-0.0601073525,-0.10901930900000001
SRX5178870,-0.06331257850000001,0.0786190854
SRX5178869,0.12341993100000001,0.0304002236
ERX1404045,-0.15042507030000002,-0.1167572858
ERX1404046,0.15042507030000002,0.1167572858
ERX1404043,0.2071271326,-0.19460549570000002
ERX1404044,0.0319356441,0.1242083927
ERX237502,2.2307150382,2.4495705093
ERX237505,1.6755727215,2.4239376297
ERX237506,1.5391492701,2.8256384535
ERX237500,0.5845176727,2.520831781
ERX237497,-0.0776945722,2.5613087237
ERX237499,0.3522567811,2.7202137042
ERX237507,-0.5690591846,-0.0455595757
ERX237496,0.40538972,0.0628296862
ERX237504,0.1636694646,-0.0172701105
ERX3772318,-1.6202171697,-0.08008275270000001
ERX3772320,-1.6881847581,-0.1833514712
ERX3772319,-1.2076758174,-0.1940148025
ERX3772321,-0.0768581047,-0.0340522356
ERX3772322,0.1790763205,-0.1432472139
ERX3772323,-0.1022182158,0.1772994495
SRX4314262,-0.1242699513,-0.03209431
SRX4314263,0.2151872953,0.17073508010000002
SRX4314261,-0.09091734400000001,-0.1386407702
SRX4314265,0.13235595190000002,0.1957341806
SRX4314266,-0.8489916104,0.0621609674
SRX4314264,0.6023518688,0.5658779005
SRX4314268,-0.2979824123,0.13699901450000002
SRX4314267,0.4984813657,0.31109806500000003
SRX4314271,0.0519380669,0.4587524464
SRX4314272,-1.2303820817,-0.1250242323
SRX4314275,-0.9289948530000001,0.0668626524
SRX4314274,-0.1697672714,0.0210253628
SRX4314273,-0.2714009088,0.1202214145
SRX4314278,0.1061116029,-0.08878067390000001
SRX4314276,0.5207143240000001,0.3009704727
SRX4314281,0.2068388931,-0.059970439300000004
SRX4314279,1.2104031636,0.0596557017
SRX4314280,-0.0170503656,-0.0402864822
SRX4314284,0.4529873212,-0.0319723239
SRX4314283,-0.18063727970000001,-0.1906409541
SRX4314282,1.2592148486,0.2654802312
SRX4314293,0.1971820736,0.08425876
SRX4314292,-2.2016991542,-0.6215816393
SRX4314291,-1.070798196,-0.5033059378
SRX4314297,-3.199206604,-1.4180535904
SRX4314298,-3.1524456365,-0.8065691389
SRX4314299,-3.2620455772,-1.7943755621
SRX4314302,-3.8674138561999998,-2.3349902904
SRX4314301,-4.7974383818,-1.3172328042
SRX4314300,-3.7892018731,-1.5369928837
SRX4314305,-6.1240117633,-2.5039109346
SRX4314304,-5.8009815428,-1.6081301813
SRX4314303,-4.9689558531,-1.6460166866
SRX4314309,-3.8200500622,-1.5139334383
SRX4314306,-5.2020591733,-1.6027811625
SRX4314308,-4.5864409576,-1.5657326852
SRX4314307,-4.9954711283,-1.3413595858
SRX4314311,-5.4480770153,-2.2506180337
SRX4314317,-5.7264565076,-2.3770631077
SRX4314316,-5.8233909948,-2.1065520591
SRX4314318,-5.5325887142,-2.3835285888
SRX4314319,-5.6664235589,-2.2637714521
SRX4314331,-5.8273846604,-2.0304185106
SRX4314330,-5.1953634884,-1.9602771775
SRX4314332,-5.5449542926,-2.0196173469
SRX4314335,-4.8859870751,-1.8357285821
SRX4314334,-5.5429070074,-2.0584933035
SRX4314333,-5.0700885824,-1.6535451364
SRX4314338,-4.810751681,-1.8147944260000002
SRX4314336,-4.4123543143,-1.8168158302
SRX4314337,-4.725366884,-1.8558777324
SRX4314339,-4.040988171,-1.1513673204
SRX4314340,-4.4472018367,-1.2408730698000001
SRX4314341,-4.8011999826,-1.4630039566000002
SRX3686762,-3.5140998862,-1.4335460146
SRX3686763,-3.3724024294,-1.3353738498
SRX3686761,-4.3296377821,-1.6991965895
SRX3686765,1.0227996444,-0.039284324600000003
SRX3686769,1.4166832354,0.3075674728
SRX3686766,0.9673238648,0.28628694800000004
SRX3686768,0.9841819669,0.23337842690000002
SRX3686764,1.0874343063,0.0831853895
SRX3686767,1.0735057258,0.2178601578
SRX3686788,-0.045386769,-0.2216528832
SRX3686791,-0.0494333464,0.046729629700000004
SRX3686792,-0.1394513091,0.0058817665
SRX3686793,0.0965967199,0.028316259200000003
SRX3686790,-0.4159134685,0.0856318309
SRX3686789,0.5535881731,0.0550933969
SRX3686829,-1.6681707919000002,-0.5119371709
SRX3686830,-1.4383259961000001,-0.5632919047
SRX3686828,-1.9839112486000001,-0.7386509674
SRX3686819,-1.4837516848,-0.3453185367
SRX3686818,-1.5288749609,-0.4691439928
SRX3686817,-1.6352398647,-0.4351697283
SRX3686822,-3.0239603,-0.6911531738000001
SRX3686820,-2.3368740192,-0.5877762858000001
SRX3686821,-2.7166443401,-0.5050597478000001
SRX3686743,-4.4452462293,-2.1190685447
SRX3686744,-4.8125905784,-1.9542711799
SRX3686745,-4.2968639562,-1.9068327948000001
SRX3686772,-7.0341710743,-2.3446203952999998
SRX3686770,-7.8786197984,-2.653148022
SRX3686771,-7.8799898227,-2.6698758259
SRX3686794,-2.7645793668,-0.4581418034
SRX3686796,-1.0307742959,-0.3100498129
SRX3686751,-3.7548181187000003,-1.8626313186
SRX3686749,-3.561398515,-1.7672106906
SRX3686750,-3.6806209293,-1.8549504630000002
SRX3686778,-4.4400584613,-1.5631722671000001
SRX3686777,-5.5022329221,-1.9969937027
SRX3686776,-7.1115252031,-2.3167951709
SRX3686800,-1.0956977387,-0.4158585812
SRX3686801,-1.0711463279,-0.41938224290000004
SRX3686755,-3.9957196221,-2.0403405354
SRX3686757,-4.693619494,-2.09750272
SRX3686756,-3.9924149669,-1.9087947749
SRX3686784,-5.2599699179,-1.9454651566
SRX3686783,-6.2890954757,-2.1698920743
SRX3686782,-6.5594284009,-2.292947232
SRX3686809,-0.9232942118,-0.5345102029000001
SRX3686807,-1.0441048253,-0.4478435047
SRX3686808,-0.8608891507,-0.4624419367
SRX3686787,-3.5686633317,-1.3085518409999999
SRX3686786,-3.8185381889,-1.6494367823
SRX3686785,-4.650396263,-1.7357094750000002
SRX3686799,-1.1646802541,-0.1527347043
SRX3686797,-1.429121409,-0.23630170550000001
SRX3686798,-1.2985876984,-0.14812244700000002
SRX3686746,-5.0092927445,-1.9185830069
SRX3686748,-4.8155331619,-1.9238179560000002
SRX3686747,-4.811638109,-1.8901781874
SRX3686773,-6.7581129751999995,-1.9495755497
SRX3686774,-6.6809039872,-1.9436838422
SRX3686775,-5.9260143848,-1.8494952276
SRX3686754,-3.8350464002,-1.5010099314
SRX3686753,-3.9455170731,-1.4442278026
SRX3686752,-3.8042101001,-1.7199728104
SRX3686780,-3.9713557427,-1.2283256012
SRX3686779,-4.8696834323000004,-1.5293741119000002
SRX3686781,-3.4518450292000002,-1.2390983905
SRX3686806,-1.2434494992,0.0003453791
SRX3686805,-1.5066310572,-0.1276186822
SRX3686758,-3.0969035859,-1.7063656973999999
SRX3686760,-3.4208845565,-1.8062794676
SRX3686759,-3.310921932,-1.699272362
SRX3686810,-2.0956852791,-0.414583083
SRX3686811,-1.626921055,-0.3543146943
SRX3686812,-1.5495207842,-0.1382657041
SRX3686813,-6.1221863337,-2.1392941004
SRX3686815,-2.7842343992,-0.5607009934
SRX3686816,-2.8766172852,-0.48600263190000004
SRX3686823,-4.8902158444,-1.7791296006000001
SRX3686824,-4.1965427038,-1.3360928069
SRX3686825,-4.0586742713,-1.4128691176000001
SRX3686827,-3.1280956425,-1.0966300512
SRX3686826,-3.0394802422,-0.9765119710000001
SRX7054191,-0.5195594992,-0.26217763450000003
SRX7054189,0.035018504,0.19583670790000002
SRX7054190,0.4845409953,0.0663409267
SRX7054193,2.3936171332000002,1.249711212
SRX7054192,3.7909250998,1.5348161425
SRX7054194,3.4877944586,1.5559143494
SRX4506284,1.1878949502,-0.6509945718
SRX4506280,1.2907264036,-0.3645261674
SRX4506282,0.7887249622,-0.5515415138
SRX4506278,1.2297226585,-0.6589692239
SRX4506274,0.24473407590000001,0.1246069276
SRX4506273,-0.2670308939,-0.2538837127
SRX4506271,0.1318904129,0.16814517410000002
SRX4506276,-0.109593595,-0.0388683889
SRX4506283,4.0839207141,1.3974562957
SRX4506279,3.8874276184000003,1.1416961562
SRX4506285,4.3048002757,1.2129289129
SRX4506281,4.2516826301,1.2266493356
SRX4506275,1.1185507512,0.037964058
SRX4506277,1.3851586003,0.0730111073
SRX4506272,1.3362012111000001,0.26272050210000003
SRX2923393,0.17810928410000001,0.11874158850000001
SRX2923394,-0.17810928410000001,-0.11874158850000001
SRX2923398,9.1959662536,1.6829474699
SRX2923397,9.2593069541,1.7992264581000001
SRX2923395,10.2326647847,3.487526206
SRX2923396,10.3350456465,3.4470857516
SRX2923400,2.7169266274,-1.4255675699
SRX2923401,2.0087419203,-1.4084151959
SRX2923403,9.1966729945,1.8045958255
SRX2923402,8.4855088328,1.6147765933
SRX6853288,-1.6699264426,-0.4003795196
SRX6853287,-0.4753736087,0.0125227392
SRX6853286,0.6197416513,0.1132118086
SRX6853284,0.2028187645,0.1594885862
SRX6853285,-0.7597626597,-0.1868288264
SRX6853283,0.5569438952,0.027340240300000002
SRX4319040,0.46733173600000005,0.0270223326
SRX4319041,-0.0245826734,-0.0194458971
SRX4319039,-0.4427490626,-0.0075764355
SRX4314613,-4.0090990277,-3.2619414898
SRX4314614,-1.3481546020000001,-1.39127655
SRX4314615,-4.3779592906,-3.2098233072
SRX4314632,-3.2011576817,-2.3618407165
SRX4314631,-3.1472559636,-2.4836803958
SRX4314633,-2.6796993924,-2.063100362
SRX4314622,-5.6666082117,-3.6996939611
SRX4314623,-5.2191260155,-3.4402953391
SRX4314624,-5.4869305522000005,-3.6218231368
SRX4314611,-0.2388453223,0.1342074751
SRX4314610,0.212615835,-0.1069771788
SRX4314612,0.0262294873,-0.0272302963
SRX4314630,0.9256138573,0.0033200205
SRX4314628,0.5231635678000001,0.0152432816
SRX4314629,1.4348404836,0.0498596871
SRX4314619,2.1332068935,0.1811498722
SRX4314621,2.2006605282,0.23715075230000002
SRX4314620,1.9843473415,0.34874548790000004
SRX7119390,-0.5310967644,-0.1708816474
SRX7119388,0.5310967644,0.1708816474
SRX7119386,-2.412272883,-0.0822422144
SRX7119385,-3.1431330762,-0.7923607321
SRX7119387,-2.5192012796,-0.4401380173
SRX3746749,4.5631240495,0.40721046120000004
SRX3746748,2.2405286315,0.2526139234
SRX3746751,-8.9412754089,-1.3139659437
SRX3746750,-3.5581292533,-0.8946627387
SRX3746752,-0.2250158763,-0.33969136450000004
SRX3746753,-5.3894681993999995,-0.8394964604
SRX3746755,-1.2313545916,0.2180656146
SRX3746754,1.2313545916,-0.2180656146
SRX2345943,0.3739722132,0.0936113782
SRX2345942,-0.3739722132,-0.0936113782
SRX2345941,-0.058840296300000004,-0.06532022030000001
SRX2345940,-0.052326374700000004,-0.1654911688
SRX3992217,1.6444947064000002,-0.2744849018
SRX3992216,1.6353185834000001,-0.5340129102
SRX3992214,3.6930229795000002,2.2456685043
SRX3992215,2.9151988914,2.0372523743
SRX3992221,3.5462734479,2.4309940324
SRX3992220,3.6868003952,2.104666472
SRX3992219,4.6309780252,1.3382333973
SRX3992218,4.787901227,1.2495296541
SRX3992201,4.7228100328,1.151782595
SRX3992200,4.7936835805,1.241711751
SRX3992198,1.5346127325999999,-0.1660699938
SRX3992199,1.7254596055,-0.38826148390000004
SRX3992202,-0.24694549740000002,-0.156655132
SRX3992203,-0.3649367626,-0.0749213903
SRX3992204,3.3655027137,2.3294094716
SRX3992205,2.6108174874,1.9690675933000001
SRX3992206,3.371052002,2.2982019391
SRX3992207,2.3455108168,1.9712058412000002
SRX3992209,2.7517975329,1.0976927258
SRX3992208,2.9360541763,1.3408948434
SRX3992212,2.4395677668,1.039623732
SRX3992213,2.9318547629,1.1272032122
SRX3992210,0.4840804409,0.0021045562
SRX3992211,-0.4840804409,-0.0021045562
SRX357084,-0.1840871408,0.0525637137
SRX357083,0.1840871408,-0.0525637137
SRX4647134,2.1451345409,0.9875315453000001
SRX4647137,0.6135417154,0.30411040030000003
SRX4647136,2.1184836225,0.9011206071000001
SRX4647135,2.0683359624,0.9277107977
SRX4647139,0.1754185933,0.044684988
SRX4647141,-0.1673230262,-0.1613120604
SRX4647140,-0.2653074979,0.045169979000000006
SRX4647138,0.2572119309,0.0714570933
SRX4647128,-2.5593617834,-1.2914267976
SRX4647127,-2.9395430627,-1.1226650077
SRX4647129,-3.0413322499,-1.1531129443
SRX4647126,-3.0706313641,-1.1970801925
SRX4647133,-4.2036485631,-1.5043680376
SRX4647132,-4.5615172169000004,-1.6544602029000002
SRX4647131,-4.1845892039,-1.6185430196000001
SRX4647130,-4.7109023528,-1.5545775967000002
SRX6923924,0.8955900338,-0.19327599780000002
SRX6923925,1.0286131901,-0.035884012300000004
SRX6923923,1.7300945875,-0.1403671688
SRX6923922,2.351118472,-0.2082635928
SRX6923939,0.0808447285,0.0140852632
SRX6923938,-0.0808447285,-0.0140852632
SRX6923936,0.8140651752,0.0610732251
SRX6923937,0.1837499861,0.0353551212
SRX5509428,-0.1340240174,-0.0779012384
SRX5509427,0.1340240174,0.0779012384
SRX1882560,3.6829349455,-0.2915022805
SRX1882558,3.6503369093,-0.1017127491
SRX1882559,3.7861713342,-0.2745380635
SRX1882561,3.2705916138,-0.4810275765
SRX1882563,3.3374073398,-0.4631057215
SRX1882562,3.3080617087,-0.47705737000000004
SRX1882565,3.677883408,-0.7024448144000001
SRX1882566,3.6608674127,-0.6086755631
SRX1882564,3.6953431073000003,-0.5570159237
SRX1882568,3.8791912801,-0.12257834690000001
SRX1882567,3.5224287189,-0.1910028303
SRX1882569,3.6159184252000003,0.056777054900000005
SRX1882555,0.1312562747,0.0323394581
SRX1882557,-0.11985804430000001,-0.0746965626
SRX1882556,-0.0113982304,0.0423571045
SRX5088615,4.249217953,2.4143234426999998
SRX5088616,4.8107091791,2.4143624781
SRX6845150,9.0978298039,1.3014922756
SRX6845149,9.3554854242,1.0505377907
SRX6845151,-2.2779249693,-1.1634295601
SRX6845152,-0.49542490840000003,0.5253874335000001
SRX6845145,8.6508442964,0.9632262123
SRX6845146,8.2833672945,1.1926940241
SRX6845142,0.7185037231,-1.3978669128
SRX6845141,1.1970157693,-0.0299844647
SRX6845144,-0.1706367217,0.0123088804
SRX6845143,0.1706367217,-0.0123088804
SRX5605051,-0.1568853241,0.18235054850000001
SRX5605045,0.1568853241,-0.18235054850000001
SRX5605060,1.1075719504000001,1.3088733283
SRX5605059,-0.49222892640000004,1.1914105456
SRX2382017,-0.1325445963,-0.10958822430000001
SRX2382024,0.1325445963,0.10958822430000001
SRX2382027,-3.7345437999,-0.4264456909
SRX2382029,-3.6206720731,-0.6421263636
SRX2382217,-2.5221638525,-0.32577755
SRX2382023,-2.2523047635,-0.5856781087
SRX2382218,1.2696673767,-0.2048689292
SRX2382219,0.629410177,-0.075587506
SRX2382213,-3.9280222096,-0.9033785414000001
SRX2382019,-2.6860157423,-0.3279766183
SRX2382214,0.6884027238,0.0621116035
SRX2382215,0.9521790312,0.4326570296
SRX2382020,2.0492146487,-0.2064864596
SRX2382216,1.8401883015,-0.6087785445
SRX2382022,-0.019491315500000002,-0.2638559548
SRX2382033,-0.0304951063,0.0736563742
SRX2382220,3.4884938135,0.0889830715
SRX2382222,3.5635359947,-0.1994847481
SRX2382030,3.5350997206,0.0005827727
SRX4506350,0.1753653836,-0.0618647508
SRX4506352,-0.030273871900000002,-0.0483610196
SRX4506354,0.1447357635,0.0787417321
SRX4506348,0.23215675100000002,-0.0108936052
SRX4506346,-0.0774578918,0.050605125
SRX4506344,-0.1546988592,-0.0397115197
SRX4506351,-5.0297201297,-1.5725125403
SRX4506353,-4.9810980464,-1.4826534892
SRX4506355,-4.8375755388,-1.5540839436
SRX4506349,-6.51133835,-2.2202674495
SRX4506345,-6.6483243033,-2.1166019057
SRX4506347,-6.509516218,-2.1049713946
SRX4514122,2.4102394092,0.9837622752
SRX4514124,-2.3604382931,-0.8440851121
SRX4514126,-2.4588350392000002,-0.8282417556
SRX4514120,2.4176605403,1.0082861488
SRX4514112,3.2417243927,1.1687991772
SRX4514116,-3.1801729138,-1.1787375703
SRX4514118,-3.1620921484,-1.1021715171
SRX4514114,3.1005406695,1.1121099102
SRX4514121,2.4338418893,0.9798340888
SRX4514125,-2.2295777239,-0.8195567286000001
SRX4514127,-2.5899799849000003,-0.9317352465000001
SRX4514123,2.5168004072,1.0165713276
SRX4514115,2.8219529131,1.1097802281
SRX4514117,-3.065137237,-1.2592695435
SRX4514113,3.0717927332,1.1032849522000001
SRX4514119,-3.0251398097,-1.3279626484
SRX958308,1.6011578629,0.5190076598
SRX958306,0.6275773408,0.1507741893
SRX958307,2.3495114212,0.6424687062000001
SRX958313,-0.22849454090000001,0.1752666598
SRX958312,0.2456146938,0.0040037877
SRX958314,-0.017120153000000003,-0.1792704476
SRX958320,3.6723871416,0.3280729345
SRX958318,1.5237988309000001,-0.37100922080000004
SRX958319,1.8403818771,-0.23806204900000003
SRX958323,3.0442563271,-0.6723873034
SRX958322,3.182702847,-0.5152692258
SRX958321,2.7902797098,-0.701966987
SRX958310,-1.2270924565,-0.660906254
SRX958309,-1.3256516744,-0.5411156325
SRX958311,-0.7930661727,-0.8664033178
SRX958317,9.6908405119,2.2496178441
SRX958315,8.6986562047,2.1193082935
SRX958316,9.1350835004,2.0722889394
SRX958324,5.3322236647,0.837798612
SRX958325,5.1098541865,0.9546571739
SRX4498322,-0.0789440238,0.0807639433
SRX4498318,0.1750371932,0.1478363591
SRX4498320,-0.008068922000000001,0.027728565
SRX4498316,0.1254047507,0.1843565006
SRX4498312,-0.1167889738,0.031733527000000004
