sample,Rv2224d
SRX2923397,1.9492572503
SRX2923395,4.4351082586
SRX2923396,4.4178153499
SRX2923400,-0.6362264931
SRX2923401,-0.7785348595
SRX2923403,3.0453089586
SRX2923402,2.9318028163000003
SRX6853288,0.3454716359
SRX6853287,0.5137336769
SRX6853286,0.1998586685
SRX6853284,-0.0908875029
SRX6853285,-0.1766189508
SRX6853283,0.2675064538
SRX4319040,-0.8758555206
SRX4319041,0.4588471973
SRX4319039,0.41700832330000004
SRX4314613,-0.5823237299
SRX4314614,1.0222860019
SRX4314615,-0.5823237299
SRX4314632,-0.5823237299
SRX4314631,-0.5823237299
SRX4314633,-0.5823237299
SRX4314622,-0.5823237299
SRX4314623,-0.5823237299
SRX4314624,0.2221817825
SRX4314611,-0.5823237299
SRX4314610,1.1646474598
SRX4314612,-0.5823237299
SRX4314630,0.7523671935
SRX4314628,0.7105604427000001
SRX4314629,-0.5823237299
SRX4314619,0.5372674607
SRX4314621,-0.5823237299
SRX4314620,1.6811453869
SRX7119390,-0.2371516888
SRX7119388,0.2371516888
SRX7119386,2.176938689
SRX7119385,2.546821884
SRX7119387,2.8050335466
SRX3746749,-0.4122806606
SRX3746748,-0.3300367997
SRX3746751,-2.2016844608
SRX3746750,-0.7524919840000001
SRX3746752,-0.5973023498000001
SRX3746753,-1.5947727828
SRX3746755,-0.28381285
SRX3746754,0.28381285
SRX2345943,-0.07789633950000001
SRX2345942,0.07789633950000001
SRX2345941,0.3921119999
SRX2345940,0.7485123641
SRX3992217,-1.0116303077
SRX3992216,-0.8814705876000001
SRX3992214,0.243929115
SRX3992215,0.29416513510000003
SRX3992221,0.3995946416
SRX3992220,-0.1596546473
SRX3992219,2.53978238
SRX3992218,2.55510489
SRX3992201,2.2550639651
SRX3992200,2.8554988476
SRX3992198,0.4625337544
SRX3992199,-0.3968920858
SRX3992202,0.379620135
SRX3992203,0.236977915
SRX3992204,0.4179590836
SRX3992205,-0.091441145
SRX3992206,0.3031629441
SRX3992207,0.5100841999
SRX3992209,2.7152597526
SRX3992208,2.1838736612
SRX3992212,2.4405582842999998
SRX3992213,2.4728826977000002
SRX3992210,0.1855264176
SRX3992211,-0.1855264176
SRX357084,-0.1115388576
SRX357083,0.1115388576
SRX4647134,-1.0352610784
SRX4647137,-0.22765139350000002
SRX4647136,0.4341259266
SRX4647135,-0.7122961842000001
SRX4647139,0.7347897621
SRX4647141,-0.3211749907
SRX4647140,-0.5626068831000001
SRX4647138,0.1489921117
SRX4647128,0.3536894298
SRX4647127,1.5841415000999999
SRX4647129,0.8833603991000001
SRX4647126,1.3365198874
SRX4647133,0.5284386047
SRX4647132,0.1266137981
SRX4647131,0.4671104385
SRX4647130,1.0962593352
