sample,RV1984a
SRX5079930,0.043186732400000004
SRX5079929,0.2135695082
SRX5079923,0.361097518
SRX5079924,0.33081548310000003
SRX5079922,0.1699055016
SRX5079920,-0.2019150456
SRX5079921,0.0709788243
SRX5079919,0.13093622130000002
SRX5079926,0.5008380414
SRX5079925,0.38365734890000003
SRX5079927,0.4036146154
SRX894005,-1.3462034754
SRX894004,-0.0257050359
SRX894006,-0.0564374356
SRX893999,0.1779844313
SRX894000,-0.025314565900000002
SRX893998,-0.1526698654
SRX4647489,0.2045466242
SRX4647490,-0.2045466242
SRX4647492,0.0584956975
SRX4647491,-0.1897993426
SRX4647496,0.4073596043
SRX4647495,0.33536907460000004
SRX4647499,-0.0842386171
SRX4647500,0.0793714296
SRX4647493,-0.24153607800000002
SRX4647494,0.0030470064000000002
SRX4647497,-0.0313099774
SRX4647498,0.1448152493
SRX4505482,-0.284068511
SRX4505486,-0.3372761261
SRX4505484,-0.2337300609
SRX4505473,-0.0183815075
SRX4505476,-0.176270902
SRX4505480,0.0088608153
SRX4505478,0.10994614080000001
SRX4505474,0.0574639459
SRX4505483,0.12090367020000001
SRX4505485,0.2115543461
SRX4505487,0.11574453
SRX4505488,0.0220623349
SRX4505481,0.1754388455
SRX4505477,-0.0218523495
SRX4505475,-0.0814927009
SRX4505479,0.2276259801
SRX4605773,-0.0275886594
SRX4605774,0.0186302715
SRX4605772,-0.014166355700000001
SRX4605771,0.014166355700000001
SRX5178871,0.1956281893
SRX5178872,-0.090686448
SRX5178868,-0.0606031178
SRX5178870,-0.0925669149
SRX5178869,0.15317003270000001
ERX1404045,-0.0449491913
ERX1404046,0.0449491913
ERX1404043,0.22817430800000002
ERX1404044,0.25751598130000003
ERX237502,0.982260632
ERX237505,0.6339961917
ERX237506,0.8648278759
ERX237500,1.9095821095
ERX237497,2.1654988357000002
ERX237499,1.9403456551
ERX237507,-0.2479283213
ERX237496,0.3039630879
ERX237504,-0.0560347666
ERX3772318,-0.0302569022
ERX3772320,0.0269941791
ERX3772319,-0.14730384570000002
ERX3772321,-0.050665955500000005
ERX3772322,-0.1456311182
ERX3772323,0.1962970736
SRX4314262,-0.22668841050000002
SRX4314263,-0.004387913
SRX4314261,0.23107632360000002
SRX4314265,-0.0801459531
SRX4314266,-0.4829730486
SRX4314264,-0.024100433600000002
SRX4314268,-0.3265118497
SRX4314267,-0.4687225324
SRX4314271,-0.5798102054000001
SRX4314272,-0.37990455170000004
SRX4314275,0.0436977444
SRX4314274,0.1142324078
SRX4314273,0.0291716553
SRX4314278,-0.4174890988
SRX4314276,0.0673224691
SRX4314281,-0.15166477150000002
SRX4314279,-0.1041611743
SRX4314280,0.0119943288
