,A,zur
SRX4498314,0.2686354322,0.12769173250000002
SRX4498310,0.10233078350000001,0.0922393477
SRX4498319,-9.4095070934,1.6219638093
SRX4498317,-9.3121210429,1.7999195629
SRX4498311,-1.1688964258,-0.4387220969
SRX4498315,-1.1381052341,-0.119624902
SRX4498309,-1.7382261869,-0.3007406212
SRX4498313,-1.6956062437,-0.4579169105
SRX4615568,-0.4940950725,-0.020818897200000002
SRX4615570,0.4940950725,0.020818897200000002
SRX727246,-3.739330013,0.605012101
SRX727243,-3.564605224,0.6625624749
SRX727247,-2.564499121,1.3543743499
SRX727244,-1.8367527015,1.0505886224
SRX727245,-1.533099649,1.5956236042
SRX727248,-2.8530993815,1.9039550292
SRX727249,0.7760631760000001,-0.1108409367
SRX727251,-0.004241514,-0.0045521176
SRX727250,-0.7718216621,0.1153930543
SRX4498332,2.0477982594,-0.1051308397
SRX4498334,3.191571905,0.13823178020000002
SRX4498335,2.5862732241,-0.25178832160000003
SRX4498337,2.9943160671999998,-0.11842549070000001
SRX4498324,-0.3722866936,0.4580587815
SRX4498326,-0.0609898788,-0.0459814686
SRX4498328,0.23543416920000002,-0.3708827039
SRX4498330,0.19784240320000002,-0.0411946091
SRX4498336,-5.5726127461,0.6719413423
SRX4498333,-4.8303395541,0.5632898310000001
SRX4498338,-4.7295943273,0.2373063087
SRX4498329,-9.627273626000001,0.2414659271
SRX4498325,-8.8584103241,0.4003620364
SRX4498327,-9.2693086484,0.5807932547
SRX4498331,-9.3122251949,0.6480904902
