,A,zur
ERX237507,-0.4045304508,-0.1546268435
ERX237496,-0.4247561789,0.0969627026
ERX237504,0.8292866297,0.0576641409
ERX3772318,1.4928077887,0.1280003248
ERX3772320,1.4836273819,0.0366085304
ERX3772319,1.2745349268,0.19104734650000002
ERX3772321,0.11305011250000001,0.0082874484
ERX3772322,0.2179152633,-0.1135736965
ERX3772323,-0.3309653758,0.10528624810000001
SRX4314262,0.770258004,-0.21456566300000002
SRX4314263,0.5136816445,0.19413669590000002
SRX4314261,-1.2839396485,0.020428967000000003
SRX4314265,-2.6167901499,0.19156885610000002
SRX4314266,-1.3783488954,-0.2801435883
SRX4314264,-2.0889907354,-0.3969749333
SRX4314268,-0.7283564326,0.2626963983
SRX4314267,-0.3584229942,0.4059420767
SRX4314271,-0.0012355119,-0.2278735238
SRX4314272,0.56721564,0.1924226906
SRX4314275,0.9376249556,-0.056951917500000004
SRX4314274,0.0983658072,-0.1266843385
SRX4314273,1.267115901,-0.1789589519
SRX4314278,1.4900459936,-0.1299513421
SRX4314276,1.808706564,0.028901470500000002
SRX4314281,2.2155701853,0.15688761140000002
SRX4314279,2.4478603582,-0.2030219446
SRX4314280,1.4502064974,-0.2811926028
SRX4314284,3.2564706648,-0.31265852650000003
SRX4314283,2.0764084637,0.5395338404
SRX4314282,3.2474284802,-0.11251965500000001
SRX4314293,3.2213154828,0.1390160993
SRX4314292,2.8399240162,0.25950402570000003
SRX4314291,2.4150366268,0.2916741249
SRX4314297,2.9222522256000003,0.5882457147
SRX4314298,2.9501490007,0.4762489425
SRX4314299,2.1335405885,0.4786993021
SRX4314302,1.8820952198,0.7795726049
SRX4314301,2.7823908378,0.5575394945000001
SRX4314300,1.8248520658,0.42192203170000003
SRX4314305,1.834887753,0.9996874315000001
SRX4314304,1.8437476579,0.7631575803
SRX4314303,2.7709321138,0.8818829066
SRX4314309,2.4484512795,0.9588601539
SRX4314306,1.0851681554,0.695528095
SRX4314308,1.1038664488,1.5503945747999999
SRX4314307,2.7269924622,1.2610715712
SRX4314311,1.9834923361999999,1.2524933215
SRX4314317,-3.3227490636,1.4454000105
SRX4314316,-3.0217955389,1.4700522653
SRX4314318,-3.5584717965,1.4968187208
SRX4314319,-2.8762653857,1.6095480402
SRX4314331,0.0784036319,0.9227635522000001
SRX4314330,-0.11686700600000001,1.1268557449
SRX4314332,-0.5559939624,1.087311156
SRX4314335,1.9564537253,0.8690736216
SRX4314334,2.0518351637,1.1530732421
SRX4314333,1.5803946326,0.9865739887
SRX4314338,1.788151062,0.8845112039
SRX4314336,2.0862032352,0.7014789413
SRX4314337,2.2437910857,0.8839300709000001
SRX4314339,3.2483359535,0.8404978736000001
SRX4314340,3.5211296806,0.8646944564
SRX4314341,2.6245551798999998,0.7166497583
SRX3686762,-4.7920732223,-0.4382712623
SRX3686763,-4.862737141,-0.3081507808
SRX3686761,-4.9945701421,-0.0303857735
SRX3686765,-0.8281630383,-0.2283222538
SRX3686769,-0.8040553571,-0.007172031000000001
SRX3686766,-1.3717156773,0.1226210026
SRX3686768,-1.1761133998,0.12370862960000001
SRX3686764,-0.9864462489,-0.0964508136
SRX3686767,-0.9489470148,0.10108600350000001
SRX3686788,0.2562619465,-0.2959883149
SRX3686791,0.0528454714,0.36267886200000005
SRX3686792,0.0214325206,-0.5054033366
SRX3686793,0.2772795988,0.2352241237
SRX3686790,-0.5477526047,0.16012323990000002
SRX3686789,-0.060066932600000005,0.0433654258
SRX3686829,-2.6800565545,-0.8465593637000001
SRX3686830,-2.5826559395,-0.6330030343
SRX3686828,-2.5332166818,-0.7470868236
SRX3686819,-2.1873553771,-0.37616036880000003
SRX3686818,-2.4616052523,-0.4022291458
SRX3686817,-2.3299195237,-0.44326497260000003
SRX3686822,-4.4666434412000005,-0.5362665267
SRX3686820,-3.6325286388,-0.5730749882
SRX3686821,-4.4190731118,-0.5078273222
SRX3686743,-5.0459692198,0.3003374266
SRX3686744,-5.2624043212,0.3584417943
SRX3686745,-5.1749559059,0.38785275900000005
SRX3686772,-4.5061029677,0.100485345
SRX3686770,-5.0294060871,0.6041265804
SRX3686771,-4.9346652824,0.3263407448
SRX3686794,-1.5661899841,-0.6705604592000001
