,A,lsr2
SRX4314340,3.8061535949,-0.0856099632
SRX4314341,4.4471819859,0.3348859799
SRX3686762,-4.2494227262,0.5502312874
SRX3686763,-4.1555876008,0.5182986333
SRX3686761,-3.520966766,0.7028959531
SRX3686765,-4.5278032718,-0.5443529124
SRX3686769,-3.8420037482,-0.6903034530000001
SRX3686766,-0.24045891020000001,-0.7939912952
SRX3686768,-0.6388389871,-0.636014529
SRX3686764,-4.0222810522,-0.7562887095
SRX3686767,-2.9121316032,-0.6982720836
SRX3686788,-1.4709908311,-0.1191966129
SRX3686791,-1.2187323016,0.0330177939
SRX3686792,-0.0814750793,0.037171382
SRX3686793,-0.36838465330000003,0.0562508992
SRX3686790,2.9371254732,0.0891786012
SRX3686789,0.2024573922,-0.09642206340000001
SRX3686829,-0.1855800773,-0.0412848673
SRX3686830,-2.2737218292,-0.030124857100000003
SRX3686828,-1.6550015861,-0.045170712200000004
SRX3686819,-1.8270743454,-1.3980551643
SRX3686818,-2.3276059208,-1.3694847851
SRX3686817,-2.8630780539,-1.3836144823
SRX3686822,-3.2120341666,-0.9054324872
SRX3686820,-5.1319744311,-0.8804042477
SRX3686821,-3.7742214486,-0.8159045605
SRX3686743,-5.6775767793,0.7609573593000001
SRX3686744,-4.8564487216,0.6668857774
SRX3686745,-6.0853814061,0.6678997518
SRX3686772,3.7881473484,0.5699097213000001
SRX3686770,2.5543803461,0.8335448654000001
SRX3686771,3.1380465526,0.7831084566000001
SRX3686794,7.8334533135,0.0577374022
SRX3686796,-1.0045404055,-0.5030411475000001
SRX3686751,-3.9227361421999998,0.4255621278
SRX3686749,-2.409840308,0.2426725599
SRX3686750,-4.3456481911000004,0.5271724768
SRX3686778,-2.0241812099,0.398033208
SRX3686777,-2.1476729879,0.5266913545
SRX3686776,-0.6956832413,0.720522451
SRX3686800,-0.23201661580000002,-0.6829941843
SRX3686801,-1.7941506652,-0.513278026
SRX3686755,-4.8629302072,0.2912146027
SRX3686757,-2.425121616,0.5003402051
SRX3686756,-2.3337055983,0.47906601870000004
SRX3686784,-0.6135080196,0.5716876138
SRX3686783,-0.5206275354000001,0.6752497579
SRX3686782,-2.4134250627,0.8772504798
SRX3686809,-2.6807216804,-0.5141961930000001
SRX3686807,-3.0798564782,-0.4677466819
SRX3686808,-2.1313659179,-0.5400243331
SRX3686787,-4.0913294357,0.40917829780000003
SRX3686786,-5.4579985258,0.4661512494
SRX3686785,-2.9446336631000003,0.48930267450000003
SRX3686799,-4.2601917168,-0.8158261035000001
SRX3686797,-3.7758039752,-0.8501332138000001
SRX3686798,-3.4212085747,-0.9233097251
SRX3686746,-7.2984062547,0.5836541529
SRX3686748,-6.2510044267,0.4421547592
SRX3686747,-6.4323474126,0.5191496065
SRX3686773,2.6452675774000003,0.1691421538
SRX3686774,2.6152451683,0.27262528610000003
SRX3686775,0.16872220540000002,0.23161224400000002
SRX3686754,-5.541839009,0.2780640024
SRX3686753,-7.2039965956,0.2924140859
SRX3686752,-7.0514931175,0.1964320357
SRX3686780,-5.2599921857,-0.0016402336
SRX3686779,-1.5312567474,0.0509795502
SRX3686781,-3.0156012621,-0.2116858963
SRX3686806,-4.3305615688,-0.8376823431
SRX3686805,-5.1673164563,-0.7380168652
SRX3686758,-3.5842188816,0.8822906585
SRX3686760,-3.2949757967,0.7236571465
SRX3686759,-4.1205098049,0.8024835154000001
SRX3686810,-3.4959534023,-0.4745459697
SRX3686811,-2.9169691264,-0.5102581537
SRX3686812,-2.8382366595,-0.7404448983
SRX3686813,1.4144176026,0.5915907300000001
SRX3686815,-4.631208777,-1.018971969
SRX3686816,-4.1372699769,-1.0005227137
SRX3686823,-1.2336161901,0.5119460181000001
SRX3686824,-0.9871064768000001,0.29857985800000003
SRX3686825,-2.4123813957999998,0.0907959279
SRX3686827,-2.1278554627,0.4255689158
SRX3686826,-2.229730256,0.2104856839
SRX7054191,0.32329713930000004,-0.26982324550000003
SRX7054189,-1.2783741378,-0.16945459000000002
SRX7054190,0.9550769985,0.4392778355
SRX7054193,4.5218130811,-0.16545155150000002
SRX7054192,6.2095955663,-0.20547305670000002
SRX7054194,9.3295571104,-0.3498015068
SRX4506284,-3.1857240191,0.5941230113
SRX4506280,-1.2332600835,0.53269588
SRX4506282,0.2372160892,0.3348743998
SRX4506278,-1.2785010975,0.3404376838
SRX4506274,-1.2733496935,0.0626819795
SRX4506273,0.3925913816,0.0631254154
SRX4506271,0.0550356163,-0.0868691583
SRX4506276,0.8257226956,-0.0389382366
SRX4506283,0.18413430290000002,-0.051966957
SRX4506279,-0.38719908280000004,0.0432208585
SRX4506285,-0.9899323447,0.0405522665
SRX4506281,-1.3505703105,0.09091389350000001
SRX4506275,-0.6362325237,-0.1138688785
SRX4506277,-1.6911657964,-0.0022307859
SRX4506272,0.4709130555,-0.0872614746
SRX2923393,0.8312810656,-0.0073046305
SRX2923394,-0.8312810656,0.0073046305
SRX2923398,0.8643145590000001,0.8847202162000001
SRX2923397,4.1607357464,1.0683511754
