,A,kstR2
SRX4498317,-9.2131011842,-2.5699204019
SRX4498311,-2.6739133087,-1.2936343071
SRX4498315,-2.7125649826,-1.4568089907
SRX4498309,-3.6267920847,-1.3735771331
SRX4498313,-2.7754855559,-1.247467753
SRX4615568,0.2852210338,-0.06390620600000001
SRX4615570,-0.2852210338,0.06390620600000001
SRX727246,-6.9138412432,-0.6776210547
SRX727243,-6.1651565248,-0.3711473353
SRX727247,-5.2391763295,-0.38074203170000004
SRX727244,-4.9183625012,-0.4727683245
SRX727245,-3.3337311981,-0.055590481100000005
SRX727248,-3.9532608082,0.0429388718
SRX727249,0.6777271082,0.2925529814
SRX727251,-0.5832447259,-0.07758797020000001
SRX727250,-0.0944823823,-0.2149650112
SRX4498332,0.3481064544,-0.3066937864
SRX4498334,0.9724788320000001,-0.4081817714
SRX4498335,1.1637851254,-0.2225582079
SRX4498337,1.4609323977,-0.11016597160000001
SRX4498324,0.5311302032,0.1266690325
SRX4498326,-0.06433039730000001,0.0549423538
SRX4498328,-0.2714549029,0.0907549582
SRX4498330,-0.19534490300000001,-0.2723663445
SRX4498336,0.6445138616,0.043601548000000004
SRX4498333,0.4546033995,-0.030417569000000002
SRX4498338,1.1039655932,-0.2210803215
SRX4498329,3.575517082,0.40926356280000004
SRX4498325,3.5403531243,0.6070065675
SRX4498327,3.0868275209,0.3916536939
SRX4498331,3.3283732709000002,0.6466740455000001
