,A,kstR2
SRX5352222,-1.7517376235,-0.6415758149
SRX5352229,4.1995854225,0.5932996406000001
SRX5352227,4.1197365656,0.0930532272
SRX5352228,4.2049660225,0.3008059898
SRX5352231,6.189064286,0.9224496029
SRX5352232,5.0891182629,0.8425314172
SRX5352230,6.0348959352,0.8419304549000001
SRX5352225,1.9737494693,-1.2423141850000001
SRX5352224,1.378323359,-0.9455023124
SRX5352226,1.4943098049,-0.9257503610000001
SRX5352220,0.1282211183,0.0676564723
SRX5352219,0.08704894240000001,0.0427501224
SRX5352218,-0.21527006070000002,-0.1104065947
SRX4498228,-0.2222827543,0.11903556970000001
SRX4498224,-0.36816874990000004,0.08389624300000001
SRX4498230,-0.3039852243,0.2306540299
SRX4498226,0.1303938654,0.1725469259
SRX4498218,-0.0184993123,0.0663258464
SRX4498216,0.1522057397,0.1452858435
SRX4498220,-0.0408061543,-0.31863587250000003
SRX4498222,-0.0929002731,0.1070241826
SRX4498225,0.3536332413,0.4543769634
SRX4498227,0.3492989822,0.5424802541
SRX4498231,0.5241236822,0.4946289323
SRX4498229,0.3458638469,0.5054885448
SRX4498217,0.6675685873,0.5800183457
SRX4498221,0.245654913,0.6488031019
SRX4498219,0.7294133908,0.3721820308
SRX4498223,0.0602034938,0.460289184
SRX5079928,-0.3441430077,-0.47062827100000004
SRX5079930,-0.25229333130000003,-0.2959615631
SRX5079929,-0.3613690563,-0.3386844519
SRX5079923,-0.3289840772,-0.1821852203
SRX5079924,-0.49002427600000004,-0.340910836
SRX5079922,-0.2884620583,-0.3656989593
SRX5079920,0.1204181118,-0.11057589670000001
SRX5079921,-0.0560794705,0.0709075441
SRX5079919,-0.0643386413,0.0396683526
SRX5079926,-0.5235609623,-0.3347316563
SRX5079925,-0.5415090833,-0.3125434624
SRX5079927,-0.277739285,-0.5300628267
SRX894005,2.8734590630000003,0.4934211431
SRX894004,2.7381662138,0.8270069798
SRX894006,2.9260599573,0.6745743311
SRX893999,0.0617934936,0.30456578160000003
SRX894000,-0.24389566010000002,-0.036936071800000005
SRX893998,0.1821021665,-0.2676297097
SRX4647489,0.0971258441,0.034928029900000004
SRX4647490,-0.0971258441,-0.034928029900000004
SRX4647492,-0.0637061479,0.0331887346
SRX4647491,0.3335729307,-0.0380654525
SRX4647496,-0.8469146417000001,-0.2414866732
SRX4647495,-0.5139597989,-0.031013550600000002
SRX4647499,-0.0589247939,0.0087761977
SRX4647500,-0.4328429714,0.0056403334
SRX4647493,-1.3222808908,0.0996648649
SRX4647494,-1.8218940635,0.1251863479
SRX4647497,-0.5176657364,-0.0175430039
SRX4647498,-0.8146454893,-0.0236278603
SRX4505482,-0.28938358410000004,-0.058404484300000004
SRX4505486,0.48226809870000004,-0.15865163170000002
SRX4505484,-0.6872415646000001,0.060612773700000004
SRX4505473,0.3701059399,-0.0858413448
SRX4505476,-0.0287130635,0.0861333229
SRX4505480,-0.2238263586,-0.0884834595
SRX4505478,0.0890856065,-0.0007566207000000001
SRX4505474,0.1634538156,0.0031067573
SRX4505483,1.2468537187,0.1029064747
SRX4505485,1.1733540366,0.218796456
SRX4505487,1.1226963017,0.028837364600000002
SRX4505488,1.5728391735,0.050885143
SRX4505481,1.4170177118,0.0281768271
SRX4505477,1.7836030432,-0.06433337730000001
SRX4505475,1.8428373346,-0.1194282539
SRX4505479,1.3585666051,0.1179154441
SRX4605773,-0.2091334334,-0.0656296296
SRX4605774,0.0955748362,0.028723134100000002
SRX4605772,-0.06801595590000001,0.0541278086
SRX4605771,0.06801595590000001,-0.0541278086
SRX5178871,0.9719938167000001,-0.2753417546
SRX5178872,-0.251049746,-0.1512232321
SRX5178868,-0.2518665322,-0.33734581010000003
