Geneid,ctrl_1,ctrl_2,ctrl_3,levofloxacin_1,levofloxacin_2,levofloxacin_3
Rv0103c,77.34302584835345,79.78201231035685,91.91720002890766,153.9483505192058,104.62017527305619,102.68496842311473
Rv0104,1.748615316495711,1.9272208925959502,1.704493040962765,2.774266162910713,3.3439253083978784,3.5170057888762436
Rv0105c,9.737902840234254,4.191013854951469,7.413321407823714,1.6854188418284566,0.41338611523645574,1.3043485361438116
Rv0106,125.93932785800841,122.51508755876682,120.80968220157175,45.44611519930313,23.72048899333002,25.25881292215006
Rv0107c,58.221144590773186,62.33480803042235,71.18367356437359,95.91689730053633,97.01283584939785,93.88966478582488
Rv0108c,1516.204118851595,1555.2985463783468,2402.88692822398,2188.9979143547753,1278.012702833203,1458.0442719860703
Rv0109,9.814495088657592,12.194510467738308,8.817095884109571,10.389742407750415,9.956200803582215,9.141812342523721
Rv0110,14.801612317156088,24.242686809863713,24.41453850309943,35.545483374162444,52.309879022021114,54.356551329566855
Rv0111,13.730623670831239,16.83125826587656,15.912705208484542,42.01262710680299,39.04269155418375,34.440378743466965
Rv0112,37.3045764975346,42.85169338631145,53.47610113410974,91.6017215366801,100.82603979928665,116.79166777655594
Rv0113,60.62035501373365,64.89807410473368,66.13661103680269,91.0297283099234,87.51405043622508,95.18875188474232
Rv0114,21.795567875393417,22.003432251853955,21.304134819458525,36.25635950975238,46.26245137790165,56.87460414581725
Rv0115,18.906217283189232,16.68945224466756,14.760661488158924,32.89179794033452,49.013493275516346,43.65242237025656
Rv0115a,283.67087097724254,431.14962638328035,498.69949170708094,56.54847741134805,26.18112063164214,30.1587465764469
Rv0116c,243.45635338576366,240.3272958138063,226.9921098616912,116.43267961381473,108.77632262432303,103.26092577805187
Rv0117,22.293193154446833,28.228363160598988,36.393263031176836,17.917607449438346,22.06694453238419,20.324372692822948
Rv0118c,45.36787651786989,44.99728712000985,46.03832248407391,33.84931023028999,22.229253366488727,22.317112603832822
Rv0119,22.783764206649007,25.567486297211342,33.323928930817225,30.287873768790107,22.398297118325093,17.668219239590726
Rv0120c,106.80120775570391,105.42988699915239,91.1112753444067,54.24868233724462,43.83049146304289,44.943776366615054
Rv0121c,26.390021960446827,16.780112944154332,18.888347648286377,36.43991771815341,32.50070147376267,33.61321170154529
Rv0122,65.63907901177878,62.58126379615885,56.62116757285391,32.869093063707446,18.19907165858056,25.185591653183486
Rv0123,95.38178668899081,90.63493377374715,85.88604070039638,38.07607810350275,19.476199494270432,25.5213995418926
Rv0124,9.219987180605571,10.425051540379021,8.177946771608793,11.647694762431337,9.737445480825928,8.125449897289338
Rv0125,340.41629451324604,376.3998726066052,358.9468216612764,375.9999000506081,315.6075258165526,283.79351062147833
Rv0126,44.49480446819519,45.85516820256972,44.520292600048606,109.71320741553667,113.57474506567071,117.60081513859227
Rv0127,43.06439987111182,50.059332156364704,53.197445287623616,123.77294619677758,131.50845790959724,129.6196357792918
Rv0128,22.480595630296108,33.3490076834173,26.78616773638854,39.41287137814248,37.61018675353221,41.62209623669186
Rv0129c,668.9778294169213,609.3493800218873,587.3468991905668,583.6442344202762,558.6713321881069,563.7259220774832
Rv0130,26.557916837002622,32.88781705621645,37.8388280191002,40.02869749342619,34.10435450700753,30.978277733415535
Rv0131c,49.84055486765613,53.32316735094514,51.96403677793093,43.69203811224398,32.171220776158584,35.40374598104641
Rv0132c,12.347101687378371,12.867147800289615,13.33097270705142,11.310047491217318,10.987367799705785,10.75515459627359
Rv0133,37.262159720563325,52.7795721722297,37.18893907555113,79.66107124929341,107.89991547446576,103.66987993954976
Rv0134,100.44510019664797,122.13347684722882,117.50757521297551,200.27647317308902,256.7663392179659,265.3908710362171
Rv0135c,204.83779421806892,191.8460797629604,160.95837693637017,284.16411982956964,215.79983094893132,217.35913683578144
Rv0136,154.50058105628847,148.62928094200063,164.11617641528258,65.83905673692459,48.423226507618885,47.93923522546681
Rv0137c,92.8317712389945,94.52046729943653,76.75510826163544,87.71315680253437,92.92151830738591,105.4051417231703
Rv0138,11.513700057311638,13.69286272715621,15.603766785978134,30.736321289595068,46.28448111665336,51.876322236116536
Rv0139,25.64928820621566,33.341024199622034,36.486875159718885,89.330905549845,120.6941983370721,121.49056722039477
Rv0140,513.2090884840728,511.3550238071156,648.8115547083504,582.4648265185157,543.0005649113828,616.6384733076753
Rv0141c,140.26909482706427,193.74516604398582,131.6571009957982,110.73632372268955,113.51522376055061,136.57576460571588
Rv0142,114.44685899095589,98.35545460029074,176.7627984727761,90.67989723429852,99.76786260116106,87.15355806768945
Rv0143c,45.035331593781244,49.53273981376056,46.03042704204258,112.21026356169354,126.25885253900483,116.62410440815276
Rv0144,223.26922493930837,212.376188446543,203.70511582965105,386.041886858307,428.35481175792,474.3388006914923
Rv0145,777.793414536093,830.2366230619449,1339.5071393890023,3212.491788458207,3331.918087932481,3239.4056464210084
Rv0146,262.17047539978853,313.6522426816573,334.8972580965601,640.5878695330572,674.1849021816917,683.9791225170025
