,A,devR
SRX4505482,-0.3744400164,0.014916913700000001
SRX4505486,-0.1036313974,-0.0890932048
SRX4505484,-0.0712648068,0.1774243925
SRX4505473,0.5124450336,-0.24953534570000002
SRX4505476,0.0666025782,-0.1790154065
SRX4505480,-0.2082204196,-0.0978467871
SRX4505478,-0.0660149056,0.15124504260000002
SRX4505474,0.207632747,0.1256171509
SRX4505483,-0.43643761270000003,0.1608237917
SRX4505485,-0.5104631295000001,0.044070877700000004
SRX4505487,-0.2859289466,0.0758966396
SRX4505488,-0.6421423922,0.0872226604
SRX4505481,0.0484622129,0.1502607591
SRX4505477,-0.3271353144,0.0658197999
SRX4505475,-0.2646878153,0.0674885143
SRX4505479,-0.1889443529,0.044928490700000004
SRX4605773,-1.8492980758000002,-0.0615396542
SRX4605774,-1.7361415963,-0.1189384227
SRX4605772,-2.9105735888,-0.1378423311
SRX4605771,2.9105735888,0.1378423311
SRX5178871,-6.0708618469,0.2426937341
SRX5178872,0.32278846040000003,0.0549979768
SRX5178868,-6.9490457646,-0.049610746500000004
SRX5178870,4.2514733308,-0.11681098370000001
SRX5178869,2.6975724339,0.1664217302
ERX1404045,4.7020262798,0.45577302940000003
ERX1404046,-4.7020262798,-0.45577302940000003
ERX1404043,-2.1439975503,-1.0038139971
ERX1404044,-7.452642439,-0.685961622
ERX237502,-1.6541355053,-1.9799465992
ERX237505,-0.4692438356,-0.7602797739
ERX237506,-1.4789578303,-1.6502524935
ERX237500,-2.6851974981,-3.4250265502
ERX237497,-3.9865903764,-3.8857855916
ERX237499,-4.025485922,-3.1927523818
ERX237507,-0.0251005907,0.0131310357
ERX237496,0.09535448140000001,0.1942290089
ERX237504,-0.0702538907,-0.20736004460000002
ERX3772318,8.9328458094,0.9932888929
ERX3772320,9.7790765077,1.1109813924
ERX3772319,10.3463208671,1.4068841287
ERX3772321,2.3247905212,0.070536967
ERX3772322,-2.401740553,0.0255834887
ERX3772323,0.0769500318,-0.09612045570000001
SRX4314262,-0.12268506280000001,0.07276852040000001
SRX4314263,0.9559271504,-0.3021220443
SRX4314261,-0.8332420876000001,0.2293535239
SRX4314265,-6.9124581536,-0.1940250667
SRX4314266,-5.7352715183,-0.0924047155
SRX4314264,-7.955517543,0.0378061275
SRX4314268,-6.4500835754,0.1036724145
SRX4314267,-7.8057911044,-0.3831272947
SRX4314271,2.1918744199,-0.1822114228
SRX4314272,0.44536009120000003,-0.1317751264
SRX4314275,4.0978807562,0.4654027243
SRX4314274,5.9990292308,0.8226374096
SRX4314273,5.2435197976,0.7417311050000001
SRX4314278,5.2641818454,1.1046878701
SRX4314276,6.8943420881,1.2087751323
SRX4314281,7.8930743287,1.3336046836
SRX4314279,9.5988021941,1.9773114657000002
SRX4314280,9.5939114279,1.8766515957
SRX4314284,12.621572465,2.3805295317
SRX4314283,15.1115684154,2.7774219853
SRX4314282,11.4930134188,2.3529159452
SRX4314293,15.2132976946,2.9715470734
SRX4314292,21.6968726619,4.4416195555
SRX4314291,22.4017127226,4.8598900105
SRX4314297,21.7045640443,4.8193250307
SRX4314298,20.7789809315,4.4155455458
SRX4314299,25.856919678,5.5357560441
SRX4314302,25.4929589039,5.4320728269
SRX4314301,21.9355546007,4.4443541157
SRX4314300,21.1783137401,4.6728080221
SRX4314305,24.2210532186,5.0325813943
SRX4314304,19.7511549414,3.7915800139
SRX4314303,19.9708490852,4.2736357334
SRX4314309,17.4052911559,3.5875756918
SRX4314306,19.8952931633,4.1391671957
SRX4314308,21.9239344861,4.6576294134000005
SRX4314307,18.156922204,3.8290559086
SRX4314311,24.7968237992,4.9729888298
SRX4314317,22.3403568715,4.3556539411
SRX4314316,22.8446781996,4.274924633
SRX4314318,22.3661355988,4.0567687554
SRX4314319,24.4887511603,4.5071816443
SRX4314331,20.1233436917,3.269151111
SRX4314330,17.4049676856,2.7019672195
SRX4314332,15.3122606712,2.1363292849
SRX4314335,14.7992286131,2.1574089117
SRX4314334,19.4416247392,3.309029428
SRX4314333,17.3082325946,2.6623317261
SRX4314338,14.2778981158,2.1340847768
SRX4314336,16.8275530187,2.720050057
SRX4314337,19.1903869623,3.2507475842
SRX4314339,9.8677901861,1.6079208979000001
SRX4314340,12.7504032956,2.0381847395
SRX4314341,7.6840759735,1.2897460357
SRX3686762,23.5067701167,1.1214677865
SRX3686763,20.8088548134,0.7714348939
SRX3686761,21.9107221089,0.9390382434000001
SRX3686765,1.3976741841,-0.0459541667
SRX3686769,0.16089136340000001,-0.217649629
SRX3686766,6.7723810008,-0.0663823919
SRX3686768,0.8109474299,-0.1833723229
SRX3686764,5.7962081541,-0.0169277961
SRX3686767,-0.3645827088,-0.051205563200000005
SRX3686788,-1.40412008,-0.050158347900000004
SRX3686791,-0.7230753143,-0.0580064626
SRX3686792,1.2250704791,-0.0898667001
SRX3686793,-0.8135836327,-0.1220953661
SRX3686790,0.9687329459,0.28501395
SRX3686789,0.746975602,0.0351129268
SRX3686829,28.2147177094,2.2943406589
SRX3686830,29.384274039,2.502503439
SRX3686828,29.8449724217,2.6109935769
SRX3686819,26.7165711226,2.4754395208
SRX3686818,26.5500039578,2.4258429511
SRX3686817,25.177771363,2.0973546565
SRX3686822,24.7382181182,1.6825913672000001
SRX3686820,26.0705576358,2.1057292464
SRX3686821,26.1809691337,1.9763374135
SRX3686743,26.4183595161,1.5191160348000001
SRX3686744,25.2993952421,1.4226469165
SRX3686745,26.8942373013,1.6741830417
SRX3686772,22.9177721849,1.3552757611000001
SRX3686770,22.1768742005,1.2032899606
SRX3686771,17.4670915265,0.7076490695000001
SRX3686794,8.0100844494,0.1695748158
SRX3686796,13.6884451761,0.4172282344
SRX3686751,27.2810886368,1.9121738337
SRX3686749,29.9024072735,2.4485683273
SRX3686750,25.0865339798,1.6610334379
SRX3686778,14.3581127599,0.153697081
SRX3686777,19.9305365667,0.7463321922
SRX3686776,19.6796226589,0.9242682731
SRX3686800,18.4165737486,0.8417456485
SRX3686801,16.3922735226,0.643897845
SRX3686755,32.5885275497,2.4518118982
SRX3686757,27.4556513727,1.3023127712
SRX3686756,27.8296419857,1.6070997403
SRX3686784,22.9675428579,1.179026018
SRX3686783,26.0628135677,1.7908088571
SRX3686782,24.8925413853,1.5583110861
SRX3686809,24.5398515321,1.8974819769
SRX3686807,25.4830138537,2.0373469596
SRX3686808,23.1429635238,1.6542521894000002
SRX3686787,27.0308149795,1.581356044
SRX3686786,28.7993358129,1.8607260903
SRX3686785,30.1145285901,2.0892154223
SRX3686799,13.5980644241,0.3109623755
SRX3686797,16.8892085675,0.8416682464
SRX3686798,14.2081744765,0.4023567592
SRX3686746,25.2123175899,1.2501083556
SRX3686748,26.7622043323,1.4988647240000001
SRX3686747,25.5228375806,1.2609606345
SRX3686773,24.0639756819,1.3234345458
SRX3686774,17.3515510168,0.5826531806
SRX3686775,14.6052735468,0.36934906900000003
SRX3686754,25.5774692435,1.2944839992000001
SRX3686753,24.2434180611,1.1598495924
SRX3686752,26.3986656893,1.5689368921
SRX3686780,24.7226413162,1.5579027873
SRX3686779,22.7843302249,1.1474212743
SRX3686781,19.8494275765,0.783713446
SRX3686806,17.1008217548,0.5315690765000001
SRX3686805,20.0198681877,0.9359935978
SRX3686758,30.2716498619,1.8276355628
SRX3686760,30.4712972136,1.9640246426
SRX3686759,30.6906357298,2.0638012556
SRX3686810,26.462209757,1.6398572281
SRX3686811,21.826427356,0.7456675994
SRX3686812,23.2326878908,1.2237322768
SRX3686813,26.8213162835,1.975845909
SRX3686815,28.1792451924,1.8504172932
SRX3686816,27.1432774831,1.6556663792
SRX3686823,28.5077547342,2.2243729768
SRX3686824,25.0013085666,1.6089648474
SRX3686825,29.8747875351,2.2971754945000002
SRX3686827,28.2291142545,1.6244358755000001
SRX3686826,29.3350168311,1.8608611916000002
SRX7054191,1.1853570129,0.2065891243
SRX7054189,-0.0357677906,0.12720259
SRX7054190,-1.1495892223,-0.3337917143
SRX7054193,-11.5252037673,-1.8432609607
SRX7054192,-16.5434378258,-2.7747882805
SRX7054194,-16.2283210427,-2.763704058
SRX4506284,2.4056028128999998,-0.48563398830000004
SRX4506280,1.4608731059,-0.2681784371
SRX4506282,1.3475761549,-0.3067112487
SRX4506278,2.1656328097,-0.4305796336
SRX4506274,-0.004543218,0.0453047816
SRX4506273,-0.1274668519,-0.16635898070000002
SRX4506271,-0.0614356676,0.044017052800000005
SRX4506276,0.19344573750000002,0.0770371464
SRX4506283,0.5130969896,0.1921356408
SRX4506279,1.3893159815,0.20167908110000002
SRX4506285,2.0943713891,0.2724295356
SRX4506281,0.2663891639,0.0854506079
SRX4506275,1.9959949301000002,0.1007552263
SRX4506277,3.0461642065,0.2136798922
SRX4506272,1.0120452333,-0.016822613400000002
SRX2923393,-0.47809138510000004,-0.008705057700000001
SRX2923394,0.47809138510000004,0.008705057700000001
SRX2923398,6.5642812229,-0.7751650274
SRX2923397,7.3982201543,0.4914101051
SRX2923395,1.0597496835,-0.6630607192
SRX2923396,1.3738856927,-0.4634214089
SRX2923400,14.6066430462,1.9282651284
SRX2923401,14.4227651597,1.5196303816999999
SRX2923403,7.0686573568,-0.8014055245
SRX2923402,7.7052205215,-0.7979053867
SRX6853288,-5.3507571216,-0.5318345079
SRX6853287,-2.5137549609,-0.5278515359
SRX6853286,-3.0083879069,-0.2658850667
SRX6853284,-3.7640641119,-0.5566288977
SRX6853285,-4.936931485,-0.5761522391
SRX6853283,8.7009955969,1.1327811368
