,A,sigC
SRX4498316,0.6240197094000001,0.200652517
SRX4498312,0.2585256205,0.0383130443
SRX4498308,-0.25498294860000004,0.0230518412
SRX4498314,-0.0644252697,-0.0794336781
SRX4498310,0.0608825979,0.0180687926
SRX4498319,0.26845030810000003,0.22839226680000002
SRX4498317,2.2301836542,0.3765156149
SRX4498311,-1.953550981,0.5857897941
SRX4498315,-1.7264968089,0.3986244228
SRX4498309,-1.1726887899,0.7611136014000001
SRX4498313,-2.1192895468,0.4851208866
SRX4615568,0.2494728158,0.0731731323
SRX4615570,-0.2494728158,-0.0731731323
SRX727246,2.8862331671,-0.0860287069
SRX727243,3.4708162521,0.0605542274
SRX727247,2.1810024562,1.337568367
SRX727244,2.2074325092000002,1.4007948073
SRX727245,1.4233746495,0.8288286611
SRX727248,1.3932815557,0.9584637496
SRX727249,-0.0451288166,0.0888081342
SRX727251,-0.4077950886,-0.1409642642
SRX727250,0.45292390520000003,0.05215613
SRX4498332,-0.9278518614000001,0.28883844070000003
SRX4498334,-1.6341590204,-0.20971443180000002
SRX4498335,-1.1024320696,-0.2295399348
SRX4498337,-1.8650145078,-0.043461724
SRX4498324,0.08868974260000001,0.0818819455
SRX4498326,0.015655249700000002,-0.0756293584
SRX4498328,0.14110939720000001,-0.1232437705
SRX4498330,-0.2454543895,0.11699118330000001
SRX4498336,-1.1765866468,-0.5186214180000001
SRX4498333,-1.2460752471,-0.5088760493
SRX4498338,-1.2177876635,-0.4587567092
SRX4498329,-3.8887975712,-0.296154274
SRX4498325,-5.0075922663,-0.4250103958
SRX4498327,-4.2466060303,-0.4710758103
SRX4498331,-3.8317723312,-0.40930650550000003
