,A,sigC
SRX4647147,0.2833458383,0.0218749515
SRX4647144,-0.0023919828000000002,-0.0076269837
SRX4647143,0.0910042222,0.0233420238
SRX4647142,-0.0886122394,-0.0157150401
SRX4647155,-2.654222662,-0.4853535593
SRX4647152,-2.5643596066,-0.30820182500000004
SRX4647153,-2.89046277,-0.3251265364
SRX4647154,-1.4047056909,-0.6758490530000001
SRX4647148,-1.7305755081,-0.39013355320000004
SRX4647149,-1.9289139687999999,-0.4507111206
SRX4647151,-1.6268878855,-0.35286210970000004
SRX4647150,-2.1314413524,-0.34946331820000004
SRX4647123,0.08607136230000001,0.06608250260000001
SRX4647124,-0.20576412530000002,-0.0448031819
SRX4647125,0.11969276300000001,-0.0212793208
SRX3103185,-1.2206909913,0.1645262387
SRX3103189,-0.4326892297,0.0611987025
SRX3103187,-1.4997386477,-0.5993156466
SRX3103184,-0.0994102852,0.1420796419
SRX3103188,0.0071902431,0.1838821762
SRX3103186,0.0922200421,-0.3259618181
SRX1372110,-4.1461261311,-0.2730567312
SRX1372111,-2.8239811889,-0.0967006436
SRX1372108,0.42509437520000004,-0.06711007940000001
SRX1372109,-0.42509437520000004,0.06711007940000001
SRX4506085,0.7472829134000001,0.0664926684
SRX4506083,0.49142850390000004,0.061509668
SRX4506089,0.2017007792,0.1434522296
SRX4506087,0.35669020690000003,0.1836449642
SRX4506077,0.035254813,0.12369987760000001
SRX4506079,-0.29830594650000003,-0.0184753047
SRX4506075,0.5267214975,-0.0711895961
SRX4506081,-0.263670364,-0.0340349769
SRX4506084,-0.29575342320000003,-0.1745646139
SRX4506086,-0.0403929132,-0.3772558957
SRX4506088,-0.0781517097,-0.356468082
SRX4506090,-0.5750220597,-0.45492233930000003
SRX4506078,0.049272848200000004,0.0156635145
SRX4506080,0.1157609376,0.0496578249
SRX4506082,0.2569558054,0.16254933100000002
SRX4506076,0.130204763,0.0750259238
SRX5352221,-2.1490563288,-0.0139593692
SRX5352223,-1.5232591586000002,-0.1668357123
SRX5352222,0.3169591851,0.1504435553
SRX5352229,-2.3718161417,1.4948992398
SRX5352227,-2.2383424352,1.4794197369
SRX5352228,-1.9261625131,1.493985276
SRX5352231,6.9198375517,-1.2319310742
SRX5352232,6.4356129532,-1.1852109704
SRX5352230,7.9887675096,-1.3143529332
SRX5352225,-3.1398332441,-0.1364277763
SRX5352224,-2.3846553905,0.19211181260000001
SRX5352226,-2.1259497842,-0.5252622139
SRX5352220,0.0189062877,-0.0994323747
SRX5352219,0.16135626590000002,0.0037601756000000004
SRX5352218,-0.18026255360000001,0.09567219910000001
SRX4498228,0.2800894758,0.1143843425
SRX4498224,0.7353035515,0.16835053190000002
SRX4498230,0.6372057835,0.24830281950000002
SRX4498226,0.091596272,0.0835422521
SRX4498218,0.3385397269,-0.16214043620000002
SRX4498216,-0.3577363569,0.12912499400000002
SRX4498220,-0.1566837755,-0.0364708357
SRX4498222,0.1758804054,0.0694862779
SRX4498225,-1.6329611147,0.46976107520000004
SRX4498227,-1.8654421783,0.3383605243
SRX4498231,-1.6878350277,0.49039645930000003
SRX4498229,-1.7751503294000002,0.4039159579
SRX4498217,-1.5851874154,0.534944823
SRX4498221,-0.8062895407,0.4033891269
SRX4498219,-1.424797519,0.4690471485
SRX4498223,-1.6804780667,0.4000583003
SRX5079928,-5.4048445221,-0.2031014995
SRX5079930,-5.934386111,-0.3668236713
SRX5079929,-5.314218082,-0.4685913205
SRX5079923,-2.2733491711,-0.1626167409
SRX5079924,-2.671346919,-0.17195347860000001
SRX5079922,-2.1872403354,-0.1896931419
SRX5079920,-0.059766591200000004,-0.0012936266
SRX5079921,-0.367966934,0.0352842384
SRX5079919,0.4277335252,-0.0339906118
SRX5079926,-4.4783717501,-0.13151783720000002
SRX5079925,-4.0928002949,-0.2744140465
SRX5079927,-4.7618216295,-0.1490303635
SRX894005,4.2436883098,1.1758077133
SRX894004,4.7669572481,-0.2526315022
SRX894006,3.8096732533,1.0688196203
SRX893999,0.2017136849,0.3309503768
SRX894000,0.33844650470000004,-0.0699141268
SRX893998,-0.5401601897,-0.26103625
SRX4647489,0.2991501581,-0.0681554531
SRX4647490,-0.2991501581,0.0681554531
SRX4647492,-0.45572636380000003,-0.0792353657
SRX4647491,-0.300125601,-0.1901381526
SRX4647496,1.3209096001,-0.2042333556
SRX4647495,0.0738087857,0.1236123868
SRX4647499,-0.3626997226,-0.0326347876
SRX4647500,-0.2531115162,-0.090636091
SRX4647493,1.6608986985,-0.2848445408
SRX4647494,1.4975396672,-0.2286785469
SRX4647497,0.0243036122,-0.1159416862
SRX4647498,0.1478573183,0.0282657059
SRX4505482,-0.1019990333,-0.2166116875
SRX4505486,-1.4646515917,-0.0508346597
SRX4505484,0.3806115652,-0.3007366851
SRX4505473,-2.0308532604,-0.1031982557
