,A,Rv2621c
SRX4506075,-0.2144541415,-0.2628096016
SRX4506081,-0.0351859241,0.1009666812
SRX4506084,2.5765369254,-0.30996689580000003
SRX4506086,2.6898733969,-0.5846783529
SRX4506088,2.8629210973,-0.45056244780000004
SRX4506090,3.1186887839,-0.2840962296
SRX4506078,4.1073210273,-0.0946681545
SRX4506080,3.8560666661000003,-0.0059330851
SRX4506082,3.6142952403,-0.08334743900000001
SRX4506076,3.5917372052000003,-0.0550161404
SRX5352221,-0.6876867239000001,-0.3220635388
SRX5352223,-0.7151012482,-0.33767194640000003
SRX5352222,0.16900962830000002,-0.35195610390000004
SRX5352229,3.8446504051,1.1007089089
SRX5352227,3.092008105,0.8422799216
SRX5352228,3.7934262443,1.1555146985
SRX5352231,3.015406717,-0.7870157445
SRX5352232,2.8172578967,-0.5859267853
SRX5352230,3.2651065667,-0.8667732728
SRX5352225,-0.9376192031,-0.9109002898
SRX5352224,0.1617930374,-0.7255722798
SRX5352226,-1.8631905015,-0.7476005563
SRX5352220,0.24301722950000001,0.0724008412
SRX5352219,-0.0738435862,0.0831004661
SRX5352218,-0.1691736433,-0.1555013073
SRX4498228,-0.5013711928,-0.1118747212
SRX4498224,-0.6433329351,-0.12780444030000002
SRX4498230,-0.26085002560000004,-0.0694426117
SRX4498226,-0.2104118506,0.0157203143
SRX4498218,-0.223302103,-0.040123716600000005
SRX4498216,0.5145737361,0.0927515107
SRX4498220,0.0969511229,0.14920656270000002
SRX4498222,-0.3882227559,-0.2018343567
SRX4498225,-2.7766921963,-0.7214670832000001
SRX4498227,-2.8717702517,-0.3905115461
SRX4498231,-2.6760378196,-0.5315743946
SRX4498229,-2.6930824897,-0.48365697300000005
SRX4498217,-2.3183790445,-0.3243052751
SRX4498221,-2.7096054176,-0.6449832427000001
SRX4498219,-2.3357805273,-0.6141999634
SRX4498223,-3.0536418909,-0.6258347038000001
SRX5079928,0.7095235064000001,0.0646079739
SRX5079930,0.8208814026,0.2338640072
SRX5079929,0.642526924,0.1753235193
SRX5079923,0.7227088035,0.0871193494
SRX5079924,0.6060725277,-0.1414998191
SRX5079922,1.0219171938,0.2167264167
SRX5079920,0.056880260200000005,0.0407552613
SRX5079921,-0.07007911380000001,-0.0322010333
SRX5079919,0.013198853600000001,-0.008554228
SRX5079926,0.8409078627000001,0.2139233669
SRX5079925,0.9109996435000001,0.1530500093
SRX5079927,0.7110879830000001,0.0743068848
SRX894005,-1.1397134186,1.6162943322999999
SRX894004,-1.6908025474000001,1.6315742268
SRX894006,-1.8003042578000001,1.4519626725
SRX893999,-1.0190963058,0.0329352142
SRX894000,0.38965452770000003,0.1033693568
SRX893998,0.6294417781,-0.1363045709
SRX4647489,0.0218287619,0.0069926064
SRX4647490,-0.0218287619,-0.0069926064
SRX4647492,0.1886417601,0.2703104857
SRX4647491,0.5401753625,0.11479319700000001
SRX4647496,-0.2983843385,-0.4047027754
SRX4647495,0.0827196771,-0.041452475600000004
SRX4647499,0.5266914372,0.040650183900000005
SRX4647500,0.2645758199,-0.0518713117
SRX4647493,0.1319159199,-0.2185913179
SRX4647494,-0.4637541757,-0.0832581879
SRX4647497,0.4275653065,-0.0684727076
SRX4647498,0.0306438526,-0.0608221407
SRX4505482,-0.0769077013,-0.4089411694
SRX4505486,0.7796362055,-0.19438166340000002
SRX4505484,0.2045206126,-0.5413001030000001
SRX4505473,0.4144116218,-0.092768663
SRX4505476,0.5238731631,0.0451861223
SRX4505480,0.32063317150000004,0.0200783605
SRX4505478,0.0107483532,-0.0436469029
SRX4505474,-0.8552546878,-0.02161758
SRX4505483,6.4700076263,0.338280623
SRX4505485,5.9358229787,0.4334976991
SRX4505487,6.011368736,0.45643523560000004
SRX4505488,6.4786158921,0.6274083567000001
SRX4505481,4.936421386,0.3681966568
SRX4505477,6.024959214,0.4127390738
SRX4505475,5.6977191658,0.7010049952
SRX4505479,5.1963721108,0.3878054898
SRX4605773,0.0377528875,-0.24859965850000001
SRX4605774,-0.3264833687,-0.05417298
SRX4605772,-0.2345898531,0.0251470868
SRX4605771,0.2345898531,-0.0251470868
SRX5178871,-0.8059554058,-0.08048032470000001
SRX5178872,1.0683166038,-0.0261983115
SRX5178868,-0.9040953464,0.00020336300000000002
SRX5178870,0.49198798260000004,-0.2455528197
SRX5178869,0.4121073637,0.2453494567
ERX1404045,-0.4575994848,0.0862536551
ERX1404046,0.4575994848,-0.0862536551
ERX1404043,1.6210941835,0.2162449266
ERX1404044,0.4563817329,-0.11230004090000001
ERX237502,-5.6990027684,-0.6937589618000001
ERX237505,-4.3443349471,-0.4776209582
ERX237506,-6.1694167502,-0.6316554464
ERX237500,-17.4454682002,-1.9375794816
ERX237497,-19.4358446924,-1.8397132090000001
ERX237499,-16.2650805634,-1.119465281
ERX237507,0.0619509192,0.2388241696
ERX237496,-0.6308568132,-0.1756419559
ERX237504,0.568905894,-0.06318221360000001
ERX3772318,1.7976361642,-0.1206107599
ERX3772320,1.864766812,-0.17164824750000002
ERX3772319,1.5159418888,-0.0586569822
ERX3772321,0.5550459289,-0.11118753640000001
ERX3772322,0.2956211956,0.0404273896
ERX3772323,-0.8506671245,0.0707601468
SRX4314262,0.7253773732000001,-0.2624691585
SRX4314263,0.42521044750000003,-0.2394471182
SRX4314261,-1.1505878207,0.5019162767
SRX4314265,-1.1047705054,0.31758572900000004
SRX4314266,-1.0543933741,-0.2801693716
SRX4314264,-0.6307312995000001,-0.5184374602
SRX4314268,-1.3685585359,-1.8488034651
SRX4314267,-3.1739561704,-0.5288224003
SRX4314271,-1.6545634900000001,-0.5551008131
SRX4314272,-2.6497934885000003,-0.2632515072
SRX4314275,-1.5428359621999999,-0.688815178
SRX4314274,-1.8681288655000001,-0.6975612939
SRX4314273,-2.5876654964,-1.0538325866
SRX4314278,-2.6531913171,-0.5163895043
SRX4314276,-2.514084558,-1.1289849492
SRX4314281,-2.2513682848,-0.7032901608000001
SRX4314279,-2.4696725667,-0.7252092953
SRX4314280,-2.866073782,-0.2399521195
SRX4314284,-3.1439965601,-0.45986966020000003
SRX4314283,-4.4786993745,-0.2531141861
SRX4314282,-3.5774688205,-0.4706844013
SRX4314293,-4.1359449665,-0.2948937102
SRX4314292,-5.288299017,-0.8475888017000001
SRX4314291,-4.4755273317,-0.0429717364
SRX4314297,-3.3720998929,-0.1617808759
SRX4314298,-2.8831917555,-0.496387467
SRX4314299,-3.9703967928,0.30713387200000003
SRX4314302,-2.8297532893,0.3597396613
SRX4314301,-2.7312956981000003,-0.5895919878
SRX4314300,-2.0949754168,-0.7850082994
SRX4314305,-1.8422129668,-0.1603120426
SRX4314304,-1.4487312385,-0.1877414014
SRX4314303,-2.66875486,0.15812508490000002
SRX4314309,-1.3551196753,-0.3607061889
SRX4314306,-2.3959164935,-0.1901818448
SRX4314308,-2.972436836,-0.6751680836
SRX4314307,-2.0934461511,-0.21221121750000002
SRX4314311,-0.8138957997,0.1729502755
SRX4314317,-0.9519650778000001,-0.23015947390000002
SRX4314316,-0.5867201529,-0.08511934040000001
SRX4314318,0.044756803500000004,0.08348600760000001
SRX4314319,0.6761975026,-0.0384395437
SRX4314331,-3.0852100699,-0.4504690766
SRX4314330,-3.146946819,-0.1385329545
SRX4314332,-3.8748682315,-0.1592583358
SRX4314335,-3.0445075646,-0.4647395159
SRX4314334,-1.7723438241,-0.6690336520000001
SRX4314333,-2.4605211584,-0.4115882302
SRX4314338,-2.2181376994,-0.4157962712
SRX4314336,-1.5817585197000001,-0.3557509599
SRX4314337,-1.4528319223000001,-0.48390883030000004
SRX4314339,0.0990006612,-0.26483139510000003
SRX4314340,0.9547009869,-0.3645238726
SRX4314341,-0.5697286965,-0.4204827975
SRX3686762,-5.7851520584,-0.5905374413000001
SRX3686763,-5.781316484,-0.4855472642
SRX3686761,-5.9369116631,-0.6368597161
SRX3686765,1.1322214196,0.34627678630000003
SRX3686769,0.6324643782,0.26982482750000003
SRX3686766,-0.2717749598,0.1694564837
SRX3686768,0.4544526083,0.0379156249
SRX3686764,0.5829448792,0.2782540128
SRX3686767,0.1765186571,0.1719883709
SRX3686788,0.5428262437,0.1171480346
SRX3686791,0.30056760050000003,-0.0757220785
SRX3686792,-0.4292405858,-0.1373105197
SRX3686793,0.5850704011,-0.0620491108
SRX3686790,-1.1785955612,0.0332894773
SRX3686789,0.1793719017,0.1246441972
SRX3686829,-5.6534163036,-0.4885047691
SRX3686830,-5.8476852286,-0.2399249511
