,A,Rv0078,Rv2034
SRX5089861,0.0593685636,0.21039195400000002,-2.6646053253
SRX5089862,-0.0083020652,-0.013856850300000001,-2.4125455372
SRX5089865,-1.2447612364,0.5154872273000001,-3.3641900638
SRX5089864,-1.1530808682,0.4894832194,-3.68235417
SRX5388955,0.1579789433,0.0004307064,0.0568295435
SRX5388957,-0.0535137649,-0.0250187966,-0.2336352105
SRX5388954,-0.1957300119,-0.0550157854,0.0675645004
SRX5388956,0.0912648335,0.0796038756,0.10924116660000001
SRX5388960,4.2787402048,-0.0415076036,0.2853158393
SRX5388961,4.0489032113,0.34448946620000004,0.2731934338
SRX5388959,4.2024270343,0.1353825856,0.5917131474
SRX5388958,4.3207914161,0.3286248457,0.0841895371
SRX5388964,8.6953172282,0.8556740492,0.0798317702
SRX5388965,8.0793271935,0.8782939853,0.22972602590000002
SRX5388962,7.7261778017000005,0.8450962696000001,0.0779370602
SRX5388963,8.4663238307,0.8446481809,0.0048157406
SRX6889335,-0.2064168932,-0.19199719340000002,-0.0575460587
SRX6889333,0.2064168932,0.19199719340000002,0.0575460587
SRX6810002,-0.32821566690000004,-0.3989496464,-0.0234964207
SRX6810004,0.17089794090000002,-0.1418453404,-0.1646939246
SRX6810003,0.1573177259,0.5407949868,0.1881903453
SRX6810006,-1.6685342482,0.0365323926,1.4340108883
SRX6810005,-1.5596053978,-0.1213569849,1.364047931
SRX6810007,-1.7982596763,0.14691473300000002,1.0852326042
ERX1818322,0.40120853840000004,0.2745464299,0.1423345566
ERX1818321,-0.40120853840000004,-0.2745464299,-0.1423345566
SRX2617830,-0.5312393072,-0.15960388350000002,-1.5734809105
SRX2617831,-0.5728162394,-0.0341057351,-1.3657674994
SRX2617833,-0.4831789124,-0.9630205482,-0.7814105377
SRX2617832,-0.8122459298,-0.9224335413,0.052195979
SRX2617828,-0.17068825270000001,0.1199973429,0.432397358
SRX2617827,0.1372441486,0.1637084647,0.37926211060000004
SRX2617829,0.0334441042,-0.2837058076,-0.8116594686
SRX3456119,-0.471596926,-1.4894494761,0.1389243095
SRX3456118,0.2826888052,-0.0864327923,-0.0475181566
SRX3456117,0.2614740946,-0.9081306113000001,-0.1293397785
SRX3456101,-0.386127793,-0.0855614973,0.0048917028
SRX3456099,0.3001700177,-0.0511921505,0.12282613140000001
SRX3456100,0.0859577752,0.13675364780000002,-0.1277178342
SRX3456107,-10.6920126605,-0.0548989932,-4.1334247821
SRX3456105,-10.4179594755,-1.0217482095,-2.471500808
SRX4374122,-0.1084342461,-0.7095895044,-0.2671811689
SRX4374121,-0.2097886069,-0.6998833291000001,-0.1148542204
SRX4374123,0.8938966171,-0.2795910548,-0.0880763641
SRX4374124,-0.6649648838000001,-0.5934084593,-0.2884141452
SRX4374125,0.23406238140000002,0.3469441774,0.169743417
SRX4374126,0.4309025024,0.2464642819,0.1186707282
SRX4374127,-1.1178261997,-0.3618295634,-0.3018479879
SRX4374128,-0.9578178698,0.0685732111,-0.3627018583
SRX4374129,-0.6694564652,0.2869584967,0.0730286359
SRX4374130,-1.2732329138,-1.0914672624,-0.36972238550000003
SRX4374132,0.0306406049,-0.1437101559,-0.43370967590000004
SRX4374131,-0.3521946955,-0.828320554,-0.0204583981
SRX4374133,-0.5051898522,-0.6550220089000001,-0.2470497901
SRX4374135,1.2271646324,-0.1754426318,-0.42756026950000003
SRX4374134,0.1220229401,-0.5304364392,-0.6420548474000001
SRX4374138,-0.0781797671,-0.3187775668,-0.3987382236
SRX4374136,-1.085064108,-1.1075310269,-0.2855215521
SRX4374137,-0.2733658749,-0.3463423055,0.3454613194
SRX1091379,-1.168365581,-0.0812668356,4.5556319756
SRX1091380,-0.9503493377000001,-0.07075920570000001,4.5346408746
SRX1091377,-0.0267213679,-0.0740616092,0.0010963019000000001
SRX1091378,0.0267213679,0.0740616092,-0.0010963019000000001
SRX4647145,-0.2918979299,0.0068177208000000005,-0.1804915424
SRX4647146,-0.1402644074,-0.0200188838,0.0896786649
