,A,Rv0078,Rv2034
SRX3992217,-0.1384317952,-0.22789846760000002,0.2555594221
SRX3992216,-0.0907673351,-0.09073465600000001,0.4620393464
SRX3992214,-2.5423167754,0.9761905307000001,-0.312528544
SRX3992215,-1.7947852085,0.801311235,-0.1784260054
SRX3992221,-1.8235451524,0.7898949056,-0.3968884462
SRX3992220,-2.5507545451,0.8989309974,-0.36176985380000004
SRX3992219,-1.7029686351,-0.5306893295,1.6998655247
SRX3992218,-1.3837984939,-0.4930810754,2.0150110202
SRX3992201,-1.1623450679,-0.0071634252,2.0609121887
SRX3992200,-1.9640818582000001,-0.3652177575,1.8503713839
SRX3992198,-0.0872090651,-0.1423923796,0.3320967969
SRX3992199,0.1260476221,-0.08737951890000001,0.0790596336
SRX3992202,-0.041989399999999996,-0.0748340791,0.0227510572
SRX3992203,0.1049960535,-0.14944799920000001,-0.0774699345
SRX3992204,-2.2193855727,1.1052754044,-0.5680828913
SRX3992205,-1.7430833291,1.316421873,-0.2760534776
SRX3992206,-2.0695357171,1.2105218818,-0.42534035670000003
SRX3992207,-1.4764562209,1.1223424115,-0.17076171380000002
SRX3992209,-2.2043232870000002,-0.28196271,1.7745418536000002
SRX3992208,-1.7018274477,-0.252618078,1.5907486377
SRX3992212,-1.7780472485,-0.3460813533,1.7188109599999999
SRX3992213,-2.3461061953,-0.6651091894000001,1.6939814206000001
SRX3992210,-0.0507267374,0.0798057639,-0.0702417106
SRX3992211,0.0507267374,-0.0798057639,0.0702417106
SRX357084,0.1714559052,0.07682520030000001,0.3091946141
SRX357083,-0.1714559052,-0.07682520030000001,-0.3091946141
SRX4647134,0.0866153129,0.342566884,-0.8862977256000001
SRX4647137,-0.11372825900000001,-0.0404977631,0.2627850084
SRX4647136,-0.0352001045,0.20221692870000002,-0.5529575021
SRX4647135,0.0956581226,0.566765386,-0.9353867248000001
SRX4647139,-0.0212225522,0.021638036200000002,0.0213052808
SRX4647141,0.0994712184,0.2123712426,-0.1404344843
SRX4647140,0.02268451,-0.2520239406,-0.12881262870000001
SRX4647138,-0.1009331762,0.0180146618,0.24794183220000002
SRX4647128,-0.2508718538,0.3871292709,0.651212051
SRX4647127,-0.2551999991,0.2619333289,0.6883026924
SRX4647129,-0.3724639481,0.4261871158,0.5226748765
SRX4647126,-0.1070980747,0.3029025534,0.6518210968
SRX4647133,1.045658707,0.5487531243,0.9370665734
SRX4647132,1.2061777242,0.590250112,0.5278290464000001
SRX4647131,1.3596390622,0.6762836655000001,0.7576084165
SRX4647130,1.9545473022,0.7295695858,1.0638955157
SRX6923924,-0.9789007473,2.378323666,-0.6053214801
SRX6923925,0.28347527580000004,1.6525150187,-0.5126764592
SRX6923923,1.4490530567,0.7389849318,-1.5617202343
SRX6923922,-0.24722313840000001,0.5925101789,-1.4006705893
SRX6923939,-0.13034010740000002,-0.07678998690000001,-0.13299911420000002
SRX6923938,0.13034010740000002,0.07678998690000001,0.13299911420000002
SRX6923936,1.007774814,-0.3742975215,0.49661168800000005
SRX6923937,1.3994598664,-0.41641364480000004,0.1649004661
SRX5509428,0.14096377640000002,0.0794929558,-0.06277568160000001
SRX5509427,-0.14096377640000002,-0.0794929558,0.06277568160000001
SRX1882560,-0.2850487466,1.1920634190000001,-3.1218257891
SRX1882558,-0.4131720753,1.0628026605,-2.1154988129
SRX1882559,-0.3565201099,1.0982171347,-2.5893862731
SRX1882561,-0.8816120628,1.443290758,-2.6553495289
SRX1882563,-1.1170084302,1.3495255925,-2.6353542012
SRX1882562,-1.4544106955,1.1973819802,-3.1353348712
SRX1882565,-1.5207081037,1.1828976658,-2.585983282
SRX1882566,-1.3428504814,1.2630763234,-2.7776665021999998
SRX1882564,-1.6408911121,1.2621114226999999,-2.4147508833
SRX1882568,-1.3368011712,1.0540961552,-2.488518117
SRX1882567,-1.3776315321000001,1.0445791324,-2.2845687935
SRX1882569,-1.4552658247,0.762911639,-2.8477366879
SRX1882555,-0.1529421592,-0.1228356786,-0.12838889950000001
SRX1882557,0.1746966879,-0.0988194715,0.20848151380000002
SRX1882556,-0.0217545286,0.2216551501,-0.0800926143
SRX5088615,-2.6840104664,-4.2343905384,0.3770641335
SRX5088616,-2.1484313858,-2.8185765363,0.3231245705
SRX6845150,-0.4048662257,-1.2998725398,5.3285087266
SRX6845149,-0.5154090363,-0.9874668074,5.2148494056
SRX6845151,-0.8897769682000001,-0.20015400260000002,-0.3399331137
SRX6845152,-1.3225372184,-0.24725747520000002,0.8613487181
SRX6845145,-1.1907109611,-1.0012795152,4.6624112315
SRX6845146,-1.4813407060000001,-0.9863106009,4.1297786389
SRX6845142,0.2262126566,-1.2729739924,1.4753334938
SRX6845141,0.3641237994,-0.8291476727,1.0727076831
SRX6845144,-0.4293083875,0.0810795678,0.13437186610000001
SRX6845143,0.4293083875,-0.0810795678,-0.13437186610000001
SRX5605051,-0.056576433700000005,0.1660412615,-0.08875096440000001
SRX5605045,0.056576433700000005,-0.1660412615,0.08875096440000001
SRX5605060,-0.6121347631,-0.0015198338,0.0330961488
SRX5605059,-0.7673255961000001,-0.6281570134000001,-0.2923492615
SRX2382017,-0.0287492747,-0.0204696395,-0.11081907220000001
SRX2382024,0.0287492747,0.0204696395,0.11081907220000001
SRX2382027,0.5854741606,-0.5609949439,-0.6528400718
SRX2382029,0.9358723232,-0.5488116645000001,-0.6173774786
SRX2382217,0.23806263160000002,-0.7104317532000001,-1.1500188518
SRX2382023,-0.2732804415,-0.476136887,-0.9381633329
SRX2382218,-2.2288029614,-0.5076492179000001,0.3033774001
SRX2382219,-0.5901599294000001,0.0973537216,1.070123537
SRX2382213,1.536665824,-0.43377363100000005,-0.2998008763
SRX2382019,0.8981386226,-0.4114582178,-0.9537317531
SRX2382214,-0.2485625445,0.3316922486,1.9681717846
SRX2382215,0.2701761278,0.26533310920000003,0.2445453482
SRX2382020,-0.5628564837,0.2806399612,-0.2649674878
SRX2382216,-1.2333494566,0.3879313515,0.0625342936
SRX2382022,1.1139794152,-0.4003961894,0.5347260397
SRX2382033,-0.5710303262,0.4729975904,1.0270901617
SRX2382220,-3.0186399574,0.4001767378,-1.7971383201000002
SRX2382222,-3.0318155837,0.2541310952,-1.6974650372
SRX2382030,-2.9652598783,0.6633462311,-0.2612503348
SRX4506350,-0.1008065388,-0.1244033355,0.142500858
SRX4506352,-0.0037936187,-0.0124404456,0.3484858112
SRX4506354,0.16955350700000002,0.2025385136,0.4394522884
SRX4506348,0.0316296624,0.1123815038,-0.0695875742
SRX4506346,0.0046091848,-0.145264175,0.17254243390000001
SRX4506344,-0.0362388472,0.0328826712,-0.1029548597
SRX4506351,0.6831255342,-0.3818411849,0.8855272519
SRX4506353,0.6453768397,-0.1520859088,0.8443122368
SRX4506355,0.7667541783,-0.2283068459,0.9897954787000001
SRX4506349,0.1923822876,-0.21534665900000002,1.327090488
SRX4506345,0.1250646729,-0.4248736296,1.1751786287
SRX4506347,0.1519810057,-0.2058153943,1.3473222415000001
SRX4514122,-0.4520976504,-0.6350303517,-0.5136178541
SRX4514124,0.9933673021,0.3456936114,0.5804014709
SRX4514126,1.1119971376,0.4764310939,0.5779029058
SRX4514120,-0.6811181644000001,-0.48790365280000003,-0.3738550242
SRX4514112,-0.7031027644000001,-0.3949936271,-1.0079364925
SRX4514116,0.6723894009,0.4561918511,0.8518065729000001
SRX4514118,0.8378064128,0.3438416754,0.7226189407
SRX4514114,-0.8070930493,-0.4050398993,-0.5664890211
SRX4514121,-0.5811308608,-0.7833395349000001,-1.0811635335
SRX4514125,1.043973059,0.4089495509,0.9855686568
SRX4514127,1.1007731927,0.3139330484,0.5246655283
SRX4514123,-0.427905156,-0.3598013661,-0.6892753545
SRX4514115,-0.2602414121,-0.5149815299,-0.7502668072
SRX4514117,0.9298500802,0.4080943281,0.7022622586
SRX4514113,-0.7181083685,-0.5762375953000001,-0.6529370751
SRX4514119,0.8598849635,0.3915946004,0.6118627213
SRX958308,2.6137323329,-0.0582271586,2.8452207923
SRX958306,2.234002249,-0.4602535344,1.6049703611
SRX958307,2.8462674711,0.4125912909,2.9529714261
SRX958313,0.7336094499,0.1726632304,0.025210030300000002
SRX958312,-1.0074091747,0.0192741396,-0.10696725800000001
SRX958314,0.27379972480000003,-0.19193736990000002,0.0817572277
SRX958320,-1.8674115465,-1.5828383475,-0.573934738
SRX958318,1.1516581099,-0.3237855066,0.3148858101
SRX958319,0.6335031197000001,-0.32724398200000004,0.2690283659
SRX958323,6.4196222846,0.0036556071,3.2175591552
SRX958322,5.6669647122,-0.1099184428,3.3116337195
SRX958321,4.8860525929000005,-0.5490501917,3.1615559491
SRX958310,-0.6885380878,0.3461372673,-1.1149993133
SRX958309,0.6292735335,0.3757929432,-0.6253703771
SRX958311,-0.2820189876,0.0275910567,-0.42331928100000005
SRX958317,-1.3995492556,0.7408906211,-1.4505603986
SRX958315,-1.1611334748,0.7741722965000001,-0.8115937908
SRX958316,-1.4644054386,0.7149215945,-0.6949898143000001
SRX958324,1.1910587565,0.8239976177,-0.5996103442
SRX958325,1.2436181175,1.1157015757,-0.4639400642
SRX4498322,-0.2097283056,0.0732278484,-0.9720934449
SRX4498318,-0.3188167146,0.2162192484,0.16285259300000002
SRX4498320,0.1018651349,0.3769466202,-0.576773836
SRX4498316,-0.3377023169,-0.18192717730000002,-0.2025871747
SRX4498312,0.0548922717,0.0917170965,-0.2330372983
SRX4498308,-0.1172305898,0.0231063474,-0.0969949207
SRX4498314,0.07121946,-0.0368408801,0.36714566470000004
SRX4498310,-0.0088811418,-0.0779825638,-0.0371134458
SRX4498319,5.7733446278,-0.7827666989000001,3.406808508
SRX4498317,5.1094621977,-1.2584019532,3.1154919157
SRX4498311,-0.2122387578,-0.0313692878,0.7922282857
SRX4498315,-0.5426557638,-0.1433810111,-0.0787491127
SRX4498309,-0.2921390074,-0.4688849973,0.0726649231
SRX4498313,-0.29962264510000003,-0.2314005331,0.1582585696
SRX4615568,-1.0632862195,-1.2546345689,-0.7311957489
SRX4615570,1.0632862195,1.2546345689,0.7311957489
SRX727246,5.9414395241,2.4859591036,-0.5262400104
SRX727243,4.4381367155,2.3048639511,-0.4648168077
SRX727247,7.0141536117,3.1871153596,-1.0530068156
SRX727244,6.3655805136,3.578725286,-0.656461107
SRX727245,4.4187642746,2.9836214614000003,-0.8977314829
SRX727248,4.6931366911,2.6425782048,-1.4573579115
SRX727249,-0.19716423,-0.2102343948,0.12269631460000001
SRX727251,-0.2727238051,-0.31103650520000004,-0.0534720494
SRX727250,0.4698880351,0.5212708999,-0.0692242652
SRX4498332,-0.7082201006000001,0.14386324220000002,0.3102993113
SRX4498334,0.22469341410000002,-0.23107486370000002,0.5383436349
SRX4498335,-0.3761007585,0.22801714950000002,0.0402090764
SRX4498337,-0.4188369872,-0.1170605524,0.11653497680000001
SRX4498324,0.3383114276,-0.4544838775,0.0137528204
SRX4498326,-0.2780019227,0.32568735120000003,-0.38919199050000003
SRX4498328,-0.1298415949,-0.0075498106,0.2875142931
SRX4498330,0.06953209,0.136346337,0.08792487700000001
SRX4498336,-0.10030748090000001,0.27046306600000003,-0.0391424093
SRX4498333,0.27723200200000003,0.5912569556,0.133319334
SRX4498338,-0.6736444168,0.22699019780000002,-0.1957882297
SRX4498329,-0.5011939393,0.4743056362,0.0828968228
SRX4498325,-0.6747643715,0.5030213221000001,0.3033347563
SRX4498327,-0.3263574852,0.5005567524,-0.0934849215
SRX4498331,-0.6735290705,0.2858106205,-0.1543921574
