sample,Rv3312b
SRX4647141,0.060431733700000004
SRX4647140,0.12462289210000001
SRX4647138,-0.12992696750000002
SRX4647128,-1.1417049756
SRX4647127,-1.198297744
SRX4647129,-1.2522689706999999
SRX4647126,-1.1524077335
SRX4647133,-0.8696889310000001
SRX4647132,-1.433801781
SRX4647131,-1.4376931943
SRX4647130,-1.0287103985
SRX6923924,-1.040982951
SRX6923925,-0.9938811891
SRX6923923,-1.4540546268
SRX6923922,-1.4039546663
SRX6923939,0.045408477700000005
SRX6923938,-0.045408477700000005
SRX6923936,-0.0213073992
SRX6923937,-0.0720909925
SRX5509428,0.1574316459
SRX5509427,-0.1574316459
SRX1882560,0.2603236557
SRX1882558,0.23877204070000002
SRX1882559,-0.007077484100000001
SRX1882561,-0.3183888532
SRX1882563,-0.0036854601000000002
SRX1882562,-0.1777316364
SRX1882565,0.248754728
SRX1882566,0.3020327108
SRX1882564,0.3621468209
SRX1882568,0.6026493452
SRX1882567,0.8029643116
SRX1882569,0.5960993765
SRX1882555,0.06875217580000001
SRX1882557,0.0502054745
SRX1882556,-0.11895765030000001
SRX5088615,2.1542964525
SRX5088616,2.0300969042
SRX6845150,-0.42375455040000004
SRX6845149,0.36200672030000003
SRX6845151,0.19735369860000002
SRX6845152,-0.1451208501
SRX6845145,-1.2158561828
SRX6845146,-1.9918581767
SRX6845142,1.2851774906
SRX6845141,1.1693194016
SRX6845144,-0.0545506879
SRX6845143,0.0545506879
SRX5605051,-0.199015084
SRX5605045,0.199015084
SRX5605060,-0.8707602887
SRX5605059,-0.7850837878
SRX2382017,0.16340539240000002
SRX2382024,-0.16340539240000002
SRX2382027,-0.7908302564
SRX2382029,-0.9295690227000001
SRX2382217,-1.0396087862
SRX2382023,-0.9378777101
SRX2382218,0.9725227764000001
SRX2382219,0.0451759729
SRX2382213,-0.9626799468
SRX2382019,-2.0551320389
SRX2382214,-0.2109015736
SRX2382215,0.024332553200000002
SRX2382020,1.1963788501
SRX2382216,1.4594125955
SRX2382022,-1.6713215713
SRX2382033,-0.3855944778
SRX2382220,1.6581084462
SRX2382222,1.4285341216
SRX2382030,2.5956515508
SRX4506350,0.2038425006
SRX4506352,0.1461264988
SRX4506354,0.2096179146
SRX4506348,0.042006848900000004
SRX4506346,-0.0033611048
SRX4506344,-0.0386457442
SRX4506351,-1.1455928503
SRX4506353,-1.0018414168
SRX4506355,-1.077424019
SRX4506349,-0.9063585506
SRX4506345,-1.0069774036
SRX4506347,-0.9506027456
SRX4514122,0.5424875385
SRX4514124,-0.8364403686
SRX4514126,-0.7600162862000001
SRX4514120,0.8341693445
SRX4514112,0.8888227348000001
SRX4514116,-0.7214005859
SRX4514118,-0.9148272518
SRX4514114,0.7474051029000001
SRX4514121,0.7445725923000001
SRX4514125,-0.8237824901
SRX4514127,-0.9304676949
SRX4514123,0.7765706932
SRX4514115,0.8923253168
SRX4514117,-1.1608417915
SRX4514113,0.7297307518
SRX4514119,-0.9574580778
SRX958308,-0.8507485050000001
SRX958306,-0.8260056011
SRX958307,-0.7417648407
SRX958313,-0.0212018882
SRX958312,0.2013013636
SRX958314,-0.18009947540000001
SRX958320,-0.2091881868
SRX958318,0.2388994322
SRX958319,0.1525106739
SRX958323,-1.9620789377
SRX958322,-1.8909469096
SRX958321,-1.9410632115
SRX958310,-0.2563838578
SRX958309,-0.2790217836
SRX958311,-0.3698066414
SRX958317,-0.0660739994
SRX958315,-0.2791623622
SRX958316,-0.669392659
SRX958324,-1.0870057912
SRX958325,-1.0207597687
SRX4498322,0.2481120125
SRX4498318,0.104190033
SRX4498320,-0.0665042722
SRX4498316,0.099582787
SRX4498312,-0.0198318133
SRX4498308,-0.0601412068
SRX4498314,-0.0343708557
SRX4498310,0.11434387580000001
SRX4498319,-1.0222691152
SRX4498317,-1.2655991109
SRX4498311,-0.8011519523
SRX4498315,-1.11370459
SRX4498309,-0.6239317671
SRX4498313,-0.7220242029
SRX4615568,0.0130146023
SRX4615570,-0.0130146023
SRX727246,-1.0700964823
SRX727243,-1.0511493739
SRX727247,-2.0003992953
SRX727244,-1.7566748493
SRX727245,-1.2272089465
SRX727248,-3.4496429238
SRX727249,-0.0376856739
SRX727251,-0.2831418683
SRX727250,0.32082754220000004
SRX4498332,-0.09722240330000001
SRX4498334,-0.1618475819
SRX4498335,-0.13059251060000002
SRX4498337,-0.0701240667
SRX4498324,0.3664061141
SRX4498326,-0.1597877832
SRX4498328,0.0349396038
SRX4498330,-0.2415579348
SRX4498336,-1.2618611105
SRX4498333,-1.2303539739
SRX4498338,-0.8539000306000001
SRX4498329,-1.010215883
SRX4498325,-1.2328918146
SRX4498327,-1.3063978161
SRX4498331,-1.0981778295
