,A,Rv1776c,whiB4
SRX6810007,6.7162069296,1.3152031126,0.6000113337
ERX1818322,-0.5687534182,-0.2616447134,0.3344215904
ERX1818321,0.5687534182,0.2616447134,-0.3344215904
SRX2617830,4.6570782186,-0.015511057100000001,0.2136984945
SRX2617831,4.5344847631,-0.0061584888,0.1369555071
SRX2617833,5.9657496028,0.8146287313,0.2017862812
SRX2617832,5.7044858311,0.8743992078,-0.313406801
SRX2617828,-0.2361438478,0.033125492900000005,0.0684377461
SRX2617827,0.0490482545,0.0079244662,0.1199553715
SRX2617829,0.1870955932,-0.0410499592,-0.18839311760000002
SRX3456119,-0.1638371813,0.7182774635,0.2625269966
SRX3456118,0.0652311127,0.10492964410000001,-0.2915219892
SRX3456117,0.30187186120000004,0.1543456966,0.1754643928
SRX3456101,0.0213913848,0.1264183808,0.1844539721
SRX3456099,0.2326396637,0.3406047454,-0.1508071286
SRX3456100,-0.25403104860000003,-0.4670231262,-0.0336468435
SRX3456107,-20.363076092100002,-0.1001801549,1.3301565606999999
SRX3456105,-20.2169402703,-0.568450259,1.4224593388
SRX4374122,-0.5497591551000001,0.5171591406,-0.3156512469
SRX4374121,0.265709268,0.7003450567,0.035263295300000004
SRX4374123,-0.8735516793,0.683628946,0.1368631256
SRX4374124,0.6235685494000001,0.3756948684,0.1435426319
SRX4374125,-0.6386761321000001,-0.4388071202,-0.0907105445
SRX4374126,0.0151075827,0.0631122518,-0.052832087400000005
SRX4374127,1.8400078546,0.3437808638,0.2312223119
SRX4374128,0.4937384469,0.20955601810000002,0.4890258012
SRX4374129,1.8499763459,0.0024142995,0.1008003563
SRX4374130,1.4064069298000001,0.1126097124,0.5156355441
SRX4374132,1.8981571992,-0.6494774144000001,0.0934298564
SRX4374131,0.4224934983,-0.38632127320000004,-0.0213224012
SRX4374133,1.8976827139,0.54995865,0.0287214116
SRX4374135,2.5854405427,0.10592489520000001,-0.6527443582
SRX4374134,1.8145610067,0.40497046200000003,-0.3599912286
SRX4374138,5.6203367568,-0.4620861094,-0.3562272288
SRX4374136,4.3690756806,0.058346976200000004,0.35444489960000003
SRX4374137,3.7954858948,-0.3253160846,0.17656186610000002
SRX1091379,3.3279321333,0.7647392850000001,0.2229174304
SRX1091380,3.3560240872,0.7556242956,0.3038375457
SRX1091377,-0.0826021089,0.1686966699,0.025424137700000002
SRX1091378,0.0826021089,-0.1686966699,-0.025424137700000002
SRX4647145,0.0582275827,0.0848396129,0.1218697775
