	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX4498229	9260739	3802825	2016090	2752230	0	0	0	0	0	0	0	0	0	537442	142838	9314	41.06394748842398	9260739.0	6508509.0	70.28	2752230.0	29.72	SRX4498229_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9260739.0	0.0	20-75	60.0	35.48205242761423	73.30743237661703	pass	pass		pass	fail	pass	pass	warn	fail	pass	pass	9304167	2441006	9304167	697812525	6301341	685655899	1.742104872651863	0.3305	0.3333	0.3362		
SRX4498230	6463068	2295711	1711810	2002517	0	0	0	0	0	0	0	0	0	367464	79403	6163	35.5204525157402	6463068.0	4460551.0	69.02	2002517.0	30.98	SRX4498230_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6463068.0	0.0	20-75	59.0	31.881130039966386	73.55882314714931	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	6464876	1692295	6464876	484865700	1929437	480302182	0.9411921692955391	0.3466	0.3482	0.3052		
SRX4498231	10566086	4986116	2059977	2564384	0	0	0	0	0	0	0	0	0	754701	188659	12249	47.18981087225678	10566086.0	8001702.0	75.73	2564384.0	24.27	SRX4498231_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10566086.0	0.0	20-75	60.0	36.01043027450327	73.33019208815828	pass	pass		pass	fail	pass	pass	warn	fail	pass	pass	10586180	2701879	10586180	793963500	5882006	782585807	1.4330246919411282	0.3151	0.3183	0.3666		
SRX4498308	6038658	4915762	57633	172131	0	0	0	0	0	0	0	0	0	714157	166020	12955	81.4048750566765	6038658.0	5866527.0	97.15	172131.0	2.85	SRX4498308_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6038658.0	0.0	20-75	64.0	43.52537981400872	73.55802795919227	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	6042674	1367580	6042674	453200550	1836539	448896950	0.9496016719308924	0.2584	0.2547	0.4869		
SRX4498309	6677661	1747169	1712588	2818429	0	0	0	0	0	0	0	0	0	330675	63751	5049	26.164386002823445	6677661.0	3859232.0	57.79	2818429.0	42.21	SRX4498309_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6677661.0	0.0	20-75	58.0	29.146783806985574	73.59619902837234	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	6680349	1800899	6680349	501026175	1791033	496447873	0.9137849933688592	0.359	0.3657	0.2753		
SRX4498310	8192354	6599780	119034	233453	0	0	0	0	0	0	0	0	0	995703	226485	17899	80.56023946230839	8192354.0	7958901.0	97.15	233453.0	2.85	SRX4498310_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8192354.0	0.0	20-75	64.0	38.6850786406767	73.57148360532273	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	8198006	1860448	8198006	614850450	2419682	609116053	0.9326490693793914	0.262	0.2561	0.4818		
SRX4498311	22229304	3746862	8483404	9243080	0	0	0	0	0	0	0	0	0	614405	130957	10596	16.855507486874078	22229304.0	12986224.0	58.42	9243080.0	41.58	SRX4498311_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22229304.0	0.0	20-75	57.0	20.125814705542886	73.56951859581389	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	22237488	6109710	22237488	1667811600	6448343	1651971068	0.9497794595025002	0.4115	0.4182	0.1703		
SRX4498312	6015004	4796757	169796	172500	0	0	0	0	0	0	0	0	0	697853	164945	13153	79.74653050937289	6015004.0	5842504.0	97.13	172500.0	2.87	SRX4498312_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6015004.0	0.0	20-75	64.0	42.62383480389088	73.57168041783514	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	6018483	1370892	6018483	451386225	1763707	447225172	0.921838720266663	0.2655	0.2599	0.4746		
SRX4498313	14958997	2733064	4117376	7543786	0	0	0	0	0	0	0	0	0	461653	95538	7580	18.2703693302432	14958997.0	7415211.0	49.57	7543786.0	50.43	SRX4498313_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14958997.0	0.0	20-75	57.0	23.02546233771453	73.55989241792079	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	14964204	4127964	14964204	1122315300	4369048	1111511639	0.9626226248541744	0.3872	0.3945	0.2182		
SRX4498314	2878770	2347974	28892	74742	0	0	0	0	0	0	0	0	0	342322	78523	6317	81.56170864640106	2878770.0	2804028.0	97.4	74742.0	2.6	SRX4498314_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2878770.0	0.0	20-75	64.0	53.938012277122446	73.56291402230814	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	pass	2880583	648430	2880583	216043725	885892	214013815	0.9395829478500244	0.258	0.2549	0.4871		
SRX4498315	10735165	2549673	3509757	4173592	0	0	0	0	0	0	0	0	0	405548	89423	7172	23.750664288811578	10735165.0	6561573.0	61.12	4173592.0	38.88	SRX4498315_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10735165.0	0.0	20-75	58.0	25.66420672011195	73.56503379314617	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	10739298	2899500	10739298	805447350	3145437	797765171	0.9537779222937416	0.3849	0.3877	0.2274		
SRX4498316	4526700	581879	1777564	2052200	0	0	0	0	0	0	0	0	0	92898	20566	1593	12.854375151876646	4526700.0	2474500.0	54.66	2052200.0	45.34	SRX4498316_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4526700.0	0.0	20-75	57.0	24.52005221932601	73.55496321823846	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	4530778	1259746	4530778	339808350	1272232	336330395	1.0235048667874111	0.4277	0.4359	0.1365		
SRX4498317	7011528	1003277	2381509	3178515	0	0	0	0	0	0	0	0	0	404359	41549	2319	14.30896375226627	7011528.0	3833013.0	54.67	3178515.0	45.33	SRX4498317_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7011528.0	0.0	20-75	57.0	23.45158210343977	73.5550276630144	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	7013351	1945123	7013351	526001325	2094764	520949055	0.9605051850392202	0.39	0.3986	0.2114		
SRX4498318	3156533	738202	1043993	1230733	0	0	0	0	0	0	0	0	0	114931	26634	2040	23.38648130718101	3156533.0	1925800.0	61.01	1230733.0	38.99	SRX4498318_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3156533.0	0.0	20-75	58.0	32.14044738632726	73.56197955161566	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	3158590	852621	3158590	236894250	895352	234565795	0.9829090406373308	0.3881	0.3891	0.2227		
SRX4498319	8307460	1381643	2415292	3926538	0	0	0	0	0	0	0	0	0	524135	56681	3171	16.631353024871622	8307460.0	4380922.0	52.73	3926538.0	47.27	SRX4498319_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8307460.0	0.0	20-75	57.0	23.66096916534443	73.55011832738286	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	8309981	2290705	8309981	623248575	2489528	617213165	0.9683792698603444	0.3706	0.3791	0.2503		
SRX4498320	4564017	1034941	1585339	1737862	0	0	0	0	0	0	0	0	0	166463	36682	2730	22.676098708659502	4564017.0	2826155.0	61.92	1737862.0	38.08	SRX4498320_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4564017.0	0.0	20-75	58.0	30.348934549209556	73.5534368079698	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	4567577	1235648	4567577	342568275	1327135	339115848	1.0078069838778854	0.3869	0.3974	0.2157		
SRX4498321	16676839	2426445	5113191	8149948	0	0	0	0	0	0	0	0	0	882319	99388	5548	14.549789681365874	16676839.0	8526891.0	51.13	8149948.0	48.87	SRX4498321_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16676839.0	0.0	20-75	57.0	19.72769294275369	73.54542128757134	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	16681100	4639642	16681100	1251082500	5025008	1238924402	0.9718062557824922	0.386	0.3919	0.2221		
SRX4498322	4936030	1397505	1357038	1906291	0	0	0	0	0	0	0	0	0	221975	49444	3777	28.31232792345265	4936030.0	3029739.0	61.38	1906291.0	38.62	SRX4498322_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4936030.0	0.0	20-75	58.0	31.700278068311626	73.55416559461753	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	4938632	1322381	4938632	370397400	1385246	366778025	0.9771599368678072	0.3625	0.3673	0.2702		
SRX4498323	4998420	2381257	599868	1206377	0	0	0	0	0	0	0	0	0	708893	96546	5479	47.64019430139924	4998420.0	3792043.0	75.86	1206377.0	24.14	SRX4498323_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4998420.0	0.0	20-75	60.0	36.827861245186696	73.53520512481944	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	5000394	1257605	5000394	375029550	1655380	371364824	0.9771832646254142	0.2718	0.27	0.4582		
SRX4498324	9506189	533827	2460843	6338379	0	0	0	0	0	0	0	0	0	145852	25781	1507	5.615573180798321	9506189.0	3167810.0	33.32	6338379.0	66.68	SRX4498324_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9506189.0	0.0	20-75	55.0	22.585263067576733	73.44715027231206	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9542377	2857986	9542377	715678275	2799706	705194619	1.4648559787566555	0.4406	0.4511	0.1083		
SRX4498325	10136875	2978391	1884396	4604510	0	0	0	0	0	0	0	0	0	540995	119746	8837	29.381747333374435	10136875.0	5532365.0	54.58	4604510.0	45.42	SRX4498325_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10136875.0	0.0	20-75	58.0	34.629223025106704	73.493039817498	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	10383623	3008215	10383623	778771725	3219580	752588690	3.3620936866961877	0.3362	0.3304	0.3334		
SRX4498326	19075322	1635343	3826608	13111614	0	0	0	0	0	0	0	0	0	418978	78320	4459	8.573082016649575	19075322.0	5963708.0	31.26	13111614.0	68.74	SRX4498326_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19075322.0	0.0	20-75	56.0	21.582310338905984	73.44855085539317	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	19175395	5727265	19175395	1438154625	6218658	1415087087	1.6039678626350764	0.4074	0.4178	0.1748		
SRX4498327	9154017	1564480	2206292	5037849	0	0	0	0	0	0	0	0	0	276478	64086	4832	17.090639005804775	9154017.0	4116168.0	44.97	5037849.0	55.03	SRX4498327_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9154017.0	0.0	20-75	57.0	30.33086218007143	73.44920333881834	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	9209519	2660064	9209519	690713925	2932068	679135950	1.6762330367090832	0.3833	0.3853	0.2314		
SRX4498328	10795696	1259816	2520744	6630236	0	0	0	0	0	0	0	0	0	320734	60658	3508	11.66961352005466	10795696.0	4165460.0	38.58	6630236.0	61.42	SRX4498328_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10795696.0	0.0	20-75	56.0	26.080413794009253	73.46049499726556	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10838841	3178700	10838841	812913075	3291134	801031113	1.4616522190887384	0.3997	0.4061	0.1941		
SRX4498329	5521906	2225760	931433	1882146	0	0	0	0	0	0	0	0	0	385174	90695	6698	40.30782124867754	5521906.0	3639760.0	65.91	1882146.0	34.09	SRX4498329_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5521906.0	0.0	20-75	60.0	44.020637017083466	73.45421164358828	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	5552191	1491595	5552191	416414325	1755130	409764122	1.5970159047722483	0.3153	0.3121	0.3725		
SRX4498330	18225393	1825912	4941179	10918193	0	0	0	0	0	0	0	0	0	449179	85906	5024	10.018505499442456	18225393.0	7307200.0	40.09	10918193.0	59.91	SRX4498330_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18225393.0	0.0	20-75	56.0	21.931941104015813	73.4443726947342	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	18296390	5410973	18296390	1372229250	5262190	1352017274	1.472929978718935	0.4147	0.4275	0.1578		
SRX4498331	6961764	2170606	1176928	3128691	0	0	0	0	0	0	0	0	0	388760	90162	6617	31.17896556102735	6961764.0	3833073.0	55.06	3128691.0	44.94	SRX4498331_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6961764.0	0.0	20-75	59.0	38.15945280837123	73.48768185764413	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	6984414	1917055	6984414	523831050	2088096	516823273	1.337793359137455	0.3289	0.3238	0.3472		
SRX4498332	10767790	623974	9001072	935736	0	0	0	0	0	0	0	0	0	176512	28833	1663	5.794819549786911	10767790.0	9832054.0	91.31	935736.0	8.69	SRX4498332_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10767790.0	0.0	20-75	57.0	18.097036626601838	73.40614202171476	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10799029	3115031	10799029	809927175	3271351	798431858	1.4193025440836702	0.4806	0.4796	0.0398		
SRX4498333	12535275	2461231	3168987	6377311	0	0	0	0	0	0	0	0	0	422326	98100	7320	19.634439611416585	12535275.0	6157964.0	49.13	6377311.0	50.87	SRX4498333_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12535275.0	0.0	20-75	57.0	28.220912766200318	73.48284931922116	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	12615705	3621665	12615705	946177875	3639066	930463891	1.6607853993626729	0.3822	0.3805	0.2373		
SRX4498334	18732002	1191911	16086759	1096071	0	0	0	0	0	0	0	0	0	301549	52453	3259	6.362966435728548	18732002.0	17635931.0	94.15	1096071.0	5.85	SRX4498334_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18732002.0	0.0	20-75	58.0	16.007062610067827	73.41145874317118	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	19033921	5653454	19033921	1427544075	5785268	1389100333	2.6929986032130038	0.4796	0.4782	0.0423		
SRX4498335	9440607	1850472	2506664	4636891	0	0	0	0	0	0	0	0	0	360173	81469	4938	19.60119725352406	9440607.0	4803716.0	50.88	4636891.0	49.12	SRX4498335_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9440607.0	0.0	20-75	57.0	29.715378039501804	73.47686859541977	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	9474591	2692168	9474591	710594325	2784908	700706690	1.3914598881717781	0.381	0.3854	0.2335		
SRX4498336	35136368	9679109	8209224	15218163	0	0	0	0	0	0	0	0	0	1608327	392531	29014	27.547266695294176	35136368.0	19918205.0	56.69	15218163.0	43.31	SRX4498336_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35136368.0	0.0	20-75	58.0	23.146039985448354	73.47604578822717	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	35259702	9716062	35259702	2644477650	11541444	2607985864	1.3799241600699481	0.3566	0.3562	0.2872		
SRX4498337	9378622	2635982	1719275	4403228	0	0	0	0	0	0	0	0	0	498896	114256	6985	28.10628256475205	9378622.0	4975394.0	53.05	4403228.0	46.95	SRX4498337_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9378622.0	0.0	20-75	58.0	33.86308560085528	73.47135730600934	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	9428545	2627975	9428545	707140875	2852036	696078504	1.5643800819744722	0.3374	0.3389	0.3237		
SRX4498338	5300154	571910	1461567	3145516	0	0	0	0	0	0	0	0	0	96890	22604	1667	10.790441183407124	5300154.0	2154638.0	40.65	3145516.0	59.35	SRX4498338_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5300154.0	0.0	20-75	56.0	27.800766557860808	73.49091064146438	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5317073	1532669	5317073	398780475	1653510	393437232	1.3398958411893158	0.4169	0.4264	0.1566		
SRX4505473	8588930	6251046	434567	304134	0	0	0	0	0	0	0	0	0	1306561	275458	17164	72.7802648292628	8588930.0	8284796.0	96.46	304134.0	3.54	SRX4505473_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8588930.0	0.0	20-75	64.0	44.50800123373793	73.53483635330595	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	8624132	2058730	8624132	646809900	2401877	638249525	1.3234761867435858	0.2666	0.2618	0.4716		
SRX4505474	5458053	1033664	1340891	2791960	0	0	0	0	0	0	0	0	0	239924	48784	2830	18.938328374605373	5458053.0	2666093.0	48.85	2791960.0	51.15	SRX4505474_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5458053.0	0.0	20-75	57.0	32.58976816940396	73.51754847378727	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5467509	1542763	5467509	410063175	1590374	405330256	1.154192643609122	0.3759	0.3796	0.2445		
SRX4505475	9705664	7435317	247558	362105	0	0	0	0	0	0	0	0	0	1324249	313033	23402	76.60801981193663	9705664.0	9343559.0	96.27	362105.0	3.73	SRX4505475_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9705664.0	0.0	20-75	64.0	45.33583783181205	73.57721511892439	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9719848	2228619	9719848	728988600	2824067	721645069	1.0073588256387	0.2603	0.2536	0.4861		
SRX4505476	8847474	1737522	1499948	5154503	0	0	0	0	0	0	0	0	0	371275	79613	4613	19.638622277951875	8847474.0	3692971.0	41.74	5154503.0	58.26	SRX4505476_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8847474.0	0.0	20-75	57.0	30.4834009137605	73.54174762197663	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	8866811	2494299	8866811	665010825	2572093	657236554	1.169044278339379	0.3547	0.3514	0.2938		
SRX4505477	10976889	8267964	244899	651245	0	0	0	0	0	0	0	0	0	1444555	342722	25504	75.32155968781319	10976889.0	10325644.0	94.07	651245.0	5.93	SRX4505477_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10976889.0	0.0	20-75	64.0	43.26996733512161	73.56416467361564	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10995298	2547507	10995298	824647350	3354920	816003537	1.0481829596614844	0.2613	0.254	0.4847		
SRX4505478	8064182	2087516	1846723	3594860	0	0	0	0	0	0	0	0	0	432613	96729	5741	25.886270919976763	8064182.0	4469322.0	55.42	3594860.0	44.58	SRX4505478_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8064182.0	0.0	20-75	58.0	33.33216321671819	73.51883154422855	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	8084888	2229807	8084888	606366600	2360846	598919615	1.228132453205701	0.3546	0.3567	0.2887		
SRX4505479	8674803	6555473	207747	316496	0	0	0	0	0	0	0	0	0	1292004	282316	20767	75.56912819806975	8674803.0	8358307.0	96.35	316496.0	3.65	SRX4505479_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8674803.0	0.0	20-75	63.0	46.20586429076353	73.56640098916368	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	8688307	2001302	8688307	651623025	2573931	644911263	1.0300068816629062	0.2606	0.2524	0.4871		
SRX4505480	12823418	4128251	2437621	5165436	0	0	0	0	0	0	0	0	0	887844	192639	11627	32.193062723214666	12823418.0	7657982.0	59.72	5165436.0	40.28	SRX4505480_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12823418.0	0.0	20-75	59.0	32.46169024359674	73.51579539869947	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	12884098	3502755	12884098	966307350	3941505	952346894	1.4447221166226254	0.3316	0.33	0.3384		
SRX4505481	9474551	6927686	457538	422718	0	0	0	0	0	0	0	0	0	1344762	300025	21822	73.1188844727312	9474551.0	9051833.0	95.54	422718.0	4.46	SRX4505481_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9474551.0	0.0	20-75	63.0	45.01007080053297	73.56451698872063	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9498271	2222811	9498271	712370325	2774609	704318595	1.1302730781212709	0.2691	0.2607	0.4701		
SRX4505482	13246720	10003174	245131	474348	0	0	0	0	0	0	0	0	0	2037256	459192	27619	75.51434619286887	13246720.0	12772372.0	96.42	474348.0	3.58	SRX4505482_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13246720.0	0.0	20-75	63.0	38.958534989420144	73.54010789085902	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	13303878	3130633	13303878	997790850	4033409	984451793	1.3368590221086911	0.2658	0.2555	0.4788		
SRX4505483	10348890	7760988	304288	462979	0	0	0	0	0	0	0	0	0	1467183	329485	23967	74.99343407843739	10348890.0	9885911.0	95.53	462979.0	4.47	SRX4505483_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10348890.0	0.0	20-75	64.0	43.98107579065712	73.57691037396282	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10355975	2386005	10355975	776698125	3086162	769460940	0.9317886534102292	0.2624	0.254	0.4836		
SRX4505484	6574776	4607200	280637	308917	0	0	0	0	0	0	0	0	0	1138771	226319	12932	70.07387019725083	6574776.0	6265859.0	95.3	308917.0	4.7	SRX4505484_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6574776.0	0.0	20-75	62.0	37.962011736704135	73.4212767096552	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	6664951	1631181	6664951	499871325	2771438	487930233	2.388833166215325	0.2885	0.2414	0.4701		
SRX4505485	9526643	6770004	555456	618815	0	0	0	0	0	0	0	0	0	1270560	290641	21167	71.06389942396288	9526643.0	8907828.0	93.5	618815.0	6.5	SRX4505485_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9526643.0	0.0	20-75	63.0	43.222003100012934	73.58888624250956	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9536024	2237160	9536024	715201800	2679445	708429131	0.9469591659305108	0.2714	0.2623	0.4662		
SRX4505486	11501924	8660957	266395	481926	0	0	0	0	0	0	0	0	0	1687093	381819	23734	75.30007153585781	11501924.0	11019998.0	95.81	481926.0	4.19	SRX4505486_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11501924.0	0.0	20-75	64.0	41.76955362717862	73.5376027523743	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	11560259	2724026	11560259	867019425	3449333	854735076	1.4168481865328448	0.2635	0.2563	0.4802		
SRX4505487	9345959	6982054	300599	404183	0	0	0	0	0	0	0	0	0	1336637	300334	22152	74.70666199156234	9345959.0	8941776.0	95.68	404183.0	4.32	SRX4505487_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9345959.0	0.0	20-75	63.0	44.475540559530714	73.59659399319	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9351373	2165888	9351373	701352975	2641761	695067166	0.8962404415551243	0.2627	0.2544	0.4828		
SRX4505488	10291879	8068380	131841	342206	0	0	0	0	0	0	0	0	0	1388599	336346	24507	78.39559714994706	10291879.0	9949673.0	96.67	342206.0	3.33	SRX4505488_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10291879.0	0.0	20-75	64.0	44.7055179223339	73.56891739593907	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	10303211	2336719	10303211	772740825	3144378	765158685	0.9812009091146441	0.2602	0.2505	0.4892		
SRX4506075	9399953	7512896	129069	413702	0	0	0	0	0	0	0	0	0	1053415	271723	19148	79.92482515604067	9399953.0	8986251.0	95.6	413702.0	4.4	SRX4506075_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9399953.0	0.0	20-75	64.0	40.71670444844202	73.56757741235515	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9411574	2225754	9411574	705868050	2674002	698840201	0.9956321156624104	0.2512	0.2458	0.503		
SRX4506076	8043180	6327575	155664	368402	0	0	0	0	0	0	0	0	0	936939	236141	18459	78.67006581973797	8043180.0	7674778.0	95.42	368402.0	4.58	SRX4506076_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8043180.0	0.0	20-75	64.0	44.259923004355194	73.58261856628845	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	8052029	1880516	8052029	603902175	2262560	598095084	0.9615946490008916	0.2675	0.2625	0.4699		
SRX4506077	13878358	10590040	272708	564310	0	0	0	0	0	0	0	0	0	2034165	389866	27269	76.30614515060067	13878358.0	13314048.0	95.93	564310.0	4.07	SRX4506077_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13878358.0	0.0	20-75	64.0	35.70423901984061	73.58182372871488	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	13890813	3267974	13890813	1041810975	4056034	1032008305	0.9409259678801138	0.2484	0.2443	0.5073		
SRX4506078	6968499	5651787	93234	262047	0	0	0	0	0	0	0	0	0	740975	204313	16143	81.10479746068702	6968499.0	6706452.0	96.24	262047.0	3.76	SRX4506078_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6968499.0	0.0	20-75	64.0	47.13737503814641	73.57660379946958	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6976042	1619442	6976042	523203150	1967188	518144742	0.9668152800685548	0.2678	0.2622	0.47		
SRX4506079	9404712	7343727	163710	405917	0	0	0	0	0	0	0	0	0	1211400	261319	18639	78.08561282897341	9404712.0	8998795.0	95.68	405917.0	4.32	SRX4506079_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9404712.0	0.0	20-75	64.0	40.82676312376265	73.58717949045115	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	9413494	2214632	9413494	706012050	2523742	699390648	0.93785963001623	0.2531	0.2497	0.4972		
SRX4506080	5396279	4311654	104393	219245	0	0	0	0	0	0	0	0	0	588851	159505	12631	79.90050180874636	5396279.0	5177034.0	95.94	219245.0	4.06	SRX4506080_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5396279.0	0.0	20-75	64.0	50.0754588074661	73.58335104615607	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	5400679	1254836	5400679	405050925	1538432	401269635	0.9335344685362712	0.2687	0.263	0.4682		
