	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
SRX2382017	4337413	2381272	601752	183601	0	0	0	0	59739	0	0	0	0	838706	142656	129687	54.90074383048145	4337413.0	4153812.0	95.77	183601.0	4.23	SRX2382017_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4337413.0	0.0	20-25	64.0	63.02767913140586	24.598578922505194	pass	pass		pass	fail	fail	pass	warn	warn	pass	pass	5634424	1250656	5634424	140860600	23375623	115782532	17.80346526991934			0.3827	0.1356	0.4817
SRX2382018	152864	54165	24926	54591	0	0	0	0	970	0	0	0	0	14068	1814	2330	35.43345719070546	152864.0	98273.0	64.29	54591.0	35.71	SRX2382018_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	152864.0	0.0	20-25	59.0	46.63360895959807	24.61714988486498	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	161743	38685	161743	4043575	78603	3889211	3.81751296810372			0.374	0.0482	0.5778
SRX2382019	3163728	1964736	380492	79244	0	0	0	0	21613	0	0	0	0	473807	131706	112130	62.101925323542346	3163728.0	3084484.0	97.5	79244.0	2.5	SRX2382019_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3163728.0	0.0	18-25	64.0	66.05314108655554	24.615118935635422	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	3272864	824229	3272864	81821600	1206535	79479340	2.8626426273746786			0.35	0.091	0.5589999999999999
SRX2382020	1666973	899581	130942	81097	0	0	0	0	16695	0	0	0	0	431764	58608	48286	53.96494124379939	1666973.0	1585876.0	95.14	81097.0	4.86	SRX2382020_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1666973.0	0.0	20-25	64.0	72.31829366569363	24.59113914862448	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass	2425250	476070	2425250	60631250	12142380	47812005	21.142966704463454			0.3629	0.1458	0.4913
SRX2382021	1799074	954609	279981	59079	0	0	0	0	30902	0	0	0	0	357154	61404	55945	53.06113033705118	1799074.0	1739995.0	96.72	59079.0	3.28	SRX2382021_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1799074.0	0.0	20-25	64.0	59.562234739460656	24.575500507483287	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass	2317535	602915	2317535	57938375	6742984	50242289	13.28322722202685			0.366	0.1179	0.5161
SRX2382022	1539896	787959	207265	62220	0	0	0	0	20699	0	0	0	0	366456	52455	42842	51.16962444217013	1539896.0	1477676.0	95.96	62220.0	4.04	SRX2382022_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1539896.0	0.0	20-25	63.0	72.68771504865046	24.583599801545038	pass	pass		pass	fail	fail	pass	warn	pass	pass	pass	2349538	479552	2349538	58738450	15415628	42660909	27.371408336447423			0.3527	0.1212	0.5261
SRX2382023	9519526	6168780	483203	252598	0	0	0	0	286846	0	0	0	0	1357264	386719	584116	64.80133569675634	9519526.0	9266928.0	97.35	252598.0	2.65	SRX2382023_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9519526.0	0.0	20-25	65.0	58.572165499734	24.683116680389336	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	10097597	2181140	10097597	252439925	6633495	242876136	3.788540580496528			0.4181	0.0607	0.5212
SRX2382024	6394750	3552890	709813	300105	0	0	0	0	120695	0	0	0	0	1306802	212038	192407	55.55948238789632	6394750.0	6094645.0	95.31	300105.0	4.69	SRX2382024_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6394750.0	0.0	20-25	62.0	59.08773978824008	24.558152703389503	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass	8155883	1850982	8155883	203897075	29891912	171463237	15.906965806154895			0.44	0.0796	0.4804
SRX2382025	4950015	3026141	511050	133454	0	0	0	0	58698	0	0	0	0	809968	221690	189014	61.13397636168779	4950015.0	4816561.0	97.3	133454.0	2.7	SRX2382025_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4950015.0	0.0	18-25	64.0	64.95167118629223	24.59982181872176	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	5199676	2199088	5199676	129991900	4239069	122897011	5.457946995158928			0.3875	0.0901	0.5223
SRX2382026	7447382	4527160	530555	205791	0	0	0	0	96834	0	0	0	0	1423740	275281	388021	60.78861001087361	7447382.0	7241591.0	97.24	205791.0	2.76	SRX2382026_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7447382.0	0.0	20-25	64.0	64.00058981584496	24.69213879454552	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	7816564	1738179	7816564	195414100	5823770	187190896	4.2080914325015435			0.4277	0.0761	0.4962
