,A,whiB4
SRX4647494,2.2061024316,-0.0188038167
SRX4647497,1.0543052107,-0.1208677216
SRX4647498,0.45986011190000003,0.1737333073
SRX4505482,0.0229977096,0.0685207348
SRX4505486,0.48818628410000003,-0.22565921900000002
SRX4505484,0.2131318952,-0.1721913593
SRX4505473,0.5088195939,-0.2530045774
SRX4505476,-0.3458230719,-0.0030708536
SRX4505480,0.3209043052,-0.1849241919
SRX4505478,0.2022769402,0.0864470425
SRX4505474,-0.1773581735,0.1015480029
SRX4505483,0.3060539922,-0.38158138750000004
SRX4505485,0.2808681802,-0.32862970900000005
SRX4505487,0.342633147,-0.2990573307
SRX4505488,0.4542379259,-0.4314785464
SRX4505481,-0.1944999918,-0.4439247154
SRX4505477,0.1118308699,-0.5194503488000001
SRX4505475,0.5520302979,-0.7482583888000001
SRX4505479,-0.0008571388000000001,-0.46262671720000004
SRX4605773,0.4522062846,0.0297425734
SRX4605774,0.2611872441,-0.0234107872
SRX4605772,0.1620669231,0.014691560800000001
SRX4605771,-0.1620669231,-0.014691560800000001
SRX5178871,0.5705664266,0.1949827228
SRX5178872,0.9284736034000001,-0.0632520911
SRX5178868,-0.5358428236,0.2607521937
SRX5178870,0.21585846760000002,-0.1938064286
SRX5178869,0.319984356,-0.0669457651
ERX1404045,0.3679009271,-0.1624999581
ERX1404046,-0.3679009271,0.1624999581
ERX1404043,2.4382304219,-0.0027345818
ERX1404044,0.27730602590000003,0.1432227371
ERX237502,2.7566005057,-1.3867082205
ERX237505,0.5863012378,-0.8893328454
ERX237506,2.7426963568,-1.151109155
ERX237500,1.1147081585,-2.2441226907
ERX237497,1.5266858199,-2.0139341664
ERX237499,0.186387629,-1.8670279551000002
ERX237507,0.4080382004,0.008773927
ERX237496,-0.7844768516,0.08209850710000001
ERX237504,0.37643865120000003,-0.09087243410000001
ERX3772318,1.004108488,0.2538834378
ERX3772320,0.720376668,0.1676943443
ERX3772319,1.7564620184000002,0.155062751
ERX3772321,-0.6344742868000001,-0.0167379306
ERX3772322,0.057588710800000005,-0.17248190970000002
ERX3772323,0.576885576,0.1892198403
SRX4314262,-0.2544221309,0.0798797489
SRX4314263,-0.3110485485,-0.18949924810000002
SRX4314261,0.5654706794000001,0.1096194992
SRX4314265,2.9865233113,-0.07351954000000001
SRX4314266,3.1315489548,-0.19674752610000001
SRX4314264,2.6888057167,-0.24615058080000002
SRX4314268,3.0164749157,-0.132420661
SRX4314267,3.7630124077,-0.7577048834
SRX4314271,0.7074597739,-0.3269035233
SRX4314272,1.0619255323,-0.1216392627
SRX4314275,-0.1921558365,-0.37660912750000003
SRX4314274,0.2332443857,-0.5336133514
SRX4314273,0.7973835033000001,-0.4440113255
SRX4314278,1.5481646977999999,-0.5920498177
SRX4314276,1.1333659766,-0.7279651359
SRX4314281,1.3557276953000001,-0.2414796885
SRX4314279,1.6778909516,-0.4595789863
SRX4314280,0.8572132275000001,-0.3227264526
