,A,sigH,Rv1828
SRX2617827,0.1043859256,-0.0124380476,0.0644705144
SRX2617829,-0.2531957259,0.047221969700000005,0.0198342035
SRX3456119,-0.3427048257,-0.1861700957,0.1553943522
SRX3456118,0.19208455600000002,-0.0488938271,-0.1085978952
SRX3456117,0.5888835171,-0.1553868706,0.0522938203
SRX3456101,0.0913910963,-0.030318012000000002,-0.0686246469
SRX3456099,-0.3767114928,-0.0251358674,0.1234844113
SRX3456100,0.2853203965,0.0554538794,-0.054859764400000004
SRX3456107,14.0405106539,-0.7322673601,0.7540810742
SRX3456105,14.4609076594,-0.7486637583,0.9203021834
SRX4374122,-1.0132906167,-0.1349370674,0.0953308972
SRX4374121,0.9469307129000001,0.0033115637000000002,0.2260886493
SRX4374123,-1.4633476024,-0.1574365249,0.1533946897
SRX4374124,-1.5994940912,0.16614693730000002,0.1200669203
SRX4374125,-0.12478599500000001,-0.0525764212,-0.11551701680000001
SRX4374126,1.7242800862,-0.1135705162,-0.0045499034
SRX4374127,4.752623398,0.2194091257,0.015297003000000002
SRX4374128,4.2501288356,0.1549362847,-0.1712294101
SRX4374129,2.5596416531,-0.2119390414,-0.2311929831
SRX4374130,-7.8974360481,0.2094727743,0.1875917011
SRX4374132,-7.9798123915,-0.18084534870000002,-0.2598248465
SRX4374131,-7.1821562727,0.1751563347,0.0687815684
SRX4374133,1.2137696958,0.1908689321,-0.0470803227
SRX4374135,1.6108868547,0.11857535150000001,-0.3353732847
SRX4374134,2.2552672279,0.25783479330000003,-0.202421295
SRX4374138,-10.5692663436,-0.0450639575,-0.2601741327
SRX4374136,-9.3836630215,0.0730933945,0.0005146256
SRX4374137,-8.7411251072,0.2079123907,-0.1034741173
SRX1091379,-4.717795677,1.0363648464,-0.5432955298000001
SRX1091380,-4.804003215,1.0887329643,-0.4703632266
SRX1091377,0.0533721733,0.020518295000000002,0.0120996991
SRX1091378,-0.0533721733,-0.020518295000000002,-0.0120996991
SRX4647145,0.0967276688,-0.025876005900000002,0.0413659017
SRX4647146,-0.3129716609,0.0346163615,0.052941405100000005
SRX4647147,-0.0748181045,-0.1433063631,0.0278132386
SRX4647144,0.0054503121,-0.009776712600000001,-0.0052572977
SRX4647143,-0.0233543221,0.009893688900000001,-0.0011660671
SRX4647142,0.01790401,-0.0001169762,0.0064233648
SRX4647155,6.9698754178,0.9080463358,0.0988266316
SRX4647152,7.2904324477,0.7354263471,0.0846234612
SRX4647153,7.2319730622,0.8432966544,0.06590809980000001
SRX4647154,6.829877173,1.0545729628,0.0809592702
SRX4647148,6.9439672726,0.6572211906000001,-0.2614351246
SRX4647149,6.8850782876,0.6604507003,-0.2241246846
SRX4647151,6.9854129319,0.6498305268,-0.2735455303
SRX4647150,7.1496009172,0.5611080664,-0.2624250045
SRX4647123,-0.0863883524,-0.012342837300000001,0.07248955110000001
SRX4647124,-0.0369236172,-0.050948680600000004,-0.0217388012
SRX4647125,0.1233119696,0.0632915178,-0.050750750000000004
SRX3103185,1.7815848785,-0.4357673678,0.1469893129
SRX3103189,0.6342259392,0.059522652700000005,0.2035993894
SRX3103187,1.0163473331,-0.6930859921,-0.1279066829
SRX3103184,-0.720110487,-0.19431377500000002,-0.0416448047
SRX3103188,0.37394770520000004,0.21038820400000002,0.1401032955
SRX3103186,0.3461627818,-0.016074429,-0.0984584908
SRX1372110,3.3686203828,-0.21264067860000002,-0.2838040932
SRX1372111,2.9901973357,-0.33422600880000003,-0.2446452644
SRX1372108,-1.663963123,0.0710033959,0.0805084871
SRX1372109,1.663963123,-0.0710033959,-0.0805084871
SRX4506085,-0.0322843401,0.083878753,-0.031646554
SRX4506083,0.0948735466,0.1222173436,0.0106048814
SRX4506089,0.1483282236,0.0777061465,-0.0122724549
