,gene_id,database,kegg_id
2294,Rv0222,KEGG_pathway,map00410
2295,Rv0222,KEGG_pathway,map00627
2296,Rv0222,KEGG_pathway,map00640
2297,Rv0222,KEGG_pathway,map00650
2298,Rv0222,KEGG_pathway,map00903
2299,Rv0222,KEGG_pathway,map00930
2300,Rv0222,KEGG_pathway,map01100
2301,Rv0222,KEGG_pathway,map01110
2302,Rv0222,KEGG_pathway,map01120
2303,Rv0222,KEGG_pathway,map01130
2304,Rv0222,KEGG_pathway,map01212
2324,Rv0223c,KEGG_pathway,map00010
2325,Rv0223c,KEGG_pathway,map00053
2326,Rv0223c,KEGG_pathway,map00071
2327,Rv0223c,KEGG_pathway,map00260
2328,Rv0223c,KEGG_pathway,map00280
2329,Rv0223c,KEGG_pathway,map00310
2330,Rv0223c,KEGG_pathway,map00330
2331,Rv0223c,KEGG_pathway,map00340
2332,Rv0223c,KEGG_pathway,map00380
2333,Rv0223c,KEGG_pathway,map00410
2334,Rv0223c,KEGG_pathway,map00561
2335,Rv0223c,KEGG_pathway,map00620
2336,Rv0223c,KEGG_pathway,map00625
2337,Rv0223c,KEGG_pathway,map00903
2338,Rv0223c,KEGG_pathway,map00981
2339,Rv0223c,KEGG_pathway,map01100
2340,Rv0223c,KEGG_pathway,map01110
2341,Rv0223c,KEGG_pathway,map01120
2342,Rv0223c,KEGG_pathway,map01130
2353,Rv0231,KEGG_pathway,map00071
2354,Rv0231,KEGG_pathway,map00280
2355,Rv0231,KEGG_pathway,map00410
2356,Rv0231,KEGG_pathway,map00640
2357,Rv0231,KEGG_pathway,map01100
2358,Rv0231,KEGG_pathway,map01110
2359,Rv0231,KEGG_pathway,map01130
2360,Rv0231,KEGG_pathway,map01200
2361,Rv0231,KEGG_pathway,map01212
2362,Rv0231,KEGG_pathway,map03320
2366,Rv0233,KEGG_pathway,map00230
2367,Rv0233,KEGG_pathway,map00240
2368,Rv0233,KEGG_pathway,map01100
2376,Rv0234c,KEGG_pathway,map00250
2377,Rv0234c,KEGG_pathway,map00310
2378,Rv0234c,KEGG_pathway,map00350
2379,Rv0234c,KEGG_pathway,map00650
2380,Rv0234c,KEGG_pathway,map00760
2381,Rv0234c,KEGG_pathway,map01100
2382,Rv0234c,KEGG_pathway,map01120
2387,Rv0237,KEGG_pathway,map00520
2388,Rv0237,KEGG_pathway,map00531
2389,Rv0237,KEGG_pathway,map01100
2390,Rv0237,KEGG_pathway,map01501
2398,Rv0242c,KEGG_pathway,map00061
2399,Rv0242c,KEGG_pathway,map00333
2400,Rv0242c,KEGG_pathway,map00780
2401,Rv0242c,KEGG_pathway,map01040
2402,Rv0242c,KEGG_pathway,map01100
2403,Rv0242c,KEGG_pathway,map01130
2404,Rv0242c,KEGG_pathway,map01212
2424,Rv0243,KEGG_pathway,map00071
2425,Rv0243,KEGG_pathway,map00072
2426,Rv0243,KEGG_pathway,map00280
2427,Rv0243,KEGG_pathway,map00310
2428,Rv0243,KEGG_pathway,map00362
2429,Rv0243,KEGG_pathway,map00380
2430,Rv0243,KEGG_pathway,map00620
2431,Rv0243,KEGG_pathway,map00630
2432,Rv0243,KEGG_pathway,map00640
2433,Rv0243,KEGG_pathway,map00650
2434,Rv0243,KEGG_pathway,map00720
2435,Rv0243,KEGG_pathway,map00900
2436,Rv0243,KEGG_pathway,map01100
2437,Rv0243,KEGG_pathway,map01110
2438,Rv0243,KEGG_pathway,map01120
2439,Rv0243,KEGG_pathway,map01130
2440,Rv0243,KEGG_pathway,map01200
2441,Rv0243,KEGG_pathway,map01212
2442,Rv0243,KEGG_pathway,map02020
2452,Rv0247c,KEGG_pathway,map00020
2453,Rv0247c,KEGG_pathway,map00190
2454,Rv0247c,KEGG_pathway,map00650
2455,Rv0247c,KEGG_pathway,map00720
2456,Rv0247c,KEGG_pathway,map01100
2457,Rv0247c,KEGG_pathway,map01110
2458,Rv0247c,KEGG_pathway,map01120
2459,Rv0247c,KEGG_pathway,map01130
2460,Rv0247c,KEGG_pathway,map01200
2471,Rv0248c,KEGG_pathway,map00020
2472,Rv0248c,KEGG_pathway,map00190
2473,Rv0248c,KEGG_pathway,map00650
2474,Rv0248c,KEGG_pathway,map00720
2475,Rv0248c,KEGG_pathway,map01100
2476,Rv0248c,KEGG_pathway,map01110
2477,Rv0248c,KEGG_pathway,map01120
2478,Rv0248c,KEGG_pathway,map01130
2479,Rv0248c,KEGG_pathway,map01200
2480,Rv0248c,KEGG_pathway,map05134
2483,Rv0252,KEGG_pathway,map00910
2484,Rv0252,KEGG_pathway,map01120
2487,Rv0253,KEGG_pathway,map00910
2488,Rv0253,KEGG_pathway,map01120
2491,Rv0254c,KEGG_pathway,map00860
2492,Rv0254c,KEGG_pathway,map01100
2495,Rv0255c,KEGG_pathway,map00860
2496,Rv0255c,KEGG_pathway,map01100
2501,Rv0260c,KEGG_pathway,map00860
2502,Rv0260c,KEGG_pathway,map01100
2503,Rv0260c,KEGG_pathway,map01110
2504,Rv0260c,KEGG_pathway,map01120
2506,Rv0261c,KEGG_pathway,map00910
2508,Rv0265c,KEGG_pathway,map02010
2512,Rv0266c,KEGG_pathway,map00330
2513,Rv0266c,KEGG_pathway,map00480
2514,Rv0266c,KEGG_pathway,map01100
2516,Rv0267,KEGG_pathway,map00910
2519,Rv0306,KEGG_pathway,map00740
2520,Rv0306,KEGG_pathway,map01100
2522,Rv0308,KEGG_pathway,map00550
2524,Rv0317c,KEGG_pathway,map00564
2527,Rv0321,KEGG_pathway,map00240
2528,Rv0321,KEGG_pathway,map01100
2533,Rv0322,KEGG_pathway,map00040
2534,Rv0322,KEGG_pathway,map00053
2535,Rv0322,KEGG_pathway,map00520
2536,Rv0322,KEGG_pathway,map01100
2538,Rv0331,KEGG_pathway,map00920
2543,Rv0334,KEGG_pathway,map00521
2544,Rv0334,KEGG_pathway,map00523
2545,Rv0334,KEGG_pathway,map00525
2546,Rv0334,KEGG_pathway,map01130
2555,Rv0337c,KEGG_pathway,map00220
2556,Rv0337c,KEGG_pathway,map00250
2557,Rv0337c,KEGG_pathway,map00290
2558,Rv0337c,KEGG_pathway,map01100
2559,Rv0337c,KEGG_pathway,map01110
2560,Rv0337c,KEGG_pathway,map01130
2561,Rv0337c,KEGG_pathway,map01210
2562,Rv0337c,KEGG_pathway,map01230
2566,Rv0345,KEGG_pathway,map00760
2567,Rv0345,KEGG_pathway,map00790
2568,Rv0345,KEGG_pathway,map01120
2572,Rv0350,KEGG_pathway,map03018
