,A,Rv3066,Rv3249c,mbcA
SRX3686746,-3.560403655,-1.267147142,0.3040444788,1.4082882176
SRX3686748,-3.652247764,-1.1505798331000001,0.3167750626,1.3716033526
SRX3686747,-3.5190897913,-1.0866200784,0.4043273129,1.5718241658
SRX3686773,-3.2599422205,-1.0920493063,0.37316478470000003,1.6545786122
SRX3686774,-3.0894139112,-1.1392583241,0.3792536698,1.5781528633000002
SRX3686775,-2.8872379018,-0.8124264074,0.1009265523,1.4968550778
SRX3686754,-2.8728651066,-0.8859721565,0.10721079010000001,1.9467699577
SRX3686753,-3.2415193628,-0.9112638068000001,0.0783084847,1.8967740997
SRX3686752,-3.1044544323,-0.8526686802000001,0.132708987,1.9344784760000002
SRX3686780,-2.6456756158,-0.5334378876,-0.1739923762,1.7395698358
SRX3686779,-2.5481842035,-0.7622980014,-0.19990549270000002,1.9034540606
SRX3686781,-2.5462814174,-0.5687144966000001,-0.2974385768,1.7381247011
SRX3686806,-0.3779930882,0.2815838006,-0.2915607784,1.5579564737
SRX3686805,-0.9491864849,0.1097837743,-0.0954758792,1.4733943289
SRX3686758,-2.0490165177,-0.6250771893,-0.12080813680000001,2.9807242067
SRX3686760,-1.9237664890000001,-0.5130076627,-0.1233658522,2.8210587065
SRX3686759,-1.8953552992,-0.5671768089,-0.26178026790000003,2.8053988288
SRX3686810,-0.5755457486000001,0.0731599203,1.1040365446,1.9969725473
SRX3686811,-0.18232295240000002,0.2525469133,0.3479063328,2.1351195962
SRX3686812,-0.1436552589,0.3026021485,0.4409239318,2.0719327828
SRX3686813,-5.0526017112,-1.5922470652,0.4608508059,1.4398045480000001
SRX3686815,-1.5156412617,-0.8000991418000001,1.7318004658000001,1.6590430065000001
SRX3686816,-1.3834300234999999,-1.0005138429,1.4507769352,1.5983345654
SRX3686823,-5.0407060296,-1.3233003752,0.1059439129,1.1518344591
SRX3686824,-4.2357175295,-1.0930320026,-0.1336977962,0.9479324579
SRX3686825,-1.6817707551,-0.5873289754000001,-0.31750920800000004,2.4643167859
SRX3686827,-1.0278668133,-0.3772666941,1.0017084013,2.5612744265
SRX3686826,-1.3196046975,-0.6092795294000001,0.91020022,2.4547882312000002
SRX7054191,0.1218836353,0.2514602154,-0.2476766357,0.0130177898
SRX7054189,0.3197386047,-0.3915885016,0.0579778665,-0.0078550404
SRX7054190,-0.4416222399,0.1401282862,0.18969876930000001,-0.0051627494000000005
SRX7054193,-2.6322285692,0.5186138056,-0.1088787761,-0.8771299263000001
SRX7054192,-1.6166167723,0.5627027268,0.2026206717,-1.4643368227
SRX7054194,-1.5677618782,0.6758926455,0.167185938,-1.2817445585
SRX4506284,-0.123521768,-0.4126113925,-0.2184825924,0.5506778511
SRX4506280,-0.0558174892,-0.2033166201,-0.0675983527,0.600798803
SRX4506282,0.27884847290000003,-0.3447172591,-0.2102141442,0.6303939914000001
SRX4506278,0.4425542153,-0.21353729470000002,-0.2095819348,0.5091065473
SRX4506274,-0.0886957859,0.0960096914,-0.1179311121,0.0391919419
SRX4506273,0.0718756656,-0.0137500148,0.0428898161,-0.0509012145
SRX4506271,0.47765598530000003,-0.1159413688,-0.0262777595,0.0113854534
SRX4506276,-0.4608358649,0.0336816921,0.1013190556,0.0003238192
SRX4506283,1.9758726964000002,0.6849646567000001,-0.3265699977,0.8114404138
SRX4506279,1.5135688042000002,0.5541799821,-0.17389478790000001,0.8009217732
SRX4506285,1.8542018624,0.756180324,-0.3699594195,0.5011591755
SRX4506281,1.5429123115999999,0.7198010281,-0.2581008157,0.6268483164
SRX4506275,-2.601388821,-0.9787144278000001,0.2221599292,0.0872830945
SRX4506277,-2.6866402811,-0.6667391766,0.2754902724,-0.061427572900000005
SRX4506272,-2.5183984054,-0.7175720015,0.3083108364,-0.057793851
SRX2923393,0.0868954653,0.028600027,0.0212293377,-0.0753537301
SRX2923394,-0.0868954653,-0.028600027,-0.0212293377,0.0753537301
SRX2923398,1.0755703547,0.6213033262000001,1.5642138332000002,1.9935716639
SRX2923397,0.1636677387,-0.0298001368,2.2058710037,2.0464143828
SRX2923395,5.0940742355,1.9405855313,1.8258322423000002,2.3224622236
SRX2923396,5.3656450655,2.1770974302,2.0298813434,2.1708825208
SRX2923400,0.6059151904,-0.6994202015000001,-0.7294251802,1.1575717432000001
SRX2923401,1.376328522,-0.8081556655000001,-0.5184764028000001,1.462633863
SRX2923403,2.5494729275,0.4557686811,0.4531552052,1.2805758039000001
SRX2923402,2.6678512833,0.4384191948,-0.9097322179,1.3501196272
SRX6853288,0.15906951530000002,0.11368522980000001,0.1421145305,0.2130419251
SRX6853287,0.6872776584,0.6648443322,-0.1807311815,0.122199846
SRX6853286,0.34814837930000003,0.4178511608,-0.1522730542,-0.0069281711
SRX6853284,0.1828706599,-0.1182969472,-0.0569936085,-0.1263709141
SRX6853285,-0.2718731077,-0.1219109771,0.12619175700000002,0.2089627591
SRX6853283,0.08900244780000001,0.24020792430000001,-0.0691981485,-0.08259184500000001
SRX4319040,-0.1008373659,0.0731348195,0.0627403311,-0.0166800746
SRX4319041,-0.0365916051,-0.0884749115,0.0350760594,-0.0473193306
SRX4319039,0.1374289711,0.015340092000000001,-0.0978163905,0.0639994051
SRX4314613,-1.4328858635000001,0.11059455380000001,-0.7776315073000001,-0.2839720792
SRX4314614,-0.4868485509,-0.17618316280000001,-0.4989664675,-0.5198493558
SRX4314615,-0.5780492599,-0.2063730118,-0.6259030968,0.008389570800000001
SRX4314632,2.0219790409,0.5008687613,-0.8175848183000001,0.4727752099
SRX4314631,1.6843069338999999,1.114126209,-0.5984230833,0.4048413724
SRX4314633,2.0123588072,0.9429593626,-0.9964927517000001,0.1936522542
SRX4314622,1.4254777526,0.7089999541,-0.7122264620000001,0.5674339079
SRX4314623,-0.0527352513,-0.08887512010000001,-0.585943265,0.40916221220000004
SRX4314624,0.7412219581,-0.0307487515,-0.6303982309,0.619910843
SRX4314611,-0.39144002990000004,0.1792296704,0.0283754023,-0.15692668880000002
SRX4314610,-0.0239798113,-0.5234129017,-0.016407758,0.0659802928
SRX4314612,0.4154198411,0.3441832314,-0.0119676443,0.090946396
SRX4314630,1.9631086499000001,0.9632384613,-0.1428050088,0.06547427830000001
SRX4314628,2.1494118391,1.0671061766,-0.2756436289,0.17684680700000002
SRX4314629,1.9065213982,1.1249182362,-0.11506925650000001,0.096184956
SRX4314619,1.4415772759,0.5412747027,-0.1692294085,0.1321775709
SRX4314621,1.4632732244,0.41515913460000003,-0.09678923040000001,0.013704046800000001
SRX4314620,1.2393756944,0.4894470004,-0.11740061560000001,-0.0009748729
SRX7119390,-0.2819143489,0.0498907272,0.1635774399,-0.0304264386
SRX7119388,0.2819143489,-0.0498907272,-0.1635774399,0.0304264386
SRX7119386,5.6001189389,1.7864457055,0.6355378873,-0.1874551473
SRX7119385,6.3599686244,1.9866250395,-0.13478556190000002,-0.2219499145
SRX7119387,5.8731886809,1.9988744381,0.7364763908,-0.3156607198
SRX3746749,0.995526027,0.8947212974000001,-1.3066040256,-0.6622011546000001
SRX3746748,0.5898677895000001,0.1461834269,-1.3494725618,-1.0535400054
SRX3746751,-1.338505996,-2.2761232772,-1.6967134905,-2.4581452912
SRX3746750,-0.049213912900000004,-0.684268757,-0.9132238134,-0.5409021313
SRX3746752,0.6198173964,0.035744426100000004,-0.46172297910000004,0.0231762186
SRX3746753,-0.4592358445,-1.5452794786,-1.3332935402000001,-1.8489438325
SRX3746755,-0.394204088,-0.5029772392,-0.2557809397,-0.125171635
SRX3746754,0.394204088,0.5029772392,0.2557809397,0.125171635
SRX2345943,-0.0705855183,-0.06717848530000001,0.1020398619,-0.2504260271
SRX2345942,0.0705855183,0.06717848530000001,-0.1020398619,0.2504260271
SRX2345941,2.4439821,1.3520377042,-1.1733721166,0.9184374779000001
SRX2345940,2.014565645,0.9606981512,-1.1259187765,0.8094586064
SRX3992217,0.8013065157,0.1832617939,-0.2083300066,-0.19033670290000002
SRX3992216,1.2292668333,0.5883872315,-0.2954697267,-0.1339362342
SRX3992214,-2.3419311745,-1.1318270722000001,-0.3789814761,-0.5494893585
SRX3992215,-1.8533958985,-1.0377281737,-0.24977169740000002,-0.47815540510000004
SRX3992221,-2.0719651214,-0.7908433272000001,0.0060512763,-0.6283115188
SRX3992220,-1.8029161636,-0.5321457403000001,-0.26328697,-0.5032252363
SRX3992219,7.7412370903,2.5735116269000002,-0.7863830369,0.7428319023000001
SRX3992218,7.9104479709,2.5435782269000002,-1.1255833258,0.8230249446
SRX3992201,8.1772076582,2.5338433329,-1.0144835046,0.8230625375
SRX3992200,7.4736313141,2.5106900208000003,-0.8855975105,0.6941164847
SRX3992198,0.6767920759,0.20877598,-0.1500431297,-0.0951065702
SRX3992199,1.2806508757000001,0.5539541455,-0.1857733651,-0.0272733811
SRX3992202,0.1432377413,0.2516046493,0.0743046783,-0.027172973700000002
SRX3992203,-0.0905463578,0.0313340698,0.0688925606,0.0423446234
SRX3992204,-2.9193521639,-1.5414764167000001,-0.0096242781,-0.3344858727
SRX3992205,-2.4222094215,-1.4838921026,0.2178461858,-0.4220875415
SRX3992206,-2.9568137225,-1.5280684421,0.0916465222,-0.2720703813
SRX3992207,-2.6388110082000003,-1.3983356599,0.2114531556,-0.5213993652
SRX3992209,6.5316302375,2.3501010249,-1.0015934176,0.5077598771
SRX3992208,7.1070080223,2.2283215488,-0.9844890222,0.4895178536
SRX3992212,6.6862471008,2.2640647804,-1.2007942727,0.41863753670000003
SRX3992213,6.7050678176,2.2509983132,-0.8191674438000001,0.4984084233
SRX3992210,0.1587888324,0.057464355700000004,-0.022262205400000002,-0.06549014090000001
SRX3992211,-0.1587888324,-0.057464355700000004,0.022262205400000002,0.06549014090000001
SRX357084,-0.232784911,0.06932367810000001,-0.0175339249,0.0134908683
SRX357083,0.232784911,-0.06932367810000001,0.0175339249,-0.0134908683
SRX4647134,-2.6492037518,-0.8864843881000001,2.0712899492,0.3239686918
SRX4647137,-1.8886607482,-1.2185589734,0.5341005950000001,0.007434650300000001
SRX4647136,-2.2447502293,-0.9702031278000001,1.8952151926,0.2235189556
SRX4647135,-2.284442701,-0.7711200261000001,1.9452563536,0.34780565960000004
SRX4647139,0.0580898689,-0.0082518751,0.0802519548,-0.056625439900000005
SRX4647141,-0.13272638180000002,0.0014398849,-0.2118650617,-0.0296092589
SRX4647140,0.2012075364,-0.1319544451,-0.1954787144,0.19307343970000002
SRX4647138,-0.12657102350000002,0.13876643530000002,0.32709182130000003,-0.1068387409
SRX4647128,-4.2869437371,-0.8994845083,-0.4136715724,0.0005295652
SRX4647127,-4.0468846192,-0.9670662076000001,-0.3767271796,0.3530985969
SRX4647129,-3.9818488893,-1.053353599,-0.45439148960000003,0.3057460677
SRX4647126,-3.9766473492000003,-1.2554890093,-0.3916588473,0.318418256
SRX4647133,-2.4464586321,-0.8869536359,-0.30493574030000004,0.8010165624000001
SRX4647132,-2.2845621444,-0.612033202,-0.1648766988,0.8601414274
SRX4647131,-2.6035702779000003,-0.5311159511,-0.1424877193,0.6051795615000001
SRX4647130,-2.8301557157,-0.4983818185,-0.4010649099,0.7624855957000001
SRX6923924,-0.20027966960000002,-1.7018541593,-0.1208342975,0.6491139021
SRX6923925,0.6832667682,-0.59646104,0.2414762473,-0.0688903266
SRX6923923,1.1703289824,0.007169041300000001,0.8318196295,0.8490166487
SRX6923922,1.4787432576000001,-0.027387948800000003,0.8782301696,0.5369532039
SRX6923939,0.10245494640000001,-0.0731161154,0.0552549639,-0.2737336269
SRX6923938,-0.10245494640000001,0.0731161154,-0.0552549639,0.2737336269
SRX6923936,0.0527577495,0.6894163863,0.6779728114,0.2531203032
SRX6923937,0.4283436578,0.4407455081,0.7208186427000001,0.8620612583
SRX5509428,-0.0149179779,-0.07361344780000001,0.1193451113,0.0813572265
SRX5509427,0.0149179779,0.07361344780000001,-0.1193451113,-0.0813572265
SRX1882560,-0.1570868305,0.6790114709,-0.1197529583,-0.33110216800000003
SRX1882558,-0.0039575,0.6645158807,-0.23144149560000002,-0.3118284847
SRX1882559,-0.0675878834,0.6993823073000001,-0.13483269920000002,-0.30802641410000003
SRX1882561,0.8334381315,1.1194777341,0.15289046350000002,-0.4688284452
SRX1882563,0.9060051082,1.1398999935,0.1685975736,-0.6181340116
SRX1882562,0.9870363936000001,1.10693473,0.1862853129,-0.5179513035000001
SRX1882565,2.3148205593,1.6763816045,0.1958354068,-0.33215061690000003
SRX1882566,2.2147137955,1.6940486243000001,0.0791183966,-0.7251932053
SRX1882564,1.9791294461,1.6716430851,0.2189728202,-0.5071870713000001
SRX1882568,1.8641915009,1.4595364847,1.026841793,-0.5258794993
SRX1882567,1.9213463522,1.3097546126,0.9099730058000001,-0.4986787016
SRX1882569,1.532781151,1.3014903150000001,0.8903882361000001,-0.7287469674
SRX1882555,0.1786020134,-0.011927954800000001,0.0083571459,0.0717451157
SRX1882557,0.014418962300000001,-0.0380664617,0.028351432000000003,0.0122502019
SRX1882556,-0.1930209757,0.0499944165,-0.036708577900000004,-0.08399531760000001
SRX5088615,4.7671135176,2.2478458489,0.3635032674,0.0941446693
SRX5088616,6.8545069674,1.9478313006999999,0.7873945165,1.6966230305
SRX6845150,1.3175026888999999,0.08946039360000001,-1.0819091776,3.1840023603
SRX6845149,2.1617366,0.4343596756,-1.9406378342,3.0700736778
SRX6845151,-0.306745096,0.35077929700000005,0.0891188852,-0.052959840200000004
SRX6845152,-0.9653159199,0.4862612961,-0.0137222221,-0.0772287124
SRX6845145,2.7553565601,0.2545893812,-1.6688806621,3.088640868
SRX6845146,1.5058185581,-0.0283835693,-1.3588823363,2.4098553733
SRX6845142,0.7024396133,-0.6325890323000001,0.5272556509,1.1429865506999999
SRX6845141,0.2473892607,-0.147063891,0.5174591379,1.1483918684
SRX6845144,0.0329968768,-0.1124571864,0.038153740400000004,-0.0460091226
SRX6845143,-0.0329968768,0.1124571864,-0.038153740400000004,0.0460091226
SRX5605051,-0.017512032,-0.0783303799,0.0157629379,0.0228480787
SRX5605045,0.017512032,0.0783303799,-0.0157629379,-0.0228480787
SRX5605060,0.1761137586,-0.2873973818,-0.2600113357,0.0217289828
SRX5605059,-1.0026392097,-0.4317565217,-0.573884201,0.2763162701
SRX2382017,0.0833661344,0.0023223818,-0.18230037170000002,0.1571835116
SRX2382024,-0.0833661344,-0.0023223818,0.18230037170000002,-0.1571835116
SRX2382027,3.6125361635,0.8643491817000001,0.2819006617,1.1702734569
SRX2382029,3.8233600593,0.8591142086,0.27683045500000003,1.1788313286
SRX2382217,3.9893427233,0.3229005995,0.3705753073,0.8988434798
SRX2382023,3.3338035499,0.4056269121,0.09597357720000001,1.0967743223
SRX2382218,2.1440502788,-0.0387550995,-0.0010528217,0.7579581829
SRX2382219,1.757194427,-0.0386494653,0.1000999194,0.8113532391
SRX2382213,4.0457890008,-0.025204388600000002,0.2332604455,1.273672395
SRX2382019,2.1979894856,0.39897911680000003,0.18493291620000002,1.307472805
SRX2382214,2.0842933473,-0.0781315837,0.2205169214,1.2646905698
SRX2382215,1.5551617212000002,0.0195196851,0.0834265439,0.9383359718000001
SRX2382020,2.1936156754000002,-0.053811005,0.2749543835,0.2984524081
SRX2382216,1.6897676133,0.5454349651,0.15175703640000002,-0.09681318300000001
SRX2382022,1.7440369395,0.3241512056,0.22470006280000002,1.0058604261
SRX2382033,1.4230970360000001,0.06345996100000001,0.056152842,0.8075648063
SRX2382220,5.5597743091,0.587901172,0.4157913877,0.5331861910000001
SRX2382222,5.3773170087,0.4818381993,0.6397388982000001,0.9404297285000001
SRX2382030,3.8453899258,0.8464354044,0.2410699727,-0.1293814736
SRX4506350,2.2698249946,1.3170976364,0.238617335,-0.18476377930000001
SRX4506352,2.4357074234000002,1.2765805217000001,0.38604106320000003,-0.143576491
SRX4506354,2.3734535414,1.3680303065000001,0.4910915058,-0.1744024236
SRX4506348,-0.1941761675,0.0025996883000000003,0.0595804991,-0.1080191601
SRX4506346,0.2092522922,-0.0177064208,-0.0520896233,0.1040942869
SRX4506344,-0.0150761246,0.0151067326,-0.0074908758,0.0039248732
SRX4506351,0.9249824776000001,0.29362500280000003,-1.6862174771,0.6021733212
SRX4506353,0.8008480410000001,0.42130611900000003,-1.7613463356999999,0.38646090050000004
SRX4506355,0.7054515036,0.21278896400000002,-1.7188894054000001,0.42104860780000003
SRX4506349,-0.8622852306000001,-0.28066483870000003,-1.9225148616,0.5879252621000001
SRX4506345,-0.6372984425,-0.2650768804,-1.8903747646,0.7028834025
SRX4506347,-0.5563597323,-0.1779585571,-1.9769723725000001,0.4643141194
SRX4514122,3.203004458,0.6615253236,2.0405136682,-0.43813987190000003
SRX4514124,1.1435915252,0.5643982458,-1.8662392486,0.22919152410000002
SRX4514126,1.2950833833,0.2799591755,-1.8878233843,-0.0430945456
SRX4514120,2.7274051713,0.6681561312000001,1.9887311576000002,-0.3515580991
SRX4514112,0.6784009996,-0.1132605581,2.0067043671,-0.21384992500000002
SRX4514116,-0.8319721839,-0.0059342668,-1.99712051,0.3273143046
SRX4514118,-0.2399953732,0.1555196765,-1.9419085154,0.2958708371
SRX4514114,0.3935665575,-0.0363248516,1.9323246583,-0.4093352166
SRX4514121,3.1694688229,0.6112479003,2.0461434677,-0.24856987860000002
SRX4514125,1.113175544,0.4226397747,-2.001472066,0.0486788453
SRX4514127,1.1479230318,0.4198891294,-1.8444366207,0.2634514435
SRX4514123,3.2804085274,0.7799460917000001,2.0563828861,-0.34753573720000003
SRX4514115,0.9210691701,-0.1780772776,1.9800129972,-0.0958877405
SRX4514117,-0.8735124355,0.0011707944,-1.947639096,0.09641171200000001
SRX4514113,1.1140491744,-0.16211487730000002,1.9333444161000002,-0.4133935648
SRX4514119,-0.5662313793,-0.22232426530000002,-1.9561558073,0.29742891
SRX958308,0.7908860921,0.5576049489,0.7862887238,0.6466351406
SRX958306,0.280291177,-0.6116606238,0.12700570020000002,0.7061823191000001
SRX958307,0.8599279885000001,-0.4351835651,0.5559091567000001,0.8786792223000001
SRX958313,0.0507537915,0.1236212939,0.2017516476,-0.0928995727
SRX958312,-0.1487377889,0.1312031928,-0.21203775100000002,-0.2730983944
SRX958314,0.09798399740000001,-0.2548244867,0.0102861034,0.3659979672
SRX958320,-0.0923870609,0.3612293479,2.7286072862,-1.1931255964
SRX958318,-0.30366677610000004,0.6659339021,2.0259455354,-1.2865479332
SRX958319,-0.7577559843,0.135598178,2.0998828608,-0.8606266901
SRX958323,2.3224619794,1.8664377772,1.0426332122,-0.1691114753
SRX958322,2.6155141586,2.053160648,1.0770666832,-0.5290073119
SRX958321,2.6639933688,1.815226323,1.2836838044,-0.336672707
SRX958310,0.59818162,0.6167499448,-0.3045509018,-0.6382652698
SRX958309,-0.4369528172,0.4390062201,0.2769572407,-0.4491010355
SRX958311,0.7006484631000001,0.7958309679000001,-0.048958555300000005,-0.8518111352000001
SRX958317,-0.7297506612,0.2641397583,0.3004895755,-1.7320874223
SRX958315,-0.11758453960000001,0.044125025500000005,0.5551048301,-1.5810224571
SRX958316,-0.40930310880000004,-0.06921297530000001,0.6617337526,-1.5639159978000001
SRX958324,0.7596757475,0.3012823002,1.5629736178,-0.7424686847
SRX958325,0.0785780505,0.3613944059,1.6450683244,-0.958241772
SRX4498322,3.4181288379,1.5970617423,0.112131958,-0.029596327300000003
SRX4498318,4.4394930066,1.5271775211,0.0885944728,0.2567105583
SRX4498320,3.5651975825,1.4910760517,0.10029703,-0.057863610700000005
SRX4498316,4.8381199416000005,1.1747647182,0.14876698530000002,-0.1287782892
SRX4498312,0.2970713728,0.0398955804,-0.022265499600000002,-0.023596578
SRX4498308,-0.24012114110000002,0.0227439465,0.04106001,0.0639657765
SRX4498314,-0.27835159130000003,-0.0170146739,0.0030296437,-0.043193342
SRX4498310,0.2214013595,-0.0456248529,-0.0218241541,0.0028241435
SRX4498319,5.529324991,1.0624634203,-0.3711952288,3.3521343564
SRX4498317,5.5750122117,0.8538820884,-0.4330089923,3.438383904
SRX4498311,-1.3607716484,-0.1077555073,-1.5683327006,0.1975992831
SRX4498315,-1.322369373,0.0223443845,-1.7518540496,0.2059883065
SRX4498309,-1.0855145342,-0.12373934710000001,-1.5061276160000001,0.0661081513
SRX4498313,-1.5027978881,-0.12513745540000001,-1.6815853964,-0.16661185820000002
SRX4615568,0.1555141922,0.0,0.5302934213,0.09871539300000001
SRX4615570,-0.1555141922,0.0,-0.5302934213,-0.09871539300000001
SRX727246,0.3899642773,-0.546917406,-1.8317929976,2.0108200996
SRX727243,0.5409057476,-0.7491893016000001,-1.9050442913,1.5826067355
SRX727247,0.0161558345,-1.5855376362,-3.9646046587,1.4496797274
SRX727244,0.7903079977,-0.977589243,-3.3680204981,1.168583704
SRX727245,-3.2230689639,-1.2305394009,-3.3476423661,0.45211294290000004
SRX727248,-3.1156389767,-1.3805903112,-3.7935188637,0.9371919132000001
SRX727249,0.28793410140000003,0.2292845253,0.0879172523,-0.3482932295
SRX727251,-0.076247696,-0.2175753268,-0.0050573962000000005,0.09023864300000001
SRX727250,-0.2116864054,-0.0117091985,-0.0828598561,0.2580545865
SRX4498332,-2.0686404893,-0.5282660601,0.0850689156,-0.4293011433
SRX4498334,-1.8368739831,-0.1342324141,0.06665219900000001,-0.8245845529
SRX4498335,-1.1112847723,-0.3435093741,-0.08345984840000001,-0.3546540137
SRX4498337,-1.4435525037999999,0.0238897026,0.0305585895,-0.23219978300000002
SRX4498324,0.7030533924,0.3718464318,-0.2273260365,-0.006666552300000001
SRX4498326,0.0612929491,-0.2056358349,0.2696836017,-0.0049409079
SRX4498328,-0.1683006004,0.1868821859,0.0033387994,0.0654061721
SRX4498330,-0.5960457411,-0.3530927828,-0.045696364600000004,-0.0537987118
SRX4498336,0.3812153541,0.3748022868,0.6040763118,-0.4586013537
SRX4498333,0.8919354427,0.3908597029,0.6062411768,-0.5186037562
SRX4498338,0.5535015550000001,0.5508010024000001,0.0256225461,-0.0410689565
SRX4498329,0.2559763546,0.3689798495,0.033783386900000004,-0.9004145171
SRX4498325,0.0956259441,0.2891163987,-0.20223011640000002,-0.8836784686
SRX4498327,0.0120740725,0.3372424867,-0.0430363569,-0.7609670055000001
SRX4498331,0.15407209560000001,0.27513888000000003,0.0038238051,-1.1173335463
