,A,Rv3066,Rv3249c,mbcA
SRX5352221,-1.7248841108000001,-0.9828771937,-0.1062521862,-0.5360287635000001
SRX5352223,-2.0053959711,-0.8837415762,-0.23322763300000002,-0.6163136184
SRX5352222,-2.1800925762,-0.46744017530000004,-0.49622383950000004,-0.1220587184
SRX5352229,-2.3145397259,-0.5932000476,-1.3161422162,-1.9221273155
SRX5352227,-2.0416247895,-0.7630248358,-1.1062674192,-1.5031104044
SRX5352228,-2.0706301996,-0.8574675401,-1.2856772414,-1.9168303901
SRX5352231,-1.8841643774999999,-1.4170878234,-0.8324700007,-1.1266225102
SRX5352232,-1.0325655774,-1.2880449465,-0.8247339406,-1.0964208979
SRX5352230,-2.2188656602,-1.9967521892,-0.7650435849,-1.8713411561000002
SRX5352225,-2.6457602522,-0.8554184090000001,-1.5007469452,0.33102943500000004
SRX5352224,-3.6446076336,-0.639458555,-1.3151706429,0.2409490202
SRX5352226,-3.1138525762,-0.117148135,-1.2129123485,0.2179671816
SRX5352220,-0.1216913206,0.2348894809,0.5406564063,0.146698028
SRX5352219,0.09679450660000001,-0.0105613097,-0.0931579817,-0.21526685
SRX5352218,0.024896813900000002,-0.2243281712,-0.4474984246,0.068568822
SRX4498228,3.3620468299,1.1001009905,0.0299919313,-0.1681256256
SRX4498224,4.0086079154,1.1325084498,0.0353763812,-0.004475687700000001
SRX4498230,4.2685148451,1.2779229131,0.0848120802,-0.1862319314
SRX4498226,3.7225472205,1.3597864323,0.0736250625,-0.4634726973
SRX4498218,0.6574147552,-0.0770916641,0.0020801630000000003,-0.0388306219
SRX4498216,0.0422837976,0.2584693341,-0.037599581,-0.19982851000000001
SRX4498220,-0.4964338427,-0.2188412416,0.0194515748,0.125909577
SRX4498222,-0.2032647102,0.0374635715,0.0160678432,0.1127495549
SRX4498225,10.2488848104,3.6302929173000003,-3.608813654,-0.1537026142
SRX4498227,10.3328030535,3.4192103717,-3.5206906009,-0.1502702373
SRX4498231,8.8730462166,2.9314898503,-3.4412526956000002,-0.015215619100000001
SRX4498229,9.1596195443,3.1634289134,-3.4730972713,-0.017034429900000002
SRX4498217,8.0172515721,2.7216202715,-2.3813058601,-0.2558043528
SRX4498221,9.6117610897,2.8813212496,-2.8508731183,0.0516976061
SRX4498219,8.4569473311,2.8309660074,-2.4150875199,-0.134567661
SRX4498223,10.7584189269,3.7310855436,-3.7561192249,-0.171446598
SRX5079928,0.1323221258,0.0270611148,-0.2284408642,-0.0807059259
SRX5079930,-0.4396459505,-0.1641109026,-0.4263638925,-0.1605925424
SRX5079929,-0.1868118112,-0.16771454100000002,-0.4495719077,-0.1138992704
SRX5079923,0.0786321567,-0.20130580680000001,-0.1254513368,0.061529546500000004
SRX5079924,0.0651318875,-0.3518625023,-0.19845258970000001,0.11937756790000001
SRX5079922,0.29014822230000004,-0.07297421230000001,-0.1590501097,-0.08267985850000001
SRX5079920,0.061050192,0.0806024513,-0.024117734800000002,0.0710335893
SRX5079921,-0.5667939176,-0.1615369516,-0.052002311,-0.1681541558
SRX5079919,0.5057437256,0.0809345004,0.07612004580000001,0.0971205665
SRX5079926,0.0385325829,-0.1216773594,-0.0953518111,-0.0374473175
SRX5079925,0.2561476999,-0.0357433437,-0.2154798823,0.0033190972
SRX5079927,0.5226132840000001,-0.31303808320000004,-0.1710089655,0.0029045542000000002
SRX894005,0.6557653165,0.7530057447,-0.4083610583,0.194792609
SRX894004,1.5969053142,1.1801499835,-0.5654024728,0.16789937300000002
SRX894006,1.6913802235,0.9898950238,-0.4240565757,0.0614484837
SRX893999,-0.1664895087,-0.1424032606,-0.25296493740000003,0.0689986029
SRX894000,0.0904631037,0.08537233300000001,0.191467142,-0.0562603759
SRX893998,0.076026405,0.0570309275,0.0614977955,-0.012738227000000001
SRX4647489,0.1426847822,-0.0346754548,-0.1096904494,0.0275240684
SRX4647490,-0.1426847822,0.0346754548,0.1096904494,-0.0275240684
SRX4647492,-0.1565445321,-0.4945062639,-0.1689258404,-0.44483769440000004
SRX4647491,-0.18047461750000002,-0.1728295875,-0.1342564962,-0.3342150749
SRX4647496,0.6782923262,-0.6419899158,-0.0177054554,0.1601446953
SRX4647495,0.3156205161,-0.9195528829,-0.0700197052,-0.1614682229
SRX4647499,-0.13890734200000002,-0.0676263035,-0.1511015246,-0.540498596
SRX4647500,0.5091536969,-0.4741712652,-0.08732187520000001,-0.1795207596
SRX4647493,0.689560088,-0.6887000945,-0.37689260080000003,-0.1545998019
SRX4647494,1.0006861048,-0.7148021904,-0.4194721192,-0.41262029040000003
SRX4647497,0.26756074080000003,-0.044063138700000004,-0.0790062909,-0.0479207014
SRX4647498,0.37183282640000004,-0.49197590480000003,-0.0707634055,-0.3100929148
SRX4505482,-0.0579446625,-0.0728748412,-0.0424832735,0.005789659700000001
SRX4505486,-0.4475252068,0.1030757804,-0.2454189256,-0.20674381400000003
SRX4505484,0.6698199294,-0.3147214755,-0.1118711619,0.09067378250000001
SRX4505473,-0.0720078157,0.14234209450000002,-0.3139146829,-0.3149330001
SRX4505476,-0.5229746002,0.0624615665,0.1168543944,0.0188229392
SRX4505480,-0.1102737324,0.0152124897,-0.0743480638,-0.0645053175
SRX4505478,0.1703184601,-0.0922796719,-0.1037262884,0.025934315000000003
SRX4505474,0.4629298724,0.014605615700000001,0.0612199578,0.019748063200000002
SRX4505483,0.9019766142000001,0.14886083560000002,-0.1524097646,-0.4509388838
SRX4505485,1.0156056018,0.2025692477,-0.1887898198,-0.3411875978
SRX4505487,0.793274753,0.0805275677,-0.0617927016,-0.4202850375
SRX4505488,0.7783945677,0.1573113841,-0.1798698114,-0.27835316
