,A,pyrR
ERX3772320,-0.6900459378,0.20043651210000002
ERX3772319,-0.6203329714,0.2095826289
ERX3772321,0.3036073805,-0.228462038
ERX3772322,-0.07488661590000001,-0.0362469552
ERX3772323,-0.22872076460000001,0.2647089932
SRX4314262,-0.0364883523,0.036009057000000004
SRX4314263,0.11771690850000001,-0.13924964750000002
SRX4314261,-0.0812285562,0.1032405906
SRX4314265,-1.1437593017,-0.30834558360000003
SRX4314266,-1.4365298609,-0.3065220547
SRX4314264,-0.162884457,-0.40260769300000004
SRX4314268,-0.33303177040000004,-0.4744175479
SRX4314267,-0.520091803,-0.34619075200000005
SRX4314271,0.6230354317,-0.4088298664
SRX4314272,0.033686107,-0.2501994305
SRX4314275,-0.0044681743,-0.1552397889
SRX4314274,0.6245670955,-0.2537091134
SRX4314273,0.9229767873,-0.16362140660000002
SRX4314278,0.6217737983,-0.1804666208
SRX4314276,0.8670381152000001,-0.075902947
SRX4314281,0.9557827093000001,-0.1552443375
SRX4314279,0.1622304882,-0.1170132358
SRX4314280,0.5943027507,-0.2679137059
SRX4314284,1.0567921396,-0.3943735458
SRX4314283,1.1692995299,-0.0103026035
SRX4314282,0.3915875435,-0.22988144970000002
SRX4314293,-0.0561595516,-0.40201868230000004
SRX4314292,1.4150101992000002,-0.160439765
SRX4314291,0.5153250786,-0.1268012341
SRX4314297,-0.0786913025,0.2527677805
SRX4314298,0.2412106317,-0.0792368032
SRX4314299,0.3718888964,0.5418959623
SRX4314302,-0.4201907594,0.2464898356
SRX4314301,0.1541819429,-0.5818767572
SRX4314300,0.0018212233000000002,0.1219154524
SRX4314305,0.10643944420000001,-0.4312568678
SRX4314304,0.9940699927000001,-0.1671949439
SRX4314303,0.40889583900000004,-0.3133140891
SRX4314309,0.8889766213,-0.4085293303
SRX4314306,-0.3547527505,-0.7210816775000001
SRX4314308,-0.2631732922,-1.0344663736
SRX4314307,0.1024221194,-0.6923800608
SRX4314311,-0.11896701080000001,-0.24857492280000001
SRX4314317,0.1570921928,0.0899958471
SRX4314316,-0.0054270225,-0.3275549592
SRX4314318,1.2656130435000001,0.1016971059
SRX4314319,1.2392286889,-0.0927246785
SRX4314331,-1.3443205072,0.3118447693
SRX4314330,-1.2271771997,0.5327695684
SRX4314332,-1.2581024298,0.5895757614
SRX4314335,-2.1913274338,0.4439100023
SRX4314334,-2.4772852261000002,0.39406854100000005
SRX4314333,-2.2808332041,0.3053501722
SRX4314338,-2.4420968018,0.5692050237
SRX4314336,-2.2499069044,0.6242582172000001
SRX4314337,-2.3924531348,0.6028492876
SRX4314339,-1.7385016515,1.1226101726
SRX4314340,-1.8701222882000001,0.7920378384000001
SRX4314341,-1.7564794134000001,1.2655798638
SRX3686762,-2.1719788288,1.3764966768
SRX3686763,-2.6729235601,1.2414396633
SRX3686761,-3.233509596,1.5073760909
SRX3686765,-0.0537400731,0.1348509619
SRX3686769,-0.3074043771,0.20384510700000003
SRX3686766,-0.1625806896,0.45098983870000003
SRX3686768,-0.26990599860000003,0.44457189480000003
SRX3686764,-0.16139871860000002,0.2562408787
SRX3686767,-0.1679605707,0.3671496401
SRX3686788,0.19157125730000002,0.2320660253
SRX3686791,-0.1296044889,0.223543858
SRX3686792,-0.1261798841,-0.1973313653
SRX3686793,0.4428080593,-0.1249111769
SRX3686790,-0.0704340927,0.0971870145
SRX3686789,-0.3081608508,-0.2305543556
SRX3686829,1.4958823749,0.42626809
SRX3686830,2.0664300495,0.2948633384
SRX3686828,1.718934414,0.22944051310000002
