,A,fasR
SRX4498308,-0.054407878800000004,0.0328005972
SRX4498314,0.19591269490000002,-0.0528965182
SRX4498310,0.0283147696,0.0304074294
SRX4498319,1.8860487348000001,0.7171123615
SRX4498317,2.0196646175,0.7371600427
SRX4498311,1.0595139919,0.1485323305
SRX4498315,1.2370523232,0.2292760247
SRX4498309,1.2725743876,0.3058221188
SRX4498313,1.3939678085,0.1914235245
SRX4615568,0.8774591014,-0.10854985340000001
SRX4615570,-0.8774591014,0.10854985340000001
SRX727246,-0.2602659228,0.6443262746
SRX727243,-1.3481769914,0.8675029443000001
SRX727247,1.9537027823000002,0.5969356466
SRX727244,0.7628069632000001,0.7463643613000001
SRX727245,2.2770248365,0.4503036923
SRX727248,3.3740650584000003,0.6577084397
SRX727249,-0.3794110569,0.1016721976
SRX727251,0.2935814249,-0.0807101153
SRX727250,0.085829632,-0.0209620823
SRX4498332,0.3675251923,-0.3108011812
SRX4498334,1.5557143788999999,-0.1676796766
SRX4498335,1.722046202,-0.2160725382
SRX4498337,1.5815300098,-0.12136611550000001
SRX4498324,-0.19695726460000001,0.0518414513
SRX4498326,-0.2443895599,-0.0271583448
SRX4498328,0.2212503775,-0.0490273259
SRX4498330,0.220096447,0.024344219400000002
SRX4498336,-4.1454469809,-0.357919733
SRX4498333,-4.2217349325,-0.32859660150000003
SRX4498338,-3.7727047641,-0.4615701598
SRX4498329,-0.3270694268,-0.11155295750000001
SRX4498325,-0.2398747401,-0.2512378693
SRX4498327,-0.53839696,-0.11659403230000001
SRX4498331,-0.2599617714,-0.127352624
