,A,fasR
SRX5079927,5.7905897566,-0.0645597215
SRX894005,2.0410561533,0.2772312923
SRX894004,2.6149229677,0.1441266871
SRX894006,2.9645958404,-0.018930857500000002
SRX893999,-0.165691527,0.053952337700000005
SRX894000,0.1914569982,0.0583231884
SRX893998,-0.0257654712,-0.11227552610000001
SRX4647489,-0.0106021078,0.0447132473
SRX4647490,0.0106021078,-0.0447132473
SRX4647492,0.2352815298,-0.0255927739
SRX4647491,0.0516347853,-0.0834964125
SRX4647496,0.7850170944,-0.1654261183
SRX4647495,0.4266405375,-0.1486483468
SRX4647499,-0.45032520930000003,-0.026348111900000002
SRX4647500,0.3182079774,-0.1193819668
SRX4647493,-1.0369544977,-0.0957380015
SRX4647494,-0.5835945868,-0.22977168480000001
SRX4647497,0.1110536795,-0.0746336529
SRX4647498,0.41056966310000004,-0.19082424450000002
SRX4505482,0.2250607387,-0.1579632568
SRX4505486,0.8853424703,-0.1925338433
SRX4505484,0.4252327413,-0.23947348340000002
SRX4505473,1.6346413548,-0.2280178076
SRX4505476,0.1674952361,0.08913034660000001
SRX4505480,0.28443675830000004,-0.11529827220000001
SRX4505478,-0.013860798300000001,-0.0537348666
SRX4505474,-0.4380711962,0.07990279210000001
SRX4505483,-1.3962330242,0.0656552683
SRX4505485,-1.6724878043,-0.0416997915
SRX4505487,-2.1207616076,0.07279211840000001
SRX4505488,-1.7552620736,0.10403150970000001
SRX4505481,-1.0211705096,0.1169894184
SRX4505477,-0.3092606077,0.0917851506
SRX4505475,-0.80463754,0.1537063554
SRX4505479,-0.8815227112,0.051857824100000005
SRX4605773,-0.36437923580000003,0.0161928576
SRX4605774,-0.5293907553,-0.0117872564
SRX4605772,0.1327957224,0.0306220518
SRX4605771,-0.1327957224,-0.0306220518
SRX5178871,-0.4140279014,0.12127277040000001
SRX5178872,-0.584831576,0.0292457193
SRX5178868,0.4407183073,0.0770595989
SRX5178870,-0.5078863025,0.0549970986
SRX5178869,0.0671679952,-0.13205669750000001
ERX1404045,0.5108542906,-0.1841407479
ERX1404046,-0.5108542906,0.1841407479
ERX1404043,0.4563533383,-0.4331645001
ERX1404044,0.012442204200000001,-0.1030887018
ERX237502,-4.8574910863,0.060760002800000004
ERX237505,-3.4296922116,-0.1210118594
ERX237506,-4.2309790448,-0.0856298165
ERX237500,-9.2600843331,-1.3972187238
ERX237497,-8.9311076635,-1.0793989809
ERX237499,-8.0189075541,-1.1265122681
ERX237507,-0.4884177155,-0.0957846989
ERX237496,0.3287354261,-0.114409224
ERX237504,0.1596822894,0.210193923
ERX3772318,-0.6519595324,-0.213048187
ERX3772320,-0.7047495627,-0.14566031740000002
ERX3772319,-0.6078576256,-0.1321528203
ERX3772321,0.0343028276,-0.061928770300000005
ERX3772322,0.08411733390000001,-0.1351651253
ERX3772323,-0.1184201614,0.1970938956
SRX4314262,-0.30547859800000005,0.0077679296
SRX4314263,0.2203835032,-0.0846025464
SRX4314261,0.0850950948,0.0768346169
SRX4314265,-3.4154253703,-0.0914143956
SRX4314266,-2.8108184319,0.024213317300000002
SRX4314264,-4.9524345516,-0.30705157790000004
SRX4314268,-4.3491625651,-0.1737316137
SRX4314267,-5.1271295748,-0.1358903723
SRX4314271,-4.1394924964,-0.4545632248
SRX4314272,-4.3445898173,-0.5142757135
SRX4314275,-2.9916966687,-0.5641503967
SRX4314274,-3.5185978456,-0.5240858037
SRX4314273,-4.1353715844,-0.45273712660000004
SRX4314278,-3.7909134464000003,-0.42636061550000004
SRX4314276,-3.1339806612,-0.2440043628
SRX4314281,-2.7184000768,-0.5573800552
SRX4314279,-3.6405718198,-0.4470508688
SRX4314280,-3.0012181989,-0.5878175688
SRX4314284,-3.1985626023,-0.6075103723
SRX4314283,-5.5617876689,-0.29456326120000004
SRX4314282,-3.8324418861,-0.2779921061
SRX4314293,-2.9163318981,-0.8596436433
SRX4314292,-0.6801443145,-0.5294699234
SRX4314291,-0.078133348,-0.6818546507000001
SRX4314297,-2.2761653516,-0.5442422602
SRX4314298,-2.4020143433,-0.5587202003
SRX4314299,-0.5447142561,-0.4220929067
SRX4314302,-1.0312446702,-0.3794542977
SRX4314301,-2.6182394607,-0.7753490208
SRX4314300,-3.488299264,-0.6069930291
SRX4314305,-3.0341838354,-0.8384147058
SRX4314304,-4.8585291738,-0.591620103
SRX4314303,-5.5456440392,-0.3115832331
SRX4314309,-3.99607399,-0.5444324684
SRX4314306,-3.9950172773,-0.6327630670000001
SRX4314308,-3.1973480067,-0.4089489143
SRX4314307,-3.6693394517,-0.7314806905
SRX4314311,-3.4290823098,-0.5029406906
SRX4314317,-0.33107044,-0.7400451527
SRX4314316,-1.4041100206000001,-0.9319728101
SRX4314318,-0.7415690272000001,-0.9708216874000001
SRX4314319,-1.0397898667,-1.0639264296
SRX4314331,-3.3432542649,-0.9092844384000001
SRX4314330,-2.8326987147000002,-0.9079603624
SRX4314332,-2.1250355214,-0.7043152313000001
