sample,Rv2395B
SRX3103187,-0.5242938636
SRX3103184,0.1584927357
SRX3103188,-0.1193886291
SRX3103186,-0.0391041065
SRX1372110,-0.8523797280000001
SRX1372111,-0.6642138860000001
SRX1372108,0.4230993568
SRX1372109,-0.4230993568
SRX4506085,-0.0442867637
SRX4506083,0.0675397563
SRX4506089,0.0631312336
SRX4506087,0.1040104582
SRX4506077,0.1064904218
SRX4506079,0.1846285665
SRX4506075,-0.4068339238
SRX4506081,0.1157149355
SRX4506084,-0.1904530652
SRX4506086,-0.1155188394
SRX4506088,-0.12530531150000002
SRX4506090,-0.1458390495
SRX4506078,0.0869191941
SRX4506080,0.029006766000000003
SRX4506082,-0.023854913000000002
SRX4506076,0.0165527577
SRX5352221,-0.6071776745
SRX5352223,-0.6464180153
SRX5352222,-0.8114475878
SRX5352229,1.2917901330000001
SRX5352227,1.3310154391
SRX5352228,1.2164372653
SRX5352231,0.6315781744
SRX5352232,0.5570883396
SRX5352230,0.6266889809
SRX5352225,-0.4188694611
SRX5352224,-0.0742745714
SRX5352226,-0.13843851810000002
SRX5352220,0.0255763814
SRX5352219,0.034116900400000004
SRX5352218,-0.059693281800000005
SRX4498228,0.029106702300000002
SRX4498224,-0.054995724100000004
SRX4498230,-0.0992809466
SRX4498226,0.22279293
SRX4498218,-0.0584909802
SRX4498216,0.0986430102
SRX4498220,-0.0108251556
SRX4498222,-0.0293268744
SRX4498225,0.5804964357
SRX4498227,0.4224710491
SRX4498231,0.30436308100000004
SRX4498229,0.39470200850000003
SRX4498217,0.49492642130000003
SRX4498221,0.4093854579
SRX4498219,0.4901528687
SRX4498223,0.4661976379
SRX5079928,-0.10156068160000001
SRX5079930,-0.297984373
SRX5079929,-0.18908992160000002
SRX5079923,-0.1556127894
SRX5079924,-0.2870963503
SRX5079922,-0.0263594173
SRX5079920,0.0807430308
SRX5079921,-0.0580932752
SRX5079919,-0.0226497556
SRX5079926,-0.1521938402
SRX5079925,-0.1691580861
SRX5079927,-0.1313957289
SRX894005,-0.7011803119000001
SRX894004,-0.5771267454
SRX894006,-0.6150257473
SRX893999,0.0161956377
SRX894000,-0.15840664640000002
SRX893998,0.1422110087
SRX4647489,-0.0980757079
SRX4647490,0.0980757079
SRX4647492,-0.08599015310000001
SRX4647491,0.0707937361
SRX4647496,-0.6691633504000001
SRX4647495,-0.4058764962
SRX4647499,-0.0696710839
SRX4647500,-0.1794114543
SRX4647493,-0.6875985084
SRX4647494,-0.9203516025
SRX4647497,-0.3347834726
SRX4647498,-0.4406663394
SRX4505482,-0.16883796080000002
SRX4505486,-0.0140977724
SRX4505484,-0.1386139941
SRX4505473,-0.11474007580000001
SRX4505476,-0.08695288670000001
SRX4505480,0.1222744593
SRX4505478,0.0631643634
SRX4505474,-0.09848593600000001
SRX4505483,-0.0461786162
SRX4505485,-0.20538439860000002
SRX4505487,-0.0982299101
SRX4505488,-0.0054661753
SRX4505481,-0.1829881773
SRX4505477,-0.1017289405
SRX4505475,-0.005021037
SRX4505479,-0.36319014250000003
SRX4605773,-0.21220016400000002
SRX4605774,0.131926499
SRX4605772,-0.13831964630000002
SRX4605771,0.13831964630000002
SRX5178871,-0.1476536497
SRX5178872,-0.166831053
SRX5178868,0.0288044405
SRX5178870,0.1427234583
SRX5178869,-0.1715278988
ERX1404045,-0.0640669984
ERX1404046,0.0640669984
ERX1404043,-0.019931228000000002
ERX1404044,0.0263445608
ERX237502,-1.4090247675
ERX237505,-0.8801443707000001
ERX237506,-1.5617953272
ERX237500,-1.4020656524000001
ERX237497,-1.4986382183
ERX237499,-0.45296786250000004
ERX237507,-0.042368583700000004
ERX237496,0.07086963240000001
ERX237504,-0.0285010487
ERX3772318,0.17534121100000002
ERX3772320,0.1888231909
ERX3772319,0.1315557886
ERX3772321,0.0173290374
ERX3772322,0.0196114586
ERX3772323,-0.036940496
SRX4314262,0.0497705139
SRX4314263,-0.007091816000000001
SRX4314261,-0.0426786978
SRX4314265,-1.0629228092
SRX4314266,-1.3398550678
SRX4314264,-1.3336913543
SRX4314268,-1.6336331268
SRX4314267,-0.9641603825
SRX4314271,-0.7455970544
SRX4314272,-0.7511903039000001
SRX4314275,-1.1102364493
SRX4314274,-0.8887949571
SRX4314273,-1.0857362309
SRX4314278,-0.6388509315
SRX4314276,-1.1829014368
SRX4314281,-0.8019669141
SRX4314279,-0.8426064504
