,A,marR
SRX4498310,0.0887809033,0.0213475492
SRX4498319,2.0363294928,1.6002866594
SRX4498317,2.2246968645,1.6397365910000001
SRX4498311,-1.1782712591,-0.1365765716
SRX4498315,-1.1861282461,-0.1657257526
SRX4498309,-1.2431278358,-0.12447501990000001
SRX4498313,-1.2096209595,-0.076050691
SRX4615568,-0.53882132,-0.09835414
SRX4615570,0.53882132,0.09835414
SRX727246,-2.9182265554,-0.9216576312
SRX727243,-0.8922548939,-0.9178901056000001
SRX727247,-2.3522609421,-0.3683363336
SRX727244,-0.6299409386,0.3455088953
SRX727245,-2.1544166317,-0.687065527
SRX727248,-3.1313783089,-0.8861910340000001
SRX727249,-0.1639677079,0.0949076182
SRX727251,0.19844357240000002,-0.0340800143
SRX727250,-0.0344758645,-0.060827603800000005
SRX4498332,0.0715083596,0.1341268289
SRX4498334,0.037727242,0.0232495892
SRX4498335,-0.1468028857,0.2432038199
SRX4498337,0.1967848683,0.2760036993
SRX4498324,0.12031986400000001,0.0712634942
SRX4498326,-0.0523530036,-0.0676361747
SRX4498328,0.1515735152,0.0410039899
SRX4498330,-0.2195403756,-0.0446313094
SRX4498336,0.2717908658,0.5490229691
SRX4498333,0.4278247121,0.5730229761
SRX4498338,-0.04305146,0.5023291336
SRX4498329,0.2449904887,0.555355629
SRX4498325,0.0060148135000000005,0.40437295040000004
SRX4498327,-0.2770120816,0.6152661239
SRX4498331,0.2045679787,0.49971983610000004
