,A,marR
SRX5388959,0.3424904012,0.2118441718
SRX5388958,-0.08029350340000001,0.3618253341
SRX5388964,0.7791292106000001,-0.406516931
SRX5388965,1.6527928263,-0.27847248680000003
SRX5388962,1.6535168037,-0.2443831309
SRX5388963,0.9529275166000001,-0.3047577401
SRX6889335,0.38246596520000004,-0.34190908210000004
SRX6889333,-0.38246596520000004,0.34190908210000004
SRX6810002,0.25623056,0.0054722237
SRX6810004,-0.3899207011,0.1904533881
SRX6810003,0.1336901411,-0.1959256118
SRX6810006,5.9689009306,0.4270547289
SRX6810005,5.9556408043,0.6769932123
SRX6810007,5.6542541658,0.1294155536
ERX1818322,0.3535662068,0.11961380590000001
ERX1818321,-0.3535662068,-0.11961380590000001
SRX2617830,-1.7270031923,0.0663997435
SRX2617831,-1.5801236578,-0.007551065700000001
SRX2617833,5.0409808707,0.1038225611
SRX2617832,4.7547576318,0.1115396282
SRX2617828,0.11091618140000001,0.0714603867
SRX2617827,0.22348440660000002,-0.08191291490000001
SRX2617829,-0.3344005879,0.0104525282
SRX3456119,-0.0289498798,0.2201636636
SRX3456118,1.0487752358,0.0078009945
SRX3456117,0.8703137377,0.2410002679
SRX3456101,-0.1066986401,-0.0048733157
SRX3456099,-0.3592621092,0.20651012170000002
SRX3456100,0.46596074930000003,-0.201636806
SRX3456107,-16.8204511636,-0.8820000206
SRX3456105,-15.7970887343,-0.5966702589
SRX4374122,-0.1904321452,0.4007999163
SRX4374121,-1.0202220858,0.3350435378
SRX4374123,-1.3122941955,0.40471146210000003
SRX4374124,-0.2429825642,0.108956038
SRX4374125,0.2865254333,-0.0513049989
SRX4374126,-0.0435428691,-0.0576510391
SRX4374127,1.1961186785,0.40163137670000004
SRX4374128,2.0202090973,0.2623779576
SRX4374129,-0.42059474290000004,0.0235829616
SRX4374130,0.5748270630000001,0.4396414427
SRX4374132,-0.9218918929000001,-0.021876285800000003
SRX4374131,0.25847562560000004,0.3678743621
SRX4374133,-0.4641435326,0.48415639580000003
SRX4374135,1.8975433526,0.5099780873
SRX4374134,2.3775102169,0.8438662718000001
SRX4374138,-0.2559838045,-0.173317631
SRX4374136,0.4243156779,0.19176550720000002
SRX4374137,1.01586283,0.07759600100000001
SRX1091379,0.45732635050000003,-0.40192804060000004
SRX1091380,0.5848451175,-0.3040346565
SRX1091377,-0.030006966000000003,-0.02488972
SRX1091378,0.030006966000000003,0.02488972
SRX4647145,-0.1734390906,-0.0873697721
SRX4647146,0.0009646472000000001,-0.0732486904
SRX4647147,-0.1461372839,-0.12090154800000001
SRX4647144,-0.0333877499,-0.0088509561
SRX4647143,0.0551935746,0.0171892553
SRX4647142,-0.021805824600000002,-0.0083382991
SRX4647155,-1.9537436097,-0.7772137024
SRX4647152,-1.8634129663999999,-0.6819254451
SRX4647153,-2.0345908293,-0.6947017483
SRX4647154,-2.108179001,-0.6630232522
SRX4647148,-1.0326181182,-0.6766178515
SRX4647149,-1.3786778599,-0.8462957428000001
SRX4647151,-1.0522218099,-0.7721562738000001
SRX4647150,-1.1910751684,-0.815130577
SRX4647123,-0.1569337611,0.0381668994
SRX4647124,0.0107900059,-0.0193835212
SRX4647125,0.1461437552,-0.0187833782
SRX3103185,-1.0546984357,-0.2191314435
SRX3103189,1.228433521,-0.1140831161
SRX3103187,-0.5999975630000001,-0.23281635890000002
SRX3103184,-0.0804758497,0.0116403423
SRX3103188,0.8741521331000001,-0.0210924145
SRX3103186,-0.7936762834000001,0.0094520722
SRX1372110,0.5559564330000001,0.7912037447
SRX1372111,-1.3494524227,0.4675589312
SRX1372108,-0.6008541392,-0.2062571684
SRX1372109,0.6008541392,0.2062571684
SRX4506085,-0.1839073991,-0.3359485152
SRX4506083,-0.2148253622,-0.3153405479
SRX4506089,-0.1242955575,-0.2268804133
SRX4506087,-0.24288746800000002,-0.3831114342
SRX4506077,0.2067525692,-0.050927504400000004
SRX4506079,0.0306545826,-0.0811510921
SRX4506075,-0.43285474430000004,0.1553030793
SRX4506081,0.19544759250000002,-0.0232244827
SRX4506084,-0.4127055825,-1.0130770994
SRX4506086,-0.2537218871,-0.9297428466000001
SRX4506088,-0.4795287147,-0.9937429614000001
