Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rv0016c,-0.013050523139828301,0.009789969160075901,-0.006452822192770129,-0.010349562731361726,0.00035568462949685345,0.009905563480574585,0.007830292528663668,-0.021812462855640494,-0.0004931615810287385,-0.0033499348706631975,-0.012682971448662388,-0.00936460644178277,-0.0032109532827061496,-0.009289578202128,-0.003357478283577986,0.009167125786397307,-0.025823767499990425,-0.0023370224368447217
Rv0017c,-0.015668167382789353,0.007264023484471848,-0.003256131616475428,-0.012515509958147868,0.0009527596122080921,0.005146461896902566,-0.0063357286024877685,-0.015300067090247636,-0.008656140034377004,0.0018615046811180222,0.013891579892184836,-0.017704386744776725,0.002234852386580481,0.0010168641316878413,-0.0007558242545763215,0.005403736063710313,-0.017275875334717448,0.012347931865686897
Rv0018c,-0.006793417855183821,-0.0010915248583867549,0.00012134535692406027,-0.013185604793353583,0.003844672262889682,0.007175316034016729,0.01205545277551421,-0.01688246159352146,-0.001872095480492847,-0.006435053668467239,-0.0035362536273667085,-0.011001398820952192,0.003319641745943122,0.003259550486716431,-0.007408447863699017,0.005514633350270518,-0.017536365636317094,0.004677571115694979
Rv0019c,0.004098115839056,0.002112841074902019,0.0025322653066877365,-0.023529465965463705,-0.0061136841441120195,0.007477517130904297,0.011490799980416124,-0.010144587666134268,0.004066135636672647,-0.007375620902705223,-0.007746601266263654,0.007958559754176397,0.009586159764500113,0.004932503532565059,-0.00581316166917719,0.001541887987100125,-0.008732661309906251,-0.007389935592155756
Rv0020c,0.008677113181739695,0.004438645758215582,-0.007717382250273737,-0.019683578345692856,-0.007134422626919703,-0.003052157154089761,0.009524354353704348,0.002147076902835721,0.003931405679200705,-0.0077652737607216814,0.00247968530393372,-0.007799929813627725,0.007882548349611105,-0.004403116081223806,-0.0028117561512639127,-0.00633278364602236,0.0006524990437400367,0.00219434276153464
Rv0021c,-0.004167859967250393,-0.004316014959944473,-0.002897582307943075,-0.0028265237407781884,-0.008077857943589969,0.005403842163728479,0.011455114987477451,-0.0013140820238222342,0.007062114874517215,-0.00918619536916786,0.0013887505961469677,0.0036906135645712736,-0.017301475440838925,0.008685748549075478,0.001369343051574119,0.0021498030480754386,0.012269635841784641,-0.009921969801414951
Rv0022c,-0.004402842563378366,-0.010840905066588847,-0.029252357849008686,0.052234989735597336,-0.0057166269913429355,-0.0007549265354314889,0.012806993117630434,-0.006755744138447586,0.019005924203292602,-0.013456367878118545,-0.004037716394228507,-0.0060346181596719894,-0.01449140830517929,-0.0010496627798227828,0.020349864851427743,-0.02138395293545409,0.02317716477737835,-0.03855228751927867
Rv0023,-0.003545811960816195,-0.0012426764327228203,-0.008193992528985722,0.005331254173666383,0.004332320042500119,-0.0006198395693882961,0.010985059276367646,-0.02419332203938526,-0.007783064749412368,-0.010166203823270912,0.015322261170688946,-0.011049728378772954,0.0014437157441566644,-0.007569251854934796,0.0020951454078755555,-0.016284334389555295,0.011214952219027298,0.003487223393652334
Rv0024,0.0019665713682673717,0.007631962220776572,-0.003394894015373491,0.005301243563995434,-0.00026476231348079404,0.002418401122043041,0.005626486802233858,-0.019128565367408517,-0.0014856229462496505,-0.008171666264285208,0.014106673507737795,-0.016879489857112805,-0.009141415988203677,-0.02039274696327699,-0.002478955423508712,-0.028619349412710365,0.003955635431329301,-0.005387589115766189
Rv0025,-0.007503561212105507,0.011248343642352183,0.0037980004109202732,-0.006545178622992147,-0.0018282002793668511,0.0005800727484431098,-0.01002655407603815,-0.002898337880921874,-0.002749996027804463,-0.008337334140615552,0.00625303744018929,0.0028782399493182498,-0.018525744953965598,-0.018552794134208156,0.0033687981631987324,-0.011714883974969859,0.015296907626416799,0.0032497990873354946
