sample,Rv0959A
SRX4506087,-0.1310342619
SRX4506077,0.0692791774
SRX4506079,-0.21718746
SRX4506075,-0.0744760825
SRX4506081,0.22238436520000002
SRX4506084,-0.7229138883
SRX4506086,-0.4322417478
SRX4506088,-0.5873525139
SRX4506090,-0.5076533795
SRX4506078,-0.6180127567
SRX4506080,-0.5415300136
SRX4506082,-0.3836896442
SRX4506076,-0.5733396297000001
SRX5352221,-0.2566315453
SRX5352223,-0.35873742680000004
SRX5352222,-0.5375136465
SRX5352229,-0.9063624017
SRX5352227,-0.3560918826
SRX5352228,-0.9903487027000001
SRX5352231,-1.9781816288
SRX5352232,-1.6471766790000002
SRX5352230,-1.8678641102
SRX5352225,0.5457581255
SRX5352224,0.842109556
SRX5352226,0.0436759452
SRX5352220,-0.13473179600000001
SRX5352219,0.0100304815
SRX5352218,0.12470131450000001
SRX4498228,-0.47808887650000004
SRX4498224,-0.4077240192
SRX4498230,-0.547908908
SRX4498226,-0.318300432
SRX4498218,-0.1153647762
SRX4498216,-0.0086594538
SRX4498220,0.1361831548
SRX4498222,-0.0121589248
SRX4498225,-0.6185678738
SRX4498227,-0.8574214772000001
SRX4498231,-0.3743695052
SRX4498229,-0.3736071785
SRX4498217,-0.3090191281
SRX4498221,-0.42185587690000004
SRX4498219,-0.44284724880000004
SRX4498223,-0.37482619640000003
SRX5079928,-0.24237662810000002
SRX5079930,-0.7070264504
SRX5079929,-0.3371010271
SRX5079923,0.1472912045
SRX5079924,-0.139475329
SRX5079922,0.0863359956
SRX5079920,-0.0183078985
SRX5079921,0.057033180200000005
SRX5079919,-0.0387252817
SRX5079926,-0.1223458438
SRX5079925,0.0095172656
SRX5079927,-0.1322066081
SRX894005,0.401087801
SRX894004,-0.3151632118
SRX894006,-0.15822325310000002
SRX893999,-0.0507585667
SRX894000,-0.15508508040000002
SRX893998,0.2058436471
SRX4647489,0.0914480644
SRX4647490,-0.0914480644
SRX4647492,0.2028624022
SRX4647491,0.2060803881
SRX4647496,-0.10248652
SRX4647495,-0.14523202740000002
SRX4647499,0.1437377112
SRX4647500,-0.10112508890000001
SRX4647493,0.0020580095
SRX4647494,0.315063716
SRX4647497,0.12167423790000001
SRX4647498,0.12198834950000001
SRX4505482,-0.0123321283
SRX4505486,0.1452517892
SRX4505484,0.1631563908
SRX4505473,0.15318667800000002
SRX4505476,-0.1022994569
SRX4505480,0.0514989877
SRX4505478,0.0415975605
SRX4505474,0.0092029087
SRX4505483,0.1177709321
SRX4505485,0.0350835994
SRX4505487,0.1264373075
SRX4505488,0.2123296631
SRX4505481,0.1671370969
SRX4505477,0.1175109089
SRX4505475,-0.0303413808
SRX4505479,0.218220614
SRX4605773,0.1431620424
SRX4605774,0.37041167210000003
SRX4605772,0.0098589338
SRX4605771,-0.0098589338
SRX5178871,0.1775832607
SRX5178872,0.34754532730000004
SRX5178868,0.1315407901
SRX5178870,-0.1804304018
SRX5178869,0.0488896116
ERX1404045,-0.2511318447
ERX1404046,0.2511318447
ERX1404043,0.042479929900000005
ERX1404044,-0.23959088580000001
ERX237502,1.5259605678
ERX237505,0.4011152059
ERX237506,0.7909546429000001
ERX237500,2.6878253883000003
ERX237497,2.0693827673
ERX237499,1.3301274385
ERX237507,-0.40205555940000004
ERX237496,-0.1179294236
ERX237504,0.5199849829000001
ERX3772318,-0.10367198600000001
ERX3772320,0.0212082003
ERX3772319,-0.046530248100000005
ERX3772321,-0.3357065596
ERX3772322,0.073291359
ERX3772323,0.2624152006
SRX4314262,0.2122687502
SRX4314263,-0.45102712300000003
SRX4314261,0.23875837290000002
SRX4314265,0.28891408700000004
SRX4314266,0.6479537611
SRX4314264,-0.10322545970000001
SRX4314268,-0.2631960545
SRX4314267,-0.3736070543
SRX4314271,0.4803108069
SRX4314272,0.45746061930000004
SRX4314275,-0.42314722330000004
SRX4314274,0.2555632163
SRX4314273,-0.24046430070000002
SRX4314278,-0.1789192935
SRX4314276,0.0421497886
SRX4314281,0.1656198454
SRX4314279,-0.3260047495
SRX4314280,0.0917727827
SRX4314284,0.07473780790000001
SRX4314283,-0.1749568691
SRX4314282,-0.18139088120000002
SRX4314293,-0.6301144704
SRX4314292,0.39379621810000004
SRX4314291,-0.2052420627
SRX4314297,-0.9056016924
SRX4314298,-0.044920547500000005
SRX4314299,-1.042617171
SRX4314302,-0.8566838573000001
SRX4314301,-0.0456846282
SRX4314300,-0.6428695466000001
SRX4314305,-0.39397682430000003
SRX4314304,0.1978777707
SRX4314303,-0.1659832716
SRX4314309,0.2739291326
SRX4314306,0.052472620500000004
SRX4314308,-0.9461841158000001
SRX4314307,-0.37107113740000003
SRX4314311,-0.0347281539
SRX4314317,0.2307635787
SRX4314316,-0.3980955848
SRX4314318,0.466527513
SRX4314319,0.3944720392
SRX4314331,0.16975981480000002
SRX4314330,0.4231271252
SRX4314332,-0.1436771309
SRX4314335,-0.4209172545
SRX4314334,-0.218498136
SRX4314333,-0.6436433513
SRX4314338,-0.4314278543
SRX4314336,-0.2294886086
SRX4314337,-0.055938127500000004
SRX4314339,-0.21696446900000002
SRX4314340,-0.0182985034
SRX4314341,-0.6321957821
SRX3686762,1.6373798683
SRX3686763,1.5985368050000002
SRX3686761,1.6171747876
SRX3686765,0.0484643489
SRX3686769,0.14933042030000002
SRX3686766,0.2928427
SRX3686768,0.5377104133
SRX3686764,0.1636327809
SRX3686767,0.2701083642
SRX3686788,0.6462982147
SRX3686791,-0.1422007858
SRX3686792,-0.5430816528
SRX3686793,-0.3313534341
SRX3686790,0.05542996
SRX3686789,0.3149076979
SRX3686829,1.2250797738
SRX3686830,1.1091305275
SRX3686828,0.9553563097000001
SRX3686819,1.5412077761
SRX3686818,1.4476412995
SRX3686817,1.6225044496
SRX3686822,2.2643609127
SRX3686820,2.0622560401
SRX3686821,2.3277395041
SRX3686743,1.4203344226
SRX3686744,1.1985609866
SRX3686745,1.3750459843
SRX3686772,0.0257738242
SRX3686770,0.3670837716
SRX3686771,0.48375368290000004
SRX3686794,-0.0241119218
SRX3686796,0.7825226706
SRX3686751,1.0949623408
SRX3686749,1.1546765233
SRX3686750,1.3265971213
SRX3686778,1.4430148364
SRX3686777,1.0531740023
SRX3686776,0.9245424996
SRX3686800,0.48513730110000003
SRX3686801,0.7510317376000001
SRX3686755,1.3923717904
SRX3686757,1.0733629974
SRX3686756,1.3802280078
SRX3686784,1.0171629495
SRX3686783,0.7595008357
SRX3686782,0.09665725060000001
SRX3686809,0.7228250902000001
SRX3686807,0.49506658080000004
SRX3686808,0.6139216189000001
SRX3686787,1.6199833527
SRX3686786,1.6112278137
SRX3686785,1.12973384
SRX3686799,1.0986535374
SRX3686797,0.8086081326000001
SRX3686798,1.071557702
SRX3686746,1.0702833632
SRX3686748,1.2847660846
SRX3686747,1.5206251794
SRX3686773,0.6257952771
SRX3686774,0.9827331896
SRX3686775,0.9146901217000001
SRX3686754,1.5762859614
SRX3686753,1.7500185437
SRX3686752,1.7329407297000001
SRX3686780,1.1475420947
SRX3686779,1.2593464288
SRX3686781,1.2403672278
SRX3686806,1.0301986099
SRX3686805,1.1501471433
SRX3686758,2.1731294102
SRX3686760,2.1088156426
SRX3686759,1.9421219013000002
SRX3686810,1.2993629151000001
SRX3686811,1.3351934761
SRX3686812,1.1675386353000001
SRX3686813,1.4704153709
SRX3686815,2.5546116525
SRX3686816,2.3900875488
SRX3686823,1.1502099109
SRX3686824,1.3705073155
SRX3686825,1.8634599103
SRX3686827,1.8610130818
SRX3686826,1.9251639166
SRX7054191,-0.6546357809000001
SRX7054189,0.6295532422
SRX7054190,0.0250825387
SRX7054193,0.997190283
SRX7054192,1.4691775163
SRX7054194,1.4884970248
SRX4506284,-0.15357802280000002
SRX4506280,-0.3010760039
SRX4506282,-0.2063952907
SRX4506278,-0.49590428810000003
SRX4506274,0.07284122500000001
SRX4506273,-0.115087516
SRX4506271,0.061794615100000005
SRX4506276,-0.0195483241
SRX4506283,-0.013674005000000001
SRX4506279,0.09362160280000001
SRX4506285,-0.3790257336
SRX4506281,0.0469308638
SRX4506275,0.2606148851
SRX4506277,0.38417900390000004
SRX4506272,0.1023759214
SRX2923393,-0.0397781678
SRX2923394,0.0397781678
SRX2923398,-1.078538562
SRX2923397,-0.8524692092
SRX2923395,2.0696836565
