,A,Rv0576
SRX4647491,-0.0672164048,0.104349461
SRX4647496,0.7217403328,-0.1632864591
SRX4647495,0.5552326323,-0.0733128842
SRX4647499,0.5612727136,0.0011636963
SRX4647500,0.4508546323,0.0437910788
SRX4647493,0.3863142593,-0.1704415178
SRX4647494,0.27722515270000003,-0.2223870621
SRX4647497,0.5922172213,-0.061250985800000005
SRX4647498,0.6496084584,-0.176997451
SRX4505482,-0.7619976635,-0.1797917172
SRX4505486,-1.4591454333,0.104148207
SRX4505484,-1.1064758691,-0.3362100881
SRX4505473,-1.6175036173000001,0.1427613155
SRX4505476,0.1956389499,0.054933500600000004
SRX4505480,-0.3260307373,0.0053453146000000005
SRX4505478,-0.2942116597,0.0432008891
SRX4505474,0.42460344710000003,-0.1034797043
SRX4505483,-2.0784919477,-0.1767908756
SRX4505485,-1.9699964160999999,-0.3317515328
SRX4505487,-1.830249336,-0.3017838831
SRX4505488,-1.9359541194,-0.1534865335
SRX4505481,-2.0840319904,-0.29328178600000004
SRX4505477,-2.4607596967,-0.22062100680000002
SRX4505475,-2.1583786072,-0.1513745161
SRX4505479,-2.5576118674,-0.24987721540000002
SRX4605773,0.6617680946000001,0.0350849101
SRX4605774,0.3572115931,0.0424593936
SRX4605772,0.1319700198,-0.1546537651
SRX4605771,-0.1319700198,0.1546537651
SRX5178871,-0.48286205590000003,0.1584774
SRX5178872,-0.3091301137,-0.1355790946
SRX5178868,0.37469348550000003,0.0223454582
SRX5178870,-0.09162831040000001,-0.0283015291
SRX5178869,-0.283065175,0.0059560709
ERX1404045,-0.2289627764,-0.053790663200000005
ERX1404046,0.2289627764,0.053790663200000005
ERX1404043,0.9536988235,0.3136129059
ERX1404044,1.0204924795,0.034046473
ERX237502,1.9298042172,0.4799744214
ERX237505,1.5025721371,0.41463919320000003
ERX237506,1.8098013955,0.3134069514
ERX237500,5.6486125705,-0.1288352713
ERX237497,6.4101415964,-0.49625903320000003
ERX237499,5.4698775634,-0.2365348457
ERX237507,0.0020029814,-0.037971977000000004
ERX237496,0.2045646191,-0.060732297600000006
ERX237504,-0.2065676005,0.0987042746
ERX3772318,1.6390343929,-0.0523359874
ERX3772320,1.8908597829,-0.15663733870000002
ERX3772319,1.9874300174,0.0356643972
ERX3772321,-0.9992467175,-0.1154177058
ERX3772322,-0.3535595541,-0.0123975937
ERX3772323,1.3528062717,0.1278152995
SRX4314262,-0.3229708315,-0.1665762567
SRX4314263,-0.4697332953,0.1718364387
SRX4314261,0.7927041269,-0.005260182
SRX4314265,-1.1517666103,0.1272973388
SRX4314266,-0.1406944061,0.0894797492
SRX4314264,-2.6851816159,-0.038720149700000005
SRX4314268,-1.6411023713000001,-0.332572858
SRX4314267,-2.8190557362,-0.3458940514
SRX4314271,-3.6431368623,0.0387385785
SRX4314272,-3.1039860805,-0.2622880942
SRX4314275,-3.0689422311,-0.1824464935
SRX4314274,-3.7481246179000003,-0.0123099926
SRX4314273,-3.4991925194,-0.34402600450000004
SRX4314278,-2.9124442897,-0.0879246368
SRX4314276,-3.8501317689,-0.166694279
SRX4314281,-3.8757697562,0.09434744510000001
SRX4314279,-4.6477010981,0.0654028147
SRX4314280,-3.3421608611,-0.2200368888
SRX4314284,-3.046428896,0.0273695469
SRX4314283,-3.8529216903,-0.1423998101
SRX4314282,-3.7291977913,-0.068623708
SRX4314293,-3.1804124816,-0.3906390966
SRX4314292,-4.2508382562,0.0198864689
SRX4314291,-3.7636704468,0.09507579990000001
SRX4314297,-3.3238383585,0.319766488
SRX4314298,-2.5997011349,0.23302180460000002
SRX4314299,-3.2775797292,0.16582102440000002
SRX4314302,-4.1323233693,0.1572105631
SRX4314301,-1.9432802536,0.1688177707
SRX4314300,-2.5662482396,0.33069359260000003
SRX4314305,-1.2175213858,0.2228314391
SRX4314304,0.1627194724,0.2378108573
SRX4314303,0.090193405,0.4728942962
SRX4314309,-1.0116181955,0.26642217490000003
SRX4314306,-0.0568473695,-0.2897145252
SRX4314308,-0.41075764130000003,-0.0038268622
SRX4314307,2.458848793,-0.0402978343
SRX4314311,-2.1673472231,0.1608277591
SRX4314317,3.5486542565,0.0950426994
SRX4314316,4.3663827923,-0.0766712398
SRX4314318,3.2863128118000002,0.3856496941
SRX4314319,3.4927638164,0.40910146280000004
SRX4314331,3.626263737,-0.5946338457
SRX4314330,4.4593622455,-0.6387721997
SRX4314332,3.1986912491,-0.5042307469
SRX4314335,1.8230710637,-0.7000392064000001
SRX4314334,2.0606580437,-0.7410064524000001
SRX4314333,2.1489231295,-0.9535364972
SRX4314338,1.2871056029,-0.6683153885
SRX4314336,0.5641895526,-0.7256224687
SRX4314337,0.9867729748,-0.6572401551
SRX4314339,-0.9506023797,-0.5251045532
SRX4314340,-0.5017992414,-0.4970521003
SRX4314341,-0.7847640905000001,-0.43015947720000003
SRX3686762,0.6818337855000001,0.45005112020000004
SRX3686763,0.2727620637,0.45973738080000004
SRX3686761,1.5577797021,0.3881647127
SRX3686765,-1.1911136708,0.4979148189
SRX3686769,-1.1260007039,0.345326381
SRX3686766,-0.8541703719,0.2000863158
SRX3686768,-1.2240866992,0.22146137640000002
SRX3686764,-1.2200665398,0.453957096
SRX3686767,-0.9556406717,0.3963923099
SRX3686788,-0.0501013176,0.20881024180000002
SRX3686791,0.5470765879,-0.0136801894
SRX3686792,-0.4594227208,-0.1097847727
SRX3686793,-0.028858088,0.0072639536
SRX3686790,0.36375548420000003,-0.2513564153
SRX3686789,-0.3724499457,0.1587471819
SRX3686829,3.1864318556,0.32318457040000004
SRX3686830,4.6872648136,0.3170084329
SRX3686828,3.6266019245,0.31233802600000005
SRX3686819,6.5458873236,1.1397234435999999
SRX3686818,7.8383740404,1.12512225
SRX3686817,7.494455852,1.1503549158
SRX3686822,17.7353675526,0.3912696939
SRX3686820,16.45611692,0.49809311040000004
SRX3686821,18.258660771,0.29468558640000003
SRX3686743,2.232176634,0.2753224579
SRX3686744,2.08045171,0.20840631010000002
SRX3686745,2.4115932095,0.2229851128
SRX3686772,2.0767230305,-0.0441691062
SRX3686770,3.9755491645000003,-0.15225697800000002
SRX3686771,3.2694770760000003,-0.1294060602
SRX3686794,-1.8861159972000001,-0.22481778670000002
SRX3686796,-2.032511046,0.3367207031
SRX3686751,1.5070930541,0.1582589264
SRX3686749,1.6857479080000002,0.1031554779
SRX3686750,1.3064643995,0.16384442270000002
SRX3686778,-0.6739021562,0.3963556478
SRX3686777,0.5843396522000001,0.41144054150000003
SRX3686776,1.8478921015,0.26124450790000003
SRX3686800,0.8478208821000001,0.3978320323
SRX3686801,-0.7078765748,0.5081066721
SRX3686755,2.8479619571,0.234837555
SRX3686757,2.6565909779,-0.0080411161
SRX3686756,2.2553299315,-0.0673016262
SRX3686784,0.5316453959,0.3186131488
SRX3686783,2.3409117499,0.09735434650000001
SRX3686782,3.481365615,0.1452806985
SRX3686809,2.8638987887000003,0.4051549562
SRX3686807,4.2060679889,0.5001913662
SRX3686808,2.2092921664,0.4092091785
SRX3686787,6.7546938491,-0.1920186169
SRX3686786,5.7890179716,-0.08191123880000001
SRX3686785,6.4885764341,-0.2516115796
SRX3686799,-1.2331109009,-0.1036015425
SRX3686797,-0.075051538,-0.1067674953
SRX3686798,-1.3690873593,-0.147581177
SRX3686746,1.7425165618,0.051234804200000005
SRX3686748,1.9934514074,0.08133943040000001
SRX3686747,1.5127377561,0.1708833082
SRX3686773,0.9680223948000001,-0.2770856853
SRX3686774,0.5640709463,-0.2661654337
SRX3686775,-0.743423754,-0.1952854134
SRX3686754,2.605622299,-0.00543748
SRX3686753,2.2010703867,-0.0803035864
SRX3686752,2.5350913639,-0.0846326146
SRX3686780,1.8650757158,-0.0463998367
SRX3686779,1.507564576,-0.1553180127
SRX3686781,0.9015554462,-0.1382746365
SRX3686806,2.9759847483,-0.35989432460000004
SRX3686805,4.961905807,-0.2933647472
SRX3686758,6.5677785061,-0.0307218829
SRX3686760,6.2230339501,-0.0835348954
SRX3686759,6.6111903656,-0.1311549337
SRX3686810,15.8122385074,-0.42921456020000004
SRX3686811,11.0417600983,-0.3885795267
SRX3686812,11.3158292748,-0.3371317712
SRX3686813,1.2891089459,0.3019014186
SRX3686815,21.9060393615,-0.0780769159
SRX3686816,20.5835460269,-0.11896934690000001
SRX3686823,0.3810150705,0.2617474105
SRX3686824,-0.2257975149,0.3273012102
SRX3686825,4.9305951568,-0.2363582488
SRX3686827,13.0584972705,-0.4219364854
SRX3686826,13.8495070235,-0.39524791600000003
SRX7054191,-1.2764088939,0.0152865389
SRX7054189,0.1793122939,-0.09701982840000001
SRX7054190,1.0970966,0.0817332894
SRX7054193,-2.5589216377,0.9760852347000001
SRX7054192,-4.8776447296,0.9105497233000001
SRX7054194,-3.8043468869,0.8174687871
SRX4506284,0.8986744778,-0.5220111082000001
SRX4506280,0.7898636421,-0.5422471364
SRX4506282,0.9353948159000001,-0.6357057972
SRX4506278,1.234569482,-0.6555034080000001
SRX4506274,-0.1641360607,-0.0390359684
SRX4506273,0.11932168550000001,0.055071177900000004
SRX4506271,-0.0918938304,-0.0015437978
SRX4506276,0.1367082056,-0.0144914117
SRX4506283,1.5806804607,-0.4315698221
SRX4506279,1.8975442056,-0.4417959455
SRX4506285,1.6069892756000002,-0.2729556775
SRX4506281,1.4233519189,-0.4121163893
SRX4506275,-0.9042903986,0.0403750386
SRX4506277,-0.9286491194000001,-0.0002773618
SRX4506272,-0.9191520413000001,-0.0204760893
SRX2923393,0.3062315465,0.0352560037
SRX2923394,-0.3062315465,-0.0352560037
SRX2923398,26.7394761494,0.4862304981
SRX2923397,17.4415534941,0.25548482100000003
SRX2923395,26.5045817757,1.291904738
SRX2923396,26.6007281552,1.3828872228
SRX2923400,-0.07874205520000001,-0.44312259470000004
SRX2923401,-0.12655422700000002,-0.4922689918
SRX2923403,10.987790215,0.40883475960000004
SRX2923402,12.1018277399,0.3254090811
SRX6853288,0.9331432828,0.2634008651
SRX6853287,1.4485292555,0.2883212463
SRX6853286,0.8677181628,0.276395389
SRX6853284,-0.209511466,0.015323694700000001
SRX6853285,-0.0016179311,-0.06879756520000001
SRX6853283,0.21112939700000002,0.0534738705
SRX4319040,0.12439024650000001,0.253372606
SRX4319041,-0.3160306992,-0.19884486070000001
SRX4319039,0.19164045270000002,-0.0545277453
SRX4314613,3.328828601,-0.2683543977
SRX4314614,2.410275683,-0.2902068843
SRX4314615,4.4454854798,-0.4448670978
SRX4314632,8.8410242944,0.3734915968
SRX4314631,8.8597214942,0.6142148779000001
SRX4314633,8.4824292521,0.5971615285
SRX4314622,9.0580734445,-0.6730519526000001
SRX4314623,8.7889040824,-0.5275046210000001
SRX4314624,9.1966875588,-0.5846086096
SRX4314611,-0.1792894256,0.022804702000000003
SRX4314610,0.220699116,0.0095607253
SRX4314612,-0.0414096905,-0.0323654273
SRX4314630,4.2682222404,-0.1405569552
SRX4314628,4.7735064754,0.0038134927
SRX4314629,4.7070729864,0.3117314322
SRX4314619,4.527361907,0.0257494696
SRX4314621,4.0171046184,-0.0697447862
SRX4314620,4.4206415584,0.054899552000000004
SRX7119390,0.39180320830000004,0.0817526679
SRX7119388,-0.39180320830000004,-0.0817526679
SRX7119386,9.386196418,-0.2371043652
SRX7119385,10.544990500499999,-0.3720699953
SRX7119387,9.1133432649,-0.1244137832
SRX3746749,-22.4178810702,0.6747055996
SRX3746748,-22.5159287827,-0.06669600070000001
SRX3746751,-7.3692405201,-1.532010696
SRX3746750,-5.8168988958,-0.8123505324
SRX3746752,-4.3960465101,-0.200832115
SRX3746753,-9.421900172,-1.2988773517
SRX3746755,1.7703016312000002,-0.5260397473
SRX3746754,-1.7703016312000002,0.5260397473
SRX2345943,-1.7816297842000002,-0.0060818282
SRX2345942,1.7816297842000002,0.0060818282
SRX2345941,2.5199758336,0.761556745
SRX2345940,0.9875715273000001,0.6481672343
SRX3992217,0.1816677786,-0.0047788323
SRX3992216,0.6603098196,-0.2441919518
SRX3992214,-11.0526423023,-0.1695232945
SRX3992215,-9.7399607309,-0.2474451551
SRX3992221,-9.1402186043,-0.0667064849
SRX3992220,-10.4203728736,-0.1440265517
SRX3992219,-4.2454311991,-1.0831614438
SRX3992218,-3.7077851285,-1.1247006339
SRX3992201,-4.1456250232,-1.0537133227
SRX3992200,-4.3817311296,-1.0560514696
SRX3992198,0.0505685091,0.0626739168
SRX3992199,0.9278304221,-0.2157886651
SRX3992202,0.07843162890000001,-0.0287155938
SRX3992203,0.10185331780000001,0.0088687348
SRX3992204,-11.9328273397,-0.34717377920000003
SRX3992205,-10.7264934929,-0.37668043560000003
SRX3992206,-11.5612368065,-0.3014874396
SRX3992207,-10.7839994818,-0.35517466070000003
SRX3992209,-4.650016212,-1.1555355986
SRX3992208,-4.627526481,-1.3563049336000002
SRX3992212,-5.1212600244,-1.2585715021000001
SRX3992213,-4.914711298,-1.2557101984
SRX3992210,0.2770644076,-0.1296847431
SRX3992211,-0.2770644076,0.1296847431
SRX357084,0.756469363,0.16886096720000002
SRX357083,-0.756469363,-0.16886096720000002
SRX4647134,-0.8369061892,-0.3733341939
SRX4647137,-0.2569443911,-0.088528359
SRX4647136,-0.7933772896,-0.3218838645
SRX4647135,-0.9330109007,-0.4143545706
SRX4647139,-0.0697021651,-0.0284021076
SRX4647141,0.14872742220000001,0.0629776497
SRX4647140,-0.0422957166,0.0027915109
SRX4647138,-0.036729540500000005,-0.037367053000000004
SRX4647128,0.17142736860000002,0.11024019700000001
SRX4647127,0.0916768583,0.10081511950000001
SRX4647129,0.2327803491,0.042626430900000005
SRX4647126,0.2906676097,0.0155591179
SRX4647133,1.9318413644999999,-0.0248880954
SRX4647132,2.3046071856,-0.2924649112
SRX4647131,2.1404615596,-0.0951760583
SRX4647130,1.8848214460000001,-0.2909581848
SRX6923924,0.0293493285,0.24641696740000002
SRX6923925,-2.0234195474,-0.3689744868
SRX6923923,0.8195086924,0.0696426899
SRX6923922,1.3558635525,0.1479207004
