,A,phoP
ERX3772323,-0.9003501460000001,-0.0327504738
SRX4314262,0.2726125197,-0.043916405000000006
SRX4314263,0.7118226390000001,-0.1211204308
SRX4314261,-0.9844351587000001,0.1650368358
SRX4314265,-4.0282162285,0.1940730735
SRX4314266,-5.2897015448,0.080597033
SRX4314264,-3.2825394162,0.1099239276
SRX4314268,-1.146705253,0.2291944907
SRX4314267,-0.9374081488,0.1945130246
SRX4314271,0.2808980584,0.2506927483
SRX4314272,-0.0501845465,0.329274658
SRX4314275,-0.5736001378000001,0.27593306300000003
SRX4314274,-0.8188617701,0.1743095033
SRX4314273,-0.028580681700000003,0.0197107381
SRX4314278,-1.6027059103,0.08741085030000001
SRX4314276,-0.902099104,0.0107995828
SRX4314281,-2.1693740513,0.1146018305
SRX4314279,-1.1912597912,-0.1400461873
SRX4314280,-0.7048922054,0.1095819014
SRX4314284,-1.3542852629,-0.21872060540000002
SRX4314283,-1.4624043925999999,0.2952517998
SRX4314282,-0.8852043162000001,-0.014387097100000001
SRX4314293,-3.3841551865,0.0738051414
SRX4314292,-0.5942954892,0.24843641030000002
SRX4314291,-1.6100280085,0.2768767418
SRX4314297,-0.6947765202,0.0783835977
SRX4314298,0.6776325325,0.2955642684
SRX4314299,-3.0618630943,0.1096825616
SRX4314302,-3.1541572707,0.36544698670000003
SRX4314301,0.7757685587,0.39053810520000004
SRX4314300,0.0450255311,0.1391000024
SRX4314305,1.2737539098,0.3567208434
SRX4314304,5.0996785571,0.24689343430000002
SRX4314303,3.2827622533,0.26835375370000003
SRX4314309,4.0595112984,-0.0386408099
SRX4314306,2.1699973067,0.162290883
SRX4314308,-0.438730816,0.16587383190000002
SRX4314307,3.8297509847,0.24134158890000001
SRX4314311,0.282635524,0.2288397388
SRX4314317,1.1637293454,0.338748671
SRX4314316,5.6427616923,0.2896476877
SRX4314318,7.4747767498,-0.060402391900000005
SRX4314319,7.751543628,-0.0557837396
SRX4314331,8.0471561182,-0.3273093951
SRX4314330,7.3559700205,-0.2180283146
SRX4314332,7.393694291,-0.1876662396
SRX4314335,6.2822014138,-0.2385050666
SRX4314334,6.7146107536,-0.49851174330000003
SRX4314333,6.6910418758,-0.29924722400000003
SRX4314338,5.0262639748,-0.3743862073
SRX4314336,5.4099585239,-0.4154331149
SRX4314337,5.3806401342,-0.5742002709
SRX4314339,4.5412085134,-0.7527370733000001
SRX4314340,4.5496002806,-0.7913972135
SRX4314341,3.9841231255,-0.6060506549
SRX3686762,5.7760824026,-0.38130058180000004
SRX3686763,6.1093553202,-0.3069438036
SRX3686761,5.7993181394,-0.2902140748
SRX3686765,1.4897049979,-0.31879056650000004
SRX3686769,1.5915450875000001,-0.3445384883
SRX3686766,2.2282055083,-0.2345387757
SRX3686768,2.0208292512,-0.15973683160000002
SRX3686764,1.6219355323,-0.33521951650000004
SRX3686767,1.7754571365,-0.2563522131
SRX3686788,0.14770181770000002,0.0909345901
SRX3686791,-0.2115555041,0.0340969824
SRX3686792,-0.1693074944,0.019647783800000002
SRX3686793,-0.3986771685,0.0251417437
SRX3686790,0.3026500381,-0.039936401600000004
SRX3686789,0.32918831130000004,-0.1298846984
SRX3686829,4.6190587936,0.013410661300000001
SRX3686830,3.8483022864,-0.0427782785
SRX3686828,4.0045034372,0.027303692
SRX3686819,5.6856355258,-1.1076206518
SRX3686818,5.2618744443,-1.0158727761
SRX3686817,6.4301322165,-1.005346892
SRX3686822,0.18145388880000002,-0.5376179019
SRX3686820,0.2284008751,-0.5927523619
SRX3686821,-0.47771948890000004,-0.4460728909
SRX3686743,5.2160853372,-0.258324751
SRX3686744,5.5808516324,-0.2995109742
SRX3686745,5.2316853888,-0.2719138977
SRX3686772,5.0985707947,-0.0326859304
SRX3686770,5.2189267185,-0.0889035683
SRX3686771,5.2935282884,-0.0056179877
SRX3686794,5.1768848469,0.06875931860000001
SRX3686796,4.8506239003000005,-0.0376530088
SRX3686751,5.4583396313,-0.4397684142
SRX3686749,3.8139463872,-0.3307007202
SRX3686750,4.8254019955,-0.3939417512
SRX3686778,6.7637656599,-0.2924407517
SRX3686777,6.4927647171,-0.3466944527
SRX3686776,6.0160961192,-0.2716489855
SRX3686800,5.3885238531,-0.0943158165
SRX3686801,5.5463476139,-0.0769683852
SRX3686755,5.0696419046,-0.39827290200000004
SRX3686757,4.5246642712,-0.27752890420000004
SRX3686756,4.5481447332,-0.3071976625
SRX3686784,7.0085259738,-0.2908878854
SRX3686783,6.4876101506,-0.3069604003
SRX3686782,6.3404643307,-0.3575400037
